question_id,suite_id,qno,primary_reasoning_type,logical_form_status,rule_slogan_status,trap_status,answer_action_status,phase04_level,blocker_reason
Q-2024朝阳一模-20-1,S-2024朝阳一模,20(1),假言推理;其他复合推理,pending_extraction,pending_extraction,pending_extraction,pending_extraction,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳一模-20-2,S-2024朝阳一模,20(2),假言推理;其他复合推理,pending_extraction,pending_extraction,pending_extraction,pending_extraction,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳一模-21,S-2024朝阳一模,21,其他复合推理,pending_extraction,pending_extraction,pending_extraction,pending_extraction,L1_A_ONLY_PENDING_B_TARGET,targeted Lane B verification for A-only subjective/high-number question
Q-2024朝阳二模-16-1,S-2024朝阳二模,16(1),逻辑三律与概念规则,pending_extraction,pending_extraction,pending_extraction,pending_extraction,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-16-2,S-2024朝阳二模,16(2),逻辑三律与概念规则,pending_extraction,pending_extraction,pending_extraction,pending_extraction,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-19-1,S-2024朝阳二模,19(1),假言推理;联言推理;假言推理;联言推理;类比推理;其他复合推理;类比推理;联言推理;类比推理,pending_extraction,pending_extraction,pending_extraction,pending_extraction,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-19-2,S-2024朝阳二模,19(2),假言推理;联言推理;假言推理;联言推理;类比推理;其他复合推理;类比推理;联言推理;类比推理,pending_extraction,pending_extraction,pending_extraction,pending_extraction,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-19-3,S-2024朝阳二模,19(3),假言推理;联言推理;假言推理;联言推理;类比推理;其他复合推理;类比推理;联言推理;类比推理,pending_extraction,pending_extraction,pending_extraction,pending_extraction,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-6,S-2024朝阳二模,6,逻辑三律与概念规则,pending_extraction,pending_extraction,pending_extraction,pending_extraction,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2024朝阳二模-7,S-2024朝阳二模,7,其他复合推理;归纳推理与因果探求,pending_extraction,pending_extraction,pending_extraction,pending_extraction,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2024朝阳期中-1,S-2024朝阳期中,1,其他复合推理,pending_extraction,pending_extraction,pending_extraction,pending_extraction,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳期中-11,S-2024朝阳期中,11,三段论;假言推理;逻辑三律与概念规则;假言推理;逻辑三律与概念规则,pending_extraction,pending_extraction,pending_extraction,pending_extraction,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2024朝阳期中-18,S-2024朝阳期中,18,三段论;假言推理;归纳推理与因果探求;类比推理;换质换位;其他复合推理;归纳推理与因果探求;归纳推理与因果探求;类比推理;类比推理,pending_extraction,pending_extraction,pending_extraction,pending_extraction,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2024朝阳期中-19,S-2024朝阳期中,19,其他复合推理,pending_extraction,pending_extraction,pending_extraction,pending_extraction,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2024朝阳期中-5,S-2024朝阳期中,5,假言推理;逻辑三律与概念规则,pending_extraction,pending_extraction,pending_extraction,pending_extraction,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
