question_id,thinking_entry_id,reasoning_entry_id,input_permission,primary_mount,secondary_mount,whether_opus_should_duplicate_explanation,whether_opus_should_cross_reference,forbidden_single_mount
Q-2024朝阳二模-19-1,Q-2024朝阳二模-19-1,Q-2024朝阳二模-19-1,include_as_packet_candidate,reasoning_typology,thinking_framework,no,yes_if_later_text_stage,yes
Q-2024朝阳二模-19-2,Q-2024朝阳二模-19-2,Q-2024朝阳二模-19-2,include_as_packet_candidate,reasoning_typology,thinking_framework,no,yes_if_later_text_stage,yes
Q-2024朝阳二模-7,,,hold_reasoning_form_risk,reasoning_typology,thinking_framework,no,yes_if_later_text_stage,yes
Q-2024朝阳期中-19,,,hold_reasoning_form_risk,reasoning_typology,thinking_framework,no,yes_if_later_text_stage,yes
Q-2024朝阳期中-9,Q-2024朝阳期中-9,Q-2024朝阳期中-9,include_as_packet_candidate,reasoning_typology,thinking_framework,no,yes_if_later_text_stage,yes
Q-2025东城期末-18-2,,,hold_reasoning_form_risk,reasoning_typology,thinking_framework,no,yes_if_later_text_stage,yes
Q-2025丰台期末-10,,,hold_reasoning_form_risk,reasoning_typology,thinking_framework,no,yes_if_later_text_stage,yes
Q-2026东城一模-6,,,hold_answer_locator_risk,reasoning_typology,thinking_framework,no,yes_if_later_text_stage,yes
Q-2026朝阳期中-13,,,hold_answer_locator_risk,reasoning_typology,thinking_framework,no,yes_if_later_text_stage,yes
Q-2026通州期末-11,,,hold_answer_locator_risk,reasoning_typology,thinking_framework,no,yes_if_later_text_stage,yes
Q-2026顺义一模-19-1,Q-2026顺义一模-19-1,Q-2026顺义一模-19-1,include_as_packet_candidate,reasoning_typology,thinking_framework,no,yes_if_later_text_stage,yes
Q-2026顺义一模-19-2,Q-2026顺义一模-19-2,Q-2026顺义一模-19-2,include_as_packet_candidate,reasoning_typology,thinking_framework,no,yes_if_later_text_stage,yes
Q-2026顺义一模-5,,,hold_answer_locator_risk,reasoning_typology,thinking_framework,no,yes_if_later_text_stage,yes
