file_id,original_file_path,working_file_path,file_name,year,district,exam_stage,file_type,suspected_role,text_layer_status,page_count,hash,processing_method,linked_files,notes
F0001,/Users/wanglifei/Desktop/2024模拟题/.DS_Store,/Users/wanglifei/Desktop/2024模拟题/.DS_Store,.DS_Store,2024,,,unknown,unknown,unknown,,1e4ff3365ac79e8335117c7b064e13631b29a2497aff2c91e4bcb39c9ca6562a,not_processed,F0049|F0050,macOS metadata file skipped
F0002,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx,2024届各区一模试题分类汇编必修1.docx,2024,,一模,docx,user_framework,text_layer,75,14501f7fbb96e038af1fe21b95440a26ed02eb944856cc9815ca1e5b867d6a90,python-docx,F0003|F0004|F0005|F0006|F0007|F0008|F0227|F0228|F0229|F0230|F0231|F0232|F0233,extracted_text=/Users/wanglifei/Desktop/北京高考政治/选必二法律主观题框架_从题源生长/00_manifest/extracted_text/F0002.txt
F0003,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修2 .docx,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修2 .docx,2024届各区一模试题分类汇编必修2 .docx,2024,,一模,docx,user_framework,text_layer,232,3965bc306d35c89f6ed5fb4cecb7b71379c7f669fd63ab423ed0cfe9f9174b3b,python-docx,F0002|F0004|F0005|F0006|F0007|F0008|F0227|F0228|F0229|F0230|F0231|F0232|F0233,extracted_text=/Users/wanglifei/Desktop/北京高考政治/选必二法律主观题框架_从题源生长/00_manifest/extracted_text/F0003.txt
F0004,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修3.docx,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修3.docx,2024届各区一模试题分类汇编必修3.docx,2024,,一模,docx,user_framework,text_layer,233,b2adb9acbea551522631e403a779ff7ac1afdd1e47127b987f5e13f4a6e2ae9d,python-docx,F0002|F0003|F0005|F0006|F0007|F0008|F0227|F0228|F0229|F0230|F0231|F0232|F0233,extracted_text=/Users/wanglifei/Desktop/北京高考政治/选必二法律主观题框架_从题源生长/00_manifest/extracted_text/F0004.txt
F0005,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修4.docx,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修4.docx,2024届各区一模试题分类汇编必修4.docx,2024,,一模,docx,user_framework,text_layer,209,3423b62eb032b5df1dd18b865bb05d7b34056cae623407b593e36d437bf4b510,python-docx,F0002|F0003|F0004|F0006|F0007|F0008|F0227|F0228|F0229|F0230|F0231|F0232|F0233,extracted_text=/Users/wanglifei/Desktop/北京高考政治/选必二法律主观题框架_从题源生长/00_manifest/extracted_text/F0005.txt
F0006,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必1.docx,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必1.docx,2024届各区一模试题分类汇编选必1.docx,2024,,一模,docx,user_framework,text_layer,242,0f4414a153ba94c0b74d4eb708a13665083b340508ddbc103ff4d9f775620f1d,python-docx,F0002|F0003|F0004|F0005|F0007|F0008|F0227|F0228|F0229|F0230|F0231|F0232|F0233,extracted_text=/Users/wanglifei/Desktop/北京高考政治/选必二法律主观题框架_从题源生长/00_manifest/extracted_text/F0006.txt
F0007,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必2.docx,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必2.docx,2024届各区一模试题分类汇编选必2.docx,2024,,一模,docx,user_framework,text_layer,257,c22ac0d594c5a7bb0cbb23196f15e2e7fbcfdbbf89dcc221ce9cc83c235269e1,python-docx,F0002|F0003|F0004|F0005|F0006|F0008|F0227|F0228|F0229|F0230|F0231|F0232|F0233,extracted_text=/Users/wanglifei/Desktop/北京高考政治/选必二法律主观题框架_从题源生长/00_manifest/extracted_text/F0007.txt
F0008,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必3.doc,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必3.doc,2024届各区一模试题分类汇编选必3.doc,2024,,一模,doc,user_framework,old_word,,4b25cddd4dc2992de1001f813db329ed483a2c3c3c8d5197bb13f59e61b5218f,textutil,F0002|F0003|F0004|F0005|F0006|F0007|F0227|F0228|F0229|F0230|F0231|F0232|F0233,extracted_text=/Users/wanglifei/Desktop/北京高考政治/选必二法律主观题框架_从题源生长/00_manifest/extracted_text/F0008.txt
F0009,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,细则.pptx,2024,东城,一模,pptx,subjective_rubric,ppt,74,4b2073bcc9e26f626b49b66dd6e0c64ec93650292d50719806830d7aea9fa3ce,python-pptx,F0010|F0011|F0234|F0235|F0236,extracted_text=/Users/wanglifei/Desktop/北京高考政治/选必二法律主观题框架_从题源生长/00_manifest/extracted_text/F0009.txt
F0010,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,2024,东城,一模,pdf,subjective_rubric,no_text_layer,1,7b4eece2963205d8ac02ef13063307a3dad70cf6542b6169f3ed34276f16e115,pymupdf_text_extract,F0009|F0011|F0234|F0235|F0236,extracted_text=/Users/wanglifei/Desktop/北京高考政治/选必二法律主观题框架_从题源生长/00_manifest/extracted_text/F0010.txt
