placement_id,family,node,title,suite,question_no,question_type,paper_path,paper_status,rubric_path,rubric_status,review_status,choice_option_count,choice_answer_visible,correct_answer,manual_body_override,manual_rubric_override,paper_text_present,rubric_text_present
P0001,充分条件假言推理与判断,有效式：肯定前件或否定后件，方向要走对,1. 2024朝阳一模 第20题第（1）问（主观题）,2024朝阳一模,20(1),主观题,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx,direct_question_number,source_extracted,,,,False,False,True,True
P0002,充分条件假言推理与判断,有效式：肯定前件或否定后件，方向要走对,2. 2026通州期末 第19题第（2）问（主观题）,2026通州期末,19(2),主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,direct_question_number,source_extracted,,,,False,False,True,True
P0003,充分条件假言推理与判断,陷阱：后件为真不能倒推前件,1. 2026东城期末 第17题第（2）问（主观题）,2026东城期末,17(2),主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/细则/细则.pptx,direct_question_number,source_extracted,,,,False,False,True,True
P0004,充分条件假言推理与判断,陷阱：后件为真不能倒推前件,2. 2025西城二模 第16题第（2）问（主观题）,2025西城二模,16(2),主观题,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/细则/细则.docx,direct_question_number,source_extracted,,,,False,False,True,True
P0005,充分条件假言推理与判断,陷阱：后件为真不能倒推前件,3. 2026海淀期末 第20题第（1）问（主观题）,2026海淀期末,20(1),主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期末/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期末/细则/细则.pdf,direct_question_number,source_extracted,,,,False,False,True,True
P0006,充分条件假言推理与判断,判断构造：把条件补成能推出结果的前件,1. 2024丰台一模 第19题第（1）问（主观题）,2024丰台一模,19(1),主观题,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf,ocr_vision_direct_question_number,/Users/wanglifei/Desktop/2024模拟题/丰台一模/细则/细则.docx,direct_question_number,source_extracted,,,,False,False,True,True
P0007,充分条件假言推理与判断,陷阱一：重要条件不等于充分条件,1. 2025丰台二模 第19题第（1）问（主观题）,2025丰台二模,19(1),主观题,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/19.(1).docx,rubric_file_name_matched_full_file,source_extracted,,,,False,False,True,True
P0008,充分条件假言推理与判断,陷阱一：重要条件不等于充分条件,2. 2024丰台二模 第18题第（2）问（主观题）,2024丰台二模,18(2),主观题,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,ocr_vision_direct_question_number,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,direct_question_number,source_extracted,,,,False,False,True,True
P0009,充分条件假言推理与判断,陷阱二：形式像对，前提未必真,1. 2025东城二模 第18题第（2）问（主观题）,2025东城二模,18(2),主观题,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf,direct_question_number,source_extracted,,,,False,False,True,True
P0010,必要条件假言推理与判断,有效式：少了它不行，结果成立就要回找它,1. 2024朝阳一模 第20题第（2）问（主观题）,2024朝阳一模,20(2),主观题,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx,direct_question_number,source_extracted,,,,False,False,True,True
P0011,必要条件假言推理与判断,有效式：少了它不行，结果成立就要回找它,2. 2026丰台一模 第18题第（2）问（主观题）,2026丰台一模,18(2),主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/试卷/试卷.pdf,ocr_vision_direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,rubric_subquestion_part_matched,source_extracted,,,,False,False,True,True
P0012,必要条件假言推理与判断,陷阱：有了必要条件不等于结果必然成,1. 2025朝阳一模 第17题第（1）问（主观题）,2025朝阳一模,17(1),主观题,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/试卷/试卷.pdf,teacher_version_answer_section_from_original,source_extracted,,,,False,False,True,True
P0013,必要条件假言推理与判断,陷阱：有了必要条件不等于结果必然成,2. 2026通州期末 第19题第（2）问（主观题）,2026通州期末,19(2),主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026通州期末/细则/细则.pptx,direct_question_number,source_extracted,,,,False,False,True,True
P0014,必要条件假言推理与判断,必要条件的文字信号,1. 2024顺义二模 第7题（选择题）,2024顺义二模,7,选择题,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx,direct_question_number,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,teacher_version_answer_section_from_original,source_extracted,4,True,C,False,False,True,True
P0015,必要条件假言推理与判断,必要条件与结论边界,1. 2024丰台一模 第11题（选择题）,2024丰台一模,11,选择题,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf,ocr_vision_direct_question_number,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf,teacher_version_answer_section_from_original,source_extracted,4,True,D,False,False,True,True
P0016,必要条件假言推理与判断,必要条件与结论边界,2. 2026海淀二模 第5题（选择题）,2026海淀二模,5,选择题,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx,manual_verified_original_answer_table,source_extracted,4,True,D,False,True,True,True
P0017,必要条件假言推理与判断,必要条件与定义边界,1. 2026石景山一模 第6题（选择题）,2026石景山一模,6,选择题,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/试卷/试卷.pdf,ocr_vision_direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/试卷/试卷.pdf,teacher_version_answer_section_from_original,source_extracted,4,True,D,False,False,True,True
P0018,必要条件假言推理与判断,除非、否则与双重否定,1. 2026朝阳二模 第6题（选择题）,2026朝阳二模,6,选择题,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026朝阳二模/试卷/2026北京朝阳高三二模政治（教师版）.docx,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026朝阳二模/试卷/2026北京朝阳高三二模政治（教师版）.docx,teacher_version_answer_section_from_original,source_extracted,4,True,D,False,False,True,True
