doc_order,entry_id,source_file,extract_path,line_range,exists
151,Q0151,SRC_EXAM_2026_MENTOUGOU_YIMO_Q20.txt,05_source_backcheck/slice_031/SRC_EXAM_2026_MENTOUGOU_YIMO_Q20.txt,341-356,True
151,Q0151,SRC_RUBRIC_2026_MENTOUGOU_YIMO_Q20.txt,05_source_backcheck/slice_031/SRC_RUBRIC_2026_MENTOUGOU_YIMO_Q20.txt,120-131,True
152,Q0152,SRC_EXAM_2024_HAIDIAN_YIMO_Q18_1.txt,05_source_backcheck/slice_031/SRC_EXAM_2024_HAIDIAN_YIMO_Q18_1.txt,251-262,True
152,Q0152,SRC_RUBRIC_2024_HAIDIAN_YIMO_Q18_1.txt,05_source_backcheck/slice_031/SRC_RUBRIC_2024_HAIDIAN_YIMO_Q18_1.txt,55-66,True
153,Q0153,SRC_EXAM_2026_CHAOYANG_YIMO_Q20.txt,05_source_backcheck/slice_031/SRC_EXAM_2026_CHAOYANG_YIMO_Q20.txt,218-230,True
153,Q0153,SRC_EXAM_2026_CHAOYANG_YIMO_Q20.txt,05_source_backcheck/slice_031/SRC_EXAM_2026_CHAOYANG_YIMO_Q20.txt,376-385,True
153,Q0153,SRC_RUBRIC_2026_CHAOYANG_YIMO_Q20.txt,05_source_backcheck/slice_031/SRC_RUBRIC_2026_CHAOYANG_YIMO_Q20.txt,83-95,True
154,Q0154,SRC_EXAM_2026_DONGCHENG_YIMO_Q19_3.txt,05_source_backcheck/slice_031/SRC_EXAM_2026_DONGCHENG_YIMO_Q19_3.txt,218-227,True
154,Q0154,SRC_EXAM_2026_DONGCHENG_YIMO_Q19_3.txt,05_source_backcheck/slice_031/SRC_EXAM_2026_DONGCHENG_YIMO_Q19_3.txt,305-308,True
154,Q0154,SRC_RUBRIC_2026_DONGCHENG_YIMO_Q19_3.txt,05_source_backcheck/slice_031/SRC_RUBRIC_2026_DONGCHENG_YIMO_Q19_3.txt,16-28,True
155,Q0155,SRC_EXAM_2025_FENGTAI_YIMO_Q20.txt,05_source_backcheck/slice_031/SRC_EXAM_2025_FENGTAI_YIMO_Q20.txt,206-220,True
155,Q0155,SRC_EXAM_2025_FENGTAI_YIMO_Q20.txt,05_source_backcheck/slice_031/SRC_EXAM_2025_FENGTAI_YIMO_Q20.txt,287-289,True
155,Q0155,SRC_RUBRIC_2025_FENGTAI_YIMO_Q20.txt,05_source_backcheck/slice_031/SRC_RUBRIC_2025_FENGTAI_YIMO_Q20.txt,13-14,True
