ask_atom_id,question_id,ask_text,ask_function_plain,module_requirement,requires_material_connection,requires_value_discussion,requires_behavior_evaluation,requires_solution_or_measure,student_task_plain,source_locator
A_CC0001_2024_丰台_一模_16_01,CC0001_2024_丰台_一模_16,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,意义,法律与生活,yes,yes,uncertain,no,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,F0044:text | F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8 | F0268:text
A_CC0002_2024_丰台_一模_17_01,CC0002_2024_丰台_一模_17,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,意义,法律与生活,yes,yes,uncertain,no,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8
A_CC0011_2024_丰台_二模_17_01,CC0011_2024_丰台_二模_17,运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。,说明,法律与生活,uncertain,yes,uncertain,no,运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。,F0047:text | F0270:text
A_CC0019_2024_朝阳_一模_19_01,CC0019_2024_朝阳_一模_19,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0014:text | F0239:text
A_CC0025_2024_朝阳_二模_17_01,CC0025_2024_朝阳_二模_17,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",意义,法律与生活(默认),yes,yes,uncertain,no,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2
A_CC0026_2024_朝阳_二模_18_01,CC0026_2024_朝阳_二模_18,,不确定,法律与生活(默认),uncertain,yes,uncertain,no,从材料与法律证据中判断作答任务,F0016:page 3 | F0017:text | F0018:page 2 | F0018:page 7 | F0241:page 2 | F0241:page 7 | F0242:text | F0243:page 3
A_CC0040_2024_海淀_一模_19_01,CC0040_2024_海淀_一模_19,运用《法律与生活》知识，谈谈对本案判决的认识。,综合,法律与生活,uncertain,uncertain,yes,no,运用《法律与生活》知识，谈谈对本案判决的认识。,F0025:text | F0026:page 7 | F0249:text | F0251:page 7
A_CC0045_2024_海淀_二模_19_01,CC0045_2024_海淀_二模_19,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。,意义,法律与生活,yes,yes,uncertain,no,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。,F0051:text | F0052:text | F0053:text | F0054:page 7 | F0272:text | F0273:text | F0274:text | F0275:page 7
A_CC0047_2024_海淀_二模_21_01,CC0047_2024_海淀_二模_21,结合材料，综合运用所学，谈谈如何循“新”出发，实现“既宏伟又朴素”的目标。,综合,不确定,yes,yes,uncertain,yes,结合材料，综合运用所学，谈谈如何循“新”出发，实现“既宏伟又朴素”的目标。,F0051:text | F0052:text | F0053:text | F0054:page 8 | F0272:text | F0273:text | F0274:text | F0275:page 8
A_CC0051_2024_海淀_期中_21_1_01,CC0051_2024_海淀_期中_21_1,运用法治知识，对小海的观点进行评析。,评析,法律与生活(默认),uncertain,yes,yes,no,运用法治知识，对小海的观点进行评析。,F0027:page 50 | F0027:page 52 | F0252:page 50 | F0252:page 52
