material_atom_id,question_id,material_phrase,plain_description,subject_or_actor,action_or_event,affected_party,conflict_or_problem,legal_signal_if_any,possible_relevance_to_answer,source_locator,uncertainty
M_CC0001_2024_丰台_一模_16_01,CC0001_2024_丰台_一模_16,16.结合材料，运用《政治与法治》知识，谈谈新时代“四下基层”如何为社会主义现代化建设注入强劲动力。,16.结合材料，运用《政治与法治》知识，谈谈新时代“四下基层”如何为社会主义现代化建设注入强劲动力。,,,,,,背景或价值铺垫,F0044:text | F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8 | F0268:text,heuristic_sentence_split_from_text_layer
M_CC0001_2024_丰台_一模_16_02,CC0001_2024_丰台_一模_16,参考答案： 中国共产党是中国特色社会主义事业的领导核心，“四下基层”是党坚持群众路线、密切联系群众的重要抓手，能为社会主义现代化建设注入强进动力。,参考答案： 中国共产党是中国特色社会主义事业的领导核心，“四下基层”是党坚持群众路线、密切联系群众的重要抓手，能为社会主义现代化建设注入强进动力。,,,,,,背景或价值铺垫,F0044:text | F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8 | F0268:text,heuristic_sentence_split_from_text_layer
M_CC0001_2024_丰台_一模_16_03,CC0001_2024_丰台_一模_16,通过宣传，使党的路线、方针、政策直达基层，落地生根；,通过宣传，使党的路线、方针、政策直达基层，落地生根；,,,,,,背景或价值铺垫,F0044:text | F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8 | F0268:text,heuristic_sentence_split_from_text_layer
M_CC0001_2024_丰台_一模_16_04,CC0001_2024_丰台_一模_16,党员和干部坚持人民至上，坚持实事求是、求真务实，定人基层，融入百姓，为群众办实事解难题。,党员和干部坚持人民至上，坚持实事求是、求真务实，定人基层，融入百姓，为群众办实事解难题。,,,,,,背景或价值铺垫,F0044:text | F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8 | F0268:text,heuristic_sentence_split_from_text_layer
M_CC0001_2024_丰台_一模_16_05,CC0001_2024_丰台_一模_16,“四下基层”创新工作机制方法，起干部与群众之间的“连心桥”，既能有效促进党的路线、方针、政策贯彻落实，提高决策质量水平，又能畅通民意诉求通道，直抵民心，推动干部作风转变。,“四下基层”创新工作机制方法，起干部与群众之间的“连心桥”，既能有效促进党的路线、方针、政策贯彻落实，提高决策质量水平，又能畅通民意诉求通道，直抵民心，推动干部作风转变。,,,,yes,,背景或价值铺垫,F0044:text | F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8 | F0268:text,heuristic_sentence_split_from_text_layer
M_CC0001_2024_丰台_一模_16_06,CC0001_2024_丰台_一模_16,拓展答案： 促进治理能力、治理体系现代化，更好地履行政府职能，建设服务型政府，更好地维护人民群众的权利或利益，提高政府工作的效率，化解社会矛盾、促进社会和谐稳定。,拓展答案： 促进治理能力、治理体系现代化，更好地履行政府职能，建设服务型政府，更好地维护人民群众的权利或利益，提高政府工作的效率，化解社会矛盾、促进社会和谐稳定。,,,,,,背景或价值铺垫,F0044:text | F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8 | F0268:text,heuristic_sentence_split_from_text_layer
M_CC0001_2024_丰台_一模_16_07,CC0001_2024_丰台_一模_16,评分标准说明： 共性角度：3分 “四下基层”创新工作机制方法（替代促进治理能力、治理体系现代化）（1分），发挥党的领导核心作用（1分），是党坚持群众路线、密切联系群众的重要抓手（替代贯彻群众观点、群众路线或以人民为中心）（1分），能为社会主义现代化建设注入强进动力。,评分标准说明： 共性角度：3分 “四下基层”创新工作机制方法（替代促进治理能力、治理体系现代化）（1分），发挥党的领导核心作用（1分），是党坚持群众路线、密切联系群众的重要抓手（替代贯彻群众观点、群众路线或以人民为中心）（1分），能为社会主义现代化建设注入强进动力。,,,,,,背景或价值铺垫,F0044:text | F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8 | F0268:text,heuristic_sentence_split_from_text_layer
M_CC0001_2024_丰台_一模_16_08,CC0001_2024_丰台_一模_16,个性角度：（3个角度，每个角度2分，最高5分） 宣传角度：通过宣传，使党的路线方针政策直达基层、促进贯彻落实。,个性角度：（3个角度，每个角度2分，最高5分） 宣传角度：通过宣传，使党的路线方针政策直达基层、促进贯彻落实。,,,,,,背景或价值铺垫,F0044:text | F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8 | F0268:text,heuristic_sentence_split_from_text_layer
M_CC0001_2024_丰台_一模_16_09,CC0001_2024_丰台_一模_16,从群众来角度：通过调查研究使党和政府更好地了解群众需求、提高决策质量水平。,从群众来角度：通过调查研究使党和政府更好地了解群众需求、提高决策质量水平。,,,,,,背景或价值铺垫,F0044:text | F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8 | F0268:text,heuristic_sentence_split_from_text_layer
M_CC0001_2024_丰台_一模_16_10,CC0001_2024_丰台_一模_16,到群众中去角度：通过信访接待、现场办公等为群众办实事解难题、维护群众权利，化解社会矛盾、促进社会和谐稳定。,到群众中去角度：通过信访接待、现场办公等为群众办实事解难题、维护群众权利，化解社会矛盾、促进社会和谐稳定。,,,,,,背景或价值铺垫,F0044:text | F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8 | F0268:text,heuristic_sentence_split_from_text_layer
