framework_node,total_count,subjective_count,choice_count,suites,evidence_levels,primary_role_count,auxiliary_role_count,hard_sample_count,sample_question_ids,notes
创新思维>发散思维与聚合思维,2,2,0,S-2024朝阳期中；S-2026朝阳期中,A-formal,2,0,1,Q-2024朝阳期中-19；Q-2026朝阳期中-21-2,硬样本1个
创新思维>多角度判断（创新思维 vs 逻辑思维边界）,1,0,1,S-2024朝阳一模,B-choice-signal,1,0,0,Q-2024朝阳一模-7,
创新思维>思路新方法新结果新（三新）,1,1,0,S-2026朝阳期中,A-support,1,0,1,Q-2026朝阳期中-21-2,硬样本1个
创新思维>改变条件创造条件（建立新具体联系）,1,0,1,S-2024朝阳一模,B-choice-signal,0,1,0,Q-2024朝阳一模-4,辅助挂载1个
创新思维>联想思维,2,2,0,S-2024朝阳期中；S-2026朝阳期中,A-formal,2,0,1,Q-2024朝阳期中-19；Q-2026朝阳期中-21-2,硬样本1个
创新思维>联想思维（与认识发展历程综合）,1,0,1,S-2026朝阳期中,B-choice-signal,1,0,0,Q-2026朝阳期中-13,
创新思维>超前思维,2,2,0,S-2024朝阳期中；S-2026朝阳期中,A-formal,2,0,1,Q-2024朝阳期中-19；Q-2026朝阳期中-21-2,硬样本1个
创新思维>逆向思维,2,2,0,S-2024朝阳期中；S-2026朝阳期中,A-formal,2,0,1,Q-2024朝阳期中-19；Q-2026朝阳期中-21-2,硬样本1个
导论>系统观念,1,0,1,S-2024朝阳一模,B-choice-signal,0,1,0,Q-2024朝阳一模-9,辅助挂载1个
形式逻辑>判断>必要条件假言判断（三种等价表达式）,1,0,1,S-2024朝阳期中,B-choice-signal,1,0,0,Q-2024朝阳期中-8,
形式逻辑>判断>相容选言判断,1,0,1,S-2026朝阳期中,B-choice-signal,1,0,0,Q-2026朝阳期中-12,
形式逻辑>判断>联言判断（真值条件）,2,1,1,S-2024朝阳二模；S-2026朝阳期中,A-formal；B-choice-signal,2,0,0,Q-2024朝阳二模-19-2；Q-2026朝阳期中-15,跨主观题+选择题
形式逻辑>概念>外延关系>属种关系,1,0,1,S-2024朝阳期中,B-choice-signal,1,0,0,Q-2024朝阳期中-10,
形式逻辑>逻辑规则综合（排中律/矛盾律/越级划分/四概念）,1,0,1,S-2024朝阳一模,B-choice-signal,1,0,0,Q-2024朝阳一模-6,
推理>三段论>小项不当扩大,1,0,1,S-2024朝阳二模,B-choice-signal,1,0,1,Q-2024朝阳二模-7,硬样本1个
推理>三段论>第三格AAI式,1,0,1,S-2024朝阳期中,B-choice-signal,1,0,0,Q-2024朝阳期中-7,
推理>三段论>第二格补大前提,1,0,1,S-2026朝阳期中,B-choice-signal,1,0,0,Q-2026朝阳期中-11,
推理>归纳>不完全归纳·轻率概括,1,1,0,S-2024朝阳期中,A-formal,1,0,0,Q-2024朝阳期中-18,
推理>归纳>不完全归纳推理或然性,1,0,1,S-2026朝阳期中,B-choice-signal,1,0,0,Q-2026朝阳期中-14,
推理>归纳>共变法（因果探求三法）,1,0,1,S-2024朝阳期中,B-choice-signal,1,0,0,Q-2024朝阳期中-9,
推理>演绎>充分条件假言推理,1,1,0,S-2024朝阳一模,A-formal,1,0,1,Q-2024朝阳一模-20-1,硬样本1个
推理>演绎>必要条件假言推理,1,1,0,S-2024朝阳一模,A-formal,1,0,1,Q-2024朝阳一模-20-2,硬样本1个
推理>类比推理,2,2,0,S-2024朝阳二模；S-2024朝阳期中,A-formal,2,0,0,Q-2024朝阳二模-19-1；Q-2024朝阳期中-18,
认识发展历程>感性具体>思维抽象,1,0,1,S-2026朝阳期中,B-choice-signal,1,0,0,Q-2026朝阳期中-13,
辩证思维>分析与综合,1,1,0,S-2026朝阳期中,A-formal,1,0,1,Q-2026朝阳期中-20,硬样本1个
辩证思维>动态性,2,2,0,S-2024朝阳二模；S-2026朝阳期中,A-formal,2,0,1,Q-2024朝阳二模-19-1；Q-2026朝阳期中-20,硬样本1个
辩证思维>矛盾分析法,1,1,0,S-2026朝阳期中,A-formal,1,0,1,Q-2026朝阳期中-20,硬样本1个
辩证思维>质量互变,1,1,0,S-2026朝阳期中,A-formal,1,0,1,Q-2026朝阳期中-20,硬样本1个
