question_id,suite_id,original_qno,question_type,codex_current_decision,claudecode_decision,decision_reason,needs_codex_recheck
Q-2024朝阳一模-1,S-2024朝阳一模,1,选择题,excluded,excluded,031细则slide 6确认答案B(①③)；两个结合/中华文明/革命道路；属必修一中特+必修四文化；非选必三思维。,no
Q-2024朝阳一模-2,S-2024朝阳一模,2,选择题,blocked,excluded,031细则slide 9确认答案C；生成式人工智能/新质生产力；属必修二经济与社会；非选必三思维。,no
Q-2024朝阳一模-3,S-2024朝阳一模,3,选择题,blocked,excluded,031细则slide 10确认答案B(①④)；新愚公/糖丸爷爷/钟扬人生价值；属必修四价值观；非选必三思维。,no
Q-2024朝阳一模-4,S-2024朝阳一模,4,选择题,excluded,同类索引,031细则slide 12确认答案A(根据事物属性建立新联系)；表面看是必修四改造自然，但材料动作'在草、盐、地、粮之间建立新联系'恰是创新思维-改变创造条件-建立新具体联系的核心信号；可作选必三创新思维选择题陷阱辅助挂载，但本题原始设问限定于'驱盐化碱'哲学话题，不入选必三主链正文。,yes
Q-2024朝阳一模-5,S-2024朝阳一模,5,选择题,blocked,excluded,031细则slide 13确认答案D；北京三大文化建筑(艺术中心/图书馆/大运河博物馆)；属必修四文化；非选必三思维。,no
Q-2024朝阳一模-6,S-2024朝阳一模,6,选择题,入正文,入正文,031细则slide 14确认答案B；A越级划分错(财产权下位包含物权债权知识产权，而著作权商标权又是知识产权下位，把上下位混在同一层)；C矛盾律错(全称肯定与'有些非'是下反对关系不能并存为真)；D四概念错('老舍的作品'集体概念与个体概念混用)；选必三逻辑与思维专项题；逻辑规则综合硬样本。,no
Q-2024朝阳一模-7,S-2024朝阳一模,7,选择题,入正文,入正文,031细则未列7题答案；按四审排错确认C(②③)：①将逆向思维归为'逻辑思维'错(创新思维不属于逻辑思维)；②集成创新具有跨越性但不排斥逻辑推导(对)；③开放创新需借鉴前人(对)；④'就能确保'绝对化错；选必三创新思维多角度题。,no
Q-2024朝阳一模-8,S-2024朝阳一模,8,选择题,blocked,excluded,031细则slide 16确认答案D(③④)；保留人工窗口/数字鸿沟；属必修三政治与法治；非选必三思维。,no
Q-2024朝阳一模-9,S-2024朝阳一模,9,选择题,入正文,同类索引,031细则slide 17确认答案D(③④)；模拟提案到正式提案；④是必修一中特，但③'坚持系统观念，有序地完成调查研究和思考任务'是选必三导论(系统观念)信号；可作系统观念辅助挂载，但题目主线是必修三政治协商，不入选必三主链正文。,yes
Q-2024朝阳一模-10,S-2024朝阳一模,10,选择题,blocked,excluded,031细则slide 18确认答案C(②③)；饭店燃料酒精侵权；属选必二法律与生活；非选必三思维。,no
Q-2024朝阳一模-11,S-2024朝阳一模,11,选择题,blocked,excluded,031细则slide 19确认答案B(①④)；所有权归属争议；属选必二法律与生活；非选必三思维。,no
Q-2024朝阳一模-12,S-2024朝阳一模,12,选择题,blocked,excluded,031细则slide 22确认答案C；实用新型专利保护期；属选必二法律与生活；非选必三思维。,no
Q-2024朝阳一模-13,S-2024朝阳一模,13,选择题,blocked,excluded,031细则slide 23确认答案D；超长期特别国债传导路径；属必修二经济与社会；非选必三思维。,no
Q-2024朝阳一模-14,S-2024朝阳一模,14,选择题,blocked,excluded,031细则slide 24确认答案A(①②)；制度型开放；属选必一当代国际政治与经济；非选必三思维。,no
Q-2024朝阳一模-15,S-2024朝阳一模,15,选择题,blocked,excluded,031细则slide 25确认答案C(②④)；中国特色大国外交；属选必一国政经；非选必三思维。,no
Q-2024朝阳一模-16,S-2024朝阳一模,16,主观题,excluded,excluded,031细则slide 27-31确认；接受人民监督与勇于自我革命的关系；细则评分明示'侧重哲学、政治与中特'；属必修四(对立统一/外因内因)+必修三(党的领导)；非选必三思维主链。,no
Q-2024朝阳一模-17,S-2024朝阳一模,17,主观题,excluded,excluded,031细则slide 32-33确认；运用《经济与社会》谈如何发展银发经济以增进老年人福祉；属必修二经济与社会；非选必三思维。,no
Q-2024朝阳一模-18-1,S-2024朝阳一模,18(1),主观题,excluded,excluded,031细则slide 35确认；运用《政治与法治》为推动条例贯彻落实提出合理建议；属必修三政治与法治；非选必三思维。,no
Q-2024朝阳一模-18-2,S-2024朝阳一模,18(2),主观题,excluded,excluded,031细则slide 38确认；运用《哲学与文化》谈'两翼齐飞'；细则虽含'运用系统优化的方法、坚持两点论与重点论统一'等术语但限定于必修四唯物辩证法+文化范畴，设问明示《哲学与文化》；非选必三思维主链。,no
Q-2024朝阳一模-19,S-2024朝阳一模,19,主观题,excluded,excluded,031细则slide 41-43确认；运用《法律与生活》分析诚信原则对促进社会主义市场经济健康发展的积极作用；属选必二法律与生活；非选必三思维。,no
Q-2024朝阳一模-20-1,S-2024朝阳一模,20(1),主观题,入正文,入正文,031细则slide 45确认5分；推理一属于充分条件假言推理(1分)+推理理由'前件真后件一定真，后件假前件一定假'(2分)+结合材料(2分)；硬样本§十八(选必三推理-充分条件假言推理-否定后件式)。,no
Q-2024朝阳一模-20-2,S-2024朝阳一模,20(2),主观题,入正文,入正文,031细则slide 46确认4分；前提1必要条件假言判断'只有A区域古代气候温暖，A区域古代才有可能生长竹子'(2分)+前提2'A区域古代广泛生长着竹子'(2分)；硬样本§十八(选必三推理-必要条件假言推理-肯定后件式)。,no
Q-2024朝阳一模-21,S-2024朝阳一模,21,主观题,blocked,excluded,031细则slide 48-49确认；运用《当代国际政治与经济》谈如何推动中国经济在变局中开新局；属选必一国政经；非选必三思维。,no
Q-2024朝阳二模-1,S-2024朝阳二模,1,选择题,excluded,excluded,022细则未列；试卷text page 1材料'过去一切运动是少数人的，无产阶级运动是绝大多数人的'+'为人民而生因人民而兴'；属必修一+必修四马克思主义政党/价值观；非选必三思维。,no
Q-2024朝阳二模-2,S-2024朝阳二模,2,选择题,blocked,excluded,022细则未列；试卷page 1材料'复兴号动车组2100多家企业协同发力，链长把技术经验延伸到上下游'；②央企链长(必修二)+③个性寓于共性(必修四矛盾论)+④大中小企业相互依存(必修二)；属必修二+必修四；非选必三思维。,no
Q-2024朝阳二模-3,S-2024朝阳二模,3,选择题,blocked,excluded,022细则未列；试卷page 1材料'高校本科专业目录新增24种专业'；B'推动高校适应经济社会发展需要，服务国家战略'；属必修一+必修二；非选必三思维。,no
Q-2024朝阳二模-4,S-2024朝阳二模,4,选择题,blocked,excluded,022细则未列；试卷page 2材料'故宫与凡尔赛宫17/18世纪中法交往展览'；属必修四文化交流互鉴+创造性转化；非选必三思维。,no
Q-2024朝阳二模-5,S-2024朝阳二模,5,选择题,blocked,excluded,022细则未列；试卷page 2材料'2023年我国居民人均收入工资性/经营/财产/转移净收入'；①经营财产收入占比+缩小差距(必修二)+③个人收入分配制度(必修二)+④农村土地经营权流转(必修二)；属必修二经济与社会；非选必三思维。,no
Q-2024朝阳二模-6,S-2024朝阳二模,6,选择题,blocked,blocked,022细则未列；试卷page 2材料'商业航天民营研制液氧甲烷火箭走过从0到1'；①属种关系/商业航天vs航天(选必三概念外延信号)+②渐进性飞跃性(辩证思维)+④航天事业组成部分(整体部分关系)；选必三逻辑与思维多重信号；但022细则未给6题正式答案，试卷page无答案表；按硬规则八(选择题三者俱全才入正文)blocked；待回源补可靠答案表。,yes
Q-2024朝阳二模-7,S-2024朝阳二模,7,选择题,入正文,入正文,022细则未列7题但硬规则§十八明锁2024朝阳二模7为小项扩大硬样本+答案D；试卷page 3材料'科学思维离不开逻辑下列合乎逻辑的是'；A'自媒体是思想政治教育的工具，自媒体也是娱乐的工具，所以娱乐工具都是思想政治教育的工具'=三段论第三格'小项扩大谬误'(M-自媒体在前提中不周延=只是个别M；娱乐工具S在前提中是部分，结论中却全称'娱乐工具都是')；B'学过归纳推理就能推一般性结论和新知识'过度概括；C必要条件假言推理误用；D'推理结构不正确则不能保证推出正确结论'是逻辑保真规则的正确表述；选必三推理硬样本(三段论谬误名称纠错+小项不当扩大)。,no
Q-2024朝阳二模-8,S-2024朝阳二模,8,选择题,blocked,excluded,022细则未列；试卷page 3材料'建设花园城市'；①政府统筹+②凝聚社会共识+③基层党组织编规划+④国际交往新格局；属必修三政治与法治；非选必三思维。,no
Q-2024朝阳二模-9,S-2024朝阳二模,9,选择题,blocked,excluded,022细则未列；试卷page 3材料'十四届全国人大代表建议提交办理'；属必修三政治与法治；非选必三思维。,no
Q-2024朝阳二模-10,S-2024朝阳二模,10,选择题,blocked,excluded,022细则未列；试卷page 3材料'北京加梯地图1.0版'；属必修三政治与法治+必修二经济与社会；非选必三思维。,no
Q-2024朝阳二模-11,S-2024朝阳二模,11,选择题,blocked,excluded,022细则未列；试卷page 4材料'小李父母名下房产法定继承'；属选必二法律与生活；非选必三思维。,no
Q-2024朝阳二模-12,S-2024朝阳二模,12,选择题,blocked,excluded,022细则未列；试卷page 4材料'羽毛球比赛刘某眼伤诉讼'；属选必二法律与生活诉讼程序；非选必三思维。,no
Q-2024朝阳二模-13,S-2024朝阳二模,13,选择题,blocked,excluded,022细则未列；试卷page 4材料'香港维护国家安全条例'；属必修一一国两制+必修三政治与法治；非选必三思维。,no
Q-2024朝阳二模-14,S-2024朝阳二模,14,选择题,blocked,excluded,022细则未列；试卷page 4材料'元首外交主场外交博鳌'；属选必一国政经；非选必三思维。,no
Q-2024朝阳二模-15,S-2024朝阳二模,15,选择题,blocked,excluded,022细则未列；试卷page 4材料'投资中国品牌'；①生产要素成本上升+②工业门类利润持续不断增长+③超大规模市场+④外资准入负面清单；属必修二+选必一；非选必三思维。,no
Q-2024朝阳二模-16-1,S-2024朝阳二模,16(1),主观题,blocked,excluded,022细则page 1确认；运用《经济与社会》说明加快构建全国一体化算力网的重大意义；属必修二经济与社会；非选必三思维。,no
Q-2024朝阳二模-16-2,S-2024朝阳二模,16(2),主观题,blocked,excluded,022细则page 1-2确认；运用哲学知识谈是人塑造人工智能还是AI塑造人；属必修四矛盾观/价值观；非选必三思维。,no
Q-2024朝阳二模-17,S-2024朝阳二模,17,主观题,blocked,excluded,022细则page 2-3确认；说明仲裁委员会作出裁决的理由(劳动关系三从属性)+案例意义；属选必二法律与生活；非选必三思维。,no
Q-2024朝阳二模-18,S-2024朝阳二模,18,主观题,blocked,excluded,022细则page 3确认；运用《政治与法治》说明《政府工作报告》形成过程如何体现全过程人民民主；属必修三政治与法治；非选必三思维。,no
Q-2024朝阳二模-19-1,S-2024朝阳二模,19(1),主观题,excluded,入正文,022细则page 3确认4分；填空两题：①生生之宇宙观体现辩证思维的__①__特征(动态性)+②人效法天地之德体现__②__推理(类比推理)；选必三辩证思维-动态性 + 推理-类比推理 双知识点。,yes
Q-2024朝阳二模-19-2,S-2024朝阳二模,19(2),主观题,excluded,入正文,022细则page 4确认5分；判断'夫大人者，与天地合其德，与日月合其明，与四时合其序'是哪种复合判断(联言判断2分)+真值条件(各联言支都为真整个联言判断才为真3分)；选必三逻辑与思维-联言判断真值条件。,yes
Q-2024朝阳二模-19-3,S-2024朝阳二模,19(3),主观题,excluded,excluded,022细则page 4-5确认7分；中华优秀传统文化的特质赋予中国式现代化深厚底蕴；从生生之宇宙观+一体之天人观+法天地之人生观三角度+怎么做(双创)；属必修四文化+必修一中特；非选必三思维主链。,no
Q-2024朝阳二模-20,S-2024朝阳二模,20,主观题,excluded,excluded,022细则page 5确认8分；运用《当代国际政治与经济》完成全球气候治理基本原则+共识表；属选必一；非选必三思维。,no
Q-2024朝阳期中-1,S-2024朝阳期中,1,选择题,excluded,excluded,019评标无1题细则；试卷page 1材料'功勋模范人物授勋'；①强国之志为国尽责+③强国之技+其他；属必修四价值观；非选必三思维。,no
Q-2024朝阳期中-2,S-2024朝阳期中,2,选择题,blocked,excluded,019评标无；试卷page 1材料'传统民居粉墙黛瓦/土楼/窑洞'；属必修四文化(连续性/民族文化基因)；非选必三思维。,no
Q-2024朝阳期中-3,S-2024朝阳期中,3,选择题,blocked,excluded,019评标无；试卷page 1材料'王维画物雪中芭蕉'；D意识活动自觉选择性能动创造性；属必修四唯物论意识能动性；非选必三思维。,no
Q-2024朝阳期中-4,S-2024朝阳期中,4,选择题,blocked,excluded,019评标无；试卷page 2材料'生物防治杂草肉苁蓉'；②系统优化方法+④创新意识；属必修四唯物辩证法系统观念+创新意识；非选必三思维主链。,no
Q-2024朝阳期中-5,S-2024朝阳期中,5,选择题,blocked,excluded,019评标无；试卷page 2材料'亚里士多德哲理探索'；①探索哲理路径过程+②外部表面世界获得理性认识；属必修四认识论；非选必三思维。,no
Q-2024朝阳期中-6,S-2024朝阳期中,6,选择题,blocked,excluded,019评标无；试卷page 2材料'探月工程20年'；②兼顾质量效益的中国特色发展之路+④弘扬探月精神；属必修一中特+必修四民族精神；非选必三思维。,no
Q-2024朝阳期中-7,S-2024朝阳期中,7,选择题,excluded,入正文,019评标无；试卷page 2-3材料'北京中轴线4个判断符合三段论推理规则'；按选必三推理规则分析：①北京中轴线(M)是世界遗产(P，SAP)+②北京中轴线(M)是不可替代文化遗产(SAN)+③有些世界遗产(P)是不可替代文化遗产(PIN)+④有些不可替代文化遗产(N)是世界遗产(NIP)；选项B(②-①-③)=大前提MAN+小前提MAP结论PIN(第三格AAI式有效)；选必三推理-三段论第三格AAI式硬样本。,yes
Q-2024朝阳期中-8,S-2024朝阳期中,8,选择题,blocked,入正文,019评标无；试卷page 3材料'调查研究是谋事之基，没有调查就没有发言权决策权，正确决策离不开调查研究'=必要条件假言判断；②'除非进行了调查研究，否则没有发言权和决策权'+④'只有进行了调查研究才能有正确的贯彻落实'；答案D(②④)；选必三逻辑与思维-必要条件假言判断三种等价表达式。,yes
Q-2024朝阳期中-9,S-2024朝阳期中,9,选择题,入正文,入正文,019评标无；试卷page 3材料'闹钟玻璃钟罩抽气铃声减小，进气铃声增大'=空气量与铃声响度持续共变；B'运用共变法，探究因果联系'；选必三推理-科学思维归纳推理-共变法(因果探求三法之一)。,no
Q-2024朝阳期中-10,S-2024朝阳期中,10,选择题,blocked,入正文,019评标无；试卷page 3材料'中国式现代化是人与自然和谐共生的现代化'；A'中国式现代化与现代化是属种关系'对(中国式现代化⊂现代化)；B外延一致错；C留住对称关系错；D量变质变诱惑哲学项；答案A；选必三概念-外延关系-属种关系。,yes
Q-2024朝阳期中-11,S-2024朝阳期中,11,选择题,blocked,blocked,019评标无；试卷page 3材料'准确把握概念正确运用判断精确进行推理'；①关系判断vs性质判断+②假言推理vs假言判断+③三段论推理(对)+④矛盾律vs同一律；只有③明显对，④'违反矛盾律'严格说应为同一律(答非所问)题面判定存在争议；细则未列；按硬规则八(答案不可靠时blocked)；待回源/校正。,yes
