同题组,预期条数,实际条数,条目编号,方法,同题说明,结论
2024东城一模18(3),2,2,63、98,辩证否定、超前思维,全部已有,通过
2024丰台二模18(2),3,3,18、52、106,结果具有预见性、矛盾分析法、超前思维,全部已有,通过
2024分类汇编模拟政协,3,3,13、46、91,追求认识的客观性、分析与综合、发散思维与聚合思维,全部已有,通过
2024石景山一模19(3),2,2,39、67,分析与综合、辩证否定,全部已有,通过
2025东城期末18(2),2,2,84、86,联想思维、发散思维与聚合思维,全部已有,通过
2025丰台一模18(1),3,3,3、16、20,追求认识的客观性、结果具有预见性、结果具有可检验性,全部已有,通过
2025延庆一模18,2,2,50、58,矛盾分析法、量变与质变,全部已有,通过
2025昌平二模19,2,2,69、94,特点与三新、逆向思维,全部已有,通过
2025海淀期末18,2,2,78、96,联想思维、逆向思维,全部已有,通过
2025石景山一模19,3,3,6、21、77,追求认识的客观性、结果具有可检验性、特点与三新,全部已有,通过
2025西城一模17,3,3,9、29、76,追求认识的客观性、整体性、特点与三新,全部已有,通过
2025门头沟一模21(1),5,5,8、17、65、83、105,追求认识的客观性、结果具有预见性、辩证否定、联想思维、超前思维,全部已有,通过
2026东城一模19(4),3,3,26、85、111,整体性、发散思维与聚合思维、超前思维,全部已有,通过
2026丰台二模21,2,2,74、87,特点与三新、发散思维与聚合思维,全部已有,通过
2026丰台期末20,6,6,12、31、45、55、90、107,追求认识的客观性、整体性、分析与综合、矛盾分析法、发散思维与聚合思维、超前思维,全部已有,通过
2026延庆一模18(2),3,3,51、60、72,矛盾分析法、适度原则、特点与三新,全部已有,通过
2026朝阳期中21(2),5,5,70、82、88、95、100,特点与三新、联想思维、发散思维与聚合思维、逆向思维、超前思维,全部已有,通过
2026海淀一模17建议,4,4,5、23、43、89,追求认识的客观性、结果具有可检验性、分析与综合、发散思维与聚合思维,全部已有,通过
2026海淀二模18(1),4,4,11、22、41、81,追求认识的客观性、结果具有可检验性、分析与综合、联想思维,全部已有,通过
2026石景山一模17(2),4,4,73、79、92、104,特点与三新、联想思维、发散思维与聚合思维、超前思维,全部已有,通过
2026西城二模18(4),3,3,10、48、75,追求认识的客观性、矛盾分析法、特点与三新,全部已有,通过
2026通州一模17(2),6,6,30、34、44、53、61、66,整体性、动态性、分析与综合、矛盾分析法、适度原则、辩证否定,全部已有,通过
2026门头沟一模18(2),2,2,28、71,整体性、特点与三新,全部已有,通过
2026顺义一模19(2),3,3,1、15、19,追求认识的客观性、结果具有预见性、结果具有可检验性,全部已有,通过
2025海淀二模20,5,5,24、32、38、57、62,整体性、动态性、分析与综合、量变与质变、辩证否定,全部已有,通过
2026房山一模18(1),3,3,27、36、56,整体性、动态性、矛盾分析法,全部已有,通过
2026朝阳期中20,4,4,37、47、49、59,动态性、分析与综合、矛盾分析法、量变与质变,全部已有,通过
