decision_id,entry_id,codex_source,claudecode_source,decision,reason,source_backcheck,status
"F0001","Q0002","A line initially locked lecture/marking record as A-support","B line located fc56fdd304fde118_2025海淀二模细则.md","accepted_source_upgrade","Formal rubric lines 80-94 match the same 2025海淀二模 Q20辩证思维 scoring structure","Codex re-read fc56fdd304fde118 lines 80-94; upgrade to A-formal","closed"
"F0002","Q0056","A line locked 2024朝阳期中 paper cache and formal RTF rubric","B line had BLK-012 boundary note only","accepted_local_source_lock_pending_external_review","Formal RTF rubric confirms Q19 innovation-thinking scoring for 首发经济朝外样本, resolving the 2024.11朝阳期中 boundary note locally","Codex matched paper cache lines 208-234 with RTF extraction lines 67-77; support 评标 caches agree","hold_external_review"
"F0003","Q0057","A line locked 2024顺义二模 paper cache and formal docx rubric","B line had 2024 backlog open","accepted_local_source_lock_pending_external_review","Formal docx rubric confirms Q16(2) 超前思维 scoring for 无废城市 systematized/scientific/long-term construction","Codex matched paper cache lines 156-172 with rubric cache lines 44-46","hold_external_review"
"F0004","Q0058","A line locked rendered 2024东城一模 paper page and formal PPT rubric cache","B line had 2024 backlog open","accepted_local_source_lock_pending_external_review","Formal PPT rubric confirms Q18(3) scoring split: relationship 2, dialectical negation 2, super-advanced thinking 2","Codex visually checked rendered page_008 and matched rubric cache lines 147-153,156-161","hold_external_review"
"F0005","Q0059/Q0060","A line locked 2024丰台一模 Q19 paper+answer cache and formal docx rubric","B line had 2024 backlog open","accepted_local_source_lock_pending_external_review","Formal docx rubric confirms Q19(1) conditional judgment completion and Q19(2) two concrete research methods with scientific-thinking reasons","Codex matched paper cache lines 235-252,332-337 with rubric cache lines 98-123","hold_external_review"
"F0006","Q0061/Q0062","A line locked rendered 2024丰台二模 Q18 paper page and formal docx rubric","B line had 2024 backlog open","accepted_local_source_lock_pending_external_review","Formal docx rubric confirms Q18(1)三段论 construction and Q18(2) scientific-thinking evaluation with necessary-condition boundary","Codex visually checked rendered page_006 and matched rubric cache lines 40-64","hold_external_review"
"F0007","Q0063","A line locked 2024西城二模 paper cache, reference answer, and formal docx rubric","B line had 2024 backlog open","accepted_local_source_lock_pending_external_review","Formal docx rubric confirms Q18(1)归纳/不完全归纳/科学归纳 reasoning and cause-finding methods including共变法、求异法、求同法","Codex matched paper cache lines 162-172, answer cache lines 43-47, and rubric cache lines 62-75","hold_external_review"
"F0008","Q0064","A line locked 2024海淀一模 Q18(2) paper cache, reference answer, and formal docx rubric","B line had 2024 backlog open","accepted_local_source_lock_pending_external_review","Formal docx rubric confirms Q18(2) 不完全归纳推理 identification and reliability upgrades via broader objects and causal analysis","Codex matched paper cache lines 278-296, answer cache lines 45-48, and rubric cache lines 69-86","hold_external_review"
"F0009","Q0065","A line locked 2024石景山一模 Q19(3) teacher-version answer and lecture PPT support","B line had 2024 backlog open","accepted_support_source_lock_pending_external_review","Teacher-version answer and support PPT agree that Q19(3) can use analysis-and-synthesis or dialectical negation; no formal marking rule was found, so evidence remains A-support","Codex matched teacher-version cache lines 157-168,217-220 with PPT cache lines 679-680","hold_external_review"
"F0010","Q0066","A line locked 2024西城一模 Q19(5) paper, reference answer, and formal docx rubric","B line had 2024 backlog open","accepted_local_source_lock_pending_external_review","Formal docx rubric confirms Q19(5) future-industry direction judgment with practice orientation, investigation, causal/law grasp, comprehensive judgment, contradiction analysis, reasoning/imagination, and super-advanced thinking","Codex matched paper cache lines 219-284, answer cache lines 53-69, and rubric cache lines 65-103","hold_external_review"
"F0011","Q0067/Q0068","A line locked 2024西城一模 Q19(2)-Q19(3) paper, reference answer, and formal docx rubric","B line had 2024 backlog open","accepted_local_source_lock_pending_external_review","Formal docx rubric confirms Q19(2) definition components and Q19(3) concept-extension relation as compatible/genus-species","Codex matched paper cache lines 226-278, answer cache lines 53-62, and rubric cache lines 65-78","hold_external_review"
"F0012","Q0069/Q0070","A line locked 2024门头沟一模 Q20 and 2024房山一模 Q20(1) from the 2024 elective-3 compilation cache only","B line had 2024 backlog open","accepted_compilation_source_lock_pending_external_review","Compilation cache supplies usable prompt and answer signals: Q0069 science-thinking umbrella with innovation and dialectical triggers; Q0070 super-advanced-thinking with contradiction analysis, investigation, reasoning and imagination","Codex matched compilation cache lines 61-68 and 290-300; no raw district paper/rubric found in local 2024一模 tree for these districts in this pass","hold_external_review_and_raw_source_recovery"
"F0013","Q0071/Q0072/Q0073","A line locked 2024东城一模 Q6-Q8 from raw paper render and official answer/marking-standard render","B line had 2024 backlog open","accepted_local_source_lock_pending_external_review","Official answer render locks Q6=D, Q7=A, Q8=D; Q6 formal PPT analysis also supports the矛盾律 choice; Q7 trains validity vs premise truth; Q8 trains compound hypothetical/disjunctive chain","Codex visually checked paper render page_003 and answer render page_001, and matched Q6 analysis cache lines 22-27","hold_external_review"
F0014,Q0074/Q0075,A line support-locked 2024石景山一模 Q6-Q7 from teacher-version paper and embedded answer key,ClaudeCode B line has not independently rerun this delta,accept_as_A_support_hold_external_review,Q0074/Q0075 have original teacher-version prompt and answer key but no independent formal scoring rubric; they may enter local training ledgers as support-level samples only,source file and answer key checked against f581620be44a4c2c cache and source docx,support_locked_pending_gptpro_v38_claude_v36
