idx,module,node,title,paper_paths,rubric_paths,source_index_rows,path_mapping_status,current_prompt,current_answer,current_extra_labels
1,一、科学思维,追求认识的客观性,1. 2026顺义一模 第19题第（2）问（主观题）,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,1 ; 12 ; 16,mapped_from_old_table_as_locator_only,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,该企业从老人真实生活场景与实际需求出发，深入社区、养老院调研和蹲点观察，围绕安全照护、健康提醒、情感陪伴等核心需求设计产品功能，使机器人研发立足实际、如实反映养老服务中的客观问题，体现科学思维追求认识客观性。,
2,一、科学思维,追求认识的客观性,2. 2026顺义二模 第18题第（1）问（主观题）,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/试卷/26顺义二模(1).pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/细则/26顺义二模评标.doc,2,mapped_from_old_table_as_locator_only,结合材料，运用《逻辑与思维》知识，请你对 AI 分析的观点进行点评。（6分）,结论二正确。科学思维追求认识客观性，应从实际出发，如实反映客观对象；车企初期把事故原因归结为前方车辆突然变道，刻意回避系统未及时识别、未有效制动等系统缺陷，不符合科学思维追求认识客观性的要求。,
3,一、科学思维,追求认识的客观性,3. 2025丰台一模 第18题第（1）问（主观题）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx,3 ; 13 ; 17,mapped_from_old_table_as_locator_only,结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。（5分）,"我国从人工智能发展实际和教育实践需要出发，发布发展规划，明确基本原则和重点任务，使人工智能发展部署建立在现实依据之上，而不是脱离实际空喊智能化，体现科学思维追求认识客观性。【提示】""分段规划/分阶段目标""应归预见性条目（见下）；原细则赋分：科学思维三特征2分+客观性""从实际出发""1分+预见性""分段规划""1分+可检验性""实践检验""1分=5分。",提示
4,一、科学思维,追求认识的客观性,4. 2024海淀二模 第17题第（1）问（主观题）,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,4,mapped_from_old_table_as_locator_only,（1）结合材料，说明此次时间利用调查是如何体现科学思维的。（7分）,"此次调查以全面、真实、准确了解居民时间利用情况为目标，通过采集居民在特定时间内的活动信息，反映个人生理必需活动、有酬劳动、无酬劳动、个人自由支配活动等时间投入，为改善民生福祉、科学制定社会民生政策提供详实、准确的统计信息支撑，体现科学思维追求认识客观性。【提示】原细则答案示例同时提了""追求认识的客观性 + 创新思维(思路新、方法新、探索性) + 整体性(分阶段实施)""三个角度，仅写客观性一个角度只得3分，建议补创新和整体性。",提示
5,一、科学思维,追求认识的客观性,5. 2026海淀一模 第17题第（2）问（主观题）,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,5 ; 20 ; 35,mapped_from_old_table_as_locator_only,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）,"【逻辑错误】（2分）①""身份""选项划分标准不一，违反划分应使用同一标准的逻辑要求；②无障碍设施主要问题的选言判断遗漏其他有选择价值的情况，违反不相容选言判断穷尽选项的要求。【改进建议】（4分）改进调研应坚持科学思维追求认识客观性，先从实际出发了解无障碍设施使用中的真实问题和需求，再据此重新设计问卷选项，补充""其他""等有选择价值的情况；还可结合问卷法、访谈法、观察法、文献法等获得客观资料，使改进建议建立在被调查对象的真实情况和事实依据之上。【提示】原细则赋分(6分)：逻辑错误(划分标准不一、选言判断遗漏)2分+建议(科学思维/逻辑思维规则/辩证思维 三角度任选两条，每条建议1分+知识1分)4分。",提示;改进建议;逻辑错误
6,一、科学思维,追求认识的客观性,6. 2025石景山一模 第19题（主观题）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/细则/细则.doc,6 ; 18 ; 57,mapped_from_old_table_as_locator_only,提出优秀的科学建议不仅要有公共参与意识，还要树立科学思维观念。结合材料，运用《逻辑与思维》所学，简析获奖同学的建议是如何体现科学思维的。（5分）,获奖同学坚持科学思维追求认识客观性，从真实社会问题、公共生活需求和亲身观察出发，通过文献查阅、问卷调研、访谈和实验数据了解情况，分析问题成因、影响范围和改进可能，使公共建议建立在事实、资料和证据之上；公共参与的热情经过客观研究转化为有根据的治理方案，而不是停留在主观猜测。,
7,一、科学思维,追求认识的客观性,7. 2024丰台一模 第19题第（2）问（主观题）,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf ; /Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/丰台一模/细则/细则.docx,7 ; 70,mapped_from_old_table_as_locator_only,在划线②处补全两种具体研究方法，并运用科学思维知识分别说明理由。（6分）,"可采用问卷调查、访谈或抽样调查等具体研究方法，有计划、系统地收集与垃圾分类标识相关的数据或资料；也可对不同类别商品外包装进行样本记录和比较，分析商品内包装、外包装以及具体分类类别的标注情况。这样能让模拟政协提案依据真实资料判断标识问题，而不是凭主观感觉提出建议，体现科学思维追求认识客观性。【阅卷红线】卷面具体方法必须写""问卷调查法/访谈法/抽样调查法/文献查找法""等具体名称，不可写""发散思维""""超前思维""等大词；2个方法各1分+2个理由各2分=6分。",阅卷红线
8,一、科学思维,追求认识的客观性,8. 2025门头沟一模 第21题第（1）问（主观题）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/细则/细则.doc,8 ; 14 ; 47 ; 64 ; 71 ; 85,mapped_from_old_table_as_locator_only,"（1）运用科学思维知识，说明门头沟区从""千年煤城""向""京西智谷""转型的智慧。（9分）",门头沟坚持科学思维追求认识客观性，立足千年煤城历史、煤矿关停现实、生态涵养要求、山地资源、产业基础和首都功能定位认识区情，先把区域发展条件和约束弄清楚，再在真实客观条件中寻找“京西智谷”、绿色产业和山地文旅等转型路径，使产业选择服从区域实际、生态要求和绿色发展方向。【提示】原细则21(1)按3角度赋分(9分)：①辩证思维(辩证否定/整体性/动态性/分析与综合 四选一)1+材料1+1=3分；②创新思维(联想/发散/超前 四选二)1+材料1+1=3分；③科学思维客观性or预见性(二选一)1+材料1+1=3分。完整答案需写三个角度。,提示
9,一、科学思维,追求认识的客观性,9. 2025西城一模 第17题（主观题）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/细则/细则.docx,9 ; 26 ; 56,mapped_from_old_table_as_locator_only,结合材料，说明“温榆生态心”建设中蕴含的科学思维。（7分）,"温榆生态心从清河与温榆河交汇、水流形态、深潭浅滩、生物栖息、河心岛和粮田保留等客观条件出发规划建设，把当地自然肌理和生态恢复需要作为方案依据；建设中减少游乐设施、园径、路灯等人为干预，使方案服从真实生态实际，而不是套用普通公园模板、只追求人为景观效果，体现科学思维追求认识客观性。【提示】原细则按""客观性 + 辩证思维(整体性、联系、发展) + 创新思维""三个角度赋分(7分)，仅写一个角度最多3分，写两个角度5分，三个角度+至少一点深入才能拿到6-7分。",提示
10,一、科学思维,追求认识的客观性,10. 2026西城二模 第18题第（4）问（主观题）,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/试卷/2026北京西城高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/细则/西城二模评标.pdf,10 ; 39 ; 55,mapped_from_old_table_as_locator_only,（4）运用《逻辑与思维》知识，说明我们应如何提升思维品质以适应人机协同的新常态。（7分）,面对 AI 生成内容，应坚持科学思维追求认识客观性，从实际出发，尊重客观事实与证据，对重要信息进行多渠道交叉验证，注重推理论证的严谨性和实践检验的必要性；还要主动识别训练数据偏差、算法错误、幻觉内容和隐蔽价值立场，保持人的独立判断，不把机器输出直接等同于客观事实，才能避免被虚假信息误导，提升人机协同中的思维品质。【提示】原细则按三个角度赋分(7分)：①科学思维特征(客观性)；②辩证思维(全面、发展观点)；③创新思维(三新或逆向思维)。仅写一个角度最多3分，三个角度+至少一点深入才能拿到6-7分。,提示
11,一、科学思维,追求认识的客观性,11. 2026海淀二模 第18题第（1）问（主观题）,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/细则/26海淀高三政治二模讲评.pdf,11 ; 19 ; 33 ; 62,mapped_from_old_table_as_locator_only,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,育种团队坚持科学思维追求认识客观性，先走访花农、批发商和电商，系统收集市场对月季的需求偏好，再把生产端、流通端、消费端的客观要求转化为“要好看”“要好种”“耐储运”等可操作指标；科研方向不是研究者单方面设想，而是在多主体真实需求和市场反馈中形成，使育种目标符合生产、流通和消费实际。,
12,一、科学思维,结果具有预见性,1. 2026顺义一模 第19题第（2）问（主观题）,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,1 ; 12 ; 16,mapped_from_old_table_as_locator_only,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,企业根据人口老龄化加速、护理人员短缺和居家养老需求扩大的发展趋势，预判未来养老服务会更加需要智能照护和陪伴支持，把研发方向提前锁定在养老应用场景，使产品开发顺应养老服务方式变化和技术应用趋势，体现科学思维能够依据规律和趋势作出预见。,
