question_id,source_question_id,year,district,exam_stage,evidence_level,corpus_bucket,strict_core_status,open_container_status,origin,reason
CC0002_2024_丰台_一模_17,CC0002_2024_丰台_一模_17,2024,丰台,一模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0011_2024_丰台_二模_17,CC0011_2024_丰台_二模_17,2024,丰台,二模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0019_2024_朝阳_一模_19,CC0019_2024_朝阳_一模_19,2024,朝阳,一模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0025_2024_朝阳_二模_17,CC0025_2024_朝阳_二模_17,2024,朝阳,二模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0040_2024_海淀_一模_19,CC0040_2024_海淀_一模_19,2024,海淀,一模,reference_only,open_reference_or_weak,no,yes,original_merged_retained,弱示范：虚拟数字人、著作权、不正当竞争方向明确，但只有 reference_only，不支撑核心。
CC0045_2024_海淀_二模_19,CC0045_2024_海淀_二模_19,2024,海淀,二模,formal,core_recovered,strict_core_recovered,no,original_merged_retained,恢复为低频正式法律样本：遗赠扶养协议、继承、养老价值。GPT 明确不建议自动扩主干核心。
CC0051_2024_海淀_期中_21_1,CC0051_2024_海淀_期中_21_1,2024,海淀,期中,formal,core_recovered,strict_core_recovered,no,original_merged_retained,恢复为低频正式法律样本：婚姻法、民法典共同债务、良法评析，注意必修三化风险。
CC0054_2024_石景山_一模_17,CC0054_2024_石景山_一模_17,2024,石景山,一模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0061_2024_西城_一模_18,CC0061_2024_西城_一模_18,2024,西城,一模,formal,core_recovered,strict_core_recovered,no,original_merged_retained,恢复为低频正式法律样本：成年子女赡养义务、精神慰藉、督促履行义务告知书。
CC0063_2024_西城_二模_16,CC0063_2024_西城_二模_16,2024,西城,二模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0077_2025_东城_一模_19,CC0077_2025_东城_一模_19,2025,东城,一模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0084_2025_东城_二模_19,CC0084_2025_东城_二模_19,2025,东城,二模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0092_2025_东城_期末_19_1,CC0092_2025_东城_期末_19_1,2025,东城,期末,formal,core_recovered,strict_core_recovered,no,original_merged_retained,恢复并可支撑既有核心：充电柜方案、消防规定、共有部分用途、业主共有权/相邻权/侵权。
CC0103_2025_丰台_一模_19,CC0103_2025_丰台_一模_19,2025,丰台,一模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0119_2025_丰台_期末_19,CC0119_2025_丰台_期末_19,2025,丰台,期末,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0125_2025_延庆_一模_19,CC0125_2025_延庆_一模_19,2025,延庆,一模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0131_2025_房山_一模_19,CC0131_2025_房山_一模_19,2025,房山,一模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0137_2025_昌平_二模_20,CC0137_2025_昌平_二模_20,2025,昌平,二模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0143_2025_朝阳_一模_19,CC0143_2025_朝阳_一模_19,2025,朝阳,一模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0150_2025_朝阳_二模_20,CC0150_2025_朝阳_二模_20,2025,朝阳,二模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0157_2025_朝阳_期末_20,CC0157_2025_朝阳_期末_20,2025,朝阳,期末,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0162_2025_海淀_一模_18,CC0162_2025_海淀_一模_18,2025,海淀,一模,reference_only,open_reference_or_weak,no,yes,original_merged_retained,弱示范：主题乐园年卡、格式合同、诚信、解除合同；reference_only，不作满分闭环。
