year,suite,question,module_node,case_or_trigger,evidence_type,framework_status
2024,西城一模,6,物权与担保物权,机动车质押/质权优先受偿,试题汇编,已回填
2024,东城一模,9,物权确认,房屋产权纠纷与法院判决导致物权变动,试题汇编,已回填
2024,石景山一模,17,合同成立与民法原则,碳排放权交易合同/要约承诺/绿色原则,答案,已回填
2024,海淀一模,19,知识产权与不正当竞争,虚拟数字人Ada视频被替换标识并营销,答案+细则,已回填
2024,丰台一模,17,侵权责任,好意同乘中有责但可减轻,答案,已回填
2024,房山一模,17,专利与技术秘密,蜜胺专利与技术秘密侵权,答案,已回填
2024,朝阳一模,10,安全保障义务,饭店燃料酒精水壶/公共场所过错责任,试题,已回填
2024,朝阳一模,19,诚信原则与市场秩序,购销合同欠款与码上诚信,答案,已回填
2024,西城一模,18,赡养与诉讼程序,精神赡养/回避/诉讼代理人,答案,已回填
2024,东城一模,19,诉讼时效与赡养,普通债权时效与赡养费时效例外,答案+细则,已回填
2024,西城二模,16,消费者权益与权利边界,黄芪薏米饼干/食品安全惩罚性赔偿/理性维权,试题+细则,已回填
2025,海淀期末,19,财产权与三权分置,土地所有权/使用权/他项权利确认,答案+细则,已回填
2025,海淀期末,20,侵权责任类型,产品责任无过错/危险动物责任,答案,已回填
2025,海淀期末,21,劳动与竞业限制,商业秘密保护与劳动者择业限制,答案,已回填
2025,丰台期末,19,劳动合同解除,尹某消极怠工被解除劳动合同,教师版答案,已回填
2025,房山一模,19,技术秘密与惩罚性赔偿,B集团窃取新能源汽车技术秘密/2倍惩罚性赔偿,细则,已回填
2025,丰台一模,19,技术秘密与科技创新保护,最高法技术秘密侵权案/6.4亿余元判赔,题干,已回填
2025,海淀二模,18,诉讼程序与商标抢注,老字号商标恶意抢注/回避申请/证据,讲评+细则,已回填
2025,西城二模,10,网购合同与个人信息,网购页面须知成为合同内容/诚信机制,教师版试题,已回填为错项素材
2026,东城期末,10,物权/知识产权/消费者/劳动选择题,质权/公开换保护/自主选择权/著作财产权/劳动关系成立,细则,已回填
2026,东城期末,18,合同违约与侵权维权,无人机全新原装与展示机损伤坠毁,细则,已回填
2026,朝阳一模,18,知识产权护航新质生产力,调解/惩罚性赔偿/恶意诉讼规制,细则,已回填
2026,丰台一模,20,安全保障义务,公共场所摔倒/经营者无过错不担责,细则,已回填
2026,海淀一模,主观题相关小问,消费者隐私与虚假宣传,包间监控公开/治疗功效虚假宣传,细则,已回填
2026,延庆一模,18(1),人格权/消费者/不正当竞争,AI合成李某形象虚假直播营销,细则,已回填
2026,朝阳期末,复练题,合同与消费者权益,直播小叶紫檀手串/假一赔十,参考答案,已回填并标注来源边界
2026,通州期末,12,遗赠扶养协议,遗赠扶养协议优先于遗嘱,教师版试题,已回填为选择题素材
2026,顺义一模,劳动法主观题,竞业限制,保密义务劳动者违反竞业限制,试题,已列入后续扩展
