suite_id,question_no,answer,source_label,source_path,source_url,source_page,method,note
2024_朝阳_二模_003,11,B,2024北京朝阳高三二模政治试题及答案,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/supplemental_answer_sources/2024北京朝阳高三二模政治试题及答案_vision.txt,https://cdn.gaokzx.com/17152447892312024%E5%8C%97%E4%BA%AC%E6%9C%9D%E9%98%B3%E9%AB%98%E4%B8%89%E4%BA%8C%E6%A8%A1%E6%94%BF%E6%B2%BB%E8%AF%95%E9%A2%98%E5%8F%8A%E7%AD%94%E6%A1%88.pdf,https://www.gaokzx.com/gk/shitiku/121629.html,official_answer_table_visual_verified,渲染第9页答案表锁定第11题B
2024_朝阳_二模_003,12,C,2024北京朝阳高三二模政治试题及答案,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/supplemental_answer_sources/2024北京朝阳高三二模政治试题及答案_vision.txt,https://cdn.gaokzx.com/17152447892312024%E5%8C%97%E4%BA%AC%E6%9C%9D%E9%98%B3%E9%AB%98%E4%B8%89%E4%BA%8C%E6%A8%A1%E6%94%BF%E6%B2%BB%E8%AF%95%E9%A2%98%E5%8F%8A%E7%AD%94%E6%A1%88.pdf,https://www.gaokzx.com/gk/shitiku/121629.html,official_answer_table_visual_verified,渲染第9页答案表锁定第12题C
2024_丰台_二模_009,5,A,2024北京丰台高三二模政治试题+答案,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/supplemental_answer_sources/2024北京丰台高三二模政治试题+答案.txt,https://cdn.gaokzx.com/17144697006222024%E5%8C%97%E4%BA%AC%E4%B8%B0%E5%8F%B0%E9%AB%98%E4%B8%89%E4%BA%8C%E6%A8%A1%E6%94%BF%E6%B2%BB%E8%AF%95%E9%A2%98%2B%E7%AD%94%E6%A1%88.pdf,https://www.gaokzx.com/gk/shitiku/121202.html,parsed_official_answer_table,文本答案表锁定第5题A
2024_丰台_二模_009,6,B,2024北京丰台高三二模政治试题+答案,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/supplemental_answer_sources/2024北京丰台高三二模政治试题+答案.txt,https://cdn.gaokzx.com/17144697006222024%E5%8C%97%E4%BA%AC%E4%B8%B0%E5%8F%B0%E9%AB%98%E4%B8%89%E4%BA%8C%E6%A8%A1%E6%94%BF%E6%B2%BB%E8%AF%95%E9%A2%98%2B%E7%AD%94%E6%A1%88.pdf,https://www.gaokzx.com/gk/shitiku/121202.html,parsed_official_answer_table,文本答案表锁定第6题B
2024_海淀_二模_010,11,A,2024海淀二模本地答案细则,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/补充材料/高三二模：政治答案(2).docx,,,local_official_answer_table,本地答案表锁定第11题A
2025_海淀_二模_029,5,D,2025北京海淀高三二模政治试题及答案,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/supplemental_answer_sources/2025北京海淀高三二模政治试题及答案.txt,https://cdn.gaokzx.com/zixunzhan/17467547113532025%E5%8C%97%E4%BA%AC%E6%B5%B7%E6%B7%80%E9%AB%98%E4%B8%89%E4%BA%8C%E6%A8%A1%E6%94%BF%E6%B2%BB%E8%AF%95%E9%A2%98%E5%8F%8A%E7%AD%94%E6%A1%88.pdf,https://www.gaokzx.com/gk/shitiku/139893.html,parsed_official_answer_table,文本答案表锁定第5题D
2025_海淀_二模_029,6,B,2025北京海淀高三二模政治试题及答案,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/supplemental_answer_sources/2025北京海淀高三二模政治试题及答案.txt,https://cdn.gaokzx.com/zixunzhan/17467547113532025%E5%8C%97%E4%BA%AC%E6%B5%B7%E6%B7%80%E9%AB%98%E4%B8%89%E4%BA%8C%E6%A8%A1%E6%94%BF%E6%B2%BB%E8%AF%95%E9%A2%98%E5%8F%8A%E7%AD%94%E6%A1%88.pdf,https://www.gaokzx.com/gk/shitiku/139893.html,parsed_official_answer_table,文本答案表锁定第6题B
2025_海淀_二模_029,7,A,2025北京海淀高三二模政治试题及答案,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/supplemental_answer_sources/2025北京海淀高三二模政治试题及答案.txt,https://cdn.gaokzx.com/zixunzhan/17467547113532025%E5%8C%97%E4%BA%AC%E6%B5%B7%E6%B7%80%E9%AB%98%E4%B8%89%E4%BA%8C%E6%A8%A1%E6%94%BF%E6%B2%BB%E8%AF%95%E9%A2%98%E5%8F%8A%E7%AD%94%E6%A1%88.pdf,https://www.gaokzx.com/gk/shitiku/139893.html,parsed_official_answer_table,文本答案表锁定第7题A
2025_丰台_期末_032,11,D,2025北京丰台高三上期末政治有答案,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/supplemental_answer_sources/2025北京丰台高三（上）期末政治_有答案_vision.txt,https://cdn.gaokzx.com/zixunzhan/17363890385552025北京丰台高三（上）期末政治   有答案.pdf,https://www.gaokzx.com/gk/shitiku/133628.html,official_answer_table_visual_verified,渲染第9页答案表锁定第11题D
2025_丰台_期末_032,12,B,2025北京丰台高三上期末政治有答案,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/supplemental_answer_sources/2025北京丰台高三（上）期末政治_有答案_vision.txt,https://cdn.gaokzx.com/zixunzhan/17363890385552025北京丰台高三（上）期末政治   有答案.pdf,https://www.gaokzx.com/gk/shitiku/133628.html,official_answer_table_visual_verified,渲染第9页答案表锁定第12题B
