suite_id,year,district,stage,suite_name,question_no,question_type,source_question_file,question_source_role,source_rubric_file,evidence_type,rubric_match_method,answer,answer_source,question_excerpt,rubric_excerpt,notes
2024_东城_一模_001,2024,东城,一模,2024东城一模,9,choice,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,paper,,missing,no_exact_qno_block,,,9.张某因房屋产权纠纷，向人民法院提起物权确认之诉，人民法院依法判决涉案房屋 归张某所有。下列说法正确的是 A. 张某应尽快办理房产登记，以免影响物权变动 B.该案所涉的他物权对应着物的使用价值 C.涉案房产与占地，二者法律关系的内容一致 D.张某对于房屋的物权自一审判决宣告时生效 高三思想政治 第3页（共10页） [ocr page 4],,missing_exact_rubric_block
2024_东城_一模_001,2024,东城,一模,2024东城一模,10,choice,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,paper,,missing,no_exact_qno_block,C,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,10. 高某与李某系高某翔的叔婶，自二人患病后，高某翔 专职照顾他们。二人出于感激，令高某翔的妻子代 书《遗嘱》，内容力由高某翔负责二人生养死葬，其全 部遗产由高某翔继承。高某翔对此毫不知情。二人 去世后，高某与李某的独生子高某亮得知《遗嘱》内 容，表示强烈反对，以高某翔为被告提起诉讼，请求 确认涉案《遗嘱》无效。对本案分析正确的是 《中华人民共和国民 法典》第一千一百三十一 条 对继承人以外的依靠 被继承人扶养的人，或者 继承人以外的对被继承人 扶养较多的人，可以分给 适当的遗产。 A. 该遗嘱实遗赠抚养协议，遗产应由高某翔取得 B. 高某翔因照顾被继承人，可以继承适当的遗产 C.该遗嘱无效，遗产应按法定继承处理 D. 因高某翔对被继承人尽主要赡养义务，应视其为第一顺位继承人,,missing_exact_rubric_block
2024_东城_一模_001,2024,东城,一模,2024东城一模,11,choice,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,paper,,missing,no_exact_qno_block,A,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,11.陆某州等人为获取经济利益，通过盗割方式毁坏国家二级保护野生植物闽楠。檢 察院对陆某州等人提起刑事附带民事公益诉讼，法院依法判决，并在审理过程中发 出全国首份《古树救治令》，委托第三方对受损树干进行救治。案件审理后，法院向 相关单位发出司法建议，政府采取措施对古树进行实时监控。下列说法正确的是 ①司法与行政同频共振，发挥各自在古树保护中的职能优势 ②坚持能动司法，探索司法保护与生态保护修复相结合的新途径 ③毁坏古树适用无过错责任原则，人民检察院依法提起公诉 ④政府对法院负责，法院保护古树的司法建议对其有约束力 A. ①② B. ①③ C.②④ D.③④,,missing_exact_rubric_block
2024_东城_一模_001,2024,东城,一模,2024东城一模,19,subjective,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,paper,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,formal_or_scoring_source,exact_qno_block_priority_100,,,19.（6分） 案件1 2018年，郭某为李某制作电表箱，李 某为郭某出具欠据，约定2019年2月1日前还 清。期间，郭某从未催要钱款。2024年3月，郭某 向李某催讨钱款，李某拒绝还款。郭某无奈将李 某告上法庭，最终因李某主张诉讼时效届满而 败诉。 案件2 冯某与其母程某约定，自2018年3 月起，冯某每月向程某支付赡养费。2019年1月 资料卡 诉讼时效是指权利主体 在法定期间内不行使权利， 义务人便享有抗辩权（权利 人行使其请求权时，义务人 享有的拒绝其请求的权利）， 从而导致权利人无法胜诉的 法律制度。 起，冯某再未支付上述费用，程某从未催讨。2024 年2月，程某将冯某诉至法庭，要求其支付5年来未支付的相关费用。冯某以诉讼 时效届满沟由进行抗辩。法院依据《中华人民共和国民法典》第一百九十六条，以 请求支付赡养费不适用诉讼时效汐由，对冯某的主张不予支持，判令冯某如数支付 相关费用。 针对上述案件，运用《法律与生活》知识，谈谈法律规定诉讼时效并对其不适用 的情形加以规定的原因。,19.（6分） 法律规定诉讼时效有助于督促当事人积极主张权利，推动纠纷解决，节约司法资源。赡 养问题事关老年人的基本生存权利，成年子女对父母有赡养的义务。请求支付赡养费不 适用诉讼时效的规定有助于保护老年人的合法权益，彰显公序良俗，体现人文关怀，构建 和谐家庭。,
2024_朝阳_二模_003,2024,朝阳,二模,2024朝阳二模,11,choice,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,paper,,missing,no_exact_qno_block,,,"11. 小李父母名下有一套房产,其母 2018 年去世,未立遗嘱。 小李的外祖父母 2020 年去 世,舅舅在世。 小李父亲 2022 年去世,去世前立下遗嘱,将名下房产由小李继承。 此 后,小李携父亲遗嘱到公证处,欲办理该套房产的继承手续。 对此,下列说法正确的是 ①小李父亲拥有的房产份额按照遗嘱全部由小李继承 ②小李无需取得其舅舅的同意,就可以取得该房产的全部产权 ③小李母亲去世后,其名下房产份额依法定继承规定,一般应当均等分配 ④小李外祖父母去世后,小李以第二顺序继承人身份可继承相应房产份额 A. ①② B. ①③ C. ②④ D. ③④",,missing_exact_rubric_block
2024_朝阳_二模_003,2024,朝阳,二模,2024朝阳二模,12,choice,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,paper,,missing,no_exact_qno_block,,,"12. 刘某和张某在某场地进行羽毛球比赛。 比赛中刘某举拍防守未果,被羽毛球击中右 眼,右眼视力受损严重。 刘某遂诉至法院,要求张某赔偿多项费用。 一审法院判决驳 回刘某诉讼请求,二审法院维持原判。 关于本案,下列说法正确的是 A. 本次诉讼中,刘某和张某都有委托辩护人、申请回避和上诉的权利 B. 自诉人刘某可就张某的行为向法院提起诉讼,追究张某的刑事责任 C. 刘某提起的诉讼属于解决平等主体之间的民事权利和义务纠纷的民事诉讼 D. 刘某不服二审裁判,可以请求启动审判监督程序或向上一级法院提出上诉",,missing_exact_rubric_block
2024_朝阳_二模_003,2024,朝阳,二模,2024朝阳二模,17,subjective,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,paper,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,formal_or_scoring_source,exact_qno_block_priority_130,,,"17. (9 分) 人力资源社会保障部和最高人民法院联合发布了一批涉及平台经济的劳动人 事争议典型案例,供各地仲裁机构、人民法院在办案中予以参照。 【 基本案情】 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 【 资料包】 中华人民共和国劳动和社会保障部 发布的《 关于确立劳动关系有关事项的 通知》 指出:劳动关系的核心特征为劳动 者与用人单位之间具有人格、经济、组织 的从属性。 认定新就业形态劳动者与平台企业 之间是否存在劳动关系,应做如下考量: 人格从属性: 体 现 为 平 台 企 业 的 劳 动纪律、奖惩办法等是否适用于劳动者; 劳动者是否须按照平台指令完成工作任 务等。 经济从属性: 体 现 为 平 台 企 业 是 否 掌握劳动者从业所必需的数据信息等重 要生产资料,是否允许劳动者商定服务 价格等。 组织从属性: 体 现 在 劳 动 者 是 否 被 纳入平台企业的组织体系当中, 并以平 台名义对外提供服务等。 王某于 2022 年 6 月 14 日与甲公司 订立为期 1 年的《 车辆管理协议》 约定: 王某与甲公司建立合作关系,王某自备 面包车 1 辆,通过公司平台接受派单提 供货物运输服务。 甲公司与客户结算 运输费, 每 月 向 王 某 支 付 包 月 服 务 费 6000 元及奖励金。 王某每日在公司平台签到并 接 受 派单,跑单时长均在 8 小时以上; 甲公 司通过平台对王某的订单完成情况进 行全程跟踪;王某每日接单量超过 4 单 时享有加单奖励, 出现接单量不足、 无 故拒单、货物损毁等情形时按照公司制 度扣减部分服务费。 2023 年 3 月 2 日, 甲公司因调整运营规划,提出提前终止 与王某的合作关系。 王某认为其与甲公司之间实 际 上 已构成劳动关系,甲公司应当支付解除 劳动合同经济补偿,甲公司以双方是合 作关系为由拒绝,王某遂向仲裁委员会 申请仲裁。 【 处理结果】 仲裁委员会裁决:甲公司向王某支付解除劳动合同经济补偿。 结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。 高三思想政治 第 7 页( 共 8 页)",17.结合材料， 说明仲裁委员会作出上述裁决的理由， 并分析该典型案例的意义。 原答案：甲公司通过平台向王某派单， 并依据制度对王某进行奖惩， 具有较强的人格从属性； 甲公司占有王某提供货物运输服务所需的数据信息，单方制定服务费用结算标准， 具有明显 的经济从属性； 王某从事的货物运输服务属于甲公司业务的组成部分， 具有较强的组织从属 性。所以，双方之间存在事实上的劳动关系，对王某的仲裁请求应当予以支持。 该案例有利于指导各地仲裁机构、人民法院适应平台经济发展带来的新情况、新问题， 提高以事实为依据、 以法律为准绳进行公正裁决的能力； 有利于保障新就业形态劳动者权益， 发展和谐稳定的劳动关系；有利于引导平台经济良性发展，促进经济社会的发展。 评分细则 理由4 分，意义 5分 辩一）理由：理例结合，采意给分，结合基本案情和资料包，说清三个从属性各1 分，归纳 二者具有劳动关系1 分 甲公司通过平台向王某派单，并依据制度对王某进行奖惩，具有较强的人格从属性辩1 分） ；或王某在接受平台派单的同时，还要遵守平台企业的纪律和奖惩制度，具有人格从属 性。 甲公司占有王某提供货物运输服务所需的数据信息，单方制定服务费用结算标准， 具有 明显的经济从属性；辩1 分）或甲公司通过平台对王某的订单完成情况进行全程跟踪，掌握 王某的重要数据信息，此外，甲公司与客户结算运输费，单方制定每月向王某支付包月服务 费6000元及奖励金的价格标准，具有经济从属性； 王某从事的货物运输服务属于甲公司业务的组成部分，具有较强的组织从属性辩1 分） 或王某每日在公司平台签到并通过公司平台接受派单， 以平台公司名义提供货物运输服务具 有组织从属性。 辩如果仅写出三个从属性，没有结合材料只给1 分） 所以，双方之间存在事实上的劳动关系，对王某的仲裁请求应当予以支持。辩1 分） 辩二）意义：从三个方面作答：法律意义、道德意义、经济意义 法律意义： 该案例有利于指导各地仲裁机构、人民法院适应平台经济发展带来的新情况、新问 题，辩或为各地仲裁机构、人民法院提供参照与借鉴）辩1 分） 提高以事实为依据、 以法律为准绳进行公正裁决的能力 辩或有利于实社社会公平正 义）辩1 分） ； 有利于保障新就业形态劳动者 辩合法）权益，辩1 分）发展和谐稳定的劳动关系；辩1 分）辩此三点答出两点给2分） 道德意义：符合民法的基本原则辩或践行社会主义核心价值观）辩1分） 3 经济意义：有利于引导平台经济良性发展，促进经济社会的发展。 辩1分）,
2024_海淀_一模_005,2024,海淀,一模,2024海淀一模,8,choice,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,paper,,missing,no_exact_qno_block,D,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,8．司法建议是具有中国特色的司法制度。人民法院聚焦反复发生、同时发生的类似案件，对其案 发原因深入开展调查研究，提出具有前瞻性的司法建议，及时向有关主管机关或其他有关单 位发送司法建议书，变定分止争、化解矛盾为提前预防、综合治理，努力做到“抓末端，治 已病；抓前端，治未病” 。可见，司法建议的提出 A．保障公民享有更多民主权利，激发其政治参与热情 B．有助于人民法院行使监察权，维护法制统一和权威 C．拓宽民主协商的渠道，推动各单位更好地履职尽责 D．积极回应社会关切，促进社会治理提升到更高水平,,missing_exact_rubric_block
2024_海淀_一模_005,2024,海淀,一模,2024海淀一模,10,choice,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,paper,,missing,no_exact_qno_block,D,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,10．销售员张某在某公司工作三年后，公司与其签订补充协议，约定每月销售额低于 3 万元无工 资；连续两个月销售额低于 3 万元，公司将予以辞退。后来，公司以张某连续三个月业绩未 达标为由，拒绝支付其当月工资，并发出解除劳动合同通知。依据下列法律条款可推知 中华人民共和国劳动合同法 第四十条 有下列情形之一的，用人单位提前三十日以书面形式通知劳动者本人或 者额外支付劳动者一个月工资后，可以解除劳动合同： （一） …… （二）劳动者不能胜任工作，经过培训或者调整工作岗位，仍不能胜任工作的； （三）劳动合同订立时所依据的客观情况发生重大变化，致使劳动合同无法履行，经 用人单位与劳动者协商，未能就变更劳动合同内容达成协议的。 A．补充协议是对劳动合同的变更，所以没有法律约束力 B．如张某经培训仍不能业绩达标，公司可立即解除合同 C．张某若申请劳动仲裁，裁决一经作出即发生法律效力 D．公司解除与张某的劳动合同，侵害了张某的合法权益 高三年级（思想政治） 第 4 页（共 8 页）,,missing_exact_rubric_block
2024_海淀_一模_005,2024,海淀,一模,2024海淀一模,11,choice,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,paper,,missing,no_exact_qno_block,C,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,11．龚某与蔡某等人在一小区的空地上踢足球。为了抢球，龚某侧身跃起的时候将蔡某压倒在地， 致其右手受伤，蔡某遂提起民事诉讼，要求赔偿损失，法院判决驳回其诉讼请求。下列对本案 的推断中，正确的是 ①蔡某受伤是因不可抗力引起的，龚某无需承担赔偿责任 ②判决结果体现民法公平原则，合理确定双方权利和义务 ③庭审过程中，审判长询问双方是否同意调解，如果同意则合议庭主持调解 ④如果蔡某不服法院判决结果，可以在判决后十日内申请启动审判监督程序 A．①② B．①④ C．②③ D．③④,,missing_exact_rubric_block
