suite_id,year,district,stage,suite_name,question_no,question_material,complete_prompt,rubric_source,rubric_match_method,evidence_type,rubric_original_text,notes
2024_东城_一模_001,2024,东城,一模,2024东城一模,19,19.（6分） 案件1 2018年，郭某为李某制作电表箱，李 某为郭某出具欠据，约定2019年2月1日前还 清。期间，郭某从未催要钱款。2024年3月，郭某 向李某催讨钱款，李某拒绝还款。郭某无奈将李 某告上法庭，最终因李某主张诉讼时效届满而 败诉。 案件2 冯某与其母程某约定，自2018年3 月起，冯某每月向程某支付赡养费。2019年1月 资料卡 诉讼时效是指权利主体 在法定期间内不行使权利， 义务人便享有抗辩权（权利 人行使其请求权时，义务人 享有的拒绝其请求的权利）， 从而导致权利人无法胜诉的 法律制度。 起，冯某再未支付上述费用，程某从未催讨。2024 年2月，程某将冯某诉至法庭，要求其支付5年来未支付的相关费用。冯某以诉讼 时效届满沟由进行抗辩。法院依据《中华人民共和国民法典》第一百九十六条，以 请求支付赡养费不适用诉讼时效汐由，对冯某的主张不予支持，判令冯某如数支付 相关费用。 针对上述案件，运用《法律与生活》知识，谈谈法律规定诉讼时效并对其不适用 的情形加以规定的原因。,针对上述案件，运用《法律与生活》知识，谈谈法律规定诉讼时效并对其不适用 的情形加以规定的原因。,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,exact_qno_block_priority_100,formal_or_scoring_source,19.（6分） 法律规定诉讼时效有助于督促当事人积极主张权利，推动纠纷解决，节约司法资源。赡 养问题事关老年人的基本生存权利，成年子女对父母有赡养的义务。请求支付赡养费不 适用诉讼时效的规定有助于保护老年人的合法权益，彰显公序良俗，体现人文关怀，构建 和谐家庭。,
2024_朝阳_二模_003,2024,朝阳,二模,2024朝阳二模,17,"17. (9 分) 人力资源社会保障部和最高人民法院联合发布了一批涉及平台经济的劳动人 事争议典型案例,供各地仲裁机构、人民法院在办案中予以参照。 【 基本案情】 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 【 资料包】 中华人民共和国劳动和社会保障部 发布的《 关于确立劳动关系有关事项的 通知》 指出:劳动关系的核心特征为劳动 者与用人单位之间具有人格、经济、组织 的从属性。 认定新就业形态劳动者与平台企业 之间是否存在劳动关系,应做如下考量: 人格从属性: 体 现 为 平 台 企 业 的 劳 动纪律、奖惩办法等是否适用于劳动者; 劳动者是否须按照平台指令完成工作任 务等。 经济从属性: 体 现 为 平 台 企 业 是 否 掌握劳动者从业所必需的数据信息等重 要生产资料,是否允许劳动者商定服务 价格等。 组织从属性: 体 现 在 劳 动 者 是 否 被 纳入平台企业的组织体系当中, 并以平 台名义对外提供服务等。 王某于 2022 年 6 月 14 日与甲公司 订立为期 1 年的《 车辆管理协议》 约定: 王某与甲公司建立合作关系,王某自备 面包车 1 辆,通过公司平台接受派单提 供货物运输服务。 甲公司与客户结算 运输费, 每 月 向 王 某 支 付 包 月 服 务 费 6000 元及奖励金。 王某每日在公司平台签到并 接 受 派单,跑单时长均在 8 小时以上; 甲公 司通过平台对王某的订单完成情况进 行全程跟踪;王某每日接单量超过 4 单 时享有加单奖励, 出现接单量不足、 无 故拒单、货物损毁等情形时按照公司制 度扣减部分服务费。 2023 年 3 月 2 日, 甲公司因调整运营规划,提出提前终止 与王某的合作关系。 王某认为其与甲公司之间实 际 上 已构成劳动关系,甲公司应当支付解除 劳动合同经济补偿,甲公司以双方是合 作关系为由拒绝,王某遂向仲裁委员会 申请仲裁。 【 处理结果】 仲裁委员会裁决:甲公司向王某支付解除劳动合同经济补偿。 结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。 高三思想政治 第 7 页( 共 8 页)","结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,exact_qno_block_priority_130,formal_or_scoring_source,17.结合材料， 说明仲裁委员会作出上述裁决的理由， 并分析该典型案例的意义。 原答案：甲公司通过平台向王某派单， 并依据制度对王某进行奖惩， 具有较强的人格从属性； 甲公司占有王某提供货物运输服务所需的数据信息，单方制定服务费用结算标准， 具有明显 的经济从属性； 王某从事的货物运输服务属于甲公司业务的组成部分， 具有较强的组织从属 性。所以，双方之间存在事实上的劳动关系，对王某的仲裁请求应当予以支持。 该案例有利于指导各地仲裁机构、人民法院适应平台经济发展带来的新情况、新问题， 提高以事实为依据、 以法律为准绳进行公正裁决的能力； 有利于保障新就业形态劳动者权益， 发展和谐稳定的劳动关系；有利于引导平台经济良性发展，促进经济社会的发展。 评分细则 理由4 分，意义 5分 辩一）理由：理例结合，采意给分，结合基本案情和资料包，说清三个从属性各1 分，归纳 二者具有劳动关系1 分 甲公司通过平台向王某派单，并依据制度对王某进行奖惩，具有较强的人格从属性辩1 分） ；或王某在接受平台派单的同时，还要遵守平台企业的纪律和奖惩制度，具有人格从属 性。 甲公司占有王某提供货物运输服务所需的数据信息，单方制定服务费用结算标准， 具有 明显的经济从属性；辩1 分）或甲公司通过平台对王某的订单完成情况进行全程跟踪，掌握 王某的重要数据信息，此外，甲公司与客户结算运输费，单方制定每月向王某支付包月服务 费6000元及奖励金的价格标准，具有经济从属性； 王某从事的货物运输服务属于甲公司业务的组成部分，具有较强的组织从属性辩1 分） 或王某每日在公司平台签到并通过公司平台接受派单， 以平台公司名义提供货物运输服务具 有组织从属性。 辩如果仅写出三个从属性，没有结合材料只给1 分） 所以，双方之间存在事实上的劳动关系，对王某的仲裁请求应当予以支持。辩1 分） 辩二）意义：从三个方面作答：法律意义、道德意义、经济意义 法律意义： 该案例有利于指导各地仲裁机构、人民法院适应平台经济发展带来的新情况、新问 题，辩或为各地仲裁机构、人民法院提供参照与借鉴）辩1 分） 提高以事实为依据、 以法律为准绳进行公正裁决的能力 辩或有利于实社社会公平正 义）辩1 分） ； 有利于保障新就业形态劳动者 辩合法）权益，辩1 分）发展和谐稳定的劳动关系；辩1 分）辩此三点答出两点给2分） 道德意义：符合民法的基本原则辩或践行社会主义核心价值观）辩1分） 3 经济意义：有利于引导平台经济良性发展，促进经济社会的发展。 辩1分）,
2024_海淀_一模_005,2024,海淀,一模,2024海淀一模,19,19． （8 分）首例涉“虚拟数字人”侵权案宣判。 甲公司系一家以计算机图形学和 AI 技术为核心的科 技公司，Ada 系甲公司在发展其产品业务过程中打造的超 写实虚拟数字人。甲公司自称于 2018 年 12 月创作完成了 虚拟数字人 Ada 的正面形象，为进一步宣传和推广旗下虚 拟数字人，又制作完成了虚拟数字人的两段相关视频，并 于 2019 年 10 月、11 月通过某平台发布。其中一段用以介 绍虚拟数字人 Ada 的场景应用，另一段记录真人演员与虚 拟数字人 Ada 的动作捕捉画面，对虚拟数字人 Ada 进行商业化使用。 2022 年 7 月，乙公司通过某社交软件发布上述两段视频，视频的居中位置使用甲公司发布的 相关视频内容，并在片头片尾替换有关标识，以及在整体视频上添加虚拟数字人课程的营销信息， 其中一段视频还添加乙公司的注册商标，并将其他虚拟数字人名称作为标题一部分。甲公司向法 院提起诉讼，法院判决乙公司消除影响并赔偿经济损失。 运用《法律与生活》知识，谈谈对本案判决的认识。 资料卡 虚拟数字人指具有数字化外形 的虚拟人物，与具备实体的机器人 不同，虚拟人依赖显示设备存在。 虚拟数字人拥有人的外观、行为和 思维方式，具有识别外界环境并能 与人交流互动的能力。 高三年级（思想政治） 第 8 页（共 8 页）,运用《法律与生活》知识，谈谈对本案判决的认识。,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/补充材料/一模政治-答案.docx,exact_qno_block_priority_110,formal_or_scoring_source,19.（8分） 民事主体的著作权受法律保护，甲公司创作虚拟数字人Ada，对其享有著作权。乙公司未经许可使用甲公司创作的相关视频，并在展示过程中故意替换有关标识、加注注册商标，构成著作权侵权。乙公司进行虚假和引人误解的商业宣传，属于不正当竞争。法院依法判决乙公司赔偿甲公司损失，有利于激发创新活力，维护市场秩序。,
2024_东城_二模_007,2024,东城,二模,东城二模,19,19.（9分） 甲公司从乙公司购入一批电视，约定2024年3月10日发货。乙公司如约发 货后，甲公司不便收货，双方约定货物由快递仓库代储存至3月20日，仓储费用 由己公司承担。3月19日，甲公司表示依然不便收货，需要延长仓储时间至3月 30日，乙公司回复“可以”。双方无其他磋商内容。 3 月30日，甲公司收货并垫付全部仓储费用后，向乙公司要求“尾款扣除仓储 费用后支付”，乙公司表示拒绝承担3月21日及以后的仓储费用，甲公司因此拒绝 支付尾款。双方协商未果，欲通过诉讼解决争议。 （1）请你选择其中一方进行代理，并撰写起诉状。（7分） 民事起诉状 原告： 被告： 诉讼请求： 事实与理由： 望法院判如所请。 （2）避免类似问题产生，我们应该 XXX X年X月×日 。（2分） 高三思想政治 第9页（共11页） [ocr page 10],长仓储时间至3月 30日，乙公司回复“可以”。双方无其他磋商内容。 3 月30日，甲公司收货并垫付全部仓储费用后，向乙公司要求“尾款扣除仓储 费用后支付”，乙公司表示拒绝承担3月21日及以后的仓储费用，甲公司因此拒绝 支付尾款。双方协商未果，欲通过诉讼解决争议。 （1）请你选择其中一方进行代理，并撰写起诉状。（7分） 民事起诉状 原告： 被告： 诉讼请求： 事实与理由： 望法院判如所请。 （2）避免类似问题产生，我们应该 XXX X年X月×日 。（2分） 高三思想政治 第9页（共11页） [ocr page 10],,no_exact_qno_block,missing,,需回原细则/OCR 复核
2024_丰台_二模_009,2024,丰台,二模,丰台二模,17,17.（8分）民法典守护碧水蓝天，保护生态环境。 《中华人民共和国民法典》规定：“民事主体从事民事活动，应当有利于节约资 源、保护生态环境。”“民事主体依法享有知识产权。”“因污染环境、破坏生态造成他 人损害的，侵权人应当承担侵权责任。” 案例一 某公司发明专利技术从源头上解决长期污水 污泥分离不彻底、处理工序复杂化等关键技 术问题，首次提出了通过操控屏控制移动杆， 实现过滤速度可控的农村污水分离技术重大 突破，方法简单、易于操作，降低污水净化 成本的同时，显著提高污水净化效率，延长 装置的使用寿命，已在多地村庄生活污水治 理项目中成功应用并推广。 案例二 甲公司在生产中，长期存在超标排放废 水、废气等污染物损害环境公共利益的 行为，周边居民的日常生活受到严重影 响。乙环境研究所以甲公司存在长期连 续超标排放污染物、构成环境民事侵权 为由，提起环境民事公益诉讼。法院审 理后判决甲公司立即停止侵权、消除危 险、赔偿环境损失等。 运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境 的作用。 高三政治 第5页（共8页） [ocr page 6],运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境 的作用。,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,exact_qno_block_priority_130,formal_or_scoring_source,17.运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。（8分） 参考答案：民法典规定的绿色原则为生态环境保护提供了基本遵循。在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。 【拓展答案】： 增强环保意识、维护社会公平正义。 评分标准说明： 民法典规定的绿色原则为生态环境保护提供了基本遵循。（1分）在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。（2分）依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。（1分）民法典上述条款合理地确定了民事主体的权利义务，既能保护合法权益，又能惩罚违法行为，有助于平衡个人利益和公共利益，合理预防损害，维护良好的生态环境。（4分）（权利义务、个人利益和公共利益、维护良好的生态环境三个点都写到就给4分。） 18(1)结合材料，同学们构建了一个符合逻辑规则的三段论，请你补充完整。（5分） 参考答案：大前提：搭建对外交流合作平台推动了冰雪经济高质量发展， 小前提：第七届雪博会是对外交流合作平台， 结论：第七届雪博会可以推动冰雪经济高质量发展。 【拓展答案】：符合题意和逻辑规则，言之有理，即可给分。 评分标准说明：符合三段论的形式要件和内容真实，言之有理，即可给分； 基本正确或准确，5分； 略有瑕疵，4分； 比较合理，3分 大小前提倒置，给1-2分； 不符合逻辑规则，0分 18(2)有同学认为，只要我们能够准确预测冰雪经济的发展前景，就能推动冰雪经济高质量发展。结合材料，运用科学思维对该观点进行评析。（6分） 参考答案：该观点强调要运用超前思维准确预测冰雪经济的发展前景，推动冰雪经济高质量发展。准确预测冰雪经济的发展前景是推动冰雪经济高质量发展的必要条件，但不是唯一条件。同时，还需要坚持辩证思维，既要看到冰雪经济发展的优势和机会，又要看到劣势和不足，具体问题具体分析，遵循冰雪产业发展规律，从当地实际情况出发推动冰雪经济高质量发展。因此，该观点是片面的。 【拓展答案】：科学思维具有预见性； 从充分条件假言判断的角度反向论证该观点的不合理之处； 辩证思维的具体内容（联系、发展、矛盾；综合与分析；质量互变） 创新思维的具体内容（除超前思维以外的发散与聚合、逆向等） 评分标准说明：基本按照参考的思维逻辑给分，略有变通。 亮明观点片面，1分；替代：不合理、不科学、不准确、错误等，根据后面论述适当给分； 合理性1分，包括：超前思维、科学思维的预测性等 不足之处1-2分，包括：看出了观点实际上为必要条件假言判断，给2分；只从口头语言或从充分条件假言判断去论述，给1分。没有论述不给分； 其他角度论证，最多2分。特别提醒，除了超前思维以外的发散聚合、逆向、联想等创新思维；或者包含综合分析、质量互变的辩证思维；具体问题具体分析、尊重客观规律、一切从实际出发等有道理都可以，（分析+论述=2分） 18(3).经过探究，同学们从《经济与社会》角度，对如何利用“冷资源”撬动“热经济”形成以下共识:_____________________。(8分) 参考答案： 利用“冷资源撬动“热经济”要坚持有效市场与有为政府相结合。充分发挥市场在资源配置中的决定性作用，以需求牵引供给，拉动冰雪产业发展，满足不同群体的消费需求；企业要面向市场，坚持创新发展，加大冰雪产业技术研发投入，提高竞争力。政府结合各地不同的自然禀赋，积极履行经济职能，制定冰雪产业发展规划，推动冰雪产业发展。此外，还要不断完善相关行业标准，构建完整的产业链，健全冰雪产业人木培养体系；加强对外合作与交流，充分利用国内国际两个市场两种资源，高冰雪资源的利用效率。 【拓展答案】： 政府宏观调控/具体写政府一种经济职能 新发展理念（创新、绿色、开放） 品牌能力建设/产业链韧性 高水平对外开放/国内国际双循环/新发展格局/比较优势 评分标准说明： 四个角度，每个角度两分 市场：发挥市场在资源配置中的决定性作用1分+结合材料分析供给和需求关系/优化资 源配置1分 政府：履行经济职能/宏观调控/具体写政府一种经济职能1分+结合材料说明政府制定冰雪产业规划/政策推动发展1分 企业：创新1分+如何实现创新/创新作用（人才、技术、研发投入、产业链、品牌能力、竞争力）1分 对外开放：高水平对外开放/国内国际双循环/新发展格局/国内国际两个市场两种资源/比较优势1分+材料如何加强对外合作与交流1分,
2024_海淀_二模_010,2024,海淀,二模,海淀二模,19,19． （6 分）遗赠扶养协议纠纷案宣判。 【案情简介】某社区居委会与曹某签订协议，约定由某居委会定时定员结对子照看关心曹某， 每月给予曹某基本生活费，免费看病诊治，逢年过节给予曹某各类生活补助及慰问生活用品等， 养老至寿终；曹某现有的动产和不动产在曹某寿终后，产权移交某居委会。此后，某居委会按照 约定履行扶养义务。曹某去世后，曹某的四个子女要求继承遗产，与该居委会产生争议。该居委 会遂将曹某的四个子女等人诉至法院，请求判令： （1）确认某居委会与曹某签订的协议有效； （2） 曹某名下的房屋、股权、现金、存款归某居委会所有。 【裁判结果】法院认为，案涉协议符合法律有关遗赠扶养协议的规定，属于有效的遗赠扶养 协议；原告某居委会对被扶养人曹某已尽到扶养义务，判决被继承人曹某安置所得的房屋以及其 生前遗留的股权、现金、银行存款本息归某居委会所有。 结合材料，运用《法律与生活》知识，分析本案判决的社会价值。,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,exact_qno_block_priority_130,formal_or_scoring_source,19.（6分） 【答案】 在本案判决中，人民法院确认居委会提供的遗赠扶养协议，认定居委会的赡养行为，充分肯定居委会对老人养老送终所起的作用。本案判决不仅实现了个案上的公平正义，更倡导全社会积极助力养老，促进“不尽孝者少分或者不分遗产”的司法理念深入人心。判决有利于弘扬尊老、敬老、爱老、助老的中华传统美德，让崇尚和践行社会主义核心价值观成为人们的自觉行动和全体社会的良好风尚。 【细则】,
2024_石景山_一模_011,2024,石景山,一模,石景山一模,17,17．（8 分） 2023 年 12 月 28 日，北京市第三中级人民法院终审公开宣判北京甲环保公司与四川乙发电公司合同纠纷一案，该案系北京市首例碳排放权交易纠纷案件。 【基本案情】 2021 年12 月，乙公司就采购碳排放配额发布比选公告，甲公司向其进行报价，内容具体明确，并承诺：如未依约履行，乙公司可另行购买等量的碳排放配额；如有差价， 由甲公司补足。乙公司经过比选确认甲公司中标，并向其送达了中标通知。此后，甲公 司明确表示不再履行合同，在此情况下，乙公司另行与第三方公司签订合同，以高于甲 公司所报交易单价的价格购买了相应碳排放配额，由此产生差价，故乙公司诉至法院， 要求甲公司向其支付差价款 289 万余元及相应利息。 【法院判决】 一审法院经审理，认为甲乙两公司就涉案碳排放配额采购事项成立合同关系，且该合同合法有效。判决甲公司向乙公司支付碳排放配额采购差价款289 万余元及相应利息。一审后，甲公司不服判决，向北京三中院提起上诉。北京三中院经审理后作出终审判决： 驳回上诉，维持原判。 运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。,,no_exact_qno_block,missing,,需回原细则/OCR 复核
2024_石景山_一模_011,2024,石景山,一模,石景山一模,18,18．（13 分） 为弘扬新时代“枫桥经验”，助力社会矛盾纠纷在法治轨道上得到解决，石景山法 院在巩固深化党建法治共建机制的基础上，推出“一米法庭”项目。“一米法庭”中“一米”音同“益民”，取“有益人民”之意，一米之距，代表法院与群众距离贴近，传递 “一套桌椅、一米见方，努力化解纠纷”的工作理念。要从三个方面把“一米法庭”打 造为坚持和践行新时代“枫桥经验”的“枫”景线。 （1）结合材料，运用《政治与法治》知识，分析“一米法庭”项目如何使群众真正 获益。（7 分） 在街道、社区及行业特设组织中设立的“一米法庭”项目，通过数字化技术，线上与线下相结合，提供调解指导、诉讼服务、基层治理、普法宣传功能，是一站式多元解纷的最小支点。 2023 年7 月特大暴雨灾害发生后，涉灾纠纷频发。 “我们社区的业主李先生家因房屋漏雨，与物业公司起了矛盾。这次暴雨前气象部门早有预警，经调查发现物业公司并没有提前加强巡检，也没有采取措施加固房顶以及做好防水处理，理应赔偿。但物业认为这次雨太大，是天灾，可以免责。业主说我们调解达成的协议也不算数，准备到法院起诉，认为走诉讼程序才是最优选择。现在该怎么办呢？”社区刚担任人民调解员的老刘通过“一米法庭”求助法官，希望能够提供 专业指导，将矛盾化解在基层。 （2）假如你是法官，请结合材料，运用法治知识，为老刘提供专业指导。（6 分）,（2）假如你是法官，请结合材料，运用法治知识，为老刘提供专业指导。,,no_exact_qno_block,missing,,需回原细则/OCR 复核
2024_西城_一模_012,2024,西城,一模,西城一模,18,18．（8分） 【基本案情】郭某与刘某是夫妻关系，刘某于2022年去世。二人育有子女四人，现郭某年已九十，由小女儿照顾，郭某起诉要求另外三子支付赡养费，其中郭某每月有退休金五千余元，大儿子居住在外地，二儿子肢体残疾，三儿子表示郭某现有收入并不需要子女支付赡养费。 一审法院认为郭某尚不存在生活困难的情形，故对于郭某的请求未予支持。郭某提起上诉。二审法院审理期间，三个儿子前往郭某住处探望老人，老人表达希望儿子多来陪伴的想法。二审法院虽未支持老人要求抚养费的主张，但基于老人渴望子女陪伴的意愿，向郭某的三个儿子发出了《督促履行义务告知书》，要求其常回家看看，多与老人沟通交流，让老人感受到家人的温暖，安享晚年。 【模拟庭审】某班学生参考此案二审，组织了一场模拟庭审活动。 镜头一 学生甲：上诉人申请书记员小袁回避，因为 。 镜头二 学生乙：“我是被上诉人郭某的三儿子的辩护人。《中华人民共和国民法典》第一千零六十七条规定，成年子女不履行赡养义务的，缺乏劳动能力或者生活困难的父母，有要求成年子女给付赡养费的权利。郭某现有收入并不需要子女支付赡养费……” （1）在镜头一的横线上填写申请回避的适当理由。（1分） （2）镜头二中有一处明显错误，将它找出来并改正。（1分） （3）运用法治知识，谈谈对二审法院向郭某的三个儿子发出《督促履行义务告知书》的认识。（6分）,二审，组织了一场模拟庭审活动。 镜头一 学生甲：上诉人申请书记员小袁回避，因为 。 镜头二 学生乙：“我是被上诉人郭某的三儿子的辩护人。《中华人民共和国民法典》第一千零六十七条规定，成年子女不履行赡养义务的，缺乏劳动能力或者生活困难的父母，有要求成年子女给付赡养费的权利。郭某现有收入并不需要子女支付赡养费……” （1）在镜头一的横线上填写申请回避的适当理由。（1分） （2）镜头二中有一处明显错误，将它找出来并改正。（1分） （3）运用法治知识，谈谈对二审法院向郭某的三个儿子发出《督促履行义务告知书》的认识。（6分）,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,exact_qno_block_priority_110,formal_or_scoring_source,18．（8分） （1）依据诉讼法规定的回避制度，当书记员有下列情形之一的，当事人有权申请其回避：是本案当事人或者当事人、诉讼代理人近亲属的；与本案有利害关系的；与本案当事人、诉讼代理人有其他关系（比如师生、同学、朋友等），可能影响对案件公正审理的。书记员接受当事人、诉讼代理人请客送礼，或者违反规定会见当事人、诉讼代理人的，当事人有权要求他们回避。考生可选择上述情形之一作答。（1分） 答案示例一：书记员小袁是被上诉人郭某三儿子的学生。 答案示例二：书记员小袁是被上诉人郭某二儿子的朋友。 （2）错误：辩护人。改为：诉讼代理人。（1分） （3）成年子女对父母有赡养的义务。（1分）赡养父母，要求子女经济上供养父母、生活上照料父母、精神上慰藉父母，照顾父母的特殊需要，使父母幸福安度晚年。（2分，五选二） 郭某的三个儿子都是成年人，应履行精神上慰藉父亲的义务。二审法院向郭某的三个儿子发出《督促履行义务告知书》是保护郭某的合法权益，引导郭某的儿子孝老敬亲，（1分，多选一）传承中华传统美德，践行社会主义核心价值观，发挥法律对道德建设的促进作用。（2分，多选一） 细则： 精神上慰藉父亲的义务，变通：敬老义务（责任） 保护郭某的合法权益，替换：满足老人的需求 中华传统美德，变通：中华优秀传统文化 发挥法律对道德建设的促进作用，替换：坚持法治与德治的统一；发挥法律的规范作用，道德的教化作用 如答出：维护社会公平正义；营造敬老爱老社会氛围；促进家庭和谐。也可给2分 本小题答一句以上的，至少给1分。半句的不算 【附中版补充】 义务：1（义务）+2 意义：1（权利）+2（弘扬社会主义核心价值观；守法和公序良俗原则；德治法治相结合等） 酌情赋分（1分）：以事实为根据，以法律为准绳。,
2024_西城_二模_013,2024,西城,二模,西城二模,16,16．（8分） 市民甲在某食品科技有限公司开设的网店中购买了30盒“黄芪薏米饼干”，付款516元。签收后，甲发现这些饼干不符合食品安全标准，随后又在两个月内三次购买同样的饼干，总数达200盒。四次总计付款4176元。甲以产品中添加有黄芪粉，违反了有关规定为由，起诉请求经营者退还价款4176元，支付相当于价款十倍的赔偿金41760元。 审理法院认为，某食品科技有限公司违反我国关于食品安全的相关规定，属于生产经营不符合食品安全标准食品的行为，应依法承担责任。市民甲首单购买的30盒“黄芪薏米饼干”未超出合理生活消费需要，对其就该部分饼干提出的惩罚性赔偿请求应予支持。但是，甲在收到首单饼干并确认饼干不符合食品安全标准后，又在两个多月时间内多次向同一商家大量加购同款饼干，加购数量共计200盒，总重量高达18.4千克。综合考量案涉饼干的保质期、普通消费者通常的生活消费习惯等因素，甲的加购行为超出正常的生活消费所需，对其就加购饼干提出的惩罚性赔偿请求不应支持，故判决支持甲就首单购买饼干提出的惩罚性赔偿请求。 结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。,结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx,exact_qno_block_priority_110,formal_or_scoring_source,16．（8分） 经营者应依法、诚信经营，保护消费者的合法权益。（2分，多选一）人民法院支持市民甲就首单购买行为适用食品安全法中的惩罚性赔偿请求，以此打击违法生产经营行为，维护了消费者的合法权益。（1分，材料分析） 民事主体行使民事权利时不能超过正当的界限，并且不得滥用民事权利损害国家利益、社会公共利益或者他人合法权益。（2分，二选一）市民甲的加购行为超出了正常的生活消费需要，人民法院对甲就加购行为提出的惩罚性赔偿请求不予支持，有利于引导消费者诚信、理性维权。（1分，材料分析） 人民法院的判决，体现了保证食品安全和维护生产经营秩序两种价值取向的平衡，有利于服务和保障经济社会高质量发展。（2分，多选一） 细则： 依法经营，替换：守法经营、不侵害消费者权益（利益）、侵害消费者权益是错误的 “民事主体行使民事权利时不能超过正当的界限，并且不得滥用民事权利损害国家利益、社会公共利益或者他人合法权益”，变通：坚持权利和义务的统一 理性维权，变通：依法维权 保护消费者的合法权益，变通：消费者享有安全消费的权利、消费者享有知情权 生产经营秩序，变通：市场秩序 最后一段，变通：体现了民法公平、诚信、守法和公序良俗的基本原则（明确写出诚信是原则，区别于“经营者诚信”）、弘扬了社会主义核心价值观,
