suite_id,year,district,stage,suite_name,question_no,answer,answer_source,overview_sentence,wrong_option_sentences,question_excerpt,rubric_source,notes
2024_东城_一模_001,2024,东城,一模,2024东城一模,9,,,在张某因房屋产权纠纷，向人民法院提起物权确认之诉，人民法院依法判决涉案房屋 归张某所有。下列说法正确的是中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。,答案未锁定，暂不生成错项句。,9.张某因房屋产权纠纷，向人民法院提起物权确认之诉，人民法院依法判决涉案房屋 归张某所有。下列说法正确的是 A. 张某应尽快办理房产登记，以免影响物权变动 B.该案所涉的他物权对应着物的使用价值 C.涉案房产与占地，二者法律关系的内容一致 D.张某对于房屋的物权自一审判决宣告时生效 高三思想政治 第3页（共10页） [ocr page 4],,答案未从可靠答案表或逐题解析锁定
2024_东城_一模_001,2024,东城,一模,2024东城一模,10,C,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,在高某与李某系高某翔的叔婶，自二人患病后，高某翔 专职照顾他们。二人出于感激，令高某翔的妻子代 书《遗嘱》，内容力由高某翔负责二人生养死葬，其全 部遗产由高某翔继承。高某翔对此毫不知情。二人 去世后，高某与李某的独生子高某亮得知《遗嘱》内 容，表示强烈反对，以高某翔为被告提起诉讼，……中，应选C，核心判断是“该遗嘱无效，遗产应按法定继承处理”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,A项不对在继承规则或协议效力判断不准，因为“该遗嘱实遗赠抚养协议，遗产应由高某翔取得”与题面事实或法律规则不匹配。；B项不对在继承规则或协议效力判断不准，因为“高某翔因照顾被继承人，可以继承适当的遗产”与题面事实或法律规则不匹配。；D项不对在继承规则或协议效力判断不准，因为“因高某翔对被继承人尽主要赡养义务，应视其为第一顺位继承人”与题面事实或法律规则不匹配。,10. 高某与李某系高某翔的叔婶，自二人患病后，高某翔 专职照顾他们。二人出于感激，令高某翔的妻子代 书《遗嘱》，内容力由高某翔负责二人生养死葬，其全 部遗产由高某翔继承。高某翔对此毫不知情。二人 去世后，高某与李某的独生子高某亮得知《遗嘱》内 容，表示强烈反对，以高某翔为被告提起诉讼，请求 确认涉案《遗嘱》无效。对本案分析正确的是 《中华人民共和国民 法典》第一千一百三十一 条 对继承人以外的依靠 被继承人扶养的人，或者 继承人以外的对被继承人 扶养较多的人，可以分给 适当的遗产。 A. 该遗嘱实遗赠抚养协议，遗产应由高某翔取得 B. 高某翔因照顾被继承人，可以继承适当的遗产 C.该遗嘱无效，遗产应按法定继承处理 D. 因高某翔对被继承人尽主要赡养义务，应视其为第一顺位继承人,,
2024_东城_一模_001,2024,东城,一模,2024东城一模,11,A,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,在陆某州等人为获取经济利益，通过盗割方式毁坏国家二级保护野生植物闽楠。檢 察院对陆某州等人提起刑事附带民事公益诉讼，法院依法判决，并在审理过程中发 出全国首份《古树救治令》，委托第三方对受损树干进行救治。案件审理后，法院向 相关单位发出司法建议，政府采取措施对古树进行实时监控。下列……中，应选A，核心判断是“①②”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,B项不对在主体、行为、权利义务或适用条件没有扣准，因为“①③”与题面事实或法律规则不匹配。；C项不对在主体、行为、权利义务或适用条件没有扣准，因为“②④”与题面事实或法律规则不匹配。；D项不对在主体、行为、权利义务或适用条件没有扣准，因为“③④”与题面事实或法律规则不匹配。,11.陆某州等人为获取经济利益，通过盗割方式毁坏国家二级保护野生植物闽楠。檢 察院对陆某州等人提起刑事附带民事公益诉讼，法院依法判决，并在审理过程中发 出全国首份《古树救治令》，委托第三方对受损树干进行救治。案件审理后，法院向 相关单位发出司法建议，政府采取措施对古树进行实时监控。下列说法正确的是 ①司法与行政同频共振，发挥各自在古树保护中的职能优势 ②坚持能动司法，探索司法保护与生态保护修复相结合的新途径 ③毁坏古树适用无过错责任原则，人民检察院依法提起公诉 ④政府对法院负责，法院保护古树的司法建议对其有约束力 A. ①② B. ①③ C.②④ D.③④,,
2024_朝阳_二模_003,2024,朝阳,二模,2024朝阳二模,11,,,"在小李父母名下有一套房产,其母 2018 年去世,未立遗嘱。 小李的外祖父母 2020 年去 世,舅舅在世。 小李父亲 2022 年去世,去世前立下遗嘱,将名下房产由小李继承。 此 后,小李携父亲遗嘱到公证处,欲办理该套房产的继承手续。 对此,下列说法正确的是中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。",答案未锁定，暂不生成错项句。,"11. 小李父母名下有一套房产,其母 2018 年去世,未立遗嘱。 小李的外祖父母 2020 年去 世,舅舅在世。 小李父亲 2022 年去世,去世前立下遗嘱,将名下房产由小李继承。 此 后,小李携父亲遗嘱到公证处,欲办理该套房产的继承手续。 对此,下列说法正确的是 ①小李父亲拥有的房产份额按照遗嘱全部由小李继承 ②小李无需取得其舅舅的同意,就可以取得该房产的全部产权 ③小李母亲去世后,其名下房产份额依法定继承规定,一般应当均等分配 ④小李外祖父母去世后,小李以第二顺序继承人身份可继承相应房产份额 A. ①② B. ①③ C. ②④ D. ③④",,答案未从可靠答案表或逐题解析锁定
2024_朝阳_二模_003,2024,朝阳,二模,2024朝阳二模,12,,,"在刘某和张某在某场地进行羽毛球比赛。 比赛中刘某举拍防守未果,被羽毛球击中右 眼,右眼视力受损严重。 刘某遂诉至法院,要求张某赔偿多项费用。 一审法院判决驳 回刘某诉讼请求,二审法院维持原判。 关于本案,下列说法正确的是中，本题暂不写死答案，因为 v2 未从可靠答案表锁定客观答案；先保留题面，等待答案源核验。",答案未锁定，暂不生成错项句。,"12. 刘某和张某在某场地进行羽毛球比赛。 比赛中刘某举拍防守未果,被羽毛球击中右 眼,右眼视力受损严重。 刘某遂诉至法院,要求张某赔偿多项费用。 一审法院判决驳 回刘某诉讼请求,二审法院维持原判。 关于本案,下列说法正确的是 A. 本次诉讼中,刘某和张某都有委托辩护人、申请回避和上诉的权利 B. 自诉人刘某可就张某的行为向法院提起诉讼,追究张某的刑事责任 C. 刘某提起的诉讼属于解决平等主体之间的民事权利和义务纠纷的民事诉讼 D. 刘某不服二审裁判,可以请求启动审判监督程序或向上一级法院提出上诉",,答案未从可靠答案表或逐题解析锁定
2024_海淀_一模_005,2024,海淀,一模,2024海淀一模,8,D,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,在司法建议是具有中国特色的司法制度。人民法院聚焦反复发生、同时发生的类似案件，对其案 发原因深入开展调查研究，提出具有前瞻性的司法建议，及时向有关主管机关或其他有关单 位发送司法建议书，变定分止争、化解矛盾为提前预防、综合治理，努力做到“抓末端，治 已病；抓前端，治未病” 。可见，……中，应选D，核心判断是“积极回应社会关切，促进社会治理提升到更高水平”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,A项不对在主体、行为、权利义务或适用条件没有扣准，因为“保障公民享有更多民主权利，激发其政治参与热情”与题面事实或法律规则不匹配。；B项不对在主体、行为、权利义务或适用条件没有扣准，因为“有助于人民法院行使监察权，维护法制统一和权威”与题面事实或法律规则不匹配。；C项不对在主体、行为、权利义务或适用条件没有扣准，因为“拓宽民主协商的渠道，推动各单位更好地履职尽责”与题面事实或法律规则不匹配。,8．司法建议是具有中国特色的司法制度。人民法院聚焦反复发生、同时发生的类似案件，对其案 发原因深入开展调查研究，提出具有前瞻性的司法建议，及时向有关主管机关或其他有关单 位发送司法建议书，变定分止争、化解矛盾为提前预防、综合治理，努力做到“抓末端，治 已病；抓前端，治未病” 。可见，司法建议的提出 A．保障公民享有更多民主权利，激发其政治参与热情 B．有助于人民法院行使监察权，维护法制统一和权威 C．拓宽民主协商的渠道，推动各单位更好地履职尽责 D．积极回应社会关切，促进社会治理提升到更高水平,,
2024_海淀_一模_005,2024,海淀,一模,2024海淀一模,10,D,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,在销售员张某在某公司工作三年后，公司与其签订补充协议，约定每月销售额低于 3 万元无工 资；连续两个月销售额低于 3 万元，公司将予以辞退。后来，公司以张某连续三个月业绩未 达标为由，拒绝支付其当月工资，并发出解除劳动合同通知。依据下列法律条款可推知 中华人民共和国劳动合同法 第四……中，应选D，核心判断是“公司解除与张某的劳动合同，侵害了张某的合法权益 高三年级（思想政治） 第 4 页（共 8 页）”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,A项不对在劳动关系或用人单位责任边界不准，因为“补充协议是对劳动合同的变更，所以没有法律约束力”与题面事实或法律规则不匹配。；B项不对在条件说绝对或忽略法定前提，因为“如张某经培训仍不能业绩达标，公司可立即解除合同”与题面事实或法律规则不匹配。；C项不对在纠纷解决程序或法律效力错位，因为“张某若申请劳动仲裁，裁决一经作出即发生法律效力”与题面事实或法律规则不匹配。,10．销售员张某在某公司工作三年后，公司与其签订补充协议，约定每月销售额低于 3 万元无工 资；连续两个月销售额低于 3 万元，公司将予以辞退。后来，公司以张某连续三个月业绩未 达标为由，拒绝支付其当月工资，并发出解除劳动合同通知。依据下列法律条款可推知 中华人民共和国劳动合同法 第四十条 有下列情形之一的，用人单位提前三十日以书面形式通知劳动者本人或 者额外支付劳动者一个月工资后，可以解除劳动合同： （一） …… （二）劳动者不能胜任工作，经过培训或者调整工作岗位，仍不能胜任工作的； （三）劳动合同订立时所依据的客观情况发生重大变化，致使劳动合同无法履行，经 用人单位与劳动者协商，未能就变更劳动合同内容达成协议的。 A．补充协议是对劳动合同的变更，所以没有法律约束力 B．如张某经培训仍不能业绩达标，公司可立即解除合同 C．张某若申请劳动仲裁，裁决一经作出即发生法律效力 D．公司解除与张某的劳动合同，侵害了张某的合法权益 高三年级（思想政治） 第 4 页（共 8 页）,,
2024_海淀_一模_005,2024,海淀,一模,2024海淀一模,11,C,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,在龚某与蔡某等人在一小区的空地上踢足球。为了抢球，龚某侧身跃起的时候将蔡某压倒在地， 致其右手受伤，蔡某遂提起民事诉讼，要求赔偿损失，法院判决驳回其诉讼请求。下列对本案 的推断中，正确的是中，应选C，核心判断是“②③”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,A项不对在主体、行为、权利义务或适用条件没有扣准，因为“①②”与题面事实或法律规则不匹配。；B项不对在主体、行为、权利义务或适用条件没有扣准，因为“①④”与题面事实或法律规则不匹配。；D项不对在主体、行为、权利义务或适用条件没有扣准，因为“③④”与题面事实或法律规则不匹配。,11．龚某与蔡某等人在一小区的空地上踢足球。为了抢球，龚某侧身跃起的时候将蔡某压倒在地， 致其右手受伤，蔡某遂提起民事诉讼，要求赔偿损失，法院判决驳回其诉讼请求。下列对本案 的推断中，正确的是 ①蔡某受伤是因不可抗力引起的，龚某无需承担赔偿责任 ②判决结果体现民法公平原则，合理确定双方权利和义务 ③庭审过程中，审判长询问双方是否同意调解，如果同意则合议庭主持调解 ④如果蔡某不服法院判决结果，可以在判决后十日内申请启动审判监督程序 A．①② B．①④ C．②③ D．③④,,
2024_海淀_一模_005,2024,海淀,一模,2024海淀一模,13,A,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,在小蘑菇种出“大产业” 。某县引进农业农村部主推的食用菌系列专利技术，新建食用菌大棚， 带动包棚农户增收致富；通过土地流转让村集体经济和村民收入“双增” ，为“弱劳动力” 提供公益岗位、临时用工等就业机会，不断拓宽群众增收渠道。该县中，应选A，核心判断是“①②”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,B项不对在主体、行为、权利义务或适用条件没有扣准，因为“①③”与题面事实或法律规则不匹配。；C项不对在主体、行为、权利义务或适用条件没有扣准，因为“②④”与题面事实或法律规则不匹配。；D项不对在主体、行为、权利义务或适用条件没有扣准，因为“③④”与题面事实或法律规则不匹配。,13．小蘑菇种出“大产业” 。某县引进农业农村部主推的食用菌系列专利技术，新建食用菌大棚， 带动包棚农户增收致富；通过土地流转让村集体经济和村民收入“双增” ，为“弱劳动力” 提供公益岗位、临时用工等就业机会，不断拓宽群众增收渠道。该县 ①通过科技助农，促进农业和农村发展 ②实行多元要素参与分配，共享发展红利 ③通过土地流转，实现农村耕地非农化 ④调动包棚农户积极性，增加转移性收入 A．①② B．①③ C．②④ D．③④,,
2024_东城_二模_007,2024,东城,二模,东城二模,6,C,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf,在某纺织印染企业超标排污被罚、资金链断裂、陷人半歇业状态。面对债权人的破产 清算请求，法院并未按照常规方法直接予以破产审理，而是致力于探究盘活企业的 方法，会同环保部门促其合规整改、更新环保设备、全面复工复产。最终，该企业的 债务基本清偿，重获新生。该法院中，应选C，核心判断是“秉承创新思维，助力企业纾困和环境改善”；其他项主要错在没有同时扣准主体关系、行为事实和法律后果。,A项不对在主体、行为、权利义务或适用条件没有扣准，因为“运用司法救助亮明司法态度，传递司法温度”与题面事实或法律规则不匹配。；B项不对在主体、行为、权利义务或适用条件没有扣准，因为“贯彻绿色理念，为案件审理提供有效法律援助”与题面事实或法律规则不匹配。；D项不对在主体、行为、权利义务或适用条件没有扣准，因为“以法治的确定性提振信心，完善企业治理结构”与题面事实或法律规则不匹配。,6.某纺织印染企业超标排污被罚、资金链断裂、陷人半歇业状态。面对债权人的破产 清算请求，法院并未按照常规方法直接予以破产审理，而是致力于探究盘活企业的 方法，会同环保部门促其合规整改、更新环保设备、全面复工复产。最终，该企业的 债务基本清偿，重获新生。该法院 A. 运用司法救助亮明司法态度，传递司法温度 B. 贯彻绿色理念，为案件审理提供有效法律援助 C.秉承创新思维，助力企业纾困和环境改善 D. 以法治的确定性提振信心，完善企业治理结构,,
