suite_id,year,district,stage,suite_name,suite_path,paper_files,rubric_files,support_files,extraction_status,xuanbier_status,notes
2024_东城_一模_001,2024,东城,一模,2024东城一模,/Users/wanglifei/Desktop/2024模拟题/2024东城一模,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,"/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx
/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf",,extracted; vision_ocr,has_xuanbier,v2 严格题段锁定 4 道候选。
2024_朝阳_一模_002,2024,朝阳,一模,2024朝阳一模,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,"/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx
/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/补充材料/细则.docx",/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx,extracted,uncertain,题面未锁定候选，但细则/讲评中有法律信号，需人工复核是否 OCR 或切题失败。
2024_朝阳_二模_003,2024,朝阳,二模,2024朝阳二模,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,"/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf
/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx",,extracted,has_xuanbier,v2 严格题段锁定 3 道候选。
2024_朝阳_期中_004,2024,朝阳,期中,2024朝阳期中,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,"/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx
/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/2024.11期中政治朝阳评标2.docx
/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/细则.rtf",/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/补充材料/202411朝阳高三政治 期中1试题(1).pdf,extracted; extracted_textutil,uncertain,题面有零散私法/程序法信号，但未形成稳定题段。
2024_海淀_一模_005,2024,海淀,一模,2024海淀一模,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,"/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx
/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/补充材料/一模政治-答案.docx",,extracted,has_xuanbier,v2 严格题段锁定 5 道候选。
2024_海淀_期中_006,2024,海淀,期中,2024海淀期中,/Users/wanglifei/Desktop/2024模拟题/2024海淀期中,/Users/wanglifei/Desktop/2024模拟题/2024海淀期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024海淀期中/细则/细则.pdf,,extracted,uncertain,题面未锁定候选，但细则/讲评中有法律信号，需人工复核是否 OCR 或切题失败。
2024_东城_二模_007,2024,东城,二模,东城二模,/Users/wanglifei/Desktop/2024模拟题/东城二模,/Users/wanglifei/Desktop/2024模拟题/东城二模/试卷/试卷.pdf,"/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题二模阅卷总结.docx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题评分细则.pptx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/17题/17(1).docx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/17题/17-2.docx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/18题/18(1).docx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/18题/18（2）.docx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（1）.docx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（2）.docx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/20小题二模阅卷总结.docx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/21.docx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/21题(1).pptx
/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf",,extracted; vision_ocr,has_xuanbier,v2 严格题段锁定 4 道候选。
2024_丰台_一模_008,2024,丰台,一模,丰台一模,/Users/wanglifei/Desktop/2024模拟题/丰台一模,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/丰台一模/细则/细则.docx,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf,extracted,uncertain,题面未锁定候选，但细则/讲评中有法律信号，需人工复核是否 OCR 或切题失败。
2024_丰台_二模_009,2024,丰台,二模,丰台二模,/Users/wanglifei/Desktop/2024模拟题/丰台二模,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,,extracted; vision_ocr,has_xuanbier,v2 严格题段锁定 3 道候选。
2024_海淀_二模_010,2024,海淀,二模,海淀二模,/Users/wanglifei/Desktop/2024模拟题/海淀二模,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf,"/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx
/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/补充材料/高三二模：政治答案(2).docx",/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/补充材料/高三二模：政治试题（以PDF为准）(1).docx,extracted,has_xuanbier,v2 严格题段锁定 2 道候选。
2024_石景山_一模_011,2024,石景山,一模,石景山一模,/Users/wanglifei/Desktop/2024模拟题/石景山一模,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/石景山一模/细则/细则.pptx,,extracted,has_xuanbier,v2 严格题段锁定 3 道候选。
2024_西城_一模_012,2024,西城,一模,西城一模,/Users/wanglifei/Desktop/2024模拟题/西城一模,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,"/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx
/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/补充材料/2024.4高三统一测试思想政治答案.docx",,extracted,has_xuanbier,v2 严格题段锁定 3 道候选。
2024_西城_二模_013,2024,西城,二模,西城二模,/Users/wanglifei/Desktop/2024模拟题/西城二模,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx,"/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx
/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/补充材料/高三模拟测试思想政治答案.docx","/Users/wanglifei/Desktop/2024模拟题/西城二模/其他材料/西城东城二模选择题讲评.pdf
/Users/wanglifei/Desktop/2024模拟题/西城二模/其他材料/西城东城二模选择题讲评.pptx",extracted,has_xuanbier,v2 严格题段锁定 5 道候选。
2024_顺义_二模_014,2024,顺义,二模,顺义思政二模,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,,extracted,has_xuanbier,v2 严格题段锁定 5 道候选。
2025_东城_一模_015,2025,东城,一模,2025东城一模,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf,,extracted,has_xuanbier,v2 严格题段锁定 1 道候选。
