source_id,path,sha256,size_bytes,mtime,role,extract_path,text_extract_source
SRC_EXAM_2026_SHUNYI_ERMO_Q20,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/试卷/26顺义二模(1).pdf,fb15943f37f694ac19837e8c5e75fb0272b38eae27ec5529bb037fa163c2a403,5780991,2026-05-18T21:19:22+08:00,exam_prompt_for_doc_order_116_from_desktop_original_path,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_024/SRC_EXAM_2026_SHUNYI_ERMO_Q20.txt,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/02_extracted_text/SRC_d421a3c089_26顺义二模_1.txt
SRC_RUBRIC_2026_SHUNYI_ERMO_Q20,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/细则/26顺义二模评标.doc,643322688930483cce2aebff33fca339c45d22d7a0f6b9f98970c353fe8ee961,60416,2026-05-18T21:32:19+08:00,formal_rubric_for_doc_order_116_from_desktop_original_path,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_024/SRC_RUBRIC_2026_SHUNYI_ERMO_Q20.txt,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/02_extracted_text/SRC_57615a8445_26顺义二模评标.txt
SRC_EXAM_2024_HAIDIAN_YIMO_Q18_1,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,4bc0edec2a08a90ef83b813fd06a431d5ee7a1fc68cf77bd65b2c98d553d2eaa,658903,2026-04-23T17:11:42+08:00,exam_prompt_for_doc_order_117_reused_from_slice017,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_024/SRC_EXAM_2024_HAIDIAN_YIMO_Q18_1.txt,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_017/SRC_EXAM_2024_HAIDIAN_YIMO_Q18_1.txt
SRC_RUBRIC_2024_HAIDIAN_YIMO_Q18_1,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,b692254ceb1b81747ef1b03d5e5f42daeb261dab7b8951bcbb992980e56ad378,67046,2026-04-23T17:11:39+08:00,formal_rubric_for_doc_order_117_reused_from_slice017,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_024/SRC_RUBRIC_2024_HAIDIAN_YIMO_Q18_1.txt,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_017/SRC_RUBRIC_2024_HAIDIAN_YIMO_Q18_1.txt
SRC_EXAM_2026_CHAOYANG_YIMO_Q20,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/试卷/试卷.pdf,585b15124610aff7afffd93a3c4753f4b89eb9cd2dc1060a17022cecb4d8a8d9,668962,2026-04-23T16:59:57+08:00,exam_prompt_for_doc_order_118_reused_from_slice016,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_024/SRC_EXAM_2026_CHAOYANG_YIMO_Q20.txt,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_016/SRC_EXAM_2026_CHAOYANG_YIMO_Q20.txt
SRC_RUBRIC_2026_CHAOYANG_YIMO_Q20,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/细则/细则.docx,3a11db4bade216d1f174fab8e1b27f29e9b12e1a6b309296103b20e7c67c230d,24525,2026-04-23T16:59:54+08:00,formal_rubric_for_doc_order_118_reused_from_slice016,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_024/SRC_RUBRIC_2026_CHAOYANG_YIMO_Q20.txt,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_016/SRC_RUBRIC_2026_CHAOYANG_YIMO_Q20.txt
SRC_EXAM_2026_SHIJINGSHAN_YIMO_Q20,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/试卷/试卷.pdf,0d4a5cd29c2e69615b523f3c9a7d0170dcc7a1e3362e8e1e1f68ab6c2cd7a2de,701385,2026-04-23T17:04:14+08:00,exam_prompt_for_doc_order_119_reused_from_slice018,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_024/SRC_EXAM_2026_SHIJINGSHAN_YIMO_Q20.txt,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_018/SRC_EXAM_2026_SHIJINGSHAN_YIMO_Q20.txt
SRC_RUBRIC_2026_SHIJINGSHAN_YIMO_Q20,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/细则/细则.doc,78d97b669465d8a5bf5290a80e0c500f202c2ee8aa2e7bf6ed082a1be6a57ef3,61440,2026-04-23T17:04:08+08:00,formal_rubric_for_doc_order_119_reused_from_slice018,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_024/SRC_RUBRIC_2026_SHIJINGSHAN_YIMO_Q20.txt,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_018/SRC_RUBRIC_2026_SHIJINGSHAN_YIMO_Q20.txt
SRC_EXAM_2025_MENTOUGOU_YIMO_Q19,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/试卷/试卷.pdf,1d8a23fe11f59810bcbe7bb7bfd3ecdd9ff89e3bfd5e422559ca6200e18cc009,754233,2026-04-23T17:06:07+08:00,exam_prompt_for_doc_order_120_from_desktop_original_path,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_024/SRC_EXAM_2025_MENTOUGOU_YIMO_Q19.txt,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2025/2025门头沟一模/2025各区一模__2025门头沟一模__试卷__试卷.pdf.txt
SRC_RUBRIC_2025_MENTOUGOU_YIMO_Q19,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/细则/细则.doc,26d9b228064053c19109fc9d3462d2e4cc561009b2d2229d4ec60055a2229973,29742,2026-04-23T17:06:05+08:00,formal_rubric_for_doc_order_120_from_desktop_original_path,/Users/wanglifei/Desktop/北京高考政治/reports/选必一宝典_桌面原文件逐字逐题复核_20260617_151852/05_source_backcheck/slice_024/SRC_RUBRIC_2025_MENTOUGOU_YIMO_Q19.txt,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2025/2025门头沟一模/2025各区一模__2025门头沟一模__细则__细则.doc.txt
