sentence_id,所属框架节点,适用材料信号,适用设问类型,句式模板,必写关键词,可替换词,必须带入的材料信息,对应 question_id,对应 rubric_atom_id,证据等级,禁止乱用场景,容易写空的版本,推荐考场版本
V8_S001,V8_N1 先表态,设问问是否支持诉求；材料有隐私或消费者权益受侵害,是否支持/能否支持,支持/不支持【某诉求】。因为【法律规则】，材料中【事实】，所以【责任】。,支持/不支持；法律规则；材料事实；责任,支持=应予支持；责任=侵权责任/违约责任/赔偿责任,诉求对象、侵害事实、责任方式,CC0305_2026_海淀_一模_18_3,R_CC0305_2026_海淀_一模_18_3_P01,formal / PASS_RECOVERED,设问没有要求表态时，不要硬写支持/不支持,商家侵犯消费者合法权益，应依法承担责任。,支持原告诉讼请求。商家公开包厢监控录像和聊天信息，侵害消费者隐私权，应承担停止侵权、赔礼道歉等责任。
V8_S002,V8_N1 先表态,商家公开私密空间、监控、聊天信息、个人信息,是否支持/侵权责任,【私密活动/信息】受隐私权保护，任何组织或个人不得【公开/泄露/侵扰】；材料中【行为】侵害隐私权，应【责任】。,隐私权；公开/泄露；停止侵权；赔礼道歉,公开=泄露；责任=停止侵害/赔礼道歉,包间私密性、公开监控或聊天信息,CC0305_2026_海淀_一模_18_3,R_CC0305_2026_海淀_一模_18_3_P02,formal / PASS_RECOVERED,没有私密空间或私密信息公开，不写隐私权,商家侵犯人格权。,消费者在包间内活动具有私密性，商家公开包厢监控录像和聊天信息，侵害消费者隐私权，应承担停止侵权、赔礼道歉等责任。
V8_S003,V8_N1 先表态,经营者夸大功效、虚假宣传、诱导消费,消费者权益/是否支持赔偿,经营者应保障消费者【知情权】，提供【真实全面信息】；材料中【虚假宣传事实】构成欺诈，应【退款/惩罚性赔偿】。,知情权；真实全面信息；虚假宣传；欺诈；退款；惩罚性赔偿,真实全面=真实、准确、完整；欺诈=误导消费者,夸大治疗功效或隐瞒真实信息,CC0305_2026_海淀_一模_18_3,R_CC0305_2026_海淀_一模_18_3_P03,formal / PASS_RECOVERED,没有欺诈或虚假宣传事实，不写惩罚性赔偿,经营者应诚信经营。,赵某夸大治疗功效诱导消费，侵犯消费者知情权并构成欺诈，应退款并承担惩罚性赔偿责任。
V8_S004,V8_N2 一格一句,完成裁判理由；AI 工具参与图片创作；有人未经许可使用并抹水印,完成裁判理由/著作权,【人】使用 AI 工具形成的【作品】具有【智力成果和独创性】，依法受著作权法保护；他人【未经许可行为】侵害【权利】，应承担【责任】。,智力成果；独创性；著作权法保护；未经许可；署名权/信息网络传播权；侵权责任,作品=图片/文章/视频；未经许可=擅自,创作者、作品、使用方式、抹水印/署名,CC0137_2025_昌平_二模_20,R_CC0137_2025_昌平_二模_20_02|R_CC0137_2025_昌平_二模_20_03|R_CC0137_2025_昌平_二模_20_04,formal / PASS,不能把 AI 本身写成著作权主体；没有独创性材料时慎用,AI 作品应受保护，侵权者担责。,李某使用 AI 软件制作并发布的图片具有智力成果和独创性，依法受著作权法保护；刘某未经许可使用并抹去水印，侵害信息网络传播权和署名权，应承担侵权责任。
V8_S005,V8_N2 一格一句,信用卡、合同条款、透支后经催告仍不还,完成裁判理由/合同违约,双方【合同/手续】系真实意思表示且内容合法有效，对双方有约束力；【未履行事实】构成违约，违反【原则】，应承担【责任】。,真实意思表示；合同有效；有约束力；违约；诚信原则；全面履行原则,合同=合约/协议；责任=违约责任/还本付息,认可条款、透支消费、催告未还,CC0137_2025_昌平_二模_20,R_CC0137_2025_昌平_二模_20_08|R_CC0137_2025_昌平_二模_20_09|R_CC0137_2025_昌平_二模_20_12,formal / PASS,没有合同约定或履行事实，不套合同有效违约模板,小王不诚信，应还钱。,小王与银行之间的信用卡合同合法有效，对双方有约束力；小王透支后经催告仍不还款，构成违约，应承担还本付息等违约责任。
V8_S006,V8_N3 分主体评析,市场主体捏造事实贬损竞争者,评析行为/不正当竞争,【主体】为【目的】捏造事实贬损【竞争者】，属于【商业诋毁/不正当竞争】，违背【诚信原则】。,捏造事实；商业诋毁；不正当竞争；诚信原则,贬损=诋毁；竞争优势=交易机会,谁捏造、诋毁谁、目的是什么,CC0238_2026_东城_二模_19,R_CC0238_2026_东城_二模_19_M17_01,formal / PASS,没有竞争关系和捏造事实，不写商业诋毁,乙公司不诚信，不利于市场。,乙公司捏造事实贬损丙公司，以不正当手段获取竞争优势，构成商业诋毁和不正当竞争，违背诚信原则。
V8_S007,V8_N3 分主体评析,合同履行中管理混乱、延期、造成损失,评析行为/合同违约,【主体】因【履行问题】未全面履行合同义务，导致【损失】，构成违约，应承担【赔偿损失等责任】。,未全面履行合同；违约；赔偿损失,延期=迟延履行；损失=经济损失,合同履行问题和损失后果,CC0238_2026_东城_二模_19,R_CC0238_2026_东城_二模_19_M17_02|R_CC0238_2026_东城_二模_19_M17_03,formal / PASS,只是不满意服务但无合同义务，不直接判违约,乙公司应承担法律责任。,乙公司进场施工后管理混乱导致项目严重延期，未全面履行合同义务，构成违约，应赔偿甲公司损失。
V8_S008,V8_N3 分主体评析,劳动者未经查证、违规签约、违反岗位职责,评析行为/劳动义务,【劳动者/工作人员】因【行为】违反劳动纪律和职业道德，没有正确履行劳动者义务，应坚持【权利义务相统一】。,劳动纪律；职业道德；劳动者义务；权利与义务相统一,工作人员=项目负责人/员工,未经查证、违规行为、造成后果,CC0238_2026_东城_二模_19,R_CC0238_2026_东城_二模_19_M17_04|R_CC0238_2026_东城_二模_19_M17_05,formal / PASS,非劳动关系或非岗位职责材料，不套劳动纪律,张某做法不对。,张某未经查证违规签约，违反劳动纪律和职业道德，没有正确履行劳动者义务。
V8_S009,V8_N4 定关系定责,报价内容具体明确、中标通知送达,合同成立理由,【报价/申请】内容具体确定，属于要约；【确认/通知】属于承诺，送达后合同成立。,内容具体确定；要约；承诺；送达；合同成立,报价=投标/申请；通知=中标通知/确认函,谁报价、谁确认、通知是否送达,CC0054_2024_石景山_一模_17,R_CC0054_2024_石景山_一模_17_M17_01|R_CC0054_2024_石景山_一模_17_M17_02|R_CC0054_2024_石景山_一模_17_M17_03,formal / PASS,只有磋商但没有明确承诺，不直接写合同成立,双方意思表示一致，所以合同成立。,甲公司参与比选并报价，内容具体确定，属于要约；乙公司确认甲公司中标并送达中标通知，属于承诺，通知送达后双方合同成立。
V8_S010,V8_N4 定关系定责,合同一方明确不履行，造成差价或损失,合同履约/判决意义,法院要求【违约方】承担【差价/损失】，体现【诚信、公平、绿色等原则】，有利于维护【具体交易秩序】。,诚信原则；公平原则；绿色原则；交易市场秩序,承担差价=赔偿损失；交易秩序=市场秩序,违约事实、法院判决、具体市场类型,CC0054_2024_石景山_一模_17,R_CC0054_2024_石景山_一模_17_M17_04|R_CC0054_2024_石景山_一模_17_M17_05|R_CC0054_2024_石景山_一模_17_M17_06,formal / PASS,不要脱离合同判决直接写绿色发展,该判决有利于绿色发展。,法院判决要求违约方承担差价，体现诚信、公平和绿色原则，有利于维护碳排放权交易市场正常秩序。
