qid,year,suite,qnum,type,category,legal_keyword_count,anti_keyword_count,legal_keywords,source_file,body_length
2024__2024东城一模__Q1,2024,2024东城一模,1,choice,xuanbier_choice,11,3,"无过错责任,过错责任,物权,抚养,赡养,继承,法定继承,遗嘱,遗赠,遗产",2024东城一模__试卷__试卷.pdf.txt,1820
2024__2024朝阳二模__Q11,2024,2024朝阳二模,11,choice,xuanbier_choice,3,0,"继承,法定继承,遗嘱",2024朝阳二模__试卷__试卷.pdf.txt,310
2024__2024朝阳二模__Q12,2024,2024朝阳二模,12,main,xuanbier_main,2,0,"诉讼,民事诉讼",2024朝阳二模__试卷__试卷.pdf.txt,274
2024__2024朝阳二模__Q17,2024,2024朝阳二模,17,main,xuanbier_main,4,0,"合同,劳动合同,经济补偿,仲裁",2024朝阳二模__试卷__试卷.pdf.txt,918
2024__2024朝阳期中__Q12,2024,2024朝阳期中,12,choice,xuanbier_choice_uncertain,1,0,经营者,2024朝阳期中__试卷__补充材料__202411朝阳高三政治_期中1试题(1).pdf.txt,259
2024__2024朝阳期中__Q12,2024,2024朝阳期中,12,choice,xuanbier_choice_uncertain,1,0,经营者,2024朝阳期中__试卷__试卷.pdf.txt,259
2024__丰台一模__Q7,2024,丰台一模,7,choice,xuanbier_choice,4,1,"侵权,知识产权,专利,惩罚性赔偿",丰台一模__试卷__补充材料__2024北京丰台高三一模政治试题及答案.pdf.txt,1660
2024__丰台二模__Q12,2024,丰台二模,12,choice,xuanbier_choice,8,5,"民法典,民事主体,缔约,侵权,侵权责任,知识产权,专利,诉讼",丰台二模__试卷__试卷.pdf.txt,4194
2024__海淀二模__Q6,2024,海淀二模,6,choice,xuanbier_choice,10,7,"民法典,违约,侵权,侵权责任,继承,遗赠,遗产,诉讼,隐私权,个人信息保护",海淀二模__试卷__补充材料__高三二模_政治试题_以PDF为准_(1).docx.txt,6315
2024__西城一模__Q6,2024,西城一模,6,choice,xuanbier_choice,4,0,"物权,所有权,担保物权,质押",西城一模__试卷__试卷.docx.txt,254
2024__西城一模__Q7,2024,西城一模,7,choice,xuanbier_choice,2,0,"不正当竞争,经营者",西城一模__试卷__试卷.docx.txt,331
2024__西城一模__Q8,2024,西城一模,8,choice,xuanbier_choice,3,0,"调解,人民调解,仲裁",西城一模__试卷__试卷.docx.txt,182
