risk_id,question_id,risk_type,risk_description,affected_files_or_atoms,current_evidence_level,recommended_action,blocks_reasoner,source_locator
RK_0001,CC0019_2024_朝阳_一模_19,material_full_leak_into_rubric,material_text 与 rubric_text 完全相同；material atoms 实为细则句,merged_material_atoms_subjective_*.csv 该题全部 atoms,formal,回源 paper 文件 OCR 重抽 material；formal 状态下必须修，否则该条降级至 reference_only,yes,F0014:text | F0239:text
RK_0002,CC0092_2025_东城_期末_19_1,material_full_leak_into_rubric,material_text 与 rubric_text 完全相同；material atoms 实为细则句,merged_material_atoms_subjective_*.csv 该题全部 atoms,formal,回源 paper 文件 OCR 重抽 material；formal 状态下必须修，否则该条降级至 reference_only,yes,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11
RK_0003,CC0214_2025_门头沟_一模_20_2,material_full_leak_into_rubric,material_text 与 rubric_text 完全相同；material atoms 实为细则句,merged_material_atoms_subjective_*.csv 该题全部 atoms,formal,回源 paper 文件 OCR 重抽 material；formal 状态下必须修，否则该条降级至 reference_only,yes,F0095:text | F0313:text
RK_0004,CC0245_2026_东城_期末_18_2,material_full_leak_into_rubric,material_text 与 rubric_text 完全相同；material atoms 实为细则句,merged_material_atoms_subjective_*.csv 该题全部 atoms,formal,回源 paper 文件 OCR 重抽 material；formal 状态下必须修，否则该条降级至 reference_only,yes,F0205:slide 56
RK_0005,CC0317_2026_海淀_期末_18,material_full_leak_into_rubric,material_text 与 rubric_text 完全相同；material atoms 实为细则句,merged_material_atoms_subjective_*.csv 该题全部 atoms,formal,回源 paper 文件 OCR 重抽 material；formal 状态下必须修，否则该条降级至 reference_only,yes,F0215:text | F0216:page 2 | F0217:page 10 | F0396:page 2
RK_0006,CC0318_2026_海淀_期末_18_2,material_full_leak_into_rubric,material_text 与 rubric_text 完全相同；material atoms 实为细则句,merged_material_atoms_subjective_*.csv 该题全部 atoms,formal,回源 paper 文件 OCR 重抽 material；formal 状态下必须修，否则该条降级至 reference_only,yes,F0216:page 2 | F0396:page 2
RK_0007,CC0319_2026_海淀_期末_19,material_full_leak_into_rubric,material_text 与 rubric_text 完全相同；material atoms 实为细则句,merged_material_atoms_subjective_*.csv 该题全部 atoms,formal,回源 paper 文件 OCR 重抽 material；formal 状态下必须修，否则该条降级至 reference_only,yes,F0215:text | F0216:page 3 | F0217:page 10 | F0396:page 3
RK_0008,CC0353_2026_西城_期末_17,material_full_leak_into_rubric,material_text 与 rubric_text 完全相同；material atoms 实为细则句,merged_material_atoms_subjective_*.csv 该题全部 atoms,reference_only,回源 paper 文件 OCR 重抽 material；formal 状态下必须修，否则该条降级至 reference_only,no,F0221:page 11
RK_0009,CC0131_2025_房山_一模_19,material_text_is_answer_excerpt,"material_text 以""【答案】""或答案分点开头，非真实案件材料",material atoms,formal,回源 paper 文件 OCR 重抽 material,yes,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
RK_0010,CC0180_2025_海淀_期末_20,material_text_is_answer_excerpt,"material_text 以""【答案】""或答案分点开头，非真实案件材料",material atoms,formal,回源 paper 文件 OCR 重抽 material,yes,F0139:text | F0138:slides 39-41; F0139:text Q20
RK_0011,CC0019_2024_朝阳_一模_19,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0014:text | F0239:text
RK_0012,CC0077_2025_东城_一模_19,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
RK_0013,CC0084_2025_东城_二模_19,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
RK_0014,CC0092_2025_东城_期末_19_1,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11
RK_0015,CC0131_2025_房山_一模_19,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
RK_0016,CC0157_2025_朝阳_期末_20,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0135:page 6 | F0135:page 9 | F0133:slides around Q20; F0343:teacher answer Q20
RK_0017,CC0180_2025_海淀_期末_20,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0139:text | F0138:slides 39-41; F0139:text Q20
RK_0018,CC0189_2025_石景山_一模_20,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0091:text | F0092:page 11 | F0092:page 8 | F0309:text
RK_0019,CC0195_2025_西城_一模_20,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0093:text | F0094:page 10 | F0094:page 7 | F0311:text
RK_0020,CC0213_2025_门头沟_一模_20,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0096:page 10 | F0096:page 7 | F0095:text lines 38-55; F0096:text Q20
RK_0021,CC0214_2025_门头沟_一模_20_2,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0095:text | F0313:text
RK_0022,CC0245_2026_东城_期末_18_2,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0205:slide 56
RK_0023,CC0276_2026_房山_二模_17,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0189:text | F0190:text | F0191:page 10
RK_0024,CC0277_2026_房山_二模_18,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0189:text | F0190:text | F0191:page 10
RK_0025,CC0317_2026_海淀_期末_18,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0215:text | F0216:page 2 | F0217:page 10 | F0396:page 2
RK_0026,CC0318_2026_海淀_期末_18_2,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0216:page 2 | F0396:page 2
RK_0027,CC0319_2026_海淀_期末_19,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0215:text | F0216:page 3 | F0217:page 10 | F0396:page 3
RK_0028,CC0325_2026_石景山_一模_18,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,formal,从 full_question_text 解析设问句重写 ask_text,yes,F0167:text | F0168:page 6 | F0168:page 9 | F0377:text
RK_0029,CC0353_2026_西城_期末_17,empty_ask_text,ask_text 字段为空；ask atom 用占位符,merged_subjective_law_questions_*.csv ask_text 字段; ask atom,reference_only,从 full_question_text 解析设问句重写 ask_text,no,F0221:page 11
RK_0030,CC0244_2026_东城_期末_18,stage_corrected_locator,阶段已修正期中→期末；需确认 paper_page/rubric_page 引用文件确属期末套卷,F0205:slide 49 | F0205:slide 55 | F0206:page 6 | F0206:page 8,formal,逐 source_locator 核对 F-id 是否属于期末文件夹,no,F0205:slide 49 | F0205:slide 55 | F0206:page 6 | F0206:page 8
