patch_id,target_file,target_id,question_id,patch_type,current_value,suggested_value,reason,evidence_level_impact,source_locator,must_fix_before_reasoner
QP_0001,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0019_2024_朝阳_一模_19,CC0019_2024_朝阳_一模_19,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0014:text | F0239:text,yes
QP_0002,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0077_2025_东城_一模_19,CC0077_2025_东城_一模_19,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4,yes
QP_0003,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0084_2025_东城_二模_19,CC0084_2025_东城_二模_19,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3,yes
QP_0004,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0092_2025_东城_期末_19_1,CC0092_2025_东城_期末_19_1,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11,yes
QP_0005,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0131_2025_房山_一模_19,CC0131_2025_房山_一模_19,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3,yes
QP_0006,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0157_2025_朝阳_期末_20,CC0157_2025_朝阳_期末_20,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0135:page 6 | F0135:page 9 | F0133:slides around Q20; F0343:teacher answer Q20,yes
QP_0007,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0180_2025_海淀_期末_20,CC0180_2025_海淀_期末_20,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0139:text | F0138:slides 39-41; F0139:text Q20,yes
QP_0008,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0189_2025_石景山_一模_20,CC0189_2025_石景山_一模_20,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0091:text | F0092:page 11 | F0092:page 8 | F0309:text,yes
QP_0009,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0195_2025_西城_一模_20,CC0195_2025_西城_一模_20,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0093:text | F0094:page 10 | F0094:page 7 | F0311:text,yes
QP_0010,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0213_2025_门头沟_一模_20,CC0213_2025_门头沟_一模_20,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0096:page 10 | F0096:page 7 | F0095:text lines 38-55; F0096:text Q20,yes
QP_0011,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0214_2025_门头沟_一模_20_2,CC0214_2025_门头沟_一模_20_2,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0095:text | F0313:text,yes
QP_0012,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0245_2026_东城_期末_18_2,CC0245_2026_东城_期末_18_2,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0205:slide 56,yes
QP_0013,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0276_2026_房山_二模_17,CC0276_2026_房山_二模_17,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0189:text | F0190:text | F0191:page 10,yes
QP_0014,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0277_2026_房山_二模_18,CC0277_2026_房山_二模_18,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0189:text | F0190:text | F0191:page 10,yes
QP_0015,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0317_2026_海淀_期末_18,CC0317_2026_海淀_期末_18,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0215:text | F0216:page 2 | F0217:page 10 | F0396:page 2,yes
QP_0016,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0318_2026_海淀_期末_18_2,CC0318_2026_海淀_期末_18_2,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0216:page 2 | F0396:page 2,yes
QP_0017,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0319_2026_海淀_期末_19,CC0319_2026_海淀_期末_19,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0215:text | F0216:page 3 | F0217:page 10 | F0396:page 3,yes
QP_0018,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0325_2026_石景山_一模_18,CC0325_2026_石景山_一模_18,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0167:text | F0168:page 6 | F0168:page 9 | F0377:text,yes
QP_0019,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0353_2026_西城_期末_17,CC0353_2026_西城_期末_17,update,(empty),recompute_ask_text_from_full_question_text_or_paper_source,ask_text 字段为空但 full_question_text 中含设问；reasoner 必须见到明确设问字段,no_level_change,F0221:page 11,yes
QP_0020,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0019_2024_朝阳_一模_19,CC0019_2024_朝阳_一模_19,source_check_needed,material_text==rubric_text(==answer_text),OCR 回源 paper 文件并以真实案件材料替换 material_text；不可使用细则/答案文本作为材料,"material_text 被细则/答案污染，material atoms 实际是细则句，破坏 reasoner 学习""材料→细则""映射",downgrade_to_reference_only_if_no_source,F0014:text | F0239:text,yes
QP_0021,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0092_2025_东城_期末_19_1,CC0092_2025_东城_期末_19_1,source_check_needed,material_text==rubric_text(==answer_text),OCR 回源 paper 文件并以真实案件材料替换 material_text；不可使用细则/答案文本作为材料,"material_text 被细则/答案污染，material atoms 实际是细则句，破坏 reasoner 学习""材料→细则""映射",downgrade_to_reference_only_if_no_source,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11,yes
QP_0022,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0214_2025_门头沟_一模_20_2,CC0214_2025_门头沟_一模_20_2,source_check_needed,material_text==rubric_text(==answer_text),OCR 回源 paper 文件并以真实案件材料替换 material_text；不可使用细则/答案文本作为材料,"material_text 被细则/答案污染，material atoms 实际是细则句，破坏 reasoner 学习""材料→细则""映射",downgrade_to_reference_only_if_no_source,F0095:text | F0313:text,yes
QP_0023,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0245_2026_东城_期末_18_2,CC0245_2026_东城_期末_18_2,source_check_needed,material_text==rubric_text(==answer_text),OCR 回源 paper 文件并以真实案件材料替换 material_text；不可使用细则/答案文本作为材料,"material_text 被细则/答案污染，material atoms 实际是细则句，破坏 reasoner 学习""材料→细则""映射",downgrade_to_reference_only_if_no_source,F0205:slide 56,yes
QP_0024,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0317_2026_海淀_期末_18,CC0317_2026_海淀_期末_18,source_check_needed,material_text==rubric_text(==answer_text),OCR 回源 paper 文件并以真实案件材料替换 material_text；不可使用细则/答案文本作为材料,"material_text 被细则/答案污染，material atoms 实际是细则句，破坏 reasoner 学习""材料→细则""映射",downgrade_to_reference_only_if_no_source,F0215:text | F0216:page 2 | F0217:page 10 | F0396:page 2,yes
QP_0025,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0318_2026_海淀_期末_18_2,CC0318_2026_海淀_期末_18_2,source_check_needed,material_text==rubric_text(==answer_text),OCR 回源 paper 文件并以真实案件材料替换 material_text；不可使用细则/答案文本作为材料,"material_text 被细则/答案污染，material atoms 实际是细则句，破坏 reasoner 学习""材料→细则""映射",downgrade_to_reference_only_if_no_source,F0216:page 2 | F0396:page 2,yes
