line,source,trigger,v3_audit_id,v3_final_grade,v3_final_status,retained_grade,tag,recommended_action
50,2025北京东城高三二模 第16题（`东城区25届高三政治二模统测阅卷报告 5.9.pdf`）,物质决定意识，意识是对客观存在的反映,V3-FW-0001,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
54,2026北京西城高三（上）期末 第16题第（2）问（教师版参考答案，答案源已入缓存）,物质决定意识，意识是对客观存在的反映,V3-FW-0002,E,E_user_supplement_not_in_workspace,B,【证据：B教师版/评标答案源，V3原E已由缓存答案源补强；材料链为整理者解释】,needs-user-supplement-or-downgrade
58,2024北京朝阳高三二模 第16题（2）（`2024年朝阳二模主观题阅卷总结.pdf`）,物质与意识的辩证关系 / 意识对物质具有能动作用,V3-FW-0003,A,A_scoring_source_trigger_not_text_matched,A,【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,keep-source-but-chain-needs-human-check
63,2026北京海淀高三一模 第16题（`26海淀一模政治评分标准.pdf`；评分标准第16题明列“社会存在与社会意识”，此处按总唯物论近邻补挂）,物质决定意识，意识对物质具有能动作用（近邻口径：社会存在与社会意识）,V3-FW-0252,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
69,2025北京丰台高三（上）期末 第16题（`丰台期末细则.pptx`）,一切从实际出发 / 实事求是,V3-FW-0004,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
73,2025北京朝阳高三（上）期末 第16题（`朝阳期末评标.pdf`扫描页读图核定）,一切从实际出发 / 实事求是,V3-FW-0005,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
77,2025北京丰台高三（上）期末 第7题（教师版答案解析）,一切从实际出发 / 实事求是,V3-FW-0010,C,C_verified_choice_source,C,【证据：C选择题正确项；有可靠答案源】,keep-choice-source
82,2025北京东城高三二模 第16题（`东城区25届高三政治二模统测阅卷报告 5.9.pdf`）,一切从实际出发 / 实事求是,V3-FW-0012,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
86,2026北京西城高三（上）期末 第21题（`西城高三期末评标.pptx`）,一切从实际出发 / 实事求是,V3-FW-0013,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
90,2024北京东城高三二模 第16题（`阅卷总结/16题/16题二模阅卷总结.docx`、`16题评分细则.pptx`）,一切从实际出发 / 实事求是,V3-FW-0014,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
94,2025北京门头沟高三一模 第21题第（2）问（`门头沟一模细则.doc`）,主观与客观、认识与实践具体的历史的统一,V3-FW-0015,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
98,2024北京丰台高三二模 第18题第（2）问（`丰台政治二模阅卷评标.docx`）,一切从实际出发 / 具体问题具体分析 / 尊重客观规律,V3-FW-0017,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
103,2024北京顺义高三二模 第20（2）题（由“2024门头沟一模与顺义二模选择题正确项补充（补证转正）”已证映射反向拆回）,一切从实际出发 / 实事求是,V3-FW-0241,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
108,2026北京房山高三一模 第16（2）题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,一切从实际出发 / 实事求是,V3-FW-0250,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
