atom_id,suite,question,segment,points,evidence_tier,bucket_hint,term_short,term_full,boundary_flag,promotion_status
ATOM-FS2026-Q19-01,2026房山一模,Q19,消费侧机制1(编号1),2分(并入1-5封顶6分),P0_scoring_docx,超大规模市场优势,超大规模市场优势,发挥超大规模市场优势→降低成本提高效率,机制原子编号1属1-5组合6分封顶集合,candidate_for_fusion
ATOM-FS2026-Q19-02,2026房山一模,Q19,消费侧机制2(编号2),2分(并入1-5封顶6分),P0_scoring_docx,贸易投资自由化便利化,货物服务贸易升级/要素自由流动/优化资源配置/贸易投资自由化便利化,货物、服务贸易升级 / 要素自由流动 / 优化资源配置 / 贸易投资自由化便利化,机制原子编号2属1-5组合6分封顶集合-组内四择一,candidate_for_fusion
ATOM-FS2026-Q19-03,2026房山一模,Q19,生产侧机制(编号3),2分(并入1-5封顶6分),P0_scoring_docx,融入全球产业分工和合作,融入全球产业分工和合作,技术研发→提升企业竞争力→产业升级/优化产业结构→融入全球产业分工和合作,机制原子编号3属1-5组合6分封顶集合-生产侧链式,candidate_for_fusion
ATOM-FS2026-Q19-04,2026房山一模,Q19,投资侧机制1(编号4),2分(并入1-5封顶6分),P0_scoring_docx,优化营商环境,优化营商环境,优化营商环境→吸引外商投资,机制原子编号4属1-5组合6分封顶集合,candidate_for_fusion
ATOM-FS2026-Q19-05,2026房山一模,Q19,投资侧机制2(编号5),2分(并入1-5封顶6分),P0_scoring_docx,吸引外商投资,吸引外商投资/引进来,吸引外商投资 / 引进来(高水平引进来),机制原子编号5属1-5组合6分封顶集合,candidate_for_fusion
ATOM-FS2026-Q19-06,2026房山一模,Q19,机制群封顶元数据(1-5 cap),0分(scoring-cap meta),P0_scoring_docx,1-5封顶6分,1-5封顶6分(总分不超过6分),细则原文:表示1-5每个2分总分不超过6分,scoring-cap元数据-不独立赋分仅约束ATOM-01..05合计上限,scoring_cap_meta
ATOM-FS2026-Q19-07,2026房山一模,Q19,中国方案-原理(独立2分组之1),1分(2分组内必拿),P0_scoring_docx,制度型开放,制度型开放,制度型开放(1分),中国方案2分组内原理项-不受1-5封顶约束,candidate_for_fusion
ATOM-FS2026-Q19-08,2026房山一模,Q19,中国方案-落点(独立2分组之2),1分(2分组内三选一),P0_scoring_docx,助力国际循环中国方案/双循环/两市场两资源,助力国际循环中国方案 / 国内大循环吸引全球资源要素 / 增强国内国际两个市场两种资源联动效应,提供助力国际循环中国方案 / 以国内大循环吸引全球资源要素 / 增强国内国际两个市场两种资源联动效应(1分),中国方案2分组内落点项-三选一-不受1-5封顶约束,candidate_for_fusion
ATOM-FS2026-Q19-09,2026房山一模,Q19,答案句修辞(非赋分),0分(boundary),P0_scoring_docx,普惠包容的经济全球化/全球产业链供应链稳定器,普惠包容的经济全球化 / 全球产业链供应链的稳定器,我国以自贸港开放实践助力普惠包容的经济全球化 / 中国市场成为全球产业链供应链的稳定器,参考答案修辞收束未列入细则赋分槽,boundary_only_expression
ATOM-FS2026-Q19-10,2026房山一模,Q19,材料触发(非赋分),0分(material trigger),P0_scoring_docx,材料触发,海南自贸港封关/降低跨境贸易成本/监管模式创新/关税节约投入核心技术,海南自贸港封关 / 降低跨境贸易成本 / 监管模式创新 / 企业节约关税投入核心技术,材料触发承担每条机制材料1分证据角色非独立原理,material_trigger_only
EXCL-FS2026-Q16-1,2026房山一模,Q16(1),经济与社会(必修二),N/A,N/A,N/A,N/A,N/A,模块外(必修二:区位优势/新发展格局/对外开放/新质生产力/乡村振兴-虽含开放修辞但赋分全部在必修二),excluded
EXCL-FS2026-Q16-2,2026房山一模,Q16(2),哲学(必修四),N/A,N/A,N/A,N/A,N/A,模块外(必修四:矛盾普遍性与特殊性/一切从实际出发/联系观),excluded
EXCL-FS2026-Q17-1,2026房山一模,Q17(1),法律与生活(选必二),N/A,N/A,N/A,N/A,N/A,模块外(选必二:民事法律关系主体/客体/内容),excluded
EXCL-FS2026-Q17-2,2026房山一模,Q17(2),法律与生活/法治社会(选必二+必修三),N/A,N/A,N/A,N/A,N/A,模块外(选必二+必修三:平衡民事权益与社会公共利益/公正司法/法治社会),excluded
EXCL-FS2026-Q18-1,2026房山一模,Q18(1),哲学(必修四),N/A,N/A,N/A,N/A,N/A,模块外(必修四:系统优化/矛盾分析/量变质变),excluded
EXCL-FS2026-Q18-2,2026房山一模,Q18(2),政治与法治(必修三),N/A,N/A,N/A,N/A,N/A,模块外(必修三:领导立法/依法立法/民主立法/全过程人民民主),excluded
EXCL-FS2026-Q20,2026房山一模,Q20,等级赋分-哲学+政治(必修一/三/四+选必三),N/A,N/A,N/A,N/A,N/A,模块外(等级赋分9-10分档示例提中国方案但属世界意义级别要素非选必一术语原子),excluded
