question,point_no,check_class,check_dimension,result,detail
ALL,ALL,count,main_question_count_in_md,PASS,"final markdown 含 47 个 ### N. 题号节点（### 1. 至 ### 47.）"
ALL,ALL,count,question_summary_block_count,PASS,"**本题踩分点汇总**：47 个题目级出现（line 7 的导读句不计）"
ALL,ALL,count,audit_matrix_rows,PASS,"all_question_rubric_point_repair_matrix_20260504.csv 含 197 数据行 + 1 表头"
ALL,ALL,count,audit_matrix_unique_questions,PASS,47 个唯一题目
ALL,ALL,reverse_coverage,red_terms_in_matching_question_section,PASS,"对全部 197 行 × red_scoring_terms 项进行子串包含检查，0 缺失"
ALL,ALL,cleanliness,backend_field_leakage,PASS,"扫描 P0_ / P1_ / P2_ / source_refs / evidence_level / source_boundary / atom_expression_variant / 评标 / 参考答案 / 评分细则 / debug / audit / TODO / 路径前缀 /Users/，均未作为学生面文本出现"
2026海淀一模 Q20,1,regression_hard_sample,layer_1_对我国_terms,PASS,"扩大制度型开放／国内国际两个市场、两种资源／畅通双循环／新发展格局／竞争力 全部以红字出现在角度1层"
2026海淀一模 Q20,2,regression_hard_sample,layer_2_对世界经济_terms,PASS,"开放、包容、普惠、平衡、共赢／国际标准／标准共通／技术共享 全部以红字出现在角度2层"
2026海淀一模 Q20,3,regression_hard_sample,layer_3_对全球治理_terms,PASS,"参与全球经济治理和规则制定／全球治理体制／话语权／国际影响力／国际经济新秩序 全部以红字出现在角度3层"
2025海淀期中 Q21(2),ALL,regression_hard_sample,变与不变_layers_split,PASS,"7 层踩分点已切：1-4 为变（世界之变／中国之变实力／思想），5-7 为不变（国家性质／基本立场／宗旨目标准则）；整题汇总卷面答案显式分'变：'与'不变：'两栏"
2026西城期末 Q20,ALL,regression_hard_sample,practice_why_effect_three_layers,PASS,"卷面层级显式标注角度一(中国实践是什么)／角度二(为什么参与)／角度三(效果怎么样)；点位2和点位7在题内用'本题辅助点'/'本题补充表达'明确标边界"
2026通州期末 Q20,ALL,regression_hard_sample,no_haidian_image_pollution,PASS,"卷面层级标注一律为'作答方向第N点'/'通州作答方向第N点'，未见'image2'/'内嵌图片image8'/'海淀图片表格'等其他卷污染"
2026丰台一模 Q19,1-4,source_boundary,reference_answer_guarded,PASS_WITH_GUARDS,"matrix evidence_level=P0_scoring_pptx_reference_answer_guarded；学生卷面层级仅标'PPTX slide42 paragraph N guarded'，guarded 二字英文，对学生无明显含义；建议 Codex A 在卷面层级或使用边界处用中文标'本题为参考答案性质，非逐点细则，按等级答给分'"
2024丰台一模 Q20,1-4,source_boundary,level_aspects_guarded,PASS_WITH_GUARDS,"matrix=P0_scoring_docx_level_aspects_guarded(level_aspects_not_fixed_point_rubric)；学生卷面层级写'答案提示四方面，任选三方面6-7分'，已隐含等级口径，可接受；建议显式追加'本题为等级说明，非逐点细则'"
2026石景山一模 Q20,1-5,source_boundary,reference_level_guarded,PASS_WITH_GUARDS,"matrix=P0_scoring_reference_level_guarded(official_answer_scoring_reference_level_not_point_rubric)；学生卷面层级写'评分参考20：任选关键词 每个关键词使用1个学科用语+合理分析得4分'，等级口径学生可读；可接受"
2025朝阳期末 Q21,1,source_boundary,P1_level_reference_only_aux,PASS_WITH_GUARDS,"matrix promotion_status=reference_only / student_summary_status=included_as_question_auxiliary；该点应在学生条目里标'仅作辅助点位、不作核心背诵'，请 Codex A 双查该题正文是否如此显示"
2025朝阳期末 Q21,2-5,source_boundary,P2_teaching_with_point_scoring,PASS_WITH_GUARDS,"matrix=P2_teaching_lecture_with_point_scoring（讲评 PPT 配点位）；evidence 来源边界已在 matrix 标 candidate_p2_guard，学生卷面层级写'P2讲评PPT slide33/34'，对学生属技术黑话；建议改写成'本题以讲评 PPT 给出点位为准'"
2024东城一模 Q20,1-3,source_boundary,P2_teaching_or_lecture,PASS_WITH_GUARDS,"matrix=P2_teaching_or_lecture(teaching_analysis_ppt_with_scoring_info)；学生卷面层级写'试题分析PPT slide64第N点'，已显式来源；可接受但建议追加'非正式细则，按教研讲评口径'"
2025海淀期中 Q21(2),1-7,source_boundary,user_confirmed_image_scoring,PASS_WITH_GUARDS,"matrix=user_confirmed_image_scoring_material；属用户已确认的内嵌图片细则，可保留；学生卷面层级写'图片image8变4分-世界之变2分'等，含'image8'技术词，建议口径化为'海淀题面表格细则—变 第N层'"
2025海淀二模 Q21,1-4,source_boundary,P1_structured_scoring_answer_plus_P0_marking,PASS_WITH_GUARDS,"matrix=P1+P0(structured_scoring_answer_docx_plus_marking_record)；P1 主导，已加 P0 阅卷记录支撑，可保留；建议在使用边界添加一句说明"
2026通州期末 Q20,2,redword_sourcing,framework_string_reuse_concern,FLAG_FOR_CODEX,"red_scoring_terms='时代主题；和平与发展成为时代主题；顺应各国人民愿望；经济全球化深入发展' 与 2025海淀期中 Q21(2) #1、2026西城期末 Q20 #3 字符串完全相同；source_boundary=mixed_scoring_sources_labeled。修复报告承诺红字来自题内细则/评标/阅卷口径；该串显著像六桶'时代背景：和平与发展仍是时代主题'框架积累词。请 Codex A 出示 2026通州期末第20题正式细则，确认这 4 个词是否真在通州细则中出现，否则替换为通州自己的'治理赤字／主权平等／国际法治／多边主义／以人为本'等通州细则原词"
2026西城期末 Q20,3,redword_sourcing,framework_string_reuse_concern,FLAG_FOR_CODEX,"red_scoring_terms='和平发展合作共赢是时代潮流；非传统安全威胁'；其中'和平发展合作共赢是时代潮流'与西城角度二第1项1分位的'1分'量级匹配，但'非传统安全威胁'未在该题正文卷面句中出现，仅作积累词；请 Codex A 确认西城 Q20 角度二第1项细则是否真把'非传统安全威胁'列为得分词，否则只保留'和平发展合作共赢是时代潮流'"
2026顺义一模 Q20,5,redword_sourcing,multi_term_framework_overlap,FLAG_FOR_CODEX,"red_scoring_terms='构建人类命运共同体；独立自主的和平外交政策；维护世界和平、促进共同发展；义利观'，scoring_position='幻灯片9国际政治3分同一评分功能位'。一组功能位塞 4 个红字术语，且都是'中国'桶的整段框架积累词。请确认是否单点 3 分确实承认这 4 串等价表达，否则压缩到 1-2 个本题真实细则原词"
