条目#,思维方法（章节）,题目（年份·区县·题号）,设问/题号/分值,分类·同题组·角度,阐释质量,优先级
1,科学思维>追求认识的客观性,1. 2026顺义一模 第19题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
2,科学思维>追求认识的客观性,2. 2026顺义二模 第18题第（1）问（主观题）,⚠️ 设问漏标分值“（6分）”。,⚠️ 本题(顺义二模18(1))“结论一”属形式逻辑(矛盾律/思维一致性)，本条只收科学思维客观性，宜注明结论一另属逻辑规则线。,好,中
3,科学思维>追求认识的客观性,3. 2025丰台一模 第18题第（1）问（主观题）,✅ 一致,✅ 合理,中　落点“建立在现实依据之上”未说明材料提供了哪些现实依据，轻微空泛。,中
4,科学思维>追求认识的客观性,4. 2024海淀二模 第17题第（1）问（主观题）,❌ 分值错误：【设问说明】写“原题9分”，经核原题为7分（第17题整题11分=(1)7分+(2)4分）。须改为7分。,✅ 合理,好,高
5,科学思维>追求认识的客观性,5. 2026海淀一模 第17题第（2）问（主观题）,⚠️ 题号“第（2）问”与原卷不符：2026海淀一模第17题“指出逻辑错误+提建议”为一体设问，原卷无“第(2)问”；建议统一标注为“第17题(建议部分)”。,✅ 合理,好,低
6,科学思维>追求认识的客观性,6. 2025石景山一模 第19题（主观题）,✅ 一致,⚠️ 同题采分合并：2025石景山一模19题细则将“客观性+可检验性”合为同一个2分采分点，本条(#6客观性)与#21(可检验性)分列两条，宜加注“同题二者合计2分，非各得2分”。,中　落点方向散乱，客观性与可检验性混写，学生方向不明。,中
7,科学思维>追求认识的客观性,7. 2024丰台一模 第19题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
8,科学思维>追求认识的客观性,8. 2025门头沟一模 第21题第（1）问（主观题）,✅ 一致,✅ 合理,好,—
9,科学思维>追求认识的客观性,9. 2025西城一模 第17题（主观题）,✅ 一致,✅ 合理,好,—
10,科学思维>追求认识的客观性,10. 2026西城二模 第18题第（4）问（主观题）,✅ 一致,✅ 合理,好,—
11,科学思维>追求认识的客观性,11. 2026海淀二模 第18题第（1）问（主观题）,✅ 一致,✅ 合理,好,—
12,科学思维>追求认识的客观性,12. 2026丰台期末 第20题（主观题）,✅ 一致,✅ 合理,中　仅以材料标签词替换通用表述，信息密度偏低。,中
13,科学思维>追求认识的客观性,13. 2024各区一模分类汇编·模拟政协题（参考答案讲评复练题）,✅ 一致,✅ 合理,好,—
14,科学思维>追求认识的客观性,14. 2025海淀期末 第17题第（1）问（主观题）,⚠️ 设问未标分值；该卷细则缺失，采分结构未能核验。,✅ 合理,好,低
15,科学思维>结果具有预见性,1. 2026顺义一模 第19题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
