entry_id,title,visual_signal,asset_count,asset_paths,note
E001,2024 · 东城 · 一模 · 第19题,yes,0,,could not locate matching source page from extracted text
E002,2024 · 东城 · 二模 · 第19题第1问,yes,0,,could not locate matching source page from extracted text
E003,2024 · 东城 · 二模 · 第19题第2问,no,0,,locked text has no explicit image/table cue
E004,2024 · 丰台 · 二模 · 第17题,no,0,,locked text has no explicit image/table cue
E005,2024 · 朝阳 · 二模 · 第17题,yes,0,,could not locate matching source page from extracted text
E006,2024 · 海淀 · 一模 · 第19题,yes,0,,could not locate matching source page from extracted text
E007,2024 · 海淀 · 二模 · 第19题,no,0,,locked text has no explicit image/table cue
E008,2024 · 石景山 · 一模 · 第17题,no,0,,locked text has no explicit image/table cue
E009,2024 · 石景山 · 一模 · 第18题第2问【待确认】,no,0,,locked text has no explicit image/table cue
E010,2024 · 西城 · 一模 · 第18题第1问【待确认】,no,0,,locked text has no explicit image/table cue
E011,2024 · 西城 · 一模 · 第18题第2问【待确认】,no,0,,locked text has no explicit image/table cue
E012,2024 · 西城 · 一模 · 第18题第3问【待确认】,no,0,,locked text has no explicit image/table cue
E013,2024 · 西城 · 二模 · 第16题,no,0,,locked text has no explicit image/table cue
E014,2025 · 东城 · 期末 · 第19题第1问,yes,0,,could not locate matching source page from extracted text
E015,2025 · 东城 · 一模 · 第19题,yes,0,,could not locate matching source page from extracted text
E016,2025 · 东城 · 二模 · 第19题,yes,0,,could not locate matching source page from extracted text
E017,2025 · 丰台 · 期末 · 第19题,yes,0,,could not locate matching source page from extracted text
E018,2025 · 丰台 · 一模 · 第19题,no,0,,locked text has no explicit image/table cue
E019,2025 · 丰台 · 二模 · 第19题第2问,yes,0,,could not locate matching source page from extracted text
E020,2025 · 延庆 · 一模 · 第19题,no,0,,locked text has no explicit image/table cue
E021,2025 · 房山 · 一模 · 第19题,no,0,,locked text has no explicit image/table cue
E022,2025 · 昌平 · 二模 · 第20题第1问,yes,0,,could not locate matching source page from extracted text
E023,2025 · 昌平 · 二模 · 第20题第2问,yes,0,,could not locate matching source page from extracted text
E024,2025 · 朝阳 · 期末 · 第20题,yes,0,,could not locate matching source page from extracted text
E025,2025 · 朝阳 · 一模 · 第19题,no,0,,locked text has no explicit image/table cue
E026,2025 · 朝阳 · 二模 · 第20题第1问,no,0,,locked text has no explicit image/table cue
E027,2025 · 朝阳 · 二模 · 第20题第2问,no,0,,locked text has no explicit image/table cue
E028,2025 · 海淀 · 期中 · 第21题第1问,no,0,,locked text has no explicit image/table cue
E029,2025 · 海淀 · 期末 · 第20题,yes,0,,DOCX source has no extractable embedded raster image; table/box may be native text
E030,2025 · 海淀 · 期末 · 第21题,no,0,,locked text has no explicit image/table cue
E031,2025 · 海淀 · 一模 · 第18题,no,0,,locked text has no explicit image/table cue
E032,2025 · 海淀 · 二模 · 第18题,yes,0,,could not locate matching source page from extracted text
E033,2025 · 石景山 · 一模 · 第20题,yes,0,,could not locate matching source page from extracted text
E034,2025 · 西城 · 期末 · 第19题,no,0,,locked text has no explicit image/table cue
E035,2025 · 西城 · 二模 · 第18题,no,0,,locked text has no explicit image/table cue
E036,2025 · 门头沟 · 一模 · 第20题,yes,0,,could not locate matching source page from extracted text
E037,2025 · 顺义 · 一模 · 第19题第1问,no,0,,locked text has no explicit image/table cue
E038,2025 · 顺义 · 一模 · 第19题第2问,no,0,,locked text has no explicit image/table cue
E039,2026 · 东城 · 期末 · 第18题第1问,no,0,,locked text has no explicit image/table cue
E040,2026 · 东城 · 期末 · 第18题第2问,no,0,,locked text has no explicit image/table cue
E041,2026 · 东城 · 一模 · 第18题,no,0,,locked text has no explicit image/table cue
E042,2026 · 东城 · 二模 · 第19题,no,0,,locked text has no explicit image/table cue
E043,2026 · 丰台 · 一模 · 第20题,no,0,,locked text has no explicit image/table cue
E044,2026 · 延庆 · 一模 · 第18题第1问,no,0,,locked text has no explicit image/table cue
E045,2026 · 房山 · 一模 · 第17题第1问,no,0,,locked text has no explicit image/table cue
E046,2026 · 房山 · 一模 · 第17题第2问【待确认】,no,0,,locked text has no explicit image/table cue
E047,2026 · 朝阳 · 期末 · 第18题第1问,no,0,,locked text has no explicit image/table cue
E048,2026 · 朝阳 · 一模 · 第18题,no,0,,locked text has no explicit image/table cue
E049,2026 · 朝阳 · 二模 · 第18题,no,0,,locked text has no explicit image/table cue
E050,2026 · 海淀 · 一模 · 第18题第3问,yes,0,,could not locate matching source page from extracted text
E051,2026 · 海淀 · 二模 · 第18题第2问,no,0,,locked text has no explicit image/table cue
E052,2026 · 石景山 · 一模 · 第18题,yes,0,,could not locate matching source page from extracted text
E053,2026 · 石景山 · 二模 · 第19题,no,0,,locked text has no explicit image/table cue
E054,2026 · 西城 · 一模 · 第17题,no,0,,locked text has no explicit image/table cue
E055,2026 · 西城 · 二模 · 第18题第1问,no,0,,locked text has no explicit image/table cue
E056,2026 · 西城 · 二模 · 第18题第2问【待确认】,no,0,,locked text has no explicit image/table cue
E057,2026 · 西城 · 二模 · 第18题第3问【待确认】,no,0,,locked text has no explicit image/table cue
E058,2026 · 通州 · 期末 · 第19题第1问,yes,0,,could not locate matching source page from extracted text
E059,2026 · 通州 · 一模 · 第20题,yes,0,,could not locate matching source page from extracted text
E060,2026 · 门头沟 · 一模 · 第18题第1问,no,0,,locked text has no explicit image/table cue
