doc_order,entry_id,source_file,extract_path,line_range,exists
171,Q0171,SRC_EXAM_2026_MENTOUGOU_YIMO_Q20.txt,05_source_backcheck/slice_035/SRC_EXAM_2026_MENTOUGOU_YIMO_Q20.txt,341-356,True
171,Q0171,SRC_RUBRIC_2026_MENTOUGOU_YIMO_Q20.txt,05_source_backcheck/slice_035/SRC_RUBRIC_2026_MENTOUGOU_YIMO_Q20.txt,120-131,True
172,Q0172,SRC_EXAM_2026_HAIDIAN_YIMO_Q20.txt,05_source_backcheck/slice_035/SRC_EXAM_2026_HAIDIAN_YIMO_Q20.txt,339-355,True
172,Q0172,SRC_RUBRIC_2026_HAIDIAN_YIMO_Q20.txt,05_source_backcheck/slice_035/SRC_RUBRIC_2026_HAIDIAN_YIMO_Q20.txt,85-89,True
173,Q0173,SRC_EXAM_2025_CHANGPING_ERMO_Q21.txt,05_source_backcheck/slice_035/SRC_EXAM_2025_CHANGPING_ERMO_Q21.txt,255-266;368-374,True
173,Q0173,SRC_RUBRIC_2025_CHANGPING_ERMO_Q21.txt,05_source_backcheck/slice_035/SRC_RUBRIC_2025_CHANGPING_ERMO_Q21.txt,125-142,True
174,Q0174,SRC_EXAM_2026_SHIJINGSHAN_ERMO_Q18.txt,05_source_backcheck/slice_035/SRC_EXAM_2026_SHIJINGSHAN_ERMO_Q18.txt,103-108;125-126,True
174,Q0174,SRC_RUBRIC_2026_SHIJINGSHAN_ERMO_Q18.txt,05_source_backcheck/slice_035/SRC_RUBRIC_2026_SHIJINGSHAN_ERMO_Q18.txt,49-50,True
175,Q0175,SRC_EXAM_2024_DONGCHENG_YIMO_Q20.txt,05_source_backcheck/slice_035/SRC_EXAM_2024_DONGCHENG_YIMO_Q20.txt,336-346,True
175,Q0175,SRC_RUBRIC_2024_DONGCHENG_YIMO_Q20.txt,05_source_backcheck/slice_035/SRC_RUBRIC_2024_DONGCHENG_YIMO_Q20.txt,360-366,True
