题目,题目键,节点,分数,状态,问题,行
2025东城期末第21题,2025_东城_期末_Q21,价值判断与价值选择,78,可保留但建议润色,解释过短；材料信号到知识点的中间解释不明显,2279
2025房山一模第20题,2025_房山_一模_Q20,实现人生价值,78,可保留但建议润色,有元话语，像在说要回应而非真的作答；标点不顺,2339
2026朝阳一模第16题,2026_朝阳_一模_Q16,联系的普遍性,78,可保留但建议润色,有元话语，像在说要回应而非真的作答；标点不顺,715
2026石景山一模第21题,2026_石景山_一模_Q21,整体与部分 / 系统观念 / 系统优化,79,可保留但建议润色,触发表述偏程序化；标点不顺；材料信号到知识点的中间解释不明显,728
2026石景山一模第21题,2026_石景山_一模_Q21,发展的观点 / 发展的普遍性,79,可保留但建议润色,触发表述偏程序化；标点不顺；材料信号到知识点的中间解释不明显,1127
2024东城二模第21题,2024_东城_二模_Q21,规律的客观性,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,528
2024西城一模第17题,2024_西城_一模_Q17,尊重客观规律与发挥主观能动性相结合,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,344
2024西城一模第17题,2024_西城_一模_Q17,对立统一,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,1327
2025丰台一模第18(3)题,2025_丰台_一模_Q18-3,价值判断与价值选择,84,可保留但建议润色,标点不顺；答案落点与材料词汇贴合度低，可能偏空,2230
2025丰台期末第16题,2025_丰台_期末_Q16,一切从实际出发 / 实事求是,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,89
2025丰台期末第16题,2025_丰台_期末_Q16,整体与部分 / 系统观念 / 系统优化,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,694
2025丰台期末第16题,2025_丰台_期末_Q16,量变与质变,84,可保留但建议润色,标点不顺；答案落点与材料词汇贴合度低，可能偏空,1053
2025丰台期末第16题,2025_丰台_期末_Q16,矛盾的特殊性 / 具体问题具体分析,84,可保留但建议润色,标点不顺；答案落点与材料词汇贴合度低，可能偏空,1445
2025延庆一模第16题,2025_延庆_一模_Q16,一切从实际出发 / 实事求是,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,61
2025延庆一模第16题,2025_延庆_一模_Q16,矛盾的特殊性 / 具体问题具体分析,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,1369
2025昌平二模第16题,2025_昌平_二模_Q16,实践与认识 / 认识对实践的反作用,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,1821
2025海淀期末第16题,2025_海淀_期末_Q16,尊重客观规律与发挥主观能动性相结合,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,386
2025海淀期末第16题,2025_海淀_期末_Q16,矛盾的特殊性 / 具体问题具体分析,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,1466
2025西城一模第16题,2025_西城_一模_Q16,实践与认识 / 认识对实践的反作用,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,1674
2025西城一模第16题,2025_西城_一模_Q16,认识发展原理,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,1782
2025西城一模第16题,2025_西城_一模_Q16,实践与认识 / 认识对实践的反作用,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,1814
2025西城一模第22题,2025_西城_一模_Q22,真理观,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,1833
2026东城期末第16题,2026_东城_期末_Q16,对立统一,84,可保留但建议润色,标点不顺；答案落点与材料词汇贴合度低，可能偏空,1548
2026朝阳期中第18题,2026_朝阳_期中_Q18,主观能动性 / 意识的能动作用,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,246
2026朝阳期中第18题,2026_朝阳_期中_Q18,辩证否定 / 守正创新,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,1162
2026朝阳期中第18题,2026_朝阳_期中_Q18,价值判断与价值选择,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,2320
2026朝阳期中第19题,2026_朝阳_期中_Q19,实践与认识 / 认识对实践的反作用,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,1635
2026西城一模第16题,2026_西城_一模_Q16,联系的普遍性,84,可保留但建议润色,标点不顺；材料信号到知识点的中间解释不明显,735
