题目,题目键,Codex节点,Codex行,备注
2024东城一模第18(1)题,2024_东城_一模_Q18-1,改革 / 改革的实质,889,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2024丰台二模第18(2)题,2024_丰台_二模_Q18-2,一切从实际出发 / 实事求是,98,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2024丰台二模第20题,2024_丰台_二模_Q20,对立统一；整体与部分 / 系统观念 / 系统优化；认识发展原理,267；549；789,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2024丰台二模第21题,2024_丰台_二模_Q21,价值观的导向作用；实现人生价值；整体与部分 / 系统观念 / 系统优化；量变与质变,299；420；994；1100,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2024门头沟一模第2题,2024_门头沟_一模_Q2,实践与认识 / 认识对实践的反作用；真理观,755；830,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2024门头沟一模第5题,2024_门头沟_一模_Q5,文化功能 / 文化载体 / 文化传承与交流,1112；1117,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2024门头沟一模第9题,2024_门头沟_一模_Q9,实践与认识 / 认识对实践的反作用,760,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2024顺义二模第3题,2024_顺义_二模_Q3,矛盾的特殊性 / 具体问题具体分析,630；1127,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2024顺义二模第4题,2024_顺义_二模_Q4,文化功能 / 文化载体 / 文化传承与交流,1132,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2025朝阳一模第1题,2025_朝阳_一模_Q1,量变与质变,416,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2026丰台一模第16题,2026_丰台_一模_Q16,价值判断与价值选择；价值观的导向作用；对立统一；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；辩证否定 / 守正创新,198；314；461；650；1018,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2026房山一模第16(2)题,2026_房山_一模_Q16-2,一切从实际出发 / 实事求是；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾,108；203；324；660,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2026房山一模第18(1)题,2026_房山_一模_Q18-1,实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；量变与质变,329；471；665；726,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2026海淀一模第16题,2026_海淀_一模_Q16,价值观的导向作用；发展；物质决定意识，意识对物质具有能动作用；社会存在与社会意识,63；476；850；1023；1137,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2026海淀期末第16题,2026_海淀_期末_Q16,主观能动性 / 意识的能动作用；价值判断与价值选择；价值观的导向作用；实践与认识 / 认识对实践的反作用；对立统一；联系,122；251；517；704；958,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2026西城一模第1题,2026_西城_一模_Q1,主观能动性 / 意识的能动作用；实现人生价值；社会存在与社会意识,143；865；1104,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2026西城一模第5题,2026_西城_一模_Q5,主观能动性 / 意识的能动作用；人民群众,148；952；1147,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2026西城一模第6题,2026_西城_一模_Q6,整体与部分 / 系统观念 / 系统优化,364,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2026西城一模第7题,2026_西城_一模_Q7,主观能动性 / 意识的能动作用；价值判断与价值选择,153；1089,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2026西城期末第16(2)题,2026_西城_期末_Q16-2,人民群众；价值观的导向作用；对立统一；物质决定意识，意识对物质具有能动作用；真理观,54；529；824；919；982,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2026西城期末第21题,2026_西城_期末_Q21,一切从实际出发 / 实事求是；发展的观点 / 发展的普遍性,86；399,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2026西城期末第4题,2026_西城_期末_Q4,矛盾的普遍性,602,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2026门头沟一模第18(2)题,2026_门头沟_一模_Q18-2,实践与认识 / 认识对实践的反作用；矛盾；联系,349；685；736,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
2026顺义一模第16题,2026_顺义_一模_Q16,价值观的导向作用；整体与部分 / 系统观念 / 系统优化；矛盾；量变与质变,354；501；690；1038；1142,ClaudeCode-v4未出现，优先检查是否为旧版幻觉/弱证据，或重跑遗漏
