题目,题目键,共同原理方法论,Claude知识点,Codex触发知识,Claude行,Codex行
2024东城二模第16题,2024_东城_二模_Q16,一切从实际出发 / 实事求是,一切从实际出发、实事求是,一切从实际出发 / 实事求是,48,90
2024东城二模第16题,2024_东城_二模_Q16,人民群众,人民群众是历史的创造者、群众观点、人民主体地位,人民群众 / 群众观点,1993,923
2024东城二模第16题,2024_东城_二模_Q16,发展的观点 / 发展的普遍性,发展的观点、辩证否定,发展的观点,950,403
2024东城二模第16题,2024_东城_二模_Q16,整体与部分 / 系统观念 / 系统优化,联系的观点、立足整体、系统优化,联系的观点 / 整体与部分 / 系统优化,576,295
2024东城二模第16题,2024_东城_二模_Q16,矛盾的特殊性 / 具体问题具体分析,矛盾分析法、具体问题具体分析,具体问题具体分析,1314,581
2024朝阳二模第16(2)题,2024_朝阳_二模_Q16-2,尊重客观规律与发挥主观能动性相结合,尊重客观规律与发挥主观能动性相结合,尊重客观规律与发挥主观能动性相结合,337,167
2024朝阳二模第16(2)题,2024_朝阳_二模_Q16-2,物质决定意识，意识对物质具有能动作用,物质决定意识与意识的能动作用,物质与意识的辩证关系 / 意识对物质具有能动作用,29,58
2024朝阳期中第16题,2024_朝阳_期中_Q16,人民群众,"人民群众是社会历史的主体和创造者,坚持群众观点和群众路线",人民群众是社会历史的主体和创造者 / 群众观点和群众路线,1986,931
2024朝阳期中第16题,2024_朝阳_期中_Q16,改革 / 改革的实质,"改革是社会主义社会发展的直接动力,是社会主义制度的自我完善和发展",改革是社会主义社会发展的直接动力 / 社会主义制度自我完善和发展,1946,897
2024朝阳期中第16题,2024_朝阳_期中_Q16,社会基本矛盾 / 社会发展规律,生产关系一定要适合生产力状况、上层建筑一定要适合经济基础状况;社会基本矛盾运动,生产力与生产关系 / 经济基础与上层建筑 / 社会基本矛盾运动,1899,879
2024朝阳期中第16题,2024_朝阳_期中_Q16,社会存在与社会意识,"社会存在决定社会意识,社会存在的变化决定社会意识的变化",社会存在决定社会意识 / 社会存在变化决定社会意识变化,1854,845
2024朝阳期中第17题,2024_朝阳_期中_Q17,价值判断与价值选择,"作出正确的价值判断与价值选择,发挥价值观的导向作用",价值判断与价值选择,2210,1064
2024朝阳期中第17题,2024_朝阳_期中_Q17,对立统一,用对立统一/全面的观点看问题;具体问题具体分析,矛盾就是对立统一 / 全面观点,1307,553
2024朝阳期中第17题,2024_朝阳_期中_Q17,辩证否定 / 守正创新,"辩证否定观:既肯定又否定、既克服又保留,树立创新意识(守正不守旧、尊古不复古)",辩证否定 / 守正创新,936,456
2024西城二模第17题,2024_西城_二模_Q17,社会基本矛盾 / 社会发展规律,生产力与生产关系、经济基础与上层建筑相适应的矛盾运动；通过改革调整生产关系以适应生产力发展,生产力与生产关系 / 经济基础与上层建筑 / 社会基本矛盾运动,1913,875
2024西城二模第18(4)题,2024_西城_二模_Q18-4,人民群众,人民群众是社会历史的主体、是物质财富和精神财富的创造者，要坚持群众观点和群众路线,人民群众的历史作用 / 群众观点,1999,927
2024西城二模第18(4)题,2024_西城_二模_Q18-4,价值判断与价值选择,在实践基础上做出正确的价值判断和价值选择,价值判断与价值选择,2223,1060
2024西城二模第18(4)题,2024_西城_二模_Q18-4,尊重客观规律与发挥主观能动性相结合,按客观规律办事和发挥主观能动性相结合,按客观规律办事和发挥主观能动性,351,179
2024西城二模第18(4)题,2024_西城_二模_Q18-4,整体与部分 / 系统观念 / 系统优化,系统优化方法论（整体与部分、要素与系统）,联系的观点 / 整体与部分 / 系统优化,603,263
2024西城二模第18(4)题,2024_西城_二模_Q18-4,矛盾的特殊性 / 具体问题具体分析,矛盾的特殊性原理及其方法论（具体问题具体分析）,矛盾的特殊性 / 具体问题具体分析,1334,585
2024顺义二模第2题,2024_顺义_二模_Q2,主观能动性 / 意识的能动作用,,主观能动性 / 意识的能动作用,280,138
2024顺义二模第20(2)题,2024_顺义_二模_Q20-2,一切从实际出发 / 实事求是,一切从实际出发，实事求是，把马克思主义基本原理同中国具体实际、传统文化、时代特征结合,一切从实际出发 / 实事求是,54,103
2024顺义二模第20(2)题,2024_顺义_二模_Q20-2,价值观的导向作用,价值观对实践具有导向作用，坚持人民立场作出价值判断与选择,价值观的导向作用,2110,1003
2024顺义二模第20(2)题,2024_顺义_二模_Q20-2,实践与认识 / 认识对实践的反作用,实践是认识的基础和动力，认识反作用于实践,实践与认识 / 实践观点,1614,716
2025东城一模第16题,2025_东城_一模_Q16,辩证否定 / 守正创新,辩证否定与发展（创造性转化、创新性发展）,辩证否定,970,452
2025东城二模第16题,2025_东城_二模_Q16,一切从实际出发 / 实事求是,物质决定意识/一切从实际出发(社会存在决定社会意识),一切从实际出发 / 实事求是,82,82
2025东城期末第16题,2025_东城_期末_Q16,主观能动性 / 意识的能动作用,正确发挥主观能动性，提高对器物价值的认识，做好搜集、保护、研究、对外传播工作,主观能动性 / 意识的能动作用,232,126
2025丰台期末第16题,2025_丰台_期末_Q16,一切从实际出发 / 实事求是,一切从实际出发，使主观符合客观,一切从实际出发 / 实事求是,89,69
2025丰台期末第16题,2025_丰台_期末_Q16,实践与认识 / 认识对实践的反作用,实践是认识的来源（'数'通过调查研究获得）,实践与认识,1709,696
2025丰台期末第16题,2025_丰台_期末_Q16,整体与部分 / 系统观念 / 系统优化,系统观念（整体与部分、系统优化）,整体与部分 / 系统观念,694,275
2025丰台期末第16题,2025_丰台_期末_Q16,矛盾的特殊性 / 具体问题具体分析,矛盾的特殊性（具体问题具体分析）,矛盾的特殊性 / 具体问题具体分析,1445,569
2025丰台期末第16题,2025_丰台_期末_Q16,量变与质变,量变质变规律与适度原则,量变与质变 / 适度原则,1053,412
2025丰台期末第17题,2025_丰台_期末_Q17,人民群众,人民群众是历史的创造者（群众观点）,人民群众是历史的创造者 / 群众观点,2041,903
2025丰台期末第4题,2025_丰台_期末_Q4,实现人生价值,,实现人生价值,2363,1095
2025丰台期末第7题,2025_丰台_期末_Q7,一切从实际出发 / 实事求是,,一切从实际出发 / 实事求是,162,77
2025房山一模第16(1)题,2025_房山_一模_Q16-1,对立统一,矛盾分析法/对立统一/一分为二全面看问题,矛盾就是对立统一 / 一分为二看问题,1376,537
2025朝阳期末第16题,2025_朝阳_期末_Q16,一切从实际出发 / 实事求是,一切从实际出发，主观符合客观,一切从实际出发 / 实事求是,96,73
2025朝阳期末第16题,2025_朝阳_期末_Q16,人民群众,人民群众主体地位；群众观点与群众路线,人民群众 / 群众观点,2048,907
2025朝阳期末第16题,2025_朝阳_期末_Q16,价值判断与价值选择,正确的价值判断与价值选择；树立正确价值观,价值判断与价值选择,2286,1052
2025朝阳期末第16题,2025_朝阳_期末_Q16,发展的观点 / 发展的普遍性,发展的观点；辩证否定观,发展的观点,1060,387
2025朝阳期末第16题,2025_朝阳_期末_Q16,尊重客观规律与发挥主观能动性相结合,尊重客观规律与正确发挥主观能动性,尊重客观规律与发挥主观能动性相结合,379,163
2025朝阳期末第16题,2025_朝阳_期末_Q16,联系,联系的观点；用联系的观点看问题,联系的观点,701,255
2025朝阳期末第22题,2025_朝阳_期末_Q22,实践与认识 / 认识对实践的反作用,实践基础上的理论创新；理论与实践相结合相统一,实践与认识,1621,700
2025朝阳期末第22题,2025_朝阳_期末_Q22,整体与部分 / 系统观念 / 系统优化,系统观念、问题导向、具体问题具体分析；辩证法综合方法论,整体与部分 / 系统观念,1459,279
2025海淀一模第16题,2025_海淀_一模_Q16,对立统一,矛盾分析法/对立统一(两点论与重点论结合),矛盾就是对立统一 / 一分为二看问题,1383,541
2025海淀期末第16题,2025_海淀_期末_Q16,联系,坚持联系观点，根据事物的固有联系建立新的联系,联系的观点,708,247
2025海淀期末第16题,2025_海淀_期末_Q16,辩证否定 / 守正创新,坚持辩证否定观，推动事物在自我扬弃中创新发展,辩证否定,1067,436
2025海淀期末第17(2)题,2025_海淀_期末_Q17-2,前进性与曲折性,事物发展是前进性与曲折性的统一,事物发展是前进性与曲折性的统一,1074,426
2025海淀期末第17(2)题,2025_海淀_期末_Q17-2,实践与认识 / 认识对实践的反作用,实践是认识发展的动力（实践决定认识）,实践是认识的基础 / 实践是认识发展的动力 / 实践是检验认识真理性的唯一标准,1716,747
2025海淀期末第17(2)题,2025_海淀_期末_Q17-2,认识发展原理,认识具有反复性、无限性和上升性；追求真理是一个过程,认识具有反复性 / 无限性 / 上升性,1796,777
2025海淀期末第17(2)题,2025_海淀_期末_Q17-2,量变与质变,量变是质变的前提和必要准备，质变是量变的必然结果,量变与质变,1080,408
2025石景山一模第21题,2025_石景山_一模_Q21,改革 / 改革的实质,改革是社会主义制度的自我完善和发展，是社会主义社会发展的直接动力,改革的实质 / 社会基本矛盾运动,1953,885
2025西城一模第16题,2025_西城_一模_Q16,实践与认识 / 认识对实践的反作用,实践是认识的来源、发展动力、检验标准和最终目的,实践与认识,1674,712
2025西城二模第16(1)题,2025_西城_二模_Q16-1,价值观的导向作用,价值观对人们认识和改造世界的活动具有导向作用，影响评价和行为选择,价值观的导向作用 / 生态价值观,2152,986
2025西城二模第16(1)题,2025_西城_二模_Q16-1,尊重客观规律与发挥主观能动性相结合,把发挥主观能动性与尊重客观规律相结合，认识和把握自然规律以指导实践,尊重客观规律与发挥主观能动性相结合,372,171
2025西城二模第16(1)题,2025_西城_二模_Q16-1,矛盾的特殊性 / 具体问题具体分析,矛盾普遍性与特殊性相结合，具体问题具体分析,矛盾的特殊性 / 具体问题具体分析,1438,577
2025西城期末第18题,2025_西城_期末_Q18,价值判断与价值选择,价值观导向作用与价值判断价值选择：要符合客观规律、符合人民根本利益；科技以人为本,价值判断与价值选择,2293,1048
2025西城期末第18题,2025_西城_期末_Q18,对立统一,矛盾对立统一/一分为二：技术恐惧具有两面性，既抵制新技术又倒逼制度法规完善,矛盾就是对立统一 / 一分为二看问题,1472,521
2025西城期末第18题,2025_西城_期末_Q18,认识发展原理,认识具有局限性：受具体实践水平、立场、观点、方法、知识水平、思维能力等条件制约,认识发展原理 / 认识受条件限制,1802,781
