expansion_decision_id,source_suggestion_id,candidate_label,decision,new_or_revised_code_label,affected_existing_code_ids,supporting_question_ids,supporting_rubric_atom_ids_or_patch_atom_ids,supporting_material_atom_ids,evidence_level_summary,what_student_must_judge,material_trigger_pattern,legal_knowledge_or_rule_pattern,rubric_reward_pattern,full_score_sentence_pattern,risk_of_empty_value_talk,risk_of_legal_exam_overanalysis,module_boundary_risk,counterexamples_or_limits,confidence,reason
EXP_DEC_001,Cowork EXP_008 / PC06+PC09+PC14+PC19,知识产权/不正当竞争司法保护四步链,accept_new_code,CODE_COWORK_008 知识产权/不正当竞争司法保护四步链,"无（不替代任何 code; 与 002/004/005 相邻）",CC0131_2025_房山_一模_19|CC0143_2025_朝阳_一模_19|CC0206_2025_西城_期末_19|CC0229_2026_东城_一模_18|CC0283_2026_朝阳_一模_18|CC0319_2026_海淀_期末_19|CC0103_2025_丰台_一模_19|RECOVER_2026_西城_二模_18_2,R_CC0131_2025_房山_一模_19_02..07+10|R_CC0143_2025_朝阳_一模_19_02..10|R_CC0206_2025_西城_期末_19_01|R_CC0229_2026_东城_一模_18_01..08|R_CC0283_2026_朝阳_一模_18_02..05|R_CC0319_2026_海淀_期末_19_01|R_CC0103_2025_丰台_一模_19_01|RECOVER_2026_西城_二模_18_2_R01..R03,M_CC0131_..._01..04|M_CC0143_..._01..06|M_CC0229_..._01..06|M_CC0283_..._01..05|M_CC0319_..._01..06|M_CC0103_..._01..04|M_CC0206_..._01..06|RECOVER_2026_西城_二模_18_2_M01..M03,8 题全部 formal；多区多年；6 题 rubric 显式带分值或括号关键词；2 题为单 atom 答案但内嵌扣分口径；含 CC0143 必须消法字样 + CC0103 扣维护双方合法权益 + CC0131 必修三上限规则,"①该案是侵犯知识产权/不正当竞争/商业诋毁/恶意诉讼中的哪一类 ②法院使用惩罚性赔偿/调解/驳回恶意诉讼/制止侵权中的哪一种司法手段 ③意义层主语必须不同（原告方权益—市场秩序/创新生态—核心价值观/法治化营商环境）",材料含挖走核心技术人员/窃取技术秘密/抢注/仿冒/混淆/恶意诉讼/滥用诉讼权利/植物新品种权/专利权/平台抢票/技术绕过/高额赔偿/惩罚性赔偿/调解化解知识产权纠纷,《反不正当竞争法》混淆/商业诋毁/虚假宣传；《民法典》惩罚性赔偿；诉讼诚信原则；消法欺诈三倍赔偿（CC0143 限定）,行为定性1+援引1+司法手段1-2+法治意义2-4；CC0131 必修三上限6分；CC0143 必须消法字样 + 部分写反不正当竞争扣分；CC0103 扣维护双方合法权益,"（定性）××构成不正当竞争/侵犯××权；（援引）根据《反不正当竞争法》/《民法典》××条；（手段）法院适用惩罚性赔偿/调解/驳回；（意义）保护原告方权益+维护市场公平秩序+营造法治化营商环境+弘扬社会主义核心价值观",高,中高,中,CC0276 涉外法治不入；CC0244 一般合同/动产侵权不入；CC0143 不可写反不正当竞争（须消法）；不可只停在不正当竞争层而不写法治意义,high,8 道独立年份独立学校题反复同型奖励四步链；多个学校 rubric 显式带分值与关键词；与 002/004/005 有明确边界
EXP_DEC_002,Cowork EXP_001R / PC02+PC15,表格题三段式 cell sub-pattern,revise_existing_code,CODE_COWORK_001 子型 1.1,CODE_COWORK_001,CC0189_2025_石景山_一模_20|CC0213_2025_门头沟_一模_20|CC0214_2025_门头沟_一模_20_2|CC0137_2025_昌平_二模_20|RECOVER_2025_海淀_二模_18,R_CC0189_..._01..04|R_CC0213_..._M17_01..09|R_CC0214_..._01..05|R_CC0137_..._05..07|R_RECOVER_2025_海淀_二模_18_01..08,M_CC0189_..._01..06|M_CC0213_..._01..06|M_CC0214_..._01..06|M_CC0137_..._01..06|M_RECOVER_2025_海淀_二模_18_01..04,5 题全部 formal；4 题显式三段式赋分；1 题逐格独立采点（同构非纯三段）,表格列头是法律依据/事实分析/现实意义/保障作用/法治价值中的哪一种；不允许跨格抄套话,表格列头显式标注法律依据/事实分析/现实意义/保障作用/法治价值或题干已给示例行,劳动合同法/著作权法/反不正当竞争法+民法典/商标权法等 + 具体要件,每格 1-2 分独立；法理格须具体法律名；事实格须切到要件位；意义格须主语不同,法理格=根据《××法》/民法典××规定；事实格=本案中××因此……要件归位；意义格=有利于××（一类受益主体）……,中高,中,低,CC0084/CC0157 完成下表型不强套三段式；CC0180 无过错侵权扣分不属 1.1 子型,high,5 道独立题反复同型奖励三段式 cell；作为 001 sub-pattern 不另设新 code
EXP_DEC_003,Cowork EXP_002R / PC01+PC03+PC06+PC11+PC12,民法基本原则/具体法律制度/典型案例示范三角对象扩展,revise_existing_code,CODE_COWORK_002 子型 2.1,CODE_COWORK_002,CC0054_2024_石景山_一模_17|CC0019_2024_朝阳_一模_19|CC0011_2024_丰台_二模_17|CC0045_2024_海淀_二模_19|CC0063_2024_西城_二模_16|CC0223_2025_顺义_一模_19|RECOVER_2026_西城_二模_18_3,R_CC0054_..._M17_04..06|PATCH_CC0019_R01..R06|PATCH_CC0011_R01..R04|R_CC0045_..._01|R_CC0063_..._01|R_CC0223_..._M17_01..06|RECOVER_2026_西城_二模_18_3_R01..R03,M_CC0054_..._01..06|M_CC0019_..._01..07|M_CC0011_..._01..06|M_CC0045_..._01..06|M_CC0063_..._01..06|M_CC0223_..._01..06|RECOVER_2026_西城_二模_18_3_M01..M03,7 题全部 formal；CC0019/CC0011 必须 PATCH 后用；CC0045/CC0063 单 atom 内嵌细则；CC0223 已切 6 atoms；RECOVER 已切 3 atoms,设问对象是原则/制度/典型案例时首句须写《民法典》第×条确立××原则或该典型案例统一裁判尺度；三角分点主语必须不同,材料含《民法典》第七条/第九条/诚信/公平/绿色原则/典型案例发布/指导性案例/统一裁判尺度/碳排放权交易,民法典基本原则（诚信/公平/绿色/守法）；典型案例制度；统一裁判尺度,原则定位1分+三角各 1-2 分；CC0019 PATCH 总述1+合同1+司法1+权利1+经营者1+消费者关系2；CC0223 1+1+1+1+1+1,《民法典》第×条确立××原则……（援引）；该原则要求……（个人/合同主体权益）；有利于规范市场秩序/为同类案件提供示范……（司法/行业秩序）；弘扬社会主义核心价值观……（价值层）,高,低,中,评析当事人行为题（CC0238/CC0373）/建议类题（CC0245_2/CC0277）不进意义层；CC0011/CC0019 PATCH 前不可用,medium-high,7 道独立题在意义层稳定奖励原则/制度/典型案例三向作用；2 题需 PATCH 落地；作为 002 sub-branch
EXP_DEC_004,Cowork EXP_007R / PC04+PC05+PC07+PC08+PC23+PC24+PC27+PC30,维权/建议/应对四段扩展,revise_existing_code,CODE_COWORK_007 子型 7.1,CODE_COWORK_007,CC0092_2025_东城_期末_19_1|CC0277_2026_房山_二模_18|CC0289_2026_朝阳_二模_18|CC0380_2026_顺义_二模_18_2|RECOVER_2024_东城_二模_19_1|RECOVER_2026_延庆_一模_18_1|RECOVER_2026_门头沟_一模_18_1|CC0125_2025_延庆_一模_19,R_CC0277_..._01..07|R_CC0289_..._04..08|R_CC0380_..._P01..P04|RECOVER_2024_东城_二模_19_1_R01..R03|RECOVER_2026_延庆_一模_18_1_R01..R03|RECOVER_2026_门头沟_一模_18_1_R01..R03|R_CC0125_..._M17_01..05|R_CC0092_..._01,M_CC0277_..._01..04|M_CC0289_..._01..06|M_CC0380_..._P01..P03|RECOVER_2024_东城_二模_19_1_M01..M03|RECOVER_2026_延庆_一模_18_1_M01..M02|RECOVER_2026_门头沟_一模_18_1_M01..M03|M_CC0125_..._01..06|M_CC0092_..._01..05,8 题全部 formal；3 题显式分值+扣分细则；RECOVER 系列已切分;CC0092 单 atom（标题题）相对薄弱,①材料处于协商未果/已起诉/可能涉及风险/起诉状起草哪一阶段 ②违法行为具体类型 ③对应具体诉讼请求或措施动词,出现协商未果/拟提起诉讼/已起诉/可能涉及法律风险/数字员工/AI/平台规则/上传公共平台/校园安全/起诉状/检察建议/公益诉讼,民事纠纷多元解决机制；侵权责任承担方式；起诉准备要件；公益诉讼/检察建议；商业秘密；著作权,CC0277 风险4+措施3；CC0289 第一问3+第二问5+扣选择问题一/二/三 + 个人信息 + 错别字 + 答必修3 不赋分；CC0380 实体+程序+责任三段,（识别）涉及××法律问题；（援引）根据《××》/民法典××条；（请求/措施）应当××/请求××；（程序）可通过调解/仲裁/诉讼维权；（实体）请求××承担停止侵害/排除妨碍/消除危险/赔礼道歉/赔偿损失,高,高,中,不可对未涉及行政诉讼的题写行政诉讼；不可把单纯论证题（CC0011/CC0276）误入维权三层；CC0289 选择问题一/二/三选错不赋分；起诉状不写完整民诉法格式,high,8 道独立题反复同型奖励识别+依据+诉讼请求/措施+程序+实体救济；CODE_COWORK_007 当前仅 CC0245 单题支撑扩展后稳定
EXP_DEC_005,Cowork EXP_046R / PC10+PC11+PC20,多主体评析 + 无锚句仍给法理1分扩展,revise_existing_code,CODE_COWORK_004 子型 4.1 + CODE_COWORK_006 子型 6.1,CODE_COWORK_004|CODE_COWORK_006,CC0364_2026_通州_期末_19_1|RECOVER_2026_西城_二模_18_1|CC0238_2026_东城_二模_19,R_CC0364_..._01（巨型单 atom 待切分）|RECOVER_2026_西城_二模_18_1_R01..R03|R_CC0238_..._M17_01..06,M_CC0364_..._01..06|RECOVER_2026_西城_二模_18_1_M01..M03|M_CC0238_..._01..06,3 题 formal；CC0238 已切 6 atoms 强；RECOVER 已切 3 atoms；CC0364 仍单巨型 atom 需后续切分,①是否多主体 ②每个主体行为定性是否不同（违约 vs 侵权 vs 商业诋毁 vs 违反职业道德）③法律依据是否分别援引 ④无锚句仍要写法理依据 1 分,材料含两个或多个行为主体；每个主体行为性质明确分离,民法典侵权/合同/相邻；反不正当竞争法；劳动合同法 + 职业道德,CC0238 多主体每主体独立链；RECOVER_18_1 主体资格+公司过错+侵权构成；CC0364 法理3+事实2+意义3 巨型段,主体A 的××行为构成××（定性），违反《××法》第×条（依据），应承担××责任（责任）。主体B …（独立链条）,低,中,低,不可混链；不可对单主体题套此分支；CC0364 切分前不可作 standalone evidence,medium,3 题强化已有 code 作为 004/006 sub-branch；CC0364 需 Codex 后续切分
EXP_DEC_006,Codex CC0011 source check,民法典绿色原则与生态侵权,split_before_use,CODE_COWORK_002 子型 2.1 之绿色原则分支补强 evidence,CODE_COWORK_002,CC0011_2024_丰台_二模_17,PATCH_CC0011_R01|PATCH_CC0011_R02|PATCH_CC0011_R03|PATCH_CC0011_R04 ；旧 R_CC0011_2024_丰台_二模_17_01 巨型单 atom 不可用,M_CC0011_2024_丰台_二模_17_01..06,formal_after_split,设问对象是民法典对生态环境保护的作用；应写原则+制度+责任+价值四段,材料含绿色原则/生态环境/污染/专利技术/利益平衡,民法典绿色原则；环境侵权责任；知识产权保护,PATCH 后 1+2+1+4 共 8 分四段独立采点,（原则）民法典绿色原则……；（制度）知识产权保护激励技术创新……；（责任）污染破坏环境应承担侵权责任；（价值）权利义务+利益平衡+预防损害+维护良好生态环境,中,低,中,单题孤证（绿色原则维度）；不可单独升级新 code,medium,Codex 已确认 formal 来源 F0270 lines 11-16；PATCH 必须先落地
EXP_DEC_007,Codex CC0019 source check,民法典诚信原则三向作用,split_before_use,CODE_COWORK_002 子型 2.1 之诚信原则核心 evidence,CODE_COWORK_002,CC0019_2024_朝阳_一模_19,PATCH_CC0019_R01|PATCH_CC0019_R02|PATCH_CC0019_R03|PATCH_CC0019_R04|PATCH_CC0019_R05|PATCH_CC0019_R06 ；旧 R_CC0019_2024_朝阳_一模_19_01 单 atom 不可用,M_CC0019_..._01..07,formal_after_split,总述+合同当事人+司法定分止争+经营者+消费者关系四个分支齐写,材料含合同履行/信用公开/失信被执行人/消费者放心消费,民法典诚信原则；合同全面履行；消费者权益保护,PATCH 后 1+1+1+1+1+2 共 7 分六段,见 PATCH plan,中,低,中,单题孤证（诚信维度）需与 CC0054/CC0223 联动方可作 002 多题支撑,medium-high,Codex 已确认 formal 来源 F0013 lines 333-349；PATCH 必须先落地
EXP_DEC_008,Codex CC0061 source check,综合多小题（回避制度/诉讼代理人/赡养义务）,split_before_use,18(3) 入 CODE_COWORK_002 子型 2.1 赡养分支；18(1)(2) 隔离为程序微项,CODE_COWORK_002（仅 18-3）,CC0061_2024_西城_一模_18,PATCH_CC0061_18_3_R01|PATCH_CC0061_18_3_R02|PATCH_CC0061_18_3_R03|PATCH_CC0061_18_3_R04 ；PATCH_CC0061_18_1_R01 与 PATCH_CC0061_18_2_R01 仅 reference 标记不进扩码,M_CC0061_..._01..05（18-3）；M_CC0061_..._07..09 为 18-1/18-2 程序微项不进 002 evidence,formal_after_split_and_trim,18(3) 必须先点成年子女赡养义务 → 赡养内容五选二 → 精神慰藉/告知书价值 → 传统美德/核心价值观/法德统一,材料含老人陪伴需求、告知书、亲属赡养纠纷,民法典赡养义务；法治与德治统一,18(3) 1+2+1+2 共 6 分,成年子女对父母有赡养义务……赡养包括经济供养、生活照料、精神慰藉……三个儿子应履行精神慰藉……传承中华传统美德 法德统一,中,中,中,18(1)(2) 程序微项不可与 18(3) 合并；不可整题统一套 code,medium,Codex 已确认 formal 来源 F0278 lines 25-42；split 后 18(3) 是 002 子型 2.1 核心 evidence
EXP_DEC_009,Codex CC0254 source check,综合辨析（动物侵权+无过错责任+调解+核心价值观）,split_before_use,跨支撑 CODE_COWORK_002 子型 2.1（核心价值观+法德统一）+ CODE_COWORK_007 子型 7.1（调解方案与实体救济）,CODE_COWORK_002|CODE_COWORK_007,CC0254_2026_丰台_二模_18,PATCH_CC0254_R01..R08 ；旧 R_CC0254_2026_丰台_二模_18_01..08 来自学生问题/教学建议段 禁止作 scoring atom,M_CC0254_..._01..11,formal_after_atom_replacement,同时识别法治+德治原则 / 饲养动物无过错责任 / 调解柔性方案 / 核心价值观收束,材料含养犬纠纷、果园损害、调解协议、致歉、生态修复,民法典动物侵权；无过错责任；调解程序；法治与德治统一,8 段各 1 分独立,见 PATCH plan,高,中,中,旧 R01-R08 严禁；PATCH 之前不可使用此题；不可整题套用单一意义模板,medium-high,Codex 已确认 formal 来源 F0187 lines 148-170；硬规则 #5 强制替换；PATCH 后是 002+007 跨 code 高质量 evidence
EXP_DEC_010,Codex RECOVER_2026_房山_一模_17_1 source check,AI 幻觉损失承担/民事法律关系辨析,split_before_use,仅作 CODE_COWORK_005 单题 transfer evidence,CODE_COWORK_005,RECOVER_2026_房山_一模_17_1,PATCH_RECOVER_FS17_1_R01|PATCH_RECOVER_FS17_1_R02A 或 R02B 或 R02C（alternative not cumulative）,RECOVER_2026_房山_一模_17_1_M01..M02,formal_after_split,先表态损失不由 A 公司买单；再从主体/内容/客体三维度任选其一展开,材料含 AI 生成内容、提示义务、损害是否实际发生,民事法律关系三要素（主体/内容/客体）；侵权构成,1+2 共 3 分（2 分为三选一可替代）,（表态）AI 幻觉造成的损失不由 A 公司买单；（解释·任一维度）从主体维度 / 或内容维度 / 或客体维度,低,中,低,三维度严禁累加为 4-6 分；单题孤证；不可与 CC0364/RECOVER_2026_西城_二模_18_1 直接合并,medium,Codex 已确认 formal 来源 F0371 lines 22-29；硬规则 #6 强制；可作 005 transfer evidence 不成立 standalone code
