audit_id,line,batch,source,year,district,stage,question,question_nature,module,wrong_statement,error_type,bundle_path,bundle_state,choice_answer_key_state,final_status,recommended_action,support_path
V3-WO-0001,16,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第1题②,2024,门头沟,一模,第1题,choice,哲学与文化：社会历史观,人民群众是社会存在和发展的基础和决定力量,概念混淆,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0002,17,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第1题③,2024,门头沟,一模,第1题,choice,政治与法治：中国共产党领导/人民代表大会制度,人大代表是我国社会主义事业的积极引领者,主体错位,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0003,18,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第2题①,2024,门头沟,一模,第2题,choice,经济与社会：高质量发展/基础设施,某项国道工程建设解放和发展了社会生产力，实现了区域经济繁荣,过度推断,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0004,19,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第2题④,2024,门头沟,一模,第2题,choice,哲学与文化：矛盾观,把桥梁“转体”施工方法说成矛盾主要方面,概念误用,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0005,20,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第3题C,2024,门头沟,一模,第3题,choice,政治与法治：基层治理,数字化信息助力，加强基层党委对村民的管理,主体关系和价值导向错误,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0006,21,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第4题①,2024,门头沟,一模,第4题,choice,经济与社会：市场机制/政府作用,C2M模式要求政府管理新型工业互联网电子商务事务,主体错位,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0007,22,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第4题④,2024,门头沟,一模,第4题,choice,经济与社会：商品与公共物品,个性化生产提供满足消费需求的公共物品,概念混淆,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0008,23,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第5题③,2024,门头沟,一模,第5题,choice,哲学与文化：文化功能/经济与文化关系,经济发展水平取决于对文化资源的挖掘与利用,夸大文化作用/决定关系错误,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0009,24,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第6题①,2024,门头沟,一模,第6题,choice,经济与社会：融资政策,完善融资支持政策，扩大融资规模，就能降低民营企业融资风险,因果链错误,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0010,25,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第7题②,2024,门头沟,一模,第7题,choice,政治与法治：中国共产党/政府,党坚持依法行政，是党始终走在时代前列的重要体现,主体错位,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0011,26,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第7题③,2024,门头沟,一模,第7题,choice,政治与法治：党的建设,党的建设以纪律建设为统领，以坚定理想信念宗旨为根基,知识性错误,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0012,27,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第8题①,2024,门头沟,一模,第8题,choice,政治与法治：全面依法治国,行政管理部门依法履行管理职责，是法治社会建设的基本要求,概念边界混淆,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0013,28,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第8题②,2024,门头沟,一模,第8题,choice,政治与法治：国家安全/科技自立自强,重视保密科技创新和科技防护，实现了保密科技自立自强,结果夸大,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0014,29,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第9题③,2024,门头沟,一模,第9题,choice,哲学与文化：实践和认识/矛盾观,科学实验是事物发展的源泉和动力,概念混淆,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0015,30,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第10题①,2024,门头沟,一模,第10题,choice,哲学与文化：发展观/新旧事物,“老三样”作为旧事物，已经被“新三样”取代,新旧事物判断错误/过度推断,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0016,31,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第11题④,2024,门头沟,一模,第11题,choice,当代国际政治与经济,人类命运共同体已经成为世界各国人民的共识,过度概括/绝对化,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0017,32,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第12题A,2024,门头沟,一模,第12题,choice,法律与生活：著作权/人工智能,AI生成图片是人工智能能动地改造世界的成果，使用者当然享有著作权,主体能力错误/权利判断过度,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0018,33,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第12题B,2024,门头沟,一模,第12题,choice,法律与生活：著作权权利内容,未经同意使用已发布图片，侵犯发表权和信息网络传播权,权利类型混淆,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0019,34,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第12题D,2024,门头沟,一模,第12题,choice,法律与生活：著作权取得,AI创作作品如果未到知识产权局登记，著作权不受法律保护,知识性错误,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0020,35,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第13题②,2024,门头沟,一模,第13题,choice,法律与生活：劳动合同,劳动者应完成劳动任务，用人单位因其拒绝新岗位安排解除劳动合同于法有据,条件缺失/用人单位权利夸大,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
