line,year,district,stage,question_range,question_type,file_source,answer_key_state_old,rubric_state_old,old_closed_state,v3_suite_verdict,recommended_action,framework_entry_count,wrong_option_entry_count,framework_statuses,wrong_option_statuses,old_notes
17,2024,东城,一模,1-15（已完成必修四选择题筛查）；16、18（1）、21（主观哲学链已完成）,选择+主观,扫描试卷PDF + 扫描答案PDF + 评标PPT,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,13,34,B_angle_or_scoring_source:9;C_verified_choice_source:4,C_verified_choice_source:34,2026-04-24 已渲染扫描试卷和答案表，补齐整套第1-15题选择题错肢线；答案表为 1C 2B 3A 4A 5D 6D 7A 8D 9B 10C 11A 12B 13D 14C 15C；累计保留 34 条可复用错肢；第1、2、3、15题既有选择正确项框架链与第16、18（1）、21题主观链保持有效，第4-14题未新增稳定必修四正确项
18,2024,朝阳,一模,1-15（已完成必修四选择题筛查）；16、18（2）（主观哲学链已完成）,选择+主观,试题PDF + 参考答案docx + 评标PPT/选择讲评PPT,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,15,35,B_angle_or_scoring_source:8;C_verified_choice_source:7,C_verified_choice_source:35,2026-04-24 正向线已在既有第1、2、3、4、5、9题哲学/文化选择链基础上补齐第6、7、8、10-15题整套错肢线；答案表为 1B 2C 3B 4A 5A 6B 7C 8D 9D 10C 11B 12C 13D 14A 15C；新增21条可复用错肢，累计35条；第8题正确项补入人民立场/具体问题具体分析/价值选择链，第6、7、10-15题无新增稳定必修四触发，第16、18（2）主观评分链保持有效
19,2024,门头沟,一模,1-15（已完成必修四选择题筛查）；2、5、9、15（选择题正确项候选已回填）；16-21（主观 reference-only 边界）,选择+主观,分类汇编线索 + 外部答案版 PDF 补源 + 渲染页逐题核题,有（外部补源）,主观仅参考答案/等级描述，未达正式细则口径,已闭环,closed-with-reference-boundary,downgrade-closed-wording,6,23,C_verified_by_worker_report:6,C_worker_report_source:23,2026-04-25 已按外部答案版 PDF 和渲染页逐题核题，答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A；错肢库新增23条，选择题正确项回填第2、5、9、15题；主观16-21只记录 reference-only 边界，不造正式细则链。
20,2024,海淀,一模,1-15（已完成必修四选择题筛查）；16（主观哲学链已完成）,选择+主观,试题PDF + 答案docx + 细则docx,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,9,35,B_angle_or_scoring_source:4;C_verified_choice_source:5,C_verified_choice_source:35,2026-04-24 已补齐整套第1-15题选择题错肢线，累计保留 35 条可复用错肢；第1-5题既有哲学/文化正确项框架链与第16题主观哲学链保持有效，复核后确认第6-15题无新增稳定必修四选择题正确项需另迁主表
21,2024,丰台,一模,1-15（已完成必修四选择题筛查）；18（1）、21（主观哲学链已补）,选择+主观,试题PDF + 带答案版PDF + 评标细则docx,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,12,35,B_angle_or_scoring_source:8;C_verified_choice_source:4,C_verified_choice_source:35,2026-04-24 已在既有第1、2、8、9题哲学/文化选择链基础上，补齐第3、4、5、6、7、10、11、12、13、14、15题整套错肢线；答案表为 1B 2D 3D 4C 5D 6B 7C 8D 9C 10A 11D 12A 13B 14B 15A；新增26条可复用错肢，累计35条；第3、4、5、6、7、10-15题无新增稳定必修四正确项，既有第18（1）、21题主观评分链保持有效
22,2024,石景山,一模,1-15（已完成必修四选择题筛查）；16、20（主观哲学/文化答题方向参考链已完成）,选择+主观,教师版docx + 讲评PPT（非逐点评分细则）,有,参考答案/讲评PPT，非正式逐点评分细则,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,11,26,B_angle_or_scoring_source:7;C_verified_choice_source:4,C_verified_choice_source:26,2026-04-24 已补齐整套第1-15题选择题错肢线，累计保留 26 条可复用错肢；第2、3、4、5题既有哲学/文化正确项框架链保持有效；第16、20题按教师版参考答案与讲评PPT保留为答题方向参考链，不再表述为正式评分细则支持；复核后确认第1、6-15题无新增稳定必修四选择题正确项需另迁主表
23,2024,西城,一模,1-15（已完成必修四选择题筛查）；17（主观哲学链已补）,选择+主观,试卷docx + 答案docx + 阅卷细则docx,有,有,已闭环,source-reviewed,keep-source-reviewed,12,36,A_scoring_source_trigger_not_text_matched:1;A_verified_scoring_source:3;C_verified_choice_source:8,C_verified_choice_source:36,2026-04-24 已在既有第1、2、3、4、9、10、12、15题哲学/文化选择链基础上，补齐第5、6、7、8、11、13、14题整套错肢线；答案表为 1C 2A 3D 4B 5B 6C 7A 8D 9D 10A 11B 12C 13B 14A 15C；新增16条可复用错肢，累计36条；第5、6、7、8、11、13、14题无新增稳定必修四正确项，既有第17题主观评分链保持有效
24,2024,朝阳,二模,1-15（已完成必修四选择题筛查）；16（2）、19（3）（主观哲学/文化链已补）,选择+主观,试题PDF + 答案docx + 主观题阅卷总结PDF,有,有,已闭环,source-reviewed,keep-source-reviewed,14,34,A_scoring_source_trigger_not_text_matched:5;A_verified_scoring_source:5;C_verified_choice_source:4,C_verified_choice_source:34,2026-04-24 倒序线已在既有第1、2、4、6题哲学/文化选择链基础上补齐第3、5、7-15题整套错肢线；答案表为 1B 2C 3B 4A 5D 6C 7D 8A 9D 10C 11B 12C 13B 14D 15D；新增26条可复用错肢，累计34条；复核第3、5、7-15题无新增稳定必修四正确项需迁入主表，第16（2）、19（3）主观评分链保持有效
25,2024,朝阳,期中,1-15（已完成选择题错肢线与第1、2、3、4、5、6、10题框架线）；16、17（主观哲学链已补）；18-20（边界已排）,选择+主观,试题PDF + 评标docx + 阅卷细则总.rtf,有,有,已闭环,source-reviewed,keep-source-reviewed,17,35,A_scoring_source_trigger_not_text_matched:3;A_verified_scoring_source:7;C_verified_choice_source:7,C_verified_choice_source:35,2026-04-24 已从 阅卷细则总.rtf 文末答案表核定第1-15题答案为 1B 2D 3D 4C 5A 6C 7B 8D 9B 10D 11C 12C 13C 14A 15B，补齐35条可复用错肢，并将第1、2、3、4、5、6、10题正确项回填知识触发总框架；第16题按历史唯物主义补入社会存在与社会意识、社会基本矛盾/基本规律、改革、人民群众；第17题按明确2分哲学口径补入辩证否定、对立统一/全面观点、具体问题具体分析、价值观导向、价值判断与价值选择、尊重规律发挥主观能动性；第18逻辑，第19创新思维，第20经济/国政经边界不并入
26,2024,海淀,期中,16-21（已按细则第3页模块边界排除必修四主观框架）；1-15（未作错肢扩写）,选择+主观,试题PDF + 细则PDF,待核,有,明确排除,confirmed-excluded,keep-exclusion,0,0,,,2026-04-25 用 PyMuPDF 重开细则 PDF：第3页模块分布显示主观题属必修2、必修3、选择性必修1，不产生必修四哲学/文化主观链；本条从“待OCR复扫”改为“有细则但模块边界排除”，如后续做选择题专题需另列客观线
27,2024,东城,二模,1-15（已完成必修四选择题筛查）；16、18（2）、21（主观哲学链已补）,选择+主观,扫描试卷PDF + 扫描答案PDF + 分题阅卷总结docx/pptx,有,有,已闭环,source-reviewed,keep-source-reviewed,15,23,A_scoring_source_trigger_not_text_matched:3;A_verified_scoring_source:8;C_verified_choice_source:4,C_verified_choice_source:23,2026-04-24 已渲染扫描试卷和答案表，补齐整套选择题错肢线并回填第1、2、3、11题正确项框架链；第16题桑基鱼塘、第18（2）新就业形态、第21题战略性有利条件已按阅卷总结补入主观题框架链；第17、18（1）、19、20按模块边界不并入
28,2024,丰台,二模,1-15（已完成必修四选择题筛查）；18（2）、20、21（主观哲学链已补）；16、17、18（1）、18（3）、19（边界已排）,选择+主观,试卷PDF + 补证据记录md + 阅卷评标docx,有,有,已闭环,source-reviewed,keep-source-reviewed,13,34,A_scoring_source_trigger_not_text_matched:5;A_verified_scoring_source:3;C_verified_choice_source:5,C_verified_choice_source:34,2026-04-25 已用 reports/evidence_2024_fengtai_ermo_answer.md 记录的补源 PDF 第8页“参考答案/一、选择题”核定第1-15题答案为 1D 2B 3A 4C 5A 6B 7B 8C 9D 10C 11C 12B 13D 14D 15A，补齐34条可复用错肢并回填第1、10、11、12、13题选择正确项框架链；第18（2）、20、21主观题仍沿用本地阅卷评标docx细则链；第16政治与法治，第17法律，第18（1）逻辑，第18（3）经济，第19国政经不并入
29,2024,海淀,二模,1-15（已完成必修四选择题筛查）；16、17、21（主观/跨书哲学链已补）,选择+主观,试题PDF/docx + 答案docx + 答案细则docx,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,11,36,B_angle_or_scoring_source:6;C_verified_choice_source:5,C_verified_choice_source:36,2026-04-24 已核答案表 1C 2D 3C 4B 5A 6C 7D 8B 9D 10B 11A 12B 13A 14C 15D，补齐整套第1-15题选择题错肢线并新增36条可复用错肢；第1、2、3、4、15题正确项回填框架，第16题“以调频促同频”、第17题调查研究认识链、第21题“循新出发”综合链已补入主表
30,2024,西城,二模,1-15（已完成必修四选择题筛查）；17、18（4）（主观哲学链已补）；16、18（1）-（3）、19（边界已排）,选择+主观,试卷docx + 答案docx + 答案细则docx,有,有,已闭环,source-reviewed,keep-source-reviewed,12,35,A_scoring_source_trigger_not_text_matched:3;A_verified_scoring_source:4;C_verified_choice_source:5,C_verified_choice_source:35,2026-04-24 已核答案表 1B 2D 3D 4D 5C 6D 7A 8C 9B 10B 11B 12A 13C 14A 15C，补齐整套第1-15题选择题错肢线并新增35条可复用错肢；第1、2、7、8、9题正确项回填框架，第17题社会基本矛盾/改革和第18（4）规律能动性、矛盾特殊性、系统优化、人民群众、价值选择主观链保持有效；第3-6、10-15题按模块边界不强行迁入主表
