source_key,year,district,stage,source,entry_count,bundle_path,bundle_state,max_risk_grade,review_statuses
2024-东城-一模-2024北京东城高三一模 第15题,2024,东城,一模,2024北京东城高三一模 第15题,1,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024东城一模.md,found,C,choice-answer-review
2024-东城-一模-2024北京东城高三一模 第16题,2024,东城,一模,2024北京东城高三一模 第16题,3,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024东城一模.md,found,B,angle-list-review
2024-东城-一模-2024北京东城高三一模 第18题第（1）问（2024东城一模政治评标1.pptx）,2024,东城,一模,2024北京东城高三一模 第18题第（1）问（2024东城一模政治评标1.pptx）,1,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024东城一模.md,found,B,angle-list-review
2024-东城-一模-2024北京东城高三一模 第18题（1）,2024,东城,一模,2024北京东城高三一模 第18题（1）,2,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024东城一模.md,found,B,angle-list-review
2024-东城-一模-2024北京东城高三一模 第1题,2024,东城,一模,2024北京东城高三一模 第1题,1,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024东城一模.md,found,C,choice-answer-review
2024-东城-一模-2024北京东城高三一模 第21题,2024,东城,一模,2024北京东城高三一模 第21题,3,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024东城一模.md,found,B,angle-list-review
2024-东城-一模-2024北京东城高三一模 第2题,2024,东城,一模,2024北京东城高三一模 第2题,1,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024东城一模.md,found,C,choice-answer-review
2024-东城-一模-2024北京东城高三一模 第3题,2024,东城,一模,2024北京东城高三一模 第3题,1,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024东城一模.md,found,C,choice-answer-review
2024-东城-二模-2024北京东城高三二模 第11题,2024,东城,二模,2024北京东城高三二模 第11题,1,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,C,choice-answer-review
2024-东城-二模-2024北京东城高三二模 第16题,2024,东城,二模,2024北京东城高三二模 第16题,1,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,A,rubric-source-review
2024-东城-二模-2024北京东城高三二模 第16题（阅卷总结/16题/16题二模阅卷总结.docx、16题评分细则.pptx）,2024,东城,二模,2024北京东城高三二模 第16题（阅卷总结/16题/16题二模阅卷总结.docx、16题评分细则.pptx）,8,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,A,rubric-source-review
2024-东城-二模-2024北京东城高三二模 第18题（2）,2024,东城,二模,2024北京东城高三二模 第18题（2）,1,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,A,rubric-source-review
2024-东城-二模-2024北京东城高三二模 第1题,2024,东城,二模,2024北京东城高三二模 第1题,1,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,C,choice-answer-review
2024-东城-二模-2024北京东城高三二模 第21题,2024,东城,二模,2024北京东城高三二模 第21题,1,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,A,rubric-source-review
2024-东城-二模-2024北京东城高三二模 第2题,2024,东城,二模,2024北京东城高三二模 第2题,1,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,C,choice-answer-review
2024-东城-二模-2024北京东城高三二模 第3题,2024,东城,二模,2024北京东城高三二模 第3题,1,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024东城二模.md,found,C,choice-answer-review
2024-丰台-一模-2024北京丰台高三一模 第18题（1）,2024,丰台,一模,2024北京丰台高三一模 第18题（1）,4,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024丰台一模.md,found,E,needs-source-proof;rubric-source-review
2024-丰台-一模-2024北京丰台高三一模 第1题,2024,丰台,一模,2024北京丰台高三一模 第1题,1,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区一模__2024丰台一模.md,found,C,choice-answer-review
