audit_id,line,section,source,year,district,stage,question,question_nature,final_grade,final_status,content_verdict,content_action,content_reason,trigger,direct_aliases,scoring_direct_hits,paper_direct_hits,v2_logic_alias_hits,scoring_source_title,paper_source_title,source_excerpt,paper_excerpt,bundle_path,support_path,choice_answer_key_state,material,logic
V3-FW-0001,88,物质决定意识，意识对物质具有能动作用,2025北京东城高三二模 第16题（东城区25届高三政治二模统测阅卷报告 5.9.pdf）,2025,东城,二模,第16题,subjective,A,A_verified_scoring_source,SUPPORTED_DIRECT_RUBRIC,keep-with-excerpt,细则/评标/阅卷片段直接命中该原理或等价表述。,物质决定意识，意识是对客观存在的反映,物质决定意识;社会存在决定社会意识;意识是对客观存在的反映;客观存在;客观实际;意识的反作用;意识对物质;意识具有能动作用;意识能动;主观能动性;意识对物质具有能动作用,物质决定意识;社会存在决定社会意识;客观实际;意识的反作用,,物质决定意识;客观实际,2025各区二模\2025东城二模\细则\2025东城二模细则.pdf,2025各区二模\2025东城二模\试卷\2025北京东城高三二模政治（教师版）.pdf,"头,与人工智能共创美好未来。 （一）本题标准和变通 怎么看：1 分 人工智能是新事物 /发展人工智能符合规律，潮流不可阻挡/人工智能是先进生产力的代表 怎么办： 层次一：人工智能赋能各领域,建立起新的人为事物联系,推动社会全面进步。2 分 层次二，有以下角度可以选择，1 点2 分，2 点5 分。要求知识与分析匹配 1、物质决定意识， 要求我们一切从实际出发（社会存在决定社会意识） 。人工智能的发展是 基于当前的科技水平、 社会需求等客观实际。 我们要充分认识到人工智能的技术现状、 应用 场景以及潜在风险，不能盲目乐观或过度恐惧。 2.、价值观的导向作用(意识的反作用/社会意识的反作用） 。为人工智能的设计、开发、使 用和维护制定明确的伦理准则，推动人工智能朝着有利于社会的方向发展 3、矛盾是对立统一，全面看问题。人工智能发展带来诸多机遇，但也存在风险，我们要正 视这些矛盾，采取相应的措施解决矛盾。 4、实践是认识的基础。人与人工智能的关系要在实践中不断调试。 5、认识具有反复性、无限性和上升性，要求我们与时俱进，开拓创新，在实践中认识和发 现真理，在实践中检验和发展真理。人工智能是新兴事物，我们对它的认识还在不断深化。 随着",16.(8 分) 曾几何时，能说话会干活的机器人只存在于科幻小说和电影中，而今已走进寻常百姓家；谷歌、OpenAI 是 高山，但深度求索 (DeepSeek)横空出世，急速登顶美国应用商店下载排行榜，情形就变了，开源、免费让 人人都用得起人工智能，“问问 DeepSeek 怎么说”，成了人们的口头语。 2025 年，人工智能发展按下加速键，当我们还热议春晚中宇树科技机器人的精彩舞姿时，元宵晚会上它们 再次出场时据说已经迭代了。 “人工智能+”正在赋能科技创新、产业发展、社会治理、医疗教育、家庭服 务……人工智能浪潮滚滚而来，势不可挡。 结合材料，运用哲学观点，谈谈我们应如何勇立潮头，与人工智能共创美好未来。,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区二模__2025东城二模.md,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区二模__2025东城二模.md,answer-key-present,人工智能发展进入加速期，DeepSeek 开源免费、人人可用，“人工智能+”赋能科技创新、产业发展、社会治理、医疗教育、家庭服务等领域；阅卷报告明确指出人工智能的发展基于当前科技水平、社会需求等客观实际。,材料不是把人工智能浪潮写成凭空出现的主观想象，而是放在技术水平迭代、社会需求扩展和应用场景增多的客观条件中理解。人工智能的认识、评价和应对方案必须以这些客观实际为基础，因此稳定触发“物质决定意识”。
V3-FW-0002,92,物质决定意识，意识对物质具有能动作用,2026北京西城高三（上）期末 第16题第（2）问（用户补充评分页截图）,2026,西城,期末,第16题第（2）问,subjective,E,E_user_supplement_not_in_workspace,BLOCKED_SOURCE_GAP,do-not-use-until-source-proof,上一层来源复核已标 E_user_supplement_not_in_workspace；本轮不得用 V2 逻辑替代原题/细则。,物质决定意识，意识是对客观存在的反映,物质决定意识;社会存在决定社会意识;意识是对客观存在的反映;客观存在;客观实际;意识的反作用;意识对物质;意识具有能动作用;意识能动;主观能动性;意识对物质具有能动作用,,物质决定意识;意识是对客观存在的反映;客观存在,物质决定意识;意识是对客观存在的反映;客观存在;客观实际,2026各区期末和期中\2026西城期末\其他材料\西城高三期末评标.pptx,2026各区期末和期中\2026西城期末\试卷\2026北京西城高三（上）期末政治（教师版）.pdf,16.（2）可从追求真理、正确对待矛盾、群众观点、正确价值观等角度作答。（6分） 要加快构建以国内大循环为主体， 国内国际双循环相互促进的新发展格局。 要加快构建以国内大循环为主体，国内国际双循环相互促进的新发展格局。 跨境物流 跨境消费 两种资源；比较优势 全球资源共享 国内大循环 国际循环 筑基 企业：生产经营、跨国经营； 产业：结构优化升级、区域经济协调发展、高质量发展 产业政策：大力发展新质生产力、技术创新、全产业链、供给侧结构性调整、高质量发展、高水平对外开放 生产 ①供给端：推动供给侧结构性改革，提升产品质量和服务水平，创新消费场景，优化消费供给，提升居民消费层级。 分配政策：按劳分配、多种分配方式并存。完善个人收入分配政策1234 P47 我国的社会保障：完善社会保障，随着经济增长提高社,、生态改善、科技突 破等现实题材传递中国经验，将中国故事推向世界，在国际交流中展现中华文 化的独特魅力，增强对中华文化国际传播力的信心。 ④创新表达形式，焕发文化自信的活力。运用多元影像技术呈现文化内涵，推动 中华优秀传统文化与当代社会价值相融合，为文化自信注入鲜活的时代力量， 增强对中华文化创新发展的信心。 （2）①物质决定意识，意识是对客观存在的反映。“真实”源于客观存在的事实，能 够准确反映事物的本质与规律，帮助人们形成对世界的正确认识，从而突破认 知隔阂，引发思想共鸣。 ②实践是认识的基础，是检验认识真理性的唯一标准。新闻、历史、司法等领域 的“真实”，都经过实践的检验与验证，具有客观性与说服力，能够获得人们 的普遍认同，凝聚精神共识。 ③人民群众是历史的创造者，是社会精神财富的创造者。“真实”的内容往往贴 近人民的生活实践与情感需求，契合人民群众的根本利益，能够唤起共情，凝 聚起直抵人心的精神力量。 ④意识对改造客观世界具有能动的反作用。“真实”的信息能够引导人们树立正 确的价值观，激发人们追求真理、直面问题的自觉行动，凝聚起推动社会发展 的强大精神动力。 高三政治 参考答案（第 2 页 共 3 页）,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区期末和期中__2026西城期末.md,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区期末和期中__2026西城期末.md,answer-key-present,“真实”被界定为客观事物及其规律的本来面目，只有如实反映客观事实和规律，作品与表达才能真正打动人心。,材料先把“真实”落在客观事物及其规律上，再谈其何以打动人心，说明作品的感染力首先来自对客观世界的如实把握，而不是主观臆造。只有主观认识与客观实际相符合，表达才有根基，因此这里稳定触发“物质决定意识，意识是对客观存在的反映”。
V3-FW-0003,96,物质决定意识，意识对物质具有能动作用,2024北京朝阳高三二模 第16题（2）（2024年朝阳二模主观题阅卷总结.pdf）,2024,朝阳,二模,第16题（2）,subjective,A,A_scoring_source_trigger_not_text_matched,SUPPORTED_DIRECT_RUBRIC,keep-with-excerpt,细则/评标/阅卷片段直接命中该原理或等价表述。,物质与意识的辩证关系 / 意识对物质具有能动作用,物质决定意识;社会存在决定社会意识;意识是对客观存在的反映;客观存在;客观实际;意识的反作用;意识对物质;意识具有能动作用;意识能动;主观能动性;意识对物质具有能动作用;物质与意识的辩证关系,社会存在决定社会意识;主观能动性,,,2024各区二模\2024朝阳二模\细则\2024朝阳二模细则.pdf,2024各区二模\2024朝阳二模\试卷\003202405朝阳高三二模政治试题.pdf,…运用哲学知识，谈谈你的 看法。 （7 分） 评分细则： 评分说明： 从设问上属于开放性试题，原则上遵照“是为怎”的逻辑顺序；从材料内容上凸显了人 与人工智能的相互影响相互塑造关系，因此要求学生学会辩证看问题， 看到二者对立统一关 系，特别是未来发展中的统一关系；从知识上，不仅限于标答中的参考原理，还可以从尊重 规律与主观能动性、人民群众、价值观等角度进行思考，言之成理即可。 具体细则：7 分，要求按照“是什么、为什么、怎么办”的逻辑来论述 一、是什么1分：即认识到未来人与人工智能相互作用的关系 辩辩证统一/相互塑造/相 互影响/相辅相成/对立统一等） 注意：如果是单方面的关系，这部分不给分 二．为什么4 分：即为什么是这样的关系。 “人对人工智能的作用给 2 分 (理论+实际 分析到位)人工智能对人的作用给 2 分(理论+实际分析到位)辩知识可选择：实践、联系、 主能规律、矛盾、物质意识、发展、社会存在社会意识等） 注意：强调例理分析，特别是材料与知识与设问的严谨对应，否则不给分 三．怎么办2分：即未来应如何正确处理二者的关系，如何把握好科技伦理的边界能带来的 风险、威胁;让人工智能更好的为人类社会服务(理论+实际分析到位,"16. (14 分) 人工智能正以前所未有的速度、广度和深度变革经济社会发展模式。 材料一 算力是指计算机或其他计算设备在一定时 间内可以处理的数据量或完成的计算任务量。 随着大模型等人工智能产业迅速兴起,各国 对智能算力资源的需求愈发旺盛。 全球主要发 达国家纷纷加快推进算力布局,抢占竞争制高点。 算力作为数字经济发展的底层支撑,正在向交通、金融、教育、医疗、科技、能源等各 行业加速渗透。 研究表明,算力指数平均每提高 1 个百分点,数字经济和国内生产总值 将分别增长 3. 3‰和 1. 8‰。 目前,我国东部地区数字经济发展迅速、产业发展相对完善,算力基础设施建设相对 密集;西部地区数字产业欠发达,人才、资金投入存在短缺现象。 部分数据资源要素持有 者“ 不愿流通” “ 不敢流通” ,数据治理和可信流通体系",data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024朝阳二模.md,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024朝阳二模.md,answer-key-present,人工智能从人类对神经元联系、人工神经网络和深度学习的认识中发展出来，又反过来通过数据追踪、分析和输出影响人的生产生活与认识方式。,阅卷总结在“为什么”层面明确列出“物质意识”作为可选知识。材料既说明人工智能的发展依托技术实践和客观应用场景，也说明人的认识、设计和价值取向会影响人工智能的发展方向；人工智能作为新的技术条件又会改变人的认识环境。因此该题不能只挂实践、联系和发展，还应补入物质与意识关系。
V3-FW-0004,102,一切从实际出发 / 实事求是,2025北京丰台高三（上）期末 第16题（丰台期末细则.pptx）,2025,丰台,期末,第16题,subjective,B,B_angle_or_scoring_source,SUPPORTED_DIRECT_RUBRIC,keep-with-excerpt,细则/评标/阅卷片段直接命中该原理或等价表述。,一切从实际出发 / 实事求是,一切从实际出发;实事求是;主观与客观;客观实际;具体的历史的统一,一切从实际出发,一切从实际出发,一切从实际出发;实事求是,2025各区期末\2025丰台期末\细则\2025丰台期末细则.pptx,2025各区期末\2025丰台期末\试卷\2025北京丰台高三（上）期末政治（教师版）.pdf,16.（8分）从实践、一切从实际出发、联系观、发展观、矛盾观等角度作答。 胸中有“数”中的“数”不是凭空而来的，而是通过实践获得的，只有关注实际进行调查研究，才能获得对“数”的正确认识，并且根据实际情况来确定和运用这些“数”。 量变是质变的必要准备，我们对情况和问题要注意到它们的数量方面，要有基本的数量分析，在国家治理中看大数、在工作生活中做计划定方案等都需要关注量的积累。同时，要坚持适度原则，明确事物量变到质变的界限，在工作和生活中确定合理的“数”。胸中有“数”就是通过将各种需要与可能、适时与适量，达成并保持更为精确的平衡“度”，从而有效避免和减少决策与指导中的盲目性与随意性。 要做到胸中有“数”，我们需要坚持系统观念，立足整体把握相互关联的诸多要素，同时还要分析矛盾的特殊性，精准分析工作中的“数”。 答案示例 胸中有“数”中的“,16. 【答案】从实践、一切从实际出发、联系观、发展观、矛盾观等角度作答。 水平 4 观点鲜明，能明确表达自己的见解：紧扣观点，综 合运用所学知识展开论述；逻辑严密，条理清晰 水平 3 观点比较明确，能表达自己的见解；能扣住观点展 开论述，知识运用比较准确： 逻辑性较强，有条 理 水平 2 观点不明确；论述不能集中指向观点，罗列知识； 知识运用不正确；论述缺乏逻辑，条理性差 水平 1 应答与试题无关；或重复试题内容；或没有应答 示例：①量变是质变的前提，质变是量变的必然结果。在工作中，注意脚踏实地，从小事做起，注重量的 积累，做到懂得注意事物的数量方面，实现胸中有“数”。 ②质变为新的量变开辟道路，在量变达到一定程度时，要注意抓住时机，做到有计划、有方案，从而促成 质变。 ③当需要保持事物性质的稳定性时，就必须把量变控制在一定范围内，,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,possible-answer-key,“胸中有‘数’”要求在工作生活中做计划、定方案，在国家治理中看大数、看长远；评分标准把“数从哪里来”对应到实践、实际、规律、发挥主观能动性。,“数”不是主观臆想出来的，而是对客观情况、统计数据、百分比和数量界限的把握。材料要求从实际情况中取得“数”，再依据实际确定方案，因此触发“一切从实际出发、实事求是”。
V3-FW-0005,106,一切从实际出发 / 实事求是,2025北京朝阳高三（上）期末 第16题（朝阳期末评标.pdf扫描页读图核定）,2025,朝阳,期末,第16题,subjective,B,B_angle_or_scoring_source,NEEDS_HUMAN_CONTENT_CHECK,manual-review-before-draft,能定位原题/来源片段，但未找到该原理的直接或等价支撑。,一切从实际出发 / 实事求是,一切从实际出发;实事求是;主观与客观;客观实际;具体的历史的统一,,,,2025各区期末\2025朝阳期末\细则\2025朝阳期末细则.pdf,2025各区期末\2025朝阳期末\试卷\2025北京朝阳高三（上）期末政治（教师版）.pdf,No reliable text layer was extracted. Use cached rendered page images for OCR or visual reading. ---,16.（8 分） 共建美美与共的文明百花园，要强化用文化同世界对话的理念。 材料一 《论语》 《习近平谈治国理政》等书籍在许多国家发行，以文字的力量传递中国声音和价值 观。某国外领导人评论说， 《论语》的早期翻译和导读曾对孟德斯鸠和伏尔泰的哲学思想给予启发。 材料二 中国汉代文物“组团”出境展出，与当地策展人紧密沟通，展览方式上更注重趣味互动，在 叙事上更关注生活方式、文化交流等贴近普通观众的视角，挖掘文化资源的丰富内涵和当代价值，寻找其 与现代生活的契合点，拉近观众与文物之间的距离，受到当地民众的欢迎。 材料三 春节作为中国传统节日，传承着和平、和睦、和谐等中华文明理念，也承载着家庭和睦、社 会包容、人与自然和谐共生等全人类共同价值。在我国的积极推动下，2023 年 12 月，联合国大会通过决 议，将春,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025朝阳期末.md,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025朝阳期末.md,answer-key-present,中国汉代文物出境展出时，与当地策展人沟通，关注当地观众的生活方式、互动体验和现代生活契合点；评分细则要求文化交流既符合本民族文化发展实际，也满足交流对象文化需求，体现全人类共同价值取向。,用文化同世界对话不能只按自我表达逻辑输出，而要同时看中国文化自身实际、传播对象的接受特点和国际交流语境。材料把“当地策展人、普通观众、现代生活契合点”放进来，说明对外文化交流要从具体对象和具体场景出发。
V3-FW-0006,110,一切从实际出发 / 实事求是,2026北京朝阳高三一模 第1题,2026,朝阳,一模,第1题,choice,C,C_verified_choice_source,WEAK_INFERRED_FROM_MATERIAL,manual-review-before-draft,原题/细则片段可定位，但未直接命中该原理；目前只看到 V2 材料链中的解释，需人工复看。,一切从实际出发 / 实事求是,一切从实际出发;实事求是;主观与客观;客观实际;具体的历史的统一,,,实事求是,2026各区一模\2026朝阳一模\其他材料\chat_file_1040g3c831um895dphu105n2bsq04dit0lj2bojo_202604朝阳高三政治一模阅卷细则(1).docx,2026各区一模\2026朝阳一模\试卷\2026北京朝阳高三一模政治（教师版）.pdf,1. 必答角度（2个，共5分）： ①尊重客观规律与发挥主观能动性的辩证关系。3分（核心哲学考点） ——紧扣“独特智慧”（历法是人们认识自然界时间变化规律的智慧结晶） ②中华优秀传统文化的特点、价值，文化自信。2分（核心文化考点） ——紧扣“中国农历” 选答角度（共3分，哲学/文化任选，不重复给分）： 哲学类（认识论/实践与认识、联系观/系统优化、对立统一）；文化类（文化创新、文化的功能等）。每答对1个且结合材料，得2-3分，累计不超过3分。 注意：只写原理不结合材料，该知识点给1分，答案纯罗列知识的最高3分；只抄材料不写原理，该知识点不得分。 答案示例： 中国农历以日月运行的客观规律为基础，同时通过“十九年七闰”协调历法差异、创制二十四节气，发挥主观能动性认识和利用规律，实现了尊重客观规律与正确发挥主观能动性的,1. 实干，是中国共产党人的鲜明特质，是成就事业的必由之路，是破解难题的根本途径。从延安时期“自 己动手、丰衣足食”到新中国成立后“自力更生、艰苦奋斗”，从改革开放“大胆地试、勇敢地改”到新 时代脱贫攻坚战“不获全胜、决不收兵”，一切伟大的成就都是党和人民一道拼出来、干出来的。下列说 法正确的是（ ） ①“自己动手、丰衣足食”坚持了从边区的实际出发，有利于抗日战争取得胜利 ②“自力更生、艰苦奋斗”反映了对外贸易环境条件的变化，构建了新发展格局 ③“大胆地试、勇敢地改”印证了决心和勇气是想问题、作决策、办事情的出发点 ④“不获全胜、决不收兵”要求“务实”的作为，脚踏实地、埋头苦干、久久为功 A. ①③ B. ①④ C. ②③ D. ②④,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区一模__2026朝阳一模.md,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区一模__2026朝阳一模.md,answer-key-present,从“自己动手、丰衣足食”到“不获全胜、决不收兵”，不同时期的实干口号都对应特定历史条件和现实任务。,边区生产自救、新中国建设、改革开放和脱贫攻坚并不是套用同一做法，而是根据不同阶段的客观条件和中心任务选择实践路径。材料中的“自己动手”与“久久为功”都强调从现实问题出发、真抓实干，因此稳定触发实事求是。
V3-FW-0007,114,一切从实际出发 / 实事求是,2026北京东城高三一模 第1题,2026,东城,一模,第1题,choice,C,C_verified_choice_source,SUPPORTED_DIRECT_CHOICE_TEXT,keep-choice-with-excerpt,选择题题面/选项片段直接命中该原理或等价表述，且已有答案键状态。,一切从实际出发 / 实事求是,一切从实际出发;实事求是;主观与客观;客观实际;具体的历史的统一,,一切从实际出发;实事求是,实事求是,2026各区一模\2026东城一模\其他材料\26东城一模细则.pdf,2026各区一模\2026东城一模\试卷\2026北京东城高三一模政治（教师版）.pdf,"1.明确指出观点“片面”,辩证分析合理与不合理之处：",1．2025 年，面对复杂严峻的国内外环境，我国经济交出“六字”亮眼成绩单，展现强劲韧性与活力。 对这份成绩单的看法正确的有 ①在党的全面领导下，制度优势转化为经济治理效能 ②以生产关系的根本改变夯实粮食安全和产业优化的基础 ③只有一切从实际出发，实事求是，才能持续向新向优 ④破解发展中的难题与挑战始终是我们的奋斗目标 A．①② B．①③ C．②④ D．③④,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区一模__2026东城一模.md,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区一模__2026东城一模.md,answer-key-present,面对复杂严峻的国内外环境，我国经济仍交出亮眼成绩单，材料强调只有从实际出发、实事求是，才能持续向新向优。,题干不是抽象歌颂成绩，而是把“复杂环境”与“持续向优”放在一起，说明高质量发展不能脱离现实条件空谈目标。越是在困难环境中越要基于客观情况调整政策和路径，因此稳定触发实事求是。
V3-FW-0008,118,一切从实际出发 / 实事求是,2026北京海淀高三一模 第8题,2026,海淀,一模,第8题,choice,C,C_verified_choice_source,WEAK_INFERRED_FROM_MATERIAL,manual-review-before-draft,原题/细则片段可定位，但未直接命中该原理；目前只看到 V2 材料链中的解释，需人工复看。,一切从实际出发 / 实事求是,一切从实际出发;实事求是;主观与客观;客观实际;具体的历史的统一,,,实事求是;客观实际,2026各区一模\2026海淀一模\细则\2026海淀一模细则.pdf,,高三思想政治参考答案 第 1 页 26 海淀一模评分标准 政治 第一部分 本部分共 15 题，每题 3 分，共 45 分。 1．C 2．B 3．A 4．B 5．D 6．B 7．D 8．A 9．B 10．D 11．C 12．C 13．D 14．A 15．C 第二部分 本部分共 6 题，共 55 分。 16. （8 分） 可从发展的观点、社会存在与社会意识、价值观、文化的功能等角度作答。 高三思想政治参考答案 第 2 页 17.（6 分） 逻辑错误：划分标准不一；选言判断遗漏其他有选择价值的其他情况。 建议：可从科学思维、遵循逻辑思维规则、辩证思维等角度，结合调研活动提出建议，措施具体可 行。 第 2 问评分细则 建议 1 分，知识 1 分 ，两条建议共 4 分。 具体建议可从调研方案、调研方法（问卷法、访谈法,,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区一模__2026海淀一模.md,data/preprocessed_corpus/gpt_suite_bundles/2026各区模拟题__2026各区一模__2026海淀一模.md,answer-key-present,树立正确政绩观要求领导干部为民造福、真抓实干、久久为功，并深入基层一线倾听不同声音、掌握实情。,材料反对急功近利的“显绩”冲动，强调到基层调查研究、把握真实情况后再作决策和推进工作。政绩不是凭主观想象包装出来的，而要立足群众需求和客观实际持续用力，因此稳定触发实事求是。
V3-FW-0009,122,一切从实际出发 / 实事求是,2025北京朝阳高三一模 第12题,2025,朝阳,一模,第12题,choice,C,C_verified_choice_source,WEAK_INFERRED_FROM_MATERIAL,manual-review-before-draft,原题/细则片段可定位，但未直接命中该原理；目前只看到 V2 材料链中的解释，需人工复看。,一切从实际出发 / 实事求是,一切从实际出发;实事求是;主观与客观;客观实际;具体的历史的统一,,,实事求是,2025各区一模\2025朝阳一模\其他材料\高三政治一模试卷讲评.pptx,2025各区一模\2025朝阳一模\其他材料\高三政治一模试卷讲评.pptx,12. 林下可生金，绿富可双赢。林下经济是指依托森林、林地及其生态环境，遵循可持续经营原则，以开展复合经营为主要特征的生态友好型经济，包括林下种植、林下养殖、相关产品采集加工、森林景观利用等。目前，全国林下经济产值1万多亿元，从事林下经济生产的人数达到了3400多万人。发展林下经济 ①是践行“绿水青山就是金山银山”理念的生动实践 ②实现了全国各地“富”与“绿”的结合与双赢 ③需要扩大森林开采面积，以提高森林资源利用水平 ④要注意研究市场，突出多种经营，防止一哄而上、产销失衡 A.①② B. ①④ C. ②③ D.③④ ②错误：目前全国林下经济产值虽已达 1 万多亿元，但不能就此说明已实现了全国各地 “富” 与 “绿” 的结合与双赢，这种说法过于绝对，在一些地区可能还存在发展不足等情,12. 林下可生金，绿富可双赢。林下经济是指依托森林、林地及其生态环境，遵循可持续经营原则，以开展复合经营为主要特征的生态友好型经济，包括林下种植、林下养殖、相关产品采集加工、森林景观利用等。目前，全国林下经济产值1万多亿元，从事林下经济生产的人数达到了3400多万人。发展林下经济 ①是践行“绿水青山就是金山银山”理念的生动实践 ②实现了全国各地“富”与“绿”的结合与双赢 ③需要扩大森林开采面积，以提高森林资源利用水平 ④要注意研究市场，突出多种经营，防止一哄而上、产销失衡 A.①② B. ①④ C. ②③ D.③④ ②错误：目前全国林下经济产值虽已达 1 万多亿元，但不能就此说明已实现了全国各地 “富” 与 “绿” 的结合与双赢，这种说法过于绝对，在一些地区可能还存在发展不足等情,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区一模__2025朝阳一模.md,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区一模__2025朝阳一模.md,answer-key-present,发展林下经济既要依托森林、林地及其生态环境，又要研究市场、突出多种经营，防止一哄而上和产销失衡。,林下经济不是看到“绿富双赢”就盲目复制，而要同时看生态资源条件、市场需求和经营结构。材料明确反对一哄而上，强调研究市场、分类经营，说明推进生态产业必须从当地资源禀赋和现实市场出发，因此稳定触发实事求是。
V3-FW-0010,126,一切从实际出发 / 实事求是,2025北京丰台高三（上）期末 第7题,2025,丰台,期末,第7题,choice,C,C_verified_choice_source,WEAK_INFERRED_FROM_MATERIAL,manual-review-before-draft,原题/细则片段可定位，但未直接命中该原理；目前只看到 V2 材料链中的解释，需人工复看。,一切从实际出发 / 实事求是,一切从实际出发;实事求是;主观与客观;客观实际;具体的历史的统一,一切从实际出发,,一切从实际出发;实事求是,2025各区期末\2025丰台期末\细则\2025丰台期末细则.pptx,2025各区期末\2025丰台期末\试卷\2025北京丰台高三（上）期末政治（教师版）.pdf,辩证思维的语言，采意分档赋分。如果答案只有超前思维，不给分，要求用哲学发展的观点才给分，如果答辩证思维给分。 3.在论证“数”为何所用这个维度时，从“要看大数、看长远” 引出要抓主要矛盾、矛盾的主次方面，不是在回应“为何所用”，不给分。如果是在回应“数”当如何定，论证合理、逻辑自洽，可以给分。 16.（8分）从实践、一切从实际出发、联系观、发展观、矛盾观等角度作答。 胸中有“数”中的“数”不是凭空而来的，而是通过实践获得的，只有关注实际进行调查研究，才能获得对“数”的正确认识，并且根据实际情况来确定和运用这些“数”。 量变是质变的必要准备，我们对情况和问题要注意到它们的数量方面，要有基本的数量分析，在国家治理中看大数、在工作生活中做计划定方案等都需要关注量的积累。同时，要坚持适度原则，明确事物量变到质变的界限，在工作和生活中确定合理的“数”。胸中有“数”就是通过将各种需要与可能、适时与适量，达成并保持更为精确的平衡“度”，从而有效避免和减少决策与指导中的盲目性与随意性。 要做到胸中有“数”，我们需要坚持系统观念，立足整体把握相互关联的诸多要素，同时还要分析矛盾的特殊性，精准分析工作中的“数”。 答案示例 胸中有“数”中的“,7. 【答案】C 【详解】C：漫画《为昨天懊恼，替明天担心，不如把握当下》反映一些人为昨天的错误而懊恼，为未来 的不确定性而担忧，从而忽略了当下的重要性，这实际上告诉我们，要从实际出发，从当下做起，生活才 能少些迷茫，C 正确。 A：集中精力关注当下，未必就能活出最美的样子，A 说法绝对。 B：漫画强调关注当下，并不强调运用超前思维思考明天，B 不符合题意。 D：尊重客观规律才是办事情取得成功的关键，D 排除。 故本题选 C。,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区期末__2025丰台期末.md,possible-answer-key,漫画写“为昨天懊恼，替明天担心，不如把握当下”，正确项强调从当下做起，减少生活迷茫。,题干不是让人沉溺懊悔或空想未来，而是要求回到现实处境和当前行动。只有立足当下真实条件、从现在可做之事着手，才能避免空转和迷茫，因此这一题稳定触发一切从实际出发 / 实事求是。
