六要素,小框架,答题术语,术语性质,主观题挂载数,唯一题源数
时代背景,机遇,和平与发展是时代的主题,PDF原框架术语,8,8
政治多极化,单边,反对单边主义和贸易保护主义,考题增补术语,3,3
中国,责任,承担大国责任；发挥建设性作用,考题增补术语,12,11
理论,共同利益,共同利益是国家间合作的基础,PDF原框架术语；考题增补术语,9,9
中国,一条历史线,中国的综合国力增强；国际地位提升,考题增补术语,4,4
理论,共同利益,维护本国利益的同时兼顾他国合理关切,PDF原框架术语；考题增补术语,6,6
理论,国家安全,国家安全是最高国家利益,考题增补术语,2,1
经济全球化,开,推进我国高水平对外开放,考题增补术语,1,1
经济全球化,开,发展更高层次的开放型经济；推进我国高水平对外开放,考题增补术语,16,13
经济全球化,总,推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展,PDF原框架术语,13,13
经济全球化,兼,充分利用国内国际两个市场；充分利用国内国际两种资源,PDF原框架术语,10,10
经济全球化,贸资,推动贸易投资自由化便利化,PDF原框架术语；考题增补术语,11,11
经济全球化,环,促进要素自由流动；优化资源配置,PDF原框架术语,5,5
经济全球化,环,产业结构优化升级；促进要素自由流动,考题增补术语,3,2
经济全球化,配,优化资源配置,PDF原框架术语,1,1
政治多极化,完善全球治理,倡导共商共建共享的全球治理观,PDF原框架术语,12,12
政治多极化,民主,推动国际关系民主化；坚持真正的多边主义,PDF原框架术语,12,11
政治多极化,新国关,有利于构建相互尊重、公平正义、合作共赢的新型国际关系,PDF原框架术语,8,8
政治多极化,多极化,坚持平等有序的多极化,PDF原框架术语,4,4
政治多极化,完善全球治理,完善全球治理；倡导共商共建共享的全球治理观,考题增补术语,1,1
政治多极化,完善全球治理,完善全球治理,考题增补术语,1,1
政治多极化,共体,有利于构建人类命运共同体,PDF原框架术语,26,19
中国,智慧,中国智慧；中国方案,PDF原框架术语；考题增补术语,6,6
中国,政策,我国奉行独立自主的和平外交政策,PDF原框架术语,7,4
经济全球化,民,民生福祉；增加就业岗位；提高居民收入,PDF原框架术语,1,1
联合国,联合国,遵循联合国宪章宗旨原则,PDF原框架术语,5,5
联合国,联合国,践行多边主义的最佳场所,考题增补术语,4,3
联合国,联合国,践行多边主义的最佳场所；遵循联合国宪章宗旨原则,考题增补术语,1,1
经济全球化,国,推动成员国经济复苏；共建国家经济增长,PDF原框架术语,4,3
经济全球化,营,优化营商环境；国际化、市场化、法治化营商环境,PDF原框架术语,5,5
时代背景,挑战,霸权主义；强权政治,PDF原框架术语,2,2
中国,一条主线,习近平外交思想为新时代中国特色大国外交提供了根本遵循和行动指南,PDF原框架术语,2,2
