clean_order,visible_title,question_id,phase12_decision,source_pool,review_line
1,2025 海淀二模第20题,Q-2025海淀二模-20,body_now,phase11B_fallback_for_missing_body_now,7
2,2025 海淀期末第17题第(1)问,Q-2025海淀期末-17-1,body_now,phase11D_combined29,18
3,2025 海淀期末第18题,Q-2025海淀期末-18,body_now,phase11D_combined29,35
4,2024 海淀二模第17题第(1)问,Q-2024海淀二模-17-1,body_after_repair,phase11D_combined29,59
5,2024 海淀二模第17题第(2)问,Q-2024海淀二模-17-2,body_now,phase11D_combined29,83
6,2025 西城二模第16题第(2)问,Q-2025西城二模-16-2,body_now,phase11D_combined29,107
7,2025 西城二模第16题第(3)问,Q-2025西城二模-16-3,body_now,phase11D_combined29,132
8,2024 西城一模第19题第(2)问,Q-2024西城一模-19-2,body_now,phase11D_combined29,157
9,2024 西城一模第19题第(3)问,Q-2024西城一模-19-3,body_now,phase11D_combined29,182
10,2024 西城一模第19题第(5)问,Q-2024西城一模-19-5,body_now,phase11D_combined29,207
11,2026 东城一模第19题第(4)问,Q-2026东城一模-19-4,body_now,phase11D_combined29,232
12,2026 东城期末第17题第(2)问,Q-2026东城期末-17-2,body_after_repair,phase12_batch_repair,249
13,2025 东城期末第18题第(2)问,Q-2025东城期末-18-2,body_after_repair,phase12_batch_repair,267
14,2026 朝阳期中第20题,Q-2026朝阳期中-20,body_now,phase11D_combined29,285
15,2026 朝阳期中第21题第(2)问,Q-2026朝阳期中-21-2,body_now,phase11D_combined29,302
16,2024 朝阳一模第20题第(1)问,Q-2024朝阳一模-20-1,body_now,phase11D_combined29,327
17,2024 朝阳一模第20题第(2)问,Q-2024朝阳一模-20-2,body_now,phase11D_combined29,344
18,2024 朝阳二模第19题第(1)问,Q-2024朝阳二模-19-1,body_now,phase11D_combined29,369
19,2024 朝阳二模第19题第(2)问,Q-2024朝阳二模-19-2,body_now,phase11D_combined29,394
20,2024 朝阳期中第18题,Q-2024朝阳期中-18,body_after_repair,phase12_batch_repair,419
21,2024 朝阳期中第19题,Q-2024朝阳期中-19,body_after_repair,phase12_batch_repair,437
22,2026 丰台一模第18题第(2)问,Q-2026丰台一模-18-2,body_now,phase11B_fallback_for_missing_body_now,455
23,2025 丰台期末第18题第(1)问,Q-2025丰台期末-18-1,body_after_repair,phase12_batch_repair,472
