raw_suite,normalized_suite,year,stage_dir,stage_bucket,raw_path,source_file_count,in_full_source_vs_docx_audit,matrix_rows,current_docx_mentions,current_status,blocker_or_next_action
2024东城一模,2024东城一模,2024,2024各区一模,first_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模,3,True,10,8,covered_by_current_audit_or_matrix,
2024丰台一模,2024丰台一模,2024,2024各区一模,first_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模,3,True,30,8,covered_by_current_audit_or_matrix,
2024朝阳一模,2024朝阳一模,2024,2024各区一模,first_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模,4,True,19,5,covered_by_current_audit_or_matrix,
2024海淀一模,2024海淀一模,2024,2024各区一模,first_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模,3,True,23,9,covered_by_current_audit_or_matrix,
2024石景山一模,2024石景山一模,2024,2024各区一模,first_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模,2,True,23,5,covered_by_current_audit_or_matrix,
2024西城一模,2024西城一模,2024,2024各区一模,first_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模,5,True,18,11,covered_by_current_audit_or_matrix,
2024东城二模,2024东城二模,2024,2024各区二模,second_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模,13,True,1,13,covered_by_current_audit_or_matrix,
2024丰台二模,2024丰台二模,2024,2024各区二模,second_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模,2,True,1,5,covered_by_current_audit_or_matrix,
2024朝阳二模,2024朝阳二模,2024,2024各区二模,second_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模,3,True,1,12,covered_by_current_audit_or_matrix,
2024海淀二模,2024海淀二模,2024,2024各区二模,second_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024海淀二模,4,True,1,9,covered_by_current_audit_or_matrix,
2024西城二模,2024西城二模,2024,2024各区二模,second_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模,6,True,1,10,covered_by_current_audit_or_matrix,
2024顺义思政二模,2024顺义二模,2024,2024各区二模,second_mock,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024顺义思政二模,2,True,1,10,covered_by_current_audit_or_matrix,
2024朝阳期中,2024朝阳期中,2024,2024各区期中,midterm_or_final,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中,5,False,28,15,covered_by_batch19_recovery_matrix,question-level disposition rows added by Batch19; DOCX entries registered/inserted
2024海淀期中,2024海淀期中,2024,2024各区期中,midterm_or_final,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024海淀期中,2,True,26,0,covered_by_batch20_recovery_matrix,Batch20 closed as module-boundary excluded and removed three misplaced Q18 DOCX entries.
2025东城一模,2025东城一模,2025,2025各区一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模,2,True,31,15,covered_by_current_audit_or_matrix,
2025丰台一模,2025丰台一模,2025,2025各区一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模,2,True,36,12,covered_by_current_audit_or_matrix,
2025延庆一模,2025延庆一模,2025,2025各区一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模,2,True,30,9,covered_by_current_audit_or_matrix,
2025房山一模,2025房山一模,2025,2025各区一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模,2,True,25,9,covered_by_current_audit_or_matrix,
2025朝阳一模,2025朝阳一模,2025,2025各区一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025朝阳一模,6,True,26,12,covered_by_current_audit_or_matrix,
2025海淀一模,2025海淀一模,2025,2025各区一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025海淀一模,3,True,31,12,covered_by_current_audit_or_matrix,
2025石景山一模,2025石景山一模,2025,2025各区一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025石景山一模,2,True,28,7,covered_by_current_audit_or_matrix,
2025西城一模,2025西城一模,2025,2025各区一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模,2,True,27,11,covered_by_current_audit_or_matrix,
2025门头沟一模,2025门头沟一模,2025,2025各区一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025门头沟一模,2,True,30,10,covered_by_current_audit_or_matrix,
2025顺义一模,2025顺义一模,2025,2025各区一模,first_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025顺义一模,2,True,25,9,covered_by_current_audit_or_matrix,
2025东城二模,2025东城二模,2025,2025各区二模,second_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025东城二模,2,True,1,13,covered_by_current_audit_or_matrix,
2025丰台二模,2025丰台二模,2025,2025各区二模,second_mock,C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模,9,True,1,11,covered_by_current_audit_or_matrix,
