queue_id,priority,priority_reason,heading,entry_group,question_kind,thin_flags,material_chars,question_chars,why_chars,answer_chars,answer_point_markers,recommended_action,answer_excerpt
T0385,P1,inserted entry needs parity with legacy thickness,1. 2025东城一模 第1题（选择题）,inserted,choice,ANSWER_LT_120_CHARS,44,220,97,86,1,expand answer landing into concrete exam sentence; match inserted-entry detail level to surrounding legacy entries,本题应选A。本节点处理②：总结75年历史经验，必须看到人民群众是社会历史的主体，是推动国家发展和民族复兴的根本力量；新征程上仍要坚持人民主体地位，依靠人民创造新的历史伟业。
T0384,P1,inserted entry needs parity with legacy thickness,1. 2026石景山二模 第9题（选择题）,inserted,choice,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS,41,223,84,68,2,expand material-to-principle recognition path; expand answer landing into concrete exam sentence; match inserted-entry detail level to surrounding legacy entries,正确项是D（③④）。本节点处理人民群众标准：树立正确政绩观必须坚持人民主体地位，把为民造福作为出发点和落脚点，让工作成效经得起人民检验。
T0241,P1,inserted entry needs parity with legacy thickness,10. 2024朝阳期中 第17题（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,114,46,186,170,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,矛盾具有特殊性，具体问题要具体分析；让农耕文明在新时代迎来全新面貌，必须正视不同地区、不同形态、不同载体的农耕文明各有其特殊性，反对“拆真建假”“过分商业化”“一哄而上”这种用一个套路覆盖所有的做法；要根据每一项遗产、每一类乡村综艺、每一种文化产品的具体情况制定保护、传承、创新方案，让农耕文明的“乡土味”和地方个性在新时代得到保留和呈现。
T0053,P1,inserted entry needs parity with legacy thickness,10. 2026丰台一模 第21题（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,141,28,129,161,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,尊重客观规律是发挥主观能动性的前提，发挥主观能动性是尊重规律的必要条件，二者要相结合。识变要求精准把握我国经济社会发展和中国式现代化的客观规律新变化；应变要求党在尊重规律基础上科学决策；求变要求在规律允许范围内主动开拓——把尊重客观规律与发挥主观能动性相结合贯穿识变应变求变全过程，是党在中国式现代化中把握战略主动的关键。
T0099,P1,inserted entry needs parity with legacy thickness,10. 2026通州期末 第8题（选择题）,inserted,choice,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS|SHORT_WITHOUT_POINT_MARKERS,37,28,29,43,0,expand material-to-principle recognition path; expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,人们可以依据历史记忆、地名、抗战场景等固有联系，通过刺绣这一实践活动建立新的具体联系。
T0335,P1,inserted entry needs parity with legacy thickness,11. 2024朝阳期中 第5题（选择题）,inserted,choice,ANSWER_LT_120_CHARS,70,180,100,91,4,expand answer landing into concrete exam sentence; match inserted-entry detail level to surrounding legacy entries,本题应选A。本节点处理①②：哲理探索从外部现象出发，通过解释和概括走向对人与世界关系、深层规律性问题的理性把握。③把哲理探索降为体验鲜活性，④把生活条件绝对化为充分必要条件，均不当。
T0242,P1,inserted entry needs parity with legacy thickness,11. 2025丰台期末 第16题（主观题）,inserted,subjective,SHORT_WITHOUT_POINT_MARKERS,61,41,116,121,0,add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,矛盾具有特殊性，要做到具体问题具体分析。要做到胸中有“数”，需要分析矛盾的特殊性、精准分析工作中的“数”——在工作生活中针对具体计划方案确定相应的“数”，在国家治理中针对全局长远确定相应的“数”，避免用同一种数量标尺去裁量所有不同性质的事务。
T0352,P1,inserted entry needs parity with legacy thickness,12. 2026朝阳二模 第3题（选择题）,inserted,choice,ANSWER_LT_120_CHARS,73,87,97,83,3,expand answer landing into concrete exam sentence; match inserted-entry detail level to surrounding legacy entries,正确项是 D（③④）。本节点只处理④：人工智能技术发展和大规模应用构成新的社会存在，推动“词元”这一专业概念走进大众视野，说明社会意识随着社会存在的变化而产生和发展。
T0336,P1,inserted entry needs parity with legacy thickness,12. 2026海淀期末 第3题（选择题）,inserted,choice,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS|SHORT_WITHOUT_POINT_MARKERS,59,25,62,49,0,expand material-to-principle recognition path; expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,新工具可以扩展材料处理和分析能力，帮助人们发现新的艺术特征、深化对规律的认识，但认识主体仍然是人。
T0353,P1,inserted entry needs parity with legacy thickness,13. 2026海淀二模 第2题（选择题）,inserted,choice,ANSWER_LT_120_CHARS,53,179,108,110,2,expand answer landing into concrete exam sentence; match inserted-entry detail level to surrounding legacy entries,本题应选C。本节点处理②：文化作为社会意识不是被动影子，在一定条件下能够转化为现实生产力，带动客流、消费和区域发展。③“不同资源相互融通”可辅助理解联系，但本次不另拆成独立哲学采分点，避免把经济文化融合泛化成多节点堆砌。
T0337,P1,inserted entry needs parity with legacy thickness,13. 2026西城期末 第3题（选择题）,inserted,choice,ANSWER_LT_120_CHARS|WHY_LT_90_CHARS|SHORT_WITHOUT_POINT_MARKERS,50,26,55,53,0,expand material-to-principle recognition path; expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,虚拟模拟作为新的研究工具扩展了人们处理复杂医学对象的能力，能够促进认识能力提高，推动认识在技术条件中发展。
T0188,P1,inserted entry needs parity with legacy thickness,13. 2026通州期末 第16题（主观题）,inserted,subjective,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,34,32,130,114,0,expand answer landing into concrete exam sentence; add point structure only where the question is subjective; match inserted-entry detail level to surrounding legacy entries,材料中“修建并非一蹴而就，历代治水者接力维护；今迈入“智水”时代，守正创新”，体现辩证否定 / 守正创新；这说明发展不是全盘抛弃或原样照搬，而是在保留合理内核中克服旧局限、实现创新，因此可以直接用这一原理说明题中材料的内在逻辑。
