heading,group,material_chars,question_chars,why_chars,answer_chars,answer_point_markers,thin_flags,answer_excerpt
1. 2026海淀一模 第16题（主观题）,legacy,77,53,126,93,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,因为物质决定意识，人工智能时代的客观技术变革、社会巨变和技术局限，决定人们需要人文学科来辨析价值冲突、理解情感和历史记忆；所以人文学科在人工智能时代不是可有可无，而具有不可替代的必要性。
2. 2026西城期末 第16题第（2）问（主观题）,inserted,155,27,188,115,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,物质决定意识，意识是对客观存在的反映；新闻、历史、司法、科学、纪录片各领域所追求的“真实”，本质都是对客观存在着的事实、规律和生命体验的如实反映，能够帮助人们形成对世界的正确认识，所以能突破隔阂、引发思想共鸣，产生直抵人心的力量。
3. 2025东城二模 第16题（主观题）,legacy,117,36,204,192,0,,物质决定意识，社会存在决定社会意识，要求我们一切从实际出发、实事求是。人工智能的发展是基于当前科技水平、产业需求、社会条件等客观实际——机器人走进家庭、DeepSeek让AI普及化、“人工智能+”赋能多领域，是不以人的主观意愿为转移的时代潮流。我们要充分认识到人工智能的技术现状、应用场景以及潜在风险，不能盲目乐观或过度恐惧，从客观实际出发拥抱AI、引导AI，与人工智能共创美好未来。
4. 2025延庆一模 第16题（主观题）,legacy,113,40,149,145,0,SHORT_WITHOUT_POINT_MARKERS,物质决定意识，要一切从实际出发、实事求是。网络文艺作品的“适老化”必须从中老年群体在网络资源搜索能力、文艺消费方式、内容偏好、付费习惯等方面不同于其他用户的客观实际出发，针对其具体特点设计简化操作、优化推荐机制和付费方式；只有从这一客观实际出发去创作，才能真正满足中老年观众的精神文化需要。
5. 2025石景山一模 第4题（选择题）,legacy,92,116,225,199,4,,答案选D。③正确：自愿弹性延迟退休、地方调控自主权、允许城市调减限购，体现的是党坚持实事求是、从各地区各群体不同的客观实际出发，尊重多元诉求，协调各方利益；④正确：渐进式延迟、有序推进改革，体现把握适度原则。错项分析：①“自下而上总结改革经验”与材料“党的二十届三中全会顶层设计、赋权地方、允许地方调减”的自上而下赋权方向相反；②错把改革的客观依据替换为“主体愿望”，违背一切从实际出发的根本要求。
6. 2026东城二模 第16题（主观题）,inserted,94,31,100,108,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,“京彩课堂”的精彩在于从北京实际和学生实际出发，把课程内容建立在真实城市资源和现实育人需要上，使思政学习更贴近现实、更有说服力。卷面可写：课程设计要坚持一切从实际出发，让教学内容同客观资源、学生经验和时代任务相符合。
7. 2026朝阳期中 第18题（主观题）,inserted,30,37,153,184,4,,①物质决定意识，意识依赖于人的现实身体、生活实践和社会关系。②真实的人际情感并不是简单语言回应，它来自人的生命体验、现实处境、长期交往、责任承担和共同实践。③AI可以模拟安慰话语，却没有人的身体经验、现实关系和真正的生活责任，难以完整理解人的复杂情感。④因此，不能把AI情绪陪伴当作真实人际关系的替代品；合理使用技术的同时，仍要回到现实交往中获得真实理解、支持和成长。
8. 2026通州期末 第16题（主观题）,inserted,27,32,132,187,4,,①物质决定意识，要求人的认识和方案必须以客观存在的实际情况为依据。②都江堰的治水方案不是主观臆造出来的，而是从岷江水势、地形高差、水沙运行、灌溉防洪和区域生产生活等客观实际出发形成的。③鱼嘴分水、飞沙堰排沙、宝瓶口控水等工程安排，正是对当地自然条件和水利实际的反映与利用。④因此，都江堰的成功说明治水意识和工程方案必须符合客观实际，主观设计只有以物质条件为基础才能发挥作用。
1. 2026西城期末 第21题（主观题）,inserted,118,73,134,198,3,,①一切从实际出发、实事求是，要求使主观认识和客观实际相符合。五年规划不是凭空设定目标，而是立足我国不同历史阶段的发展水平、主要任务和现实条件来制定。②从早期侧重经济建设，到逐步覆盖社会民生、科技创新、生态环境、文化建设等，规划内容随着国家发展实际和人民需要变化而不断拓展。③正是因为五年规划坚持从实际出发，在实践中根据新问题、新趋势、新挑战调整路径，才保持科学性和连续性，成为治国理政的重要经验。
3. 2025东城二模 第16题（主观题）,legacy,70,31,91,111,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,面对人工智能快速迭代、开源普及、深入社会生活又伴随潜在风险的现实，应从技术现状、民生需求和风险条件出发，既积极拥抱人工智能、推动其服务科技创新和社会治理，又通过规则、伦理和治理安排防范风险，才能真正与人工智能共创美好未来。
4. 2024东城二模 第16题（主观题）,legacy,96,34,193,92,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,桑基鱼塘穿越千年仍未老，是因为它从一开始就尊重人与自然和谐共生的客观规律、从当地地形水土的实际出发，而非凭空设计——尊重规律、一切从实际出发使桑基鱼塘具有科学价值，所以二千多岁仍未老。
5. 2024东城二模 第21题（主观题）,legacy,56,40,116,101,0,ANSWER_LT_120_CHARS|SHORT_WITHOUT_POINT_MARKERS,分析战略性有利条件如何发挥作用，要从中国具体国情和复兴进程的阶段任务出发，把党的领导、制度优势、经济基础、社会稳定和文化自信等现实条件转化为经济社会发展的具体部署，使主观谋划符合客观实际并服务民族复兴。
