queue_id,heading,node,evidence_note,new_why_chars,new_answer_chars,new_why,new_answer
T0295,13. 2025朝阳期末 第22题（主观题）,实践与认识（总）,矩阵 M1043/M1044：2025朝阳期末 Q22 PPT评分细则第337-340行明列实践观点、理论与实践相结合和实践基础上的理论创新。,161,207,谱写马克思主义中国化时代化新篇章，关键不是把经典理论原封不动背诵，而是把理论创新放到中国实践和时代问题中理解。材料强调坚持问题导向、回应中国和世界发展新课题，正说明实践不断提出新问题、新经验，推动认识发展；新的理论成果又要回到实践中指导行动。PPT细则明列实践观点和理论与实践相结合，所以答案必须写出实践和认识的双向关系。,①实践是认识的基础，理论创新来源于实践、受实践推动并接受实践检验。谱写马克思主义中国化时代化新篇章，首先要立足当代中国和世界发展实践，把改革发展稳定、治党治国、国际变局中的新问题新经验上升为理论认识。②认识对实践具有反作用，科学理论一旦形成，就能为新的实践提供方向、方法和价值引领。③因此，要坚持理论与实践相结合、相统一，在实践基础上推进理论创新，再用创新理论指导新的实践，使马克思主义在中国实际中不断获得生命力。
T0384,13. 2025朝阳期末 第22题（主观题）,人民群众,矩阵 M1041：2025朝阳期末 Q22 PPT评分细则第342-344行明列人民至上、站稳人民立场、把握人民愿望、尊重人民创造、集中人民智慧。,140,191,本题问理论创新为什么能不断展开，不能只写理论内部推演。材料中的人民立场、人民愿望、人民创造和人民智慧，直接对应细则中的人民至上角度。人民群众既是实践主体，也是理论创新问题和经验的重要来源；理论只有回到人民实践中，才有现实力量。因此本条要把人民群众主体地位和理论创新的根基写到一起。,①人民群众是社会历史的主体，是社会实践和精神财富创造的重要力量。马克思主义中国化时代化的新篇章，不能离开人民群众的现实实践和创造经验。②坚持人民至上，就是站稳人民立场，把握人民愿望，尊重人民创造，集中人民智慧，从人民实践中发现问题、总结经验、提炼规律。③理论创新还要回到人民实践中去，回应人民对美好生活的需要，成为人民认识世界、改造世界的思想武器，这样马克思主义才能保持鲜活生命力。
T0386,15. 2024朝阳期中 第16题（主观题）,人民群众,矩阵 M0926：2024朝阳期中 Q16 正式阅卷细则明列人民群众是社会历史主体和创造者。,134,193,三中全会决策部署中“不变”的底色，不是抽象口号，而是始终围绕人民需要展开改革。正式阅卷细则把人民群众主体地位列为可得分哲学角度，说明答题要把改革为了谁、依靠谁讲清。人民群众既提出现实期待和问题，也通过实践创造经验、推动改革落地，所以“不变”应落到群众观点和群众路线上。,①人民群众是社会历史的主体和创造者，必须坚持群众观点和群众路线。中国共产党历次三中全会虽然面对的时代任务不同，但始终把人民群众的期待和需要作为改革决策的重要依据。②坚持以人民为中心，就是回应人民关切，尊重人民首创精神，把人民对美好生活的向往转化为改革目标和制度安排。③因此，决策部署中最深的“不变”，是始终坚持一切为了人民、一切依靠人民，让全面深化改革在人民实践中获得动力、检验和归宿。
T0296,15. 2025丰台期末 第16题（主观题）,实践是认识的基础,矩阵 M0995：2025丰台期末 Q16 正式PPT评分细则第205-263行支持实践、实际出发、联系观、量变质变、矛盾观等。,142,192,“胸中有数”的“数”不是凭感觉估出来的，也不是从概念中推出来的。材料强调要做调查研究、统计分析、把握实际情况，说明认识数字、比例和数量界限必须从实践中来。正式PPT细则支持实践和实际出发角度，因此答案要写清：实践提供数据来源，实践检验数据是否有效，实践还推动人们改进决策中的用数方式。,①实践是认识的来源和检验标准，胸中有“数”首先要从实践和实际出发。无论是工作生活中的计划安排，还是国家治理中的长远决策，都不能凭主观愿望随意定数，而要通过调查研究、统计分析和现实观察获得对数量关系的认识。②实践还会检验这些“数”是否符合实际，发现偏差后需要及时调整。③只有把数据、比例、范围和节奏建立在实践基础上，才能避免决策中的盲目性和随意性，使“数”真正成为科学判断和行动的依据。
T0273,15. 2026西城二模 第16题（主观题）,矛盾的普遍性和特殊性,矩阵 M0027/M0117：2026西城二模 Q16 评标PDF渲染页明示矛盾普遍性寓于特殊性，特殊性包含普遍性。,138,187,中式生活方式能引发共鸣，不是因为所有文化都一模一样，也不是因为中国表达只具有地方性。材料中的喝热水、八段锦、节气起居等是特殊的中国生活方式；健康、和谐、身心平衡则是人类普遍生活追求。评标PDF明示矛盾普遍性寓于特殊性、特殊性包含普遍性，所以答案要写出“特殊表达承载普遍价值”。,①矛盾的普遍性寓于特殊性之中，特殊性也包含普遍性。中式生活方式具有鲜明的中国表达，如喝热水、八段锦、节气起居、顺应自然节律等，这些都是特殊的生活形态。②这些特殊形态中又包含健康生活、身心平衡、人与自然和谐、追求安宁有序生活等普遍价值，能够跨越文化差异引发理解和共鸣。③因此，中式生活方式的吸引力正在于用具体、独特的中国表达呈现普遍的人类生活追求，既有民族特色，又有世界意义。
T0220,16. 2026丰台一模 第16题（主观题）,矛盾就是对立统一,矩阵 M0049/M0128：2026丰台一模 Q16 正式阅卷细则明确坚持矛盾观点、用全面辩证眼光看问题，并要求看到AI积极作用和风险挑战。,124,198,AI 题的材料同时呈现积极作用和风险隐忧，是典型的一分为二设问。正式阅卷细则明确要求坚持矛盾观点，用全面、辩证眼光看问题。答题不能只写 AI 促进文化传承，也不能只写技术风险；必须把同一技术对象中的积极面和消极面放在一起分析，再提出规范发展的方向。,①矛盾就是对立统一，任何事物内部都包含既相互区别又相互联系的两个方面。人工智能作为新科技革命成果，一方面能推动文物保护、文化传承、跨文化交流和文明进步，释放技术赋能的积极作用。②另一方面，AI 也可能带来深度伪造、虚假信息、算法窄化、智能鸿沟等风险和隐忧。③面对这一时代命题，必须坚持一分为二、全面分析，在充分发挥 AI 积极作用的同时正视并治理其风险，使技术发展服务人的全面发展和社会公共利益。
T0297,16. 2026房山一模 第20题（主观题）,实践与认识（总）,矩阵 M0569：2026房山一模 Q20 评标/细则 paras69-81 明示认识与实践等哲学角度。,127,189,“坚持依法治国和依规治党有机统一”不是静态概念，而是在党长期治党治国实践中形成的规律性认识。材料要求说明其意义，就要写出认识从实践中来，又反过来指导实践。房山一模 Q20 细则明示认识与实践角度，因此本条要把现实课题、理论概括和治理实践的循环关系写清楚。,①实践决定认识，认识又对实践具有能动反作用。“坚持依法治国和依规治党有机统一”这一论断，来源于党长期执政、治党治国、推进法治建设的实践，是对现实治理课题和规律性经验的理论概括。②这一认识形成后，又能够为新时代法治中国建设、全面从严治党和国家治理体系治理能力现代化提供方向指引。③把该认识落实到制度建设和治理行动中，体现了在实践基础上形成正确认识，并用正确认识反过来指导新的实践。
T0078,16. 2026门头沟一模 第16题（主观题）,联系的普遍性 / 联系的观点（总）,矩阵 M0077/M0170/M0232：2026门头沟一模 Q16 细则明确哲学角度包括联系的观点。,124,184,永定河古渠不应被孤立看作一段旧水渠。材料把古渠与京西古道、潭柘寺、果园农田、学校教育、生态补水和文旅体验连接起来，正体现联系观点。门头沟一模细则明列联系的观点，说明答案要写出：古渠的保护利用，是在把水脉、文脉、生态和生活重新组织为具体联系中完成的。,①事物是普遍联系的，要用联系的观点看问题。永定河古渠不是孤立的历史遗存，它同当地水系、果园农田、京西古道、潭柘寺、学校教育、生态补水和文旅体验都有现实联系。②门头沟以“灌溉遗产+”模式把这些要素重新连接起来，使水脉、文脉、生态和生活相互支撑。③正是这种从联系中保护、利用和转化古渠的做法，让古渠摆脱“沉睡文物”的状态，成为兼具灌溉、生态、教育和文化传播功能的活态遗产。
T0438,17. 2026丰台一模 第16题（主观题）,价值观的导向作用,矩阵 M0052/M0131：2026丰台一模 Q16 正式阅卷细则明确坚持正确价值观、发挥科学价值观导向作用，要求AI朝有益、安全、公平方向健康发展。,139,205,AI 治理题最终要回答“朝什么方向发展”。材料列出伪造信息、算法偏狭、智能鸿沟等风险，说明技术不能只由效率和商业逻辑牵引，而要受正确价值观引导。正式阅卷细则明列价值观导向作用，并给出有益、安全、公平的方向。因此本条要把人文精神、人民立场和科技伦理作为判断 AI 发展的价值标准。,①价值观对人们认识世界和改造世界具有重要导向作用，正确价值观能够引导实践朝着有利于人民和社会进步的方向发展。面对 AI 带来的伪造信息、算法偏狭、智能鸿沟等问题，不能只追求技术速度和商业收益。②应以人民立场、人文精神和科技伦理为价值标准，把“有益、安全、公平”作为 AI 发展的方向。③只有发挥正确价值观的导向作用，让 AI 惠及老年人、农村群体、偏远地区群众等全体人民，技术进步才真正服务文明进步和人的发展。
T0080,18. 2026房山一模 第16题第（2）问（主观题）,整体与部分,矩阵 M0073/M0135/M0169：2026房山一模 Q16(2) 评标/细则明示联系，并在高档要求中强调融入大局中找定位、系统/整体。,148,204,“因地制宜”容易被误写成只看本地资源，但本题材料还要求把本地定位放进国家战略大局中理解。房山区的发展要同高水平对外开放、绿色发展、粮食安全、乡村振兴、文化建设等整体目标相衔接。细则高档要求强调在大局中找定位、系统整体，因此答案应落到整体与部分：局部发展要服从和服务整体，同时在整体中发挥自身优势。,①整体居于主导地位，部分服从和服务于整体；同时，关键部分的功能也会影响整体功能。房山区因地制宜，不是只看本地资源封闭发展，而是要在国家发展全局中找准定位。②房山把能源资源、特色农业、乡村文化等本地条件，同高水平对外开放、绿色发展、粮食安全、乡村振兴、文化建设等整体目标联系起来，使地方优势服务国家战略大局。③这说明实事求是既要立足本地具体实际，也要把局部行动放入整体系统中统筹，形成局部发展与全局推进的统一。
