queue_id,heading,node,heading_para,why_para,answer_para,before_why_chars,after_why_chars,before_answer_chars,after_answer_chars,evidence_note,old_answer_excerpt
T0047,1. 2025海淀期末 第16题（主观题）,尊重客观规律与发挥主观能动性相结合,491,494,495,95,158,62,191,矩阵 M1095：2025海淀期末 Q16 PPT评标细则第37-44行明列“坚持客观规律和发挥主观能动性相结合”。,尊重中药药性和食品科学的客观规律，同时充分发挥主观能动性主动研发养生烘焙、扩展销售场景，把规律性与能动性结合起来打造新时尚。
T0199,1. 2025海淀期末 第16题（主观题）,辩证否定 / 守正创新,1853,1856,1857,91,159,58,189,矩阵 M1100：2025海淀期末 Q16 PPT评标细则第37-44行明列“坚持辩证否定，推动创新”。,以辩证否定推动中医药文化创造性转化和创新性发展，传承药食同源精华同时革新产品形态、做出曲奇面包等新形式来打造新时尚。
T0282,1. 2025海淀期末 第16题（主观题）,矛盾的普遍性和特殊性,2505,2508,2509,99,136,59,213,矩阵 M1098：2025海淀期末 Q16 PPT评标细则第37-44行明列“具体问题具体分析/矛盾普遍性和特殊性辩证统一”。,要把握矛盾普遍性与特殊性的辩证统一，对不同地域不同人群具体问题具体分析，针对性研发对应养生产品，从而打造多样化新时尚。
T0404,1. 2025海淀期末 第17题第（2）问（主观题）,人民群众,3529,3532,3533,93,149,99,202,矩阵 M1102：2025海淀期末 Q17(2) PPT评标细则第78、125-126行明列“人民群众是社会历史的主体/精神财富的创造者”。,纪念为永动机奋斗而失败的人们，是因为科学认识的进步不只来自少数成功者，也来自广大科学共同体和无名探索者的实践积累；人民群众是精神财富的创造者，他们的失败同样为能量守恒等真理认识的形成提供了经验教训。
T0307,10. 2026顺义二模 第16题（主观题）,两点论与重点论,2698,2701,2702,95,149,72,197,矩阵 M0031：2026顺义二模 Q16 阅卷版明确写“矛盾具有普遍性和特殊性，要坚持两点论与重点论统一”。,新大众文艺要坚持两点论与重点论统一，既尊重题材、形式和传播方式的多样，又以主流价值引领方向，把社会效益放在首位，防止多样变成无序、流量压倒价值。
T0074,11. 2025朝阳期末 第16题（主观题）,规律的客观性,694,697,698,99,147,106,210,矩阵 M1030-M1037：2025朝阳期末 Q16 PPT评分细则第129-138行哲学部分列“规律”，要求尊重文化传承、文化交流、文化传播的一般规律。,用文化同世界对话，要承认文化传承、文化交流和文化传播具有客观规律。尊重这些规律，才能让《论语》、文物展览、春节等中华文化载体在不同文化语境中被理解、接受和共享；脱离交流对象和传播规律的主观推介，难以形成真正对话。
T0057,11. 2026丰台期末 第16题（主观题）,尊重客观规律与发挥主观能动性相结合,551,554,555,93,147,81,184,矩阵 M1203：2026丰台期末 Q16 正式细则第54行写明“留白需要在尊重客观规律的基础上充分发挥主观能动性”。,营造留白之美，要在尊重客观规律基础上发挥主观能动性：既尊重空间生态、审美和生活规律，又主动设计疏密、虚实和尺度，让留白服务生态宜居和整体意境，而不是随意制造空旷。
T0233,11. 2026朝阳期中 第18题（主观题）,矛盾就是对立统一,2092,2095,2096,103,154,104,206,矩阵 M1248：2026朝阳期中 Q18 正式评分细则第54-56行总说列对立统一/一分为二/全面观点。,要辩证看待 AI 提供情绪价值：AI 作为工具有及时回应、辅助疏导情绪的积极作用，但也存在不能真正理解人类情感、可能削弱现实交往能力的局限；因此应坚持一分为二、全面看问题，在承认其辅助价值的同时防止过度依赖。
T0345,13. 2025朝阳一模 第16题（主观题）,实践是认识的基础,3018,3021,3022,119,150,111,201,矩阵 M0177/M0209/M0424：2025朝阳一模 Q16 细则渲染页显示答案变通说明，支持借助现代科技推动文化创新、立足时代之基和创作实践。,国产动画电影之所以能让中华优秀传统文化在新时代绽放新光彩，是因为创作团队通过长期、深入的电影制作实践把对传统文化的理解转化为视觉与情节，又借助作品在新时代的传播激发社会对传统文化的新认识，体现了实践对文化创新的基础性作用。
T0467,13. 2026朝阳期中 第18题（主观题）,价值判断与价值选择,4058,4061,4062,104,154,99,204,矩阵 M1244：2026朝阳期中 Q18 正式评分细则第63-66、72-85行“如何做”列价值判断与价值选择。,使用 AI 提供情绪价值时，应作出正确价值判断和价值选择，坚持以人的健康成长和真实交往能力为标准，用科技伦理规范 AI 使用边界；让 AI 作为辅助疏导工具，而不是让人沉溺于虚拟安慰、逃避现实关系。
