queue_id,heading,node,heading_para,why_para,answer_para,before_why_chars,after_why_chars,before_answer_chars,after_answer_chars,evidence_note,old_answer_excerpt
T0295,13. 2025朝阳期末 第22题（主观题）,实践与认识（总）,2803,2806,2807,124,161,146,207,矩阵 M1043/M1044：2025朝阳期末 Q22 PPT评分细则第337-340行明列实践观点、理论与实践相结合和实践基础上的理论创新。,谱写马克思主义中国化时代化新篇章，要坚持实践观点。实践决定认识，实践是认识的基础。要坚持理论与实践相结合、相统一，推进实践基础上的理论创新——把当代中国和世界发展实践中产生的新问题、新经验上升为理论，再用新形成的理论指导新的实践，让马克思主义在与中国实际、中国实践的不断结合中获得新的生命力。
T0384,13. 2025朝阳期末 第22题（主观题）,人民群众,3601,3604,3605,141,140,179,191,矩阵 M1041：2025朝阳期末 Q22 PPT评分细则第342-344行明列人民至上、站稳人民立场、把握人民愿望、尊重人民创造、集中人民智慧。,谱写马克思主义中国化时代化新篇章，要坚持人民至上的历史观和价值观。人民群众是历史的创造者，是社会历史的主体。要站稳人民立场，把握人民愿望，尊重人民创造，集中人民智慧，把贯穿习近平新时代中国特色社会主义思想中的人民立场作为理论创新的根本立场——理论从人民的实践中来，再回到人民的实践中去，让马克思主义中国化时代化的新篇章成为人民认识世界改造世界的强大思想武器。
T0386,15. 2024朝阳期中 第16题（主观题）,人民群众,3613,3616,3617,171,134,149,193,矩阵 M0926：2024朝阳期中 Q16 正式阅卷细则明列人民群众是社会历史主体和创造者。,人民群众是社会历史的主体和创造者，必须坚持群众观点和群众路线；中国共产党十次三中全会的“不变”体现在始终面对人民群众期待、回应人民群众关切，始终坚持以人民为中心，坚持人民主体地位，尊重人民群众的首创精神，不断满足人民群众需要——所以决策部署中始终不变的就是“一切为了人民、一切依靠人民”的群众路线。
T0296,15. 2025丰台期末 第16题（主观题）,实践是认识的基础,2815,2818,2819,106,142,142,192,矩阵 M0995：2025丰台期末 Q16 正式PPT评分细则第205-263行支持实践、实际出发、联系观、量变质变、矛盾观等。,实践是认识的基础，物质决定意识，要坚持一切从实际出发、实事求是。胸中有“数”中的“数”不是凭空而来的，而是通过实践获得的——只有关注客观实际、进行调查研究、做基本的统计与百分比分析，才能获得对“数”的正确认识，并根据实际情况确定和运用这些“数”，从而避免决策与指导中的盲目性与随意性。
T0273,15. 2026西城二模 第16题（主观题）,矛盾的普遍性和特殊性,2589,2592,2593,90,138,86,187,矩阵 M0027/M0117：2026西城二模 Q16 评标PDF渲染页明示矛盾普遍性寓于特殊性，特殊性包含普遍性。,中式生活方式以喝热水、八段锦、节气起居等特殊生活形式，承载健康、和谐、身心平衡等普遍生活追求，所以能跨越文化差异引发共鸣。卷面可写：以特殊的中国表达呈现普遍的人类生活追求。
T0220,16. 2026丰台一模 第16题（主观题）,矛盾就是对立统一,2122,2125,2126,117,124,155,198,矩阵 M0049/M0128：2026丰台一模 Q16 正式阅卷细则明确坚持矛盾观点、用全面辩证眼光看问题，并要求看到AI积极作用和风险挑战。,矛盾就是对立统一，矛盾具有普遍性。人工智能作为新科技革命的成果，既为文物保护、文化传承、跨文化交流和文明进步注入强劲动能（积极一面），同时也带来深度伪造、虚假信息、算法窄化、智能鸿沟等风险与隐忧（消极一面）；面对这一时代命题，必须坚持一分为二的观点，既要充分发挥AI的积极作用，又要正视并妥善应对其带来的挑战。
T0297,16. 2026房山一模 第20题（主观题）,实践与认识（总）,2821,2824,2825,158,127,159,189,矩阵 M0569：2026房山一模 Q20 评标/细则 paras69-81 明示认识与实践等哲学角度。,实践是认识的基础，认识对实践具有能动反作用。“坚持依法治国和依规治党有机统一”这一论断是党在长期治党治国实践中形成的新认识，它充分回应了党长期执政面临的现实课题，并反过来为新时代法治中国建设、回答大党独有难题提供方向指引——把这一认识落到党的法治建设和国家治理体系治理能力现代化中，正是认识对实践能动反作用的具体表现。
T0078,16. 2026门头沟一模 第16题（主观题）,联系的普遍性 / 联系的观点（总）,821,824,825,78,124,139,184,矩阵 M0077/M0170/M0232：2026门头沟一模 Q16 细则明确哲学角度包括联系的观点。,事物的联系是普遍的，要用联系的观点看问题，并根据事物固有联系建立新的具体联系。门头沟以“灌溉遗产+”模式把永定河古渠与京西古道、潭柘寺及农田、学校、生态补水等串联起来，打造水脉与文脉交融的首都文化新地标——这种主动建立的新联系，使古渠摆脱孤立沉睡的命运，成为奔流不息的活态遗产。
T0438,17. 2026丰台一模 第16题（主观题）,价值观的导向作用,4082,4085,4086,113,139,162,205,矩阵 M0052/M0131：2026丰台一模 Q16 正式阅卷细则明确坚持正确价值观、发挥科学价值观导向作用，要求AI朝有益、安全、公平方向健康发展。,价值观对人和社会有重要导向作用，要自觉站在最广大人民的立场上，遵循社会发展规律作出正确的价值判断与价值选择。面对AI带来的伪造信息、算法偏狭、智能鸿沟等问题，应当以人文精神守护底线，把“有益、安全、公平”作为AI发展的方向，让AI惠及包括老年人、农村群体、偏远地区群众在内的全体人民——这正是处理这一时代命题的根本价值取向。
T0080,18. 2026房山一模 第16题第（2）问（主观题）,整体与部分,833,836,837,105,148,154,204,矩阵 M0073/M0135/M0169：2026房山一模 Q16(2) 评标/细则明示联系，并在高档要求中强调融入大局中找定位、系统/整体。,事物的联系是普遍的，要善于在普遍联系中、在大局中找准定位。房山区把因地制宜的具体做法与高水平对外开放、绿色发展、粮食安全、乡村振兴、文化建设等国家战略大局联系起来，使本地资源禀赋的发挥服务于国家发展全局；“因地制宜，本质就是实事求是”不是闭门造车，而是在普遍联系和大局中实事求是地找准本地定位、配置本地行动。
