matrix_row_id,suite,year,stage,question,question_type,in_book_value,baodian_node,evidence_level,evidence_class,formal_signal,objective_key_signal,choice_boundary_disclosed,weak_signal,ordinary_reference_signal,broad_angle_or_level_signal,source_pointer_exists,source_artifact,current_status,misplaced_value,need_thickness_value,proof_status,proof_gap_flags,support_excerpt,note_excerpt
M0001,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,实践是认识的基础,强细则,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:1,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,东城第16题主观题细则：核心知识包括“实践与认识辩证关系”；示例写明实践是认识来源、发展动力和检验真理的标准。,无边界问题
M0002,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,物质决定意识,强细则,weak_signal_with_formal_support,true,false,false,true,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:2,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,东城第16题主观题细则16.pdf第4页知识表列“实践决定认识、物质决定意识（规律）”；本条只使用物质决定意识/一切从实际出发，不再展开主观能动性。,GPTPro web scoped audit 后收窄：本条只落物质决定意识和一切从实际出发，不再展开主观能动性。
M0003,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,系统观念 / 系统优化,强细则,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:3,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,东城第16题主观题细则16.pdf第4页知识表列“联系（系统）”；本条对应系统观念/系统优化，要求把课程目标、真实场景、探究任务和数字资源作为整体协同理解。,无边界问题
M0004,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,辩证否定 / 守正创新,强细则,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:4,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,东城第16题主观题细则：材料表列“发展（辩否）”“守正创新/理论与实践统一/文化与科技融合”。,无边界问题
M0005,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,矛盾的特殊性 / 具体问题具体分析,强细则,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:5,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,东城第16题主观题细则16.pdf第4页知识表列“矛盾特殊性”；本条对应具体问题具体分析，要求从北京真实城市资源、学生成长实际和育人任务出发。,无边界问题
M0006,2026东城二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,价值观的导向作用,强细则,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:6,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,东城第16题主观题细则16.pdf第4页知识表列“价值观”；同页要求材料落到“京彩课堂的价值”，示例总述写“价值深远/国家、民族、时代新人”。,无边界问题
M0007,2026朝阳二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,矛盾就是对立统一,强阅卷版,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:7,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,正式阅卷细则：传承与创新的关系对应“对立统一/联系”。,无边界问题
M0008,2026朝阳二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,辩证否定 / 守正创新,强阅卷版,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:8,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,正式阅卷细则：继承维度列“坚持辩证否定/发展的观点”。,无边界问题
M0009,2026朝阳二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,矛盾的特殊性 / 具体问题具体分析,强阅卷版,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:9,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,正式阅卷细则：创新维度列“回应群众需求/具体问题具体分析/一切从实际出发”。,无边界问题
M0010,2026朝阳二模,2026,二模,Q16,必修四哲学正文条目,是：已进入当前DOCX/PDF正文,价值观的导向作用,强阅卷版,formal_scoring_or_marking_support,true,false,false,false,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:10,KEEP_IN_BODY,否,否,PASS_MACHINE_PROOF_PACK_ROW,,正式阅卷细则：落实社会主义核心价值观维度列“价值观导向作用/社会意识作用”。,无边界问题
