queue_id,heading,node,heading_para,why_para,answer_para,before_why_chars,after_why_chars,before_answer_chars,after_answer_chars,evidence_note,old_answer_excerpt
T0377,1. 2025海淀一模 第16题（主观题）,认识发展原理,3215,3218,3219,81,168,77,190,矩阵 M0178/M0210/M0443：2025海淀一模 Q16 正式评分标准角度提示列明可从“实践与认识的关系”等角度作答；本条为该角度下的认识反复性、无限性链条，属于正式角度支撑而非逐点细则。,"把测试结果作为对自我或他人认识的一个阶段而非终点,通过持续实践、互动观察不断丰富对性格的认识,反对以静态字母标签代替动态了解,在新的事实面前及时修正认识。"
T0033,11. 2025朝阳二模 第22题（主观题）,主观能动性 / 意识的能动作用,325,328,329,77,170,69,199,缓存文本 73c36c3077dced72_2025朝阳二模细则.txt 第297-352行：Q22 评分细则列明顶层设计体现意识能动作用，能够为实践探索提供科学理论指导，使实践活动更具目的性、计划性、自觉性。,要重视顶层设计，因为科学理论与超前思维能为实践探索提供方向和指引，使各阶段各领域实践更具目的性、计划性、自觉性，从而科学推进中国式现代化。
T0423,11. 2025朝阳二模 第22题（主观题）,人民群众,3589,3592,3593,86,156,59,218,缓存文本 73c36c3077dced72_2025朝阳二模细则.txt 第321-352行：Q22 评分细则写明顶层设计要把握人民群众共同愿望，实践探索要发挥人民群众主体作用，将顶层设计转化为各领域实际成果。,推进中国式现代化必须发挥人民群众的实践主体作用，坚持群众观点和群众路线，把顶层设计转化为人民群众可感可及的现代化成果。
T0173,12. 2024东城一模 第18题第（3）问（主观题）,发展的观点 / 发展的普遍性,1523,1526,1527,59,186,88,229,缓存文本 4b2073bcc9e26f62_2024东城一模细则.txt 第127-134行：2024东城一模 Q18(3) 阅卷/试题分析PPT列出传统产业与未来产业密不可分、相互促进，并给出辩证统一、对立统一、矛盾分析法等变通支撑；证据等级为评分分析PPT支撑。,传统产业并不是静止落后的存量，未来产业也不是凭空出现的孤立新事物；用发展的观点看，未来产业的发展能够推动传统产业高端化、智能化、绿色化升级，二者在持续发展中共同培育新质生产力。
T0115,2. 2025丰台一模 第18题第（3）问（主观题）,联系的多样性,1062,1065,1066,79,174,73,232,矩阵 M0107/M0176/M0205：2025丰台一模 Q18(3) 正式评分标准角度提示可从联系观、发展观、矛盾观、价值观等角度作答；本条使用联系观中的联系多样性支撑。,从联系观看人与AI，把握积极联系(拓展认知与活动边界)与风险联系(就业、信息生态)两方面，主动构建AI可持续体系，让AI在多重联系中更好服务人类。
T0309,2. 2025海淀一模 第16题（主观题）,两点论与重点论,2656,2659,2660,69,164,81,230,矩阵 M0178/M0210/M0443：2025海淀一模 Q16 正式评分标准角度提示列明可从“矛盾分析法、实践与认识的关系、价值观”等角度作答；本条为矛盾分析法下两点论与重点论支撑。,"用矛盾分析法看待MBTI,既肯定其鲜明性格画像、降低社交成本的积极作用,又警惕标签化、自我固化、群体极化的消极风险,避免片面化、绝对化使用,做到具体问题具体分析。"
T0433,21. 2025延庆一模 第21题（主观题）,人民群众,3649,3652,3653,89,165,106,226,矩阵 M0392：2025延庆一模 Q21 正式细则列明可从人民群众、社会主义核心价值观、民族精神或文化自信等角度说明模范表彰凝聚中国式现代化力量。,凝聚中国式现代化的磅礴力量，就要通过表彰“人民卫士”“人民艺术家”“人民科学家”等各行业模范，肯定人民群众在不同岗位上的创造和奉献，把亿万人民的奋斗热情、专业本领和价值追求汇聚到强国建设、民族复兴的现代化实践中。
T0373,3. 2025昌平二模 第16题（主观题）,认识对实践的反作用,3161,3164,3165,88,151,63,220,缓存文本 af3875177855a611_2025昌平二模细则.txt 第85-105行：Q16 细则/答案变通列明可从实践和认识角度作答，并写出“认识对实践的指导作用、继承和发扬优秀传统文化，弘扬民族精神，树立文化自信，指导实践”。,评价书法不能停留在技法层面，要把“书品即人品”的正确认识贯彻到鉴赏与创作实践中，引导书家修身养德、推动书法艺术向更高境界发展。
T0290,3. 2025西城二模 第16题第（1）问（主观题）,矛盾的普遍性和特殊性,2517,2520,2521,86,163,76,220,缓存文本 cfb0f19ef38aafd7_2025西城二模细则.txt 第8-29行：Q16(1) 正式答案及细则列明可从具体问题具体分析角度作答，并要求结合不同体型动物需求、攀爬台阶和蓄水池等材料解释。,哲学智慧在于工作人员从“保护野生动物”的普遍要求出发，再分析不同物种取水的特殊需求，把共性原则化为差异化方案，使各类动物都能取水生存，实现生态保护目的。
T0268,3. 2025西城二模 第16题（主观题）,矛盾的特殊性 / 具体问题具体分析,2348,2351,2352,45,154,54,219,缓存文本 cfb0f19ef38aafd7_2025西城二模细则.txt 第24-29行：Q16(1) 正式细则示例列明具体问题具体分析，要求分析不同体型动物需求特点，营造攀爬台阶和蓄水池，化不利为有利。,管理处坚持具体问题具体分析，根据村落遗址和不同动物需求设置攀爬台阶、蓄水设施，把不利条件转化为生态保护条件。
T0138,5. 2024东城一模 第18题第（3）问（主观题）,系统观念 / 系统优化,1249,1252,1253,72,158,104,236,缓存文本 4b2073bcc9e26f62_2024东城一模细则.txt 第127-142行：2024东城一模 Q18(3) 阅卷/试题分析PPT要求围绕传统产业与未来产业相互促进作答，并在经典回顾中列出系统优化方法支撑未来产业布局；证据等级为评分分析PPT支撑。,回答传统产业与未来产业的关系，要用系统观念说明二者应在现代化产业体系中协同：传统产业提供制造基础、配套能力和市场支撑，未来产业提供新技术和新动能，统筹产业链、创新链、价值链，才能形成整体优化的新质生产力格局。
T0504,5. 2025昌平二模 第16题（主观题）,实现人生价值,4269,4272,4273,88,150,90,230,缓存文本 af3875177855a611_2025昌平二模细则.txt 第85-105行：Q16 细则/答案变通列明可从正确价值观、实现人生价值等角度作答，并以颜真卿家国牺牲、苏轼困境中追求理想精神为材料支撑。,材料中“颜真卿家人献出生命、苏轼在贬谪困境中坚守理想精神”，体现实现人生价值；这说明人生价值要在个人与社会统一中、在劳动和奉献中实现，因此可以直接用这一原理说明题中材料的内在逻辑。
T0313,6. 2025丰台一模 第18题第（3）问（主观题）,两点论与重点论,2680,2683,2684,88,162,76,259,矩阵 M0109/M0176/M0205：2025丰台一模 Q18(3) 正式评分标准角度提示可从联系观、发展观、矛盾观、价值观等角度作答；本条使用矛盾观下两点论与重点论支撑。,"坚持两点论与重点论相统一看人与AI,承认AI风险又看到AI是不可缺席的主流,通过为AI划定“不可为”底线让矛盾朝有利于人类的方向转化,实现人机和谐共生。"
T0448,6. 2025西城一模 第22题（主观题）,价值观的导向作用,3803,3806,3807,84,160,116,237,矩阵 M0486：2025西城一模 Q22 正式细则围绕长期主义列明发展趋势、正确价值观、坚持真理、尊重规律、中华优秀传统文化和自强不息民族精神等得分链。,正确价值观对人们认识世界、改造世界具有导向作用。坚持长期主义，就是以符合规律、符合人民长远利益的正确价值观抵制短期主义和功利主义；同时要从中华优秀传统文化和自强不息民族精神中汲取力量，把“做困难而正确的事”转化为长期坚持的实践选择。
T0029,7. 2025西城二模 第16题（主观题）,主观能动性 / 意识的能动作用,301,304,305,63,134,56,219,缓存文本 cfb0f19ef38aafd7_2025西城二模细则.txt 第8-29行：Q16(1) 正式答案及细则列明可从尊重规律、正确发挥主观能动性角度作答，示例要求认识把握自然规律并有效指导生态保护实践。,人们应尊重自然和生态规律，正确发挥意识能动作用，认识并把握动物需求和遗址条件，通过科学改造有效指导生态保护实践。
