suite_id,year,district,stage,suite_name,question_no,question_material,complete_prompt,rubric_source,rubric_match_method,evidence_type,rubric_original_text,notes,curation_status,curation_reason
2024_石景山_一模_011,2024,石景山,一模,石景山一模,17,17．（8 分） 2023 年 12 月 28 日，北京市第三中级人民法院终审公开宣判北京甲环保公司与四川乙发电公司合同纠纷一案，该案系北京市首例碳排放权交易纠纷案件。 【基本案情】 2021 年12 月，乙公司就采购碳排放配额发布比选公告，甲公司向其进行报价，内容具体明确，并承诺：如未依约履行，乙公司可另行购买等量的碳排放配额；如有差价， 由甲公司补足。乙公司经过比选确认甲公司中标，并向其送达了中标通知。此后，甲公 司明确表示不再履行合同，在此情况下，乙公司另行与第三方公司签订合同，以高于甲 公司所报交易单价的价格购买了相应碳排放配额，由此产生差价，故乙公司诉至法院， 要求甲公司向其支付差价款 289 万余元及相应利息。 【法院判决】 一审法院经审理，认为甲乙两公司就涉案碳排放配额采购事项成立合同关系，且该合同合法有效。判决甲公司向乙公司支付碳排放配额采购差价款289 万余元及相应利息。一审后，甲公司不服判决，向北京三中院提起上诉。北京三中院经审理后作出终审判决： 驳回上诉，维持原判。 运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。,,no_exact_qno_block,missing,,需回原细则/OCR 复核,defer_needs_rubric,题面像选必二，但正式细则或题号块未锁定。
2024_石景山_一模_011,2024,石景山,一模,石景山一模,18,18．（13 分） 为弘扬新时代“枫桥经验”，助力社会矛盾纠纷在法治轨道上得到解决，石景山法 院在巩固深化党建法治共建机制的基础上，推出“一米法庭”项目。“一米法庭”中“一米”音同“益民”，取“有益人民”之意，一米之距，代表法院与群众距离贴近，传递 “一套桌椅、一米见方，努力化解纠纷”的工作理念。要从三个方面把“一米法庭”打 造为坚持和践行新时代“枫桥经验”的“枫”景线。 （1）结合材料，运用《政治与法治》知识，分析“一米法庭”项目如何使群众真正 获益。（7 分） 在街道、社区及行业特设组织中设立的“一米法庭”项目，通过数字化技术，线上与线下相结合，提供调解指导、诉讼服务、基层治理、普法宣传功能，是一站式多元解纷的最小支点。 2023 年7 月特大暴雨灾害发生后，涉灾纠纷频发。 “我们社区的业主李先生家因房屋漏雨，与物业公司起了矛盾。这次暴雨前气象部门早有预警，经调查发现物业公司并没有提前加强巡检，也没有采取措施加固房顶以及做好防水处理，理应赔偿。但物业认为这次雨太大，是天灾，可以免责。业主说我们调解达成的协议也不算数，准备到法院起诉，认为走诉讼程序才是最优选择。现在该怎么办呢？”社区刚担任人民调解员的老刘通过“一米法庭”求助法官，希望能够提供 专业指导，将矛盾化解在基层。 （2）假如你是法官，请结合材料，运用法治知识，为老刘提供专业指导。（6 分）,（2）假如你是法官，请结合材料，运用法治知识，为老刘提供专业指导。,,no_exact_qno_block,missing,,需回原细则/OCR 复核,defer_mixed_module,含非选必二显性设问，同时有法律材料，需拆分小问后再决定。
2024_西城_一模_012,2024,西城,一模,西城一模,18,18．（8分） 【基本案情】郭某与刘某是夫妻关系，刘某于2022年去世。二人育有子女四人，现郭某年已九十，由小女儿照顾，郭某起诉要求另外三子支付赡养费，其中郭某每月有退休金五千余元，大儿子居住在外地，二儿子肢体残疾，三儿子表示郭某现有收入并不需要子女支付赡养费。 一审法院认为郭某尚不存在生活困难的情形，故对于郭某的请求未予支持。郭某提起上诉。二审法院审理期间，三个儿子前往郭某住处探望老人，老人表达希望儿子多来陪伴的想法。二审法院虽未支持老人要求抚养费的主张，但基于老人渴望子女陪伴的意愿，向郭某的三个儿子发出了《督促履行义务告知书》，要求其常回家看看，多与老人沟通交流，让老人感受到家人的温暖，安享晚年。 【模拟庭审】某班学生参考此案二审，组织了一场模拟庭审活动。 镜头一 学生甲：上诉人申请书记员小袁回避，因为 。 镜头二 学生乙：“我是被上诉人郭某的三儿子的辩护人。《中华人民共和国民法典》第一千零六十七条规定，成年子女不履行赡养义务的，缺乏劳动能力或者生活困难的父母，有要求成年子女给付赡养费的权利。郭某现有收入并不需要子女支付赡养费……” （1）在镜头一的横线上填写申请回避的适当理由。（1分） （2）镜头二中有一处明显错误，将它找出来并改正。（1分） （3）运用法治知识，谈谈对二审法院向郭某的三个儿子发出《督促履行义务告知书》的认识。（6分）,二审，组织了一场模拟庭审活动。 镜头一 学生甲：上诉人申请书记员小袁回避，因为 。 镜头二 学生乙：“我是被上诉人郭某的三儿子的辩护人。《中华人民共和国民法典》第一千零六十七条规定，成年子女不履行赡养义务的，缺乏劳动能力或者生活困难的父母，有要求成年子女给付赡养费的权利。郭某现有收入并不需要子女支付赡养费……” （1）在镜头一的横线上填写申请回避的适当理由。（1分） （2）镜头二中有一处明显错误，将它找出来并改正。（1分） （3）运用法治知识，谈谈对二审法院向郭某的三个儿子发出《督促履行义务告知书》的认识。（6分）,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,exact_qno_block_priority_110,formal_or_scoring_source,18．（8分） （1）依据诉讼法规定的回避制度，当书记员有下列情形之一的，当事人有权申请其回避：是本案当事人或者当事人、诉讼代理人近亲属的；与本案有利害关系的；与本案当事人、诉讼代理人有其他关系（比如师生、同学、朋友等），可能影响对案件公正审理的。书记员接受当事人、诉讼代理人请客送礼，或者违反规定会见当事人、诉讼代理人的，当事人有权要求他们回避。考生可选择上述情形之一作答。（1分） 答案示例一：书记员小袁是被上诉人郭某三儿子的学生。 答案示例二：书记员小袁是被上诉人郭某二儿子的朋友。 （2）错误：辩护人。改为：诉讼代理人。（1分） （3）成年子女对父母有赡养的义务。（1分）赡养父母，要求子女经济上供养父母、生活上照料父母、精神上慰藉父母，照顾父母的特殊需要，使父母幸福安度晚年。（2分，五选二） 郭某的三个儿子都是成年人，应履行精神上慰藉父亲的义务。二审法院向郭某的三个儿子发出《督促履行义务告知书》是保护郭某的合法权益，引导郭某的儿子孝老敬亲，（1分，多选一）传承中华传统美德，践行社会主义核心价值观，发挥法律对道德建设的促进作用。（2分，多选一） 细则： 精神上慰藉父亲的义务，变通：敬老义务（责任） 保护郭某的合法权益，替换：满足老人的需求 中华传统美德，变通：中华优秀传统文化 发挥法律对道德建设的促进作用，替换：坚持法治与德治的统一；发挥法律的规范作用，道德的教化作用 如答出：维护社会公平正义；营造敬老爱老社会氛围；促进家庭和谐。也可给2分 本小题答一句以上的，至少给1分。半句的不算 【附中版补充】 义务：1（义务）+2 意义：1（权利）+2（弘扬社会主义核心价值观；守法和公序良俗原则；德治法治相结合等） 酌情赋分（1分）：以事实为根据，以法律为准绳。,,defer_mixed_module,法律材料与非选必二模块混在同一题段，需人工拆分或复核。
2025_石景山_一模_021,2025,石景山,一模,2025石景山一模,20,20. (8 分) 新质生产力鼓励新业态拓展创新。人民法院能动履职、保护创新，为发展新质生产力提供重要保障。下列 是石景山法院以司法护航新质生产力发展的两个案例。 案例一 集成电路产业是信息产业的核心，为新质生产力发展提供重要支撑。原告科技公司与被告电路公司就某集 成电路技术研发项目签订委托合同，约定由被告按相关技术标准在规定时间内完成产品研发交付，原告分 期付酬 16 万元。研发过程中，原告支付了两期研发费共 9.6 万元，经检验，阶段性产品未达合同要求且研 发进度超期。被告延期交付最终成果后，原告主张被告未能依约提交达标成果，错过上市时机，致原告经 济损失严重，故要求被告返还研发费用并支付违约金。法院经审理，判令被告返还原告服务费、违约金共 计 11 万余元。 案例二 软件是信息技术关键载体，是新质生产力的代表和数字经济发展的基础。 “好省”APP是原告某网络科技公 司旗下的一款电商导购应用，用户可在其中领取主流商城的商品优惠券，故该软件上线后下载量巨大。被 告周某是被诉软件“超好省-省钱助手”APP 的开发运营者，该软件晚于原告软件三年上线。原告主张“好 省”软件经其长期宣传已具有影响力，被告软件与原告软件名称和图标相近、内容业务相同，已造成公众 混淆，请求法院判令被告停止不当行为并赔偿损失。法院经审理，判令被告停止侵权并赔偿原告损失共计 3.6 万元。 阅读材料，参考示例，完成下表。 案例 裁判理由 对发展新质生产力的保障作用 案例一 ① 维护守约方合法权益，激励从业者秉持契 约精神和敬业态度，着力提升创新研发能 力，促进集成电路产业扩容提质，为新质 生产力发展提供重要支撑。 案例二 根据反不正当竞争法规定，禁止经营者实施不 正当竞争行为。原被告两款软件功能相似，存 在竞争关系。被告擅自使用与原告名称、图标 相似的软件，容易使消费者发生混淆误认，构 成不正当竞争，应当承担停止侵害、赔偿损失 的侵权责任。 ②,审理，判令被告停止侵权并赔偿原告损失共计 3.6 万元。 阅读材料，参考示例，完成下表。 案例 裁判理由 对发展新质生产力的保障作用 案例一 ① 维护守约方合法权益，激励从业者秉持契 约精神和敬业态度，着力提升创新研发能 力，促进集成电路产业扩容提质，为新质 生产力发展提供重要支撑。 案例二 根据反不正当竞争法规定，禁止经营者实施不 正当竞争行为。原被告两款软件功能相似，存 在竞争关系。被告擅自使用与原告名称、图标 相似的软件，容易使消费者发生混淆误认，构 成不正当竞争，应当承担停止侵害、赔偿损失 的侵权责任。 ②,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/细则/细则.doc,exact_qno_block_priority_130,formal_or_scoring_source,20.（8分）任务类型：解释与论证（法理依据+事实依据+对发展新质生产力的保障作用） 分项 标准 评分细则（0-8分） 法理依据 ①根据民法典规定，当事人不履行合同义务或者履行合同义务不符合约定的，守约方可以要求违约方承担违约责任。 采点赋分。 对应案件一，依据民法典，准确分析法理依据和事实依据，准确分析其中一方面得2分；准确分析两方面得4分。 结合案件二，根据反不正当竞争法，阐释作用，准确回答一点得2分；准确回答两点得4分。 答非所问、回答错误或没有应答，0分。 事实依据 ①被告开发时间超过履行期限且终未提交符合合同约定功能的技术成果，构成违约，应承担返还研发费用、支付违约金等责任。 保障作用 ②依法打击不正当竞争行为，促进公平竞争，维护市场秩序，增强市场活力，营造创新环境，护航软件产业高质量发展，培育新质生产力。,,defer_mixed_module,法律材料与非选必二模块混在同一题段，需人工拆分或复核。
2025_门头沟_一模_023,2025,门头沟,一模,2025门头沟一模,20,20. “以事实为根据，以法律为准绳”是我国司法活动的基本原则，核心是通过客观事实认真严格依 照法律规定作出裁判，确保司法公正性与权威性。请结合以下案例，参照所给出完成下表。 案件事实 裁判要点 案例一 A 享有“我不是胖虎”系列美 术作品的复制权、改编权、信息网络传播权 等著作财产性权利。B 公司、C 公司未经许 可，在其经营的微博账号中发布了与 A 公司 “我不是胖虎”类似电脑壁纸“橘猫”。A 公司向法院起诉 B 公司、C 公司，要求其承 担侵权责任。 裁判结果：支持 A 公司的诉讼请求，B 公司、C 公 司应停止侵害，删除相关内容并赔偿 A 公司经济损失。 裁判理由：根据《中华人民共和国著作权法》的规 定，著作权人对其作品享有广泛的权利。他人未经著作 权人许可使用著作权人的作品，就可能构成侵权。B 公 司、C 公司未经许可，擅自将被诉侵权图片作为微博图 片发布，使公众可以在其个人选定的时间和地点获得作 品，均侵害了 A 公司的著作权。 现实意义：该判决充分保障了著作权人的合法权 益，规范了企业行为。 案例二 孙某在2022 年4 月应聘甲公 司，所投简历写明：2015 年7 月至2022 年3 月期间有 4 段工作经历。后孙某入职甲公 司，同日双方签订了劳动合同，并约定了试 用期。入职后经甲公司查证，孙某在 2015 年 毕业后的 7 年时间，曾在 17 家公司任职，甲 公司以孙某未如实提供工作经历为由，在试 裁判结果① 裁判理由② 现实意义③ 第8页/共10页 用期将其辞退。孙某向法院起诉，请求法院 判决甲公司支付违法解除劳动关系赔偿金。,权。 现实意义：该判决充分保障了著作权人的合法权 益，规范了企业行为。 案例二 孙某在2022 年4 月应聘甲公 司，所投简历写明：2015 年7 月至2022 年3 月期间有 4 段工作经历。后孙某入职甲公 司，同日双方签订了劳动合同，并约定了试 用期。入职后经甲公司查证，孙某在 2015 年 毕业后的 7 年时间，曾在 17 家公司任职，甲 公司以孙某未如实提供工作经历为由，在试 裁判结果① 裁判理由② 现实意义③ 第8页/共10页 用期将其辞退。孙某向法院起诉，请求法院 判决甲公司支付违法解除劳动关系赔偿金。,,no_exact_qno_block,missing,,需回原细则/OCR 复核,defer_needs_rubric,题面像选必二，但正式细则或题号块未锁定。
2025_顺义_一模_024,2025,顺义,一模,2025顺义一模,21,21．天下之本在国，国之本在家。当万家灯火连缀成灿烂星河，一个个“小家”的温度也正标示着民 族与国家的精神刻度。 中华民族自古以来重视家庭、重视亲情。孔门庭训、孟母三迁、岳母刺字等一个个家教故事家喻户 晓， 《诫子书》 、 《了凡四训》 、 《增广贤文》等一部部家训经典流传久远。尊老爱幼、母慈子孝、遵纪守 法，家和万事兴等中华民族传统家庭美德，铭记在中国人的心灵中，融入中国人的血脉中，成为支撑中华 民族生生不息、薪火相传的重要精神力量。 第8页/共18页 中国共产党人不仅继承和弘扬中华民族传统家庭美德，还把党的性质、宗旨有机融入家庭生活之 中，把个人追求、家庭幸福与民族独立、国家富强紧紧联系在一起，中国人历来讲求精忠报国，革命战争 年代母亲教儿打东洋、妻子送郎上战场，社会主义建设时期先大家后小家、为大家舍小家，都体现着向上 的家庭追求，体现着高尚的家国情怀。 《中华人民共和国民法典》和《中华人民共和国家庭教育促进法》均对家风、家庭美德作出了明确 规定，引导家庭家教家风建设，凸显家庭建设在国家治理中的重要地位。 “一个个小家的温度也正标示着民族与国家的精神刻度”。结合材料，综合运用所学，谈谈你对这句话的理 解。 第9页/共18页 参考答案 题号 1 2 3 4 5 6 7 8 9 10 答案 A C B D B A A C B A 题号 11 12 13 14 15 答案 D C B D A,结合材料，综合运用所学，谈谈你对这句话的理 解。,,no_exact_qno_block,missing,,需回原细则/OCR 复核,defer_needs_rubric,题面像选必二，但正式细则或题号块未锁定。
2025_朝阳_二模_028,2025,朝阳,二模,2025朝阳二模,20,"20.(10 分)在日常生活中,要把握好权利和义务的关系。 材料一 孙女士和刘先生是同一楼层的邻居,两家入户门相对,相距约 2 米。刘先生在自家入户门安装 了具有“智能人脸识别”“180 度超广角”“自动人体侦测”“云存储”等功能的可视门铃摄像头,可通过 手机远程操控 。孙女士认为该摄像头可能拍 摄到自己及家人的日常出行规律及其他动态信息 ,要求刘先生 拆除该摄像头,双方由此产生纠纷。 材料二 《中华人民共和国民法典》(节选) 第二百七十一条 业主对建筑物内的住宅 、经营性用房等专有部分享有所有权 ,对专有部分以外的共 有部分享有共有和共同管理的权利。 (1)结合材料,运用《法律与生活》知识,分析上述案例。(8 分) (2)假如你是人民调解员,提出解决上述纠纷的建议。(2 分)","(1)结合材料,运用《法律与生活》知识,分析上述案例。",/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/细则/细则.docx,exact_qno_block_priority_130,formal_or_scoring_source,"20.（10分） （1）结合材料，运用《法律与生活》知识，分析上述案例。（8分） （2）假如你是人民调解员，提出解决纠纷的建议。（2分） 阅卷前制定的参考答案： 刘先生侵犯了孙女士的隐私权，应当承担侵权责任。 根据民法典的规定，楼道属于双方各自专有部分以外的共有部分，双方享有共有和共同管理的权利。摄像头能拍摄到孙女士家的日常进出信息，与其财产安全、私人生活习惯等高度关联，属个人隐私范畴，应视为具有隐私性质的人格利益，应受法律保护。 刘先生使用摄像头不能超出合理范围，在安装摄像头可能会给孙女士的隐私等合法利益造成侵害的情况下，安装前应当尽到妥善的注意义务。 刘先生和孙女士作为不动产的相邻权利人应当按照有利生产、方便生活、团结互助、公平合理的原则，正确处理相邻关系。 （2）（2分） 建议刘先生在及时拆除摄像头，并清除已拍摄的孙女士及家人的视频信息。 | 评分细则、答案变通说明： （1）（8分） ①定性 刘先生侵犯了孙女士的隐私权，2分 注意：隐私权，如果字写错了，不给分。比如，侵、稳等。 必须是在侵权框架内才给分 应当承担侵权责任。 1分 ②确权——共有 根据民法典的规定/楼道属于双方各自专有部分以外的共有部分，双方享有共有和共同管理的权利。 1分 ③解释隐私权 摄像头拍摄到的孙女士家的日常进出信息 事实分析1分 注：事实部分，不能说照到家门口、或者拍到信息，就给分。要有材料中的“日常出行规律及其他动态信息”才给分。 ④分析过错 刘先生主观上具有过错 1分 刘先生虽有权保障自身财产安全，但安装设备范围、功能已超出必要限度。/ 刘先生使用摄像头超出合理范围/ 刘先生行使权利损害了他人的正当权益。/ 刘先生安装前未尽到妥善的注意义务。 以上4句，有其中1句，即给1分 ⑤相邻关系 根据民法典关于相邻关系的规定， 处理邻里纠纷应遵循有利生产、方便生活、团结互助、公平合理的原则。1分 （2）（2分） ①拆除设备。建议刘先生及时拆除摄像头， 1分 ②清除信息。已拍摄的孙女士及家人的视频信息。1分 或：在双方协商一致情况下，双方可共享摄像头。 只写“更换/拆除设备”，或只写“清除云存储信息”，只给1分。 只建议改用仅具备基础安防功能的设备， 只给1分。 只写出赔礼道歉，未写出具体措施， 只给1分。 只笼统写其他侵权责任承担方式， 都不给分。 21（8分） 结合材料,运用《当代国际政治与经济》知识,说明我国为什么要努力开创周边工作新局面。 阅卷前制定的参考答案： 我国周边国家众多，开创周边工作新局面，是实现发展繁荣的重要基础，是维护国家安全的重点，是运筹外交全局的首要，是推动构建人类命运共同体的关键。（2分） 与周边国家开展贸易，有利于推动我国与周边国家的经济融合，促进共同发展。（2分） 与周边国家创新区域合作机制，搭建合作平台，有利于维护地区和平与稳定，有利于我国携手周边国家推动建设以合作共赢为核心的新型国际关系，推动国际关系民主化，实现真正的多边主义。（2分） 与周边国家加强教育文化交流，有利于促进文化借鉴融合，促进民心相通，加强团结合作。（2分） | 评分细则、答案变通说明 从三个主体角度回答 （1）从中国的发展需要角度看： 我国周边国家众多，开创周边工作新局面，是实现发展繁荣的重要基础，是维护国家安全的重点，是运筹外交全局的首要，是推动构建人类命运共同体的关键。 必要性①：周边国家众多/符合我国与周边国家的地理环境、文化发展的状况/国家形势出现深刻变化 重要性：②经济：实现发展繁荣的基础/提高我国开放型经济水平 ③安全：维护国家安全/为国家发展创造良好的外部环境 ④政治：运筹外交全局/推动构建人类命运共同体 （以上4个角度，必要性1分，重要性答出任意2个2分，共计3分） （2）从区域的发展需要角度看： ①共同的国家利益是国际合作基础，中国与周边国家有着广泛共同利益/我国坚持独立自主的和平外交政策，维护世界和平，促进共同发展（前述写出任意一个词1分，共1分） ②经济角度：与周边国家开展贸易，有利于推动我国与周边国家的经济融合，促进共同发展/促进区域经济一体化/促进区域贸易和投资自由化便利化。 （前述写出任意一个词1分，共1分） ③安全、政治角度：与周边国家创新区域合作机制，搭建合作平台，有利于维护地区和平与稳定/维护区域安全，推动构建周边国家命运共同体（1分）。 （前述写出任意1个词1分，共1分） （以上3个角度，共计3分） （3）从世界的发展需要角度看： ①携手周边国家推动建设以合作共赢为核心的新型国际关系，推动国际关系民主化，实现真正的多边主义，推动全球治理变革。（前述任意1个词1分） ②通过区域经济合作维护推动全球自由贸易/多边贸易/推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展。（前述任意1个词1分） （共计2分） 备注：",,defer_mixed_module,同一题段含《法律与生活》和其他模块显性设问，需拆分小问后再进入 accepted。
2025_海淀_二模_029,2025,海淀,二模,2025海淀二模,17,17.（6分）人大代表是党和国家联系人民群众的桥梁。 《中华人民共和国全国人民代表大会和地方各级人民代表大会代表法》（以下简称代表法）是 规范和保障人大代表依法行使代表职权、履行代表义务、发挥代表作用的基本法律。2025年，代 表法进行了第四次修正。 修正后的代表法进一步完善代表联系人民群众制度和人大常委会联系代表制度，完善“一府 一委两院”联系代表制度。如第十一条明确了各级人民政府、监察委员会、人民法院、人民检察 院应当加强同代表的联系，听取代表的意见和建议，加强和改进各方面工作；第四十六条增加规 定：各级人民政府及其所属各部门、监察委员会、人民法院和人民检察院，根据本级人大常委会 的统筹安排，邀请代表参与相关工作和活动，听取代表的意见和建议。 有来自检察机关的全国人大代表表示， 北京市大兴区兴丰街道黄村西里在区人 对于检察机关而言，实践中探索形成的代表 大常委会的统筹指导下，建立黄村西里代表 日常联络机制被写进法律，让代表更加深入 联络站，形成了固定每月一次选民接待日、 固定每个社区有联络员和信息员、固定“人 地参加检察机关活动，有助于及时发现问 代会前听民声”，结合街道中心任务、结合 题，增强建议的可操作性，搭建好检察机关 社区实际情况、结合属地管理原则开展工作 与人民群众的连心桥、便捷桥。 的“三固定、三结合”机制。 运用《政治与法治》知识，说明代表法的修正为何有助于人大代表更好地成为党和国家联系 人民群众的桥梁。 高三年级（思想政治）第5页（共8页） [ocr page 6],下，建立黄村西里代表 日常联络机制被写进法律，让代表更加深入 联络站，形成了固定每月一次选民接待日、 固定每个社区有联络员和信息员、固定“人 地参加检察机关活动，有助于及时发现问 代会前听民声”，结合街道中心任务、结合 题，增强建议的可操作性，搭建好检察机关 社区实际情况、结合属地管理原则开展工作 与人民群众的连心桥、便捷桥。 的“三固定、三结合”机制。 运用《政治与法治》知识，说明代表法的修正为何有助于人大代表更好地成为党和国家联系 人民群众的桥梁。 高三年级（思想政治）第5页（共8页） [ocr page 6],/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf,exact_qno_block_priority_70,support_lecture,"17.（8分） 法治是最好的营商环境。 ➢ 改革开放以来，特别是党的十八大以来，党中央、国务院高度重视民营经济发展 ，出台了一系列促进 民间投资和民营经济发展的政策措施。 ➢ 2024年3月全国两会期间,多位全国人大代表、政协委员围绕民营经济促进法立法工作积极建言。 ➢ 2024年7月，党的二十届三中全会通过的 《中共中央关于进一步全面深化改革 、推进中国式现代化的 决定》要求，“坚持致力于为非公有制经济发展营造良好环境和提供更多机会的方针政策 ”，明确提 出“制定民营经济促进法”。 ➢ 2024年10月10日，司法部、国家发展改革委在门户网站公布《中华人民共和国民营经济促进法（草案 征求意见稿）》，向社会公开征求意见。 结合材料，运用《政治与法治》相关知识，说明我国是如何以民主凝聚共识，以法治护航民营经济发展的。 坚持党对民营经济立法的领导，充分发挥协商民主优势，人大代表们政协委员为民营经济发展建言献策，形成广泛 的社会共识，推动民营经济相关法律的制定和完善。（2分） 草案公开征求意见是开门立法的重大实践，通过科学立法、民主立法、依法立法更好回应社会关切，凝聚共识，提 高民营经济促进法立法质量。（2分） 不断完善涉及民营经济发展的法律法规体系，从法律层面明确民营经济的地位和作用，保障民营经济的合法权，为 民营经济提供坚实的法治保障。（2分） 坚持党的领导、人民当家作主与依法治国有机结合，为民营经济提供了坚实的制度保障和良好的发展环境（2分） 18题 出题意图 • 知识模块：知识产权法、程序法、法治等 • 能力模块：运用法律相关知识解决真实问题的能力 • 考察意图：本题通过“恶意抢注”这一情境，创设真实的法庭审理场景， 提高学生解决真实问题的能力。 • 一方面本题需要学生掌握司法程序、证据裁判规则等程序知识，同时掌握 基本的法律适用与论证能力，完成庭审流程和判决文书内容的补充，体会 公正司法是程序公正与结果公正的结合。 • 另一方面本题需要学生思考商标恶意抢注的效果，从自己真实收获出发体 会司法要实现政治效果、法律效果与社会效果的统一，提高法治意识。",,defer_mixed_module,含非选必二显性设问，同时有法律材料，需拆分小问后再决定。
2025_西城_二模_030,2025,西城,二模,2025西城二模,19,19.（10 分） 为了更好地跟踪监测经济进步的可持续性和衡量国家财富，世界银行推出了《国民财富变化》系列报 告，从多个方面综合衡量国民财富。《2024 国民财富变化》报告显示，1995 年至 2020 年期间，全球人均财 富增长了 21%，但占世界总人口一半的低收入国家只占财富总量的 7%。构成财富的各项资产的变化趋势 揭示出重要的信息： 生产资本：生产资本的快速积累说明了对基础设施、工业和技术的大量投资。 人力资本：人力资本与人口同步增长，反映出劳动力参与率的上升和教育回报率的提高。然而，这些 改善的质量和可及性因国家而异。 不可再生的自然资本： 不可再生自然资本的增长呈现不稳定性，其主要构成是化石燃料和矿产，且后 者重要性在增加。 可再生的自然资本：在过去 25 年可再生自然资本急剧下降，降幅超过 20%。 世界人均全球财富的变化（按资产类别） 第一百五十七条 民事法律行为无效、被撤销或者 确定不发生效力后，行为人因该行为取得的财产应 当予以返还;不能返还或者没有必要返还的应当折价 补偿。有过错的一方应当赔偿对方由此所受到的损 失;各方都有过错的，应当各自承担相应的责任。 《中华人民共和国民法典》 第7页/共10页 资料来源：世界银行《2024 国民财富变化》报告 注：每种资产类别的人均实际综合财富报告是相对于 1995 年的变化（设定为 100）。 （1）结合材料，说明国民财富的变化给发展问题带来的机遇与挑战。 （5 分） 中国为国民财富稳定增长的国家，具有良好的市场经济体制、完备的产业体系和广阔的市场。中国宣 布，给予所有同中国建交的最不发达国家 100%税目产品零关税待遇。 （2）结合材料，运用《当代国际政治与经济》知识，说明这一做法中的中国担当。（5 分）,（2）结合材料，运用《当代国际政治与经济》知识，说明这一做法中的中国担当。,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/细则/细则.docx,exact_qno_block_priority_120,formal_or_scoring_source,19．（10分） （1）（5分）机遇：世界国民财富总体增长，有利于经济发展和增进福祉。基础设施、工业和技术的增长，可以提高生产率和支持提高生活水平。人力资本的增长，劳动者素质提高，对长期经济可持续性发展至关重要。 挑战：国民财富增长不平衡，不可再生自然资本的增长不稳定性，各种安全风险增加，影响发展的稳定性；可再生自然资本急剧下降，对环境可持续性和经济韧性都构成重大风险；人力资本改善的质量和可及性因国家而异，加剧发展的不平衡。 【细则】 机遇：世界国民财富总体增长，有利于经济发展和增进福祉。 基础设施、工业和技术的增长，可以提高生产率和支持提高生活水平。 人力资本的增长，劳动者素质提高，对长期经济可持续性发展至关重要。 （任意1点1分，共2分）（文字材料信息和两条上升的线） 挑战：国民财富增长不平衡； 不可再生自然资本的增长不稳定性，各种安全风险增加； 可再生自然资本急剧下降，影响环境可持续性和经济韧性； 人力资本改善的质量和可及性因国家而异，加剧发展的不平衡。 （任意1点1分，共3分） （2）（5分）发展是解决一切问题的总钥匙。释放各国发展潜力，实现世界各国共同发展，才能保证持久的和平。中国对最不发达国家实行零关税，开放广阔的中国市场，惠民生增福祉，与各国包括最不发达国家共享发展新机遇，开放包容、互利共赢，携手推动建设开放型世界经济，展现了大国担当。 【细则】 ①中国担当：3分 开放广阔的中国市场（或坚持正确义利观）（1分） 与发展中国家共享发展新机遇，惠民生增福祉，实现互利共赢 （2分） （发展中国家/最不发达国家1分，具体说明1分） ②世界意义：2分 推动普惠包容的经济全球化/建设开放型世界经济/促进贸易自由化， 促进共同发展、维护持久和平， 共同推进现代化 （任意1点1分，共2分）,,defer_mixed_module,含非选必二显性设问，同时有法律材料，需拆分小问后再决定。
2025_东城_期末_031,2025,东城,期末,2025东城期末,17,17．（9 分）近年来，北京法院坚持预防性、恢复性司法理念，以法治之力提升“生态颜值” 。 ◆破坏环境受严惩 “张某的行为构成污染环境罪，判处有期徒刑六年十个月，并对清除污染、修复生态费用等 1.4 亿元承 担赔偿责任……”随着法槌敲响，张某等 5 人因非法倾倒垃圾严重污染环境受到严惩。 ◆劳务代偿修复生态 “这 100 棵云杉和侧柏是去年种下的，弥补了违法犯罪行为对生态环境造成的损害”补植复绿基地设立 后，连续开展了 4 起非法狩猎刑事附带民事公益诉讼案件的生态修复工作，并进行 10 余次生态保护普 法宣传活动。 ◆公开道歉常态化 不久前，全某兄弟二人非法揽收并邮寄野生动物制品 40 起共 56 件，被北京市门头沟区人民法院判处有 期徒刑并处罚金，同时要求他们在全国公开发行的媒体上向社会公众赔礼道歉。 结合材料，运用法治知识，说明北京法院是如何提升“生态颜值”的。,结合材料，运用法治知识，说明北京法院是如何提升“生态颜值”的。,,no_exact_qno_block,missing,,需回原细则/OCR 复核,defer_needs_rubric,题面像选必二，但正式细则或题号块未锁定。
