bline_src_id,ref_question_id,year,district,stage,suite_name,question_no,book_part,question_type,evidence_level,paper_text_status,rubric_or_answer_status,bline_use_policy,note
BSRC0001,Q0001,2026,顺义,一模,2026顺义一模,19(2),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify_hard_sample,hard_sample_thinking_three_features
BSRC0002,Q0002,2025,海淀,二模,2025海淀二模,20,thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify_hard_sample,hard_sample_dialectical_compound
BSRC0003,Q0003,2026,朝阳,期中,2026朝阳期中(2025-11),21(2),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify_hard_sample,hard_sample_innovation_compound
BSRC0004,Q0004,2026,通州,期末,2026通州期末,11,choice_trap,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,excluded_or_boundary_reference,out_of_thinking_handbook_scope_user_confirmed
BSRC0005,Q0005,2026,东城,期末,2026东城期末,17(2),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0006,Q0006,2024,朝阳,一模,2024朝阳一模,20(1),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify_hard_sample,hard_sample_sufficient_conditional
BSRC0007,Q0007,2024,朝阳,一模,2024朝阳一模,20(2),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify_hard_sample,hard_sample_necessary_conditional
BSRC0008,Q0008,2025,西城,二模,2025西城二模,16(2),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0009,Q0009,2026,通州,期末,2026通州期末,19(2),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0010,Q0010,2026,丰台,一模,2026丰台一模,18(2),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0011,Q0011,2024,海淀,二模,2024海淀二模,17(1),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify_hard_sample,hard_sample_science_only_source_supported
BSRC0012,Q0012,2025,顺义,一模,2025顺义一模,7,choice_trap,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify_hard_sample,hard_sample_2025_shunyi_q7_fallacy_naming
BSRC0013,Q0013,2026,顺义,一模,2026顺义一模,19(1),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0014,Q0014,2026,朝阳,期中,2026朝阳期中(2025-11),20,thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0015,Q0015,2026,东城,期末,2026东城期末,6,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0016,Q0016,2026,东城,期末,2026东城期末,7,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0017,Q0017,2026,通州,期末,2026通州期末,9,choice_trap,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,excluded_or_boundary_reference,out_of_thinking_handbook_scope_user_confirmed
BSRC0018,Q0018,2026,朝阳,一模,2026朝阳一模,17(1)前半,reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0019,Q0019,2026,朝阳,一模,2026朝阳一模,17(1)后半,thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0020,Q0020,2026,海淀,期末,2026海淀期末,20(1),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0021,Q0021,2026,海淀,期末,2026海淀期末,20(2),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0022,Q0022,2026,海淀,一模,2026海淀一模,17(1),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0023,Q0023,2026,海淀,一模,2026海淀一模,17(2),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0024,Q0024,2024,朝阳,一模,2024朝阳一模,6,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0025,Q0025,2024,朝阳,期中,2024.11朝阳期中,18,reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0026,Q0026,2026,西城,一模,2026西城一模,19(3),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0027,Q0027,2025,海淀,一模,2025海淀一模,21(1),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0028,Q0028,2025,丰台,期末,2025丰台期末,9,reasoning,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,independent_reverify,
BSRC0029,Q0029,2024,朝阳,二模,2024朝阳二模,7,reasoning,choice_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0030,Q0030,2024,北京,高考,2024北京高考,19(2),thinking,main_question,missing,locked_from_run_packet_reverified_by_bline,missing,excluded_or_boundary_reference,missing_official_rubric_for_2024_beijing_gaokao_q192
BSRC0031,Q0031,2026,顺义,一模,2026顺义一模,2,reasoning,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,independent_reverify,
BSRC0032,Q0032,2026,顺义,一模,2026顺义一模,3,thinking,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,excluded_or_boundary_reference,
BSRC0033,Q0033,2026,顺义,一模,2026顺义一模,4,reasoning,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,independent_reverify,
BSRC0034,Q0034,2026,顺义,一模,2026顺义一模,5,thinking,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,excluded_or_boundary_reference,
BSRC0035,Q0035,2026,顺义,一模,2026顺义一模,6,thinking,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,excluded_or_boundary_reference,
BSRC0036,Q0036,2026,顺义,一模,2026顺义一模,7,thinking,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,excluded_or_boundary_reference,
BSRC0037,Q0037,2026,朝阳,一模,2026朝阳一模,3,thinking,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,excluded_or_boundary_reference,
BSRC0038,Q0038,2026,朝阳,一模,2026朝阳一模,5,reasoning,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,independent_reverify,
BSRC0039,Q0039,2026,朝阳,一模,2026朝阳一模,6,thinking,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,excluded_or_boundary_reference,
BSRC0040,Q0040,2026,朝阳,一模,2026朝阳一模,7,thinking,choice_question,B-choice-signal,locked_from_run_packet_reverified_by_bline,objective_answer_key_only,excluded_or_boundary_reference,
BSRC0041,Q0041,2025,门头沟,一模,2025门头沟一模,21(1),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0042,Q0042,2025,房山,一模,2025房山一模,16(2),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0043,Q0043,2025,房山,一模,2025房山一模,16(3),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0044,Q0044,2025,东城,期末,2025东城期末,18(2),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0045,Q0045,2025,昌平,二模,2025昌平二模,19,thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0046,Q0046,2025,西城,一模,2025西城一模,17,thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0047,Q0047,2025,石景山,一模,2025石景山一模,19,thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0048,Q0048,2025,丰台,一模,2025丰台一模,18(1),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0049,Q0049,2025,朝阳,期末,2025朝阳期末,19,reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0050,Q0050,2025,海淀,期末,2025海淀期末,18,thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0051,Q0051,2025,东城,一模,2025东城一模,18(1),thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0052,Q0052,2025,朝阳,一模,2025朝阳一模,17(1),reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0053,Q0053,2025,朝阳,二模,2025朝阳二模,17,reasoning,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0054,Q0054,2025,延庆,一模,2025延庆一模,18,thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
BSRC0055,Q0055,2025,海淀,二模,2025海淀二模,20,thinking,main_question,A-formal,locked_from_run_packet_reverified_by_bline,official_rubric_locked,independent_reverify,
