coverage_id,source_suite,question_id,question_type,module_decision,handbook_target,decision,evidence_level,framework_node_or_reasoning_family,source_lock,blocked_reason,fusion_priority
BCV0001,2026顺义一模,Q0001,main_question,thinking,thinking_main,body,A-formal,科学思维/客观性+预见性+可检验性(三节点复挂),run_question_id=Q0001;suite=2026顺义一模;no=19(2);rubric_state_from_run_ledger,,P1
BCV0002,2025海淀二模,Q0002,main_question,thinking,thinking_main,body,A-formal,辩证思维/分析综合+整体性+动态性质量互变+辩证否定(多节点复挂),run_question_id=Q0002;suite=2025海淀二模;no=20;rubric_state_from_run_ledger,,P1
BCV0003,2026朝阳期中(2025-11),Q0003,main_question,thinking,thinking_main,body,A-formal,创新思维/超前+联想+逆向+发散聚合(多节点复挂),run_question_id=Q0003;suite=2026朝阳期中(2025-11);no=21(2);rubric_state_from_run_ledger,,P1
BCV0004,2026通州期末,Q0004,choice_question,choice_trap,excluded_or_boundary,excluded,A-formal,思维选择题/通州期末11,run_question_id=Q0004;suite=2026通州期末;no=11;rubric_state_from_run_ledger,out_of_thinking_handbook_scope_user_confirmed,P4
BCV0005,2026东城期末,Q0005,main_question,reasoning,reasoning_main,body,A-formal,概念外延关系/属种与种差(定义),run_question_id=Q0005;suite=2026东城期末;no=17(2);rubric_state_from_run_ledger,,P2
BCV0006,2024朝阳一模,Q0006,main_question,reasoning,reasoning_main,body,A-formal,充分条件假言推理,run_question_id=Q0006;suite=2024朝阳一模;no=20(1);rubric_state_from_run_ledger,,P1
BCV0007,2024朝阳一模,Q0007,main_question,reasoning,reasoning_main,body,A-formal,必要条件假言推理,run_question_id=Q0007;suite=2024朝阳一模;no=20(2);rubric_state_from_run_ledger,,P1
BCV0008,2025西城二模,Q0008,main_question,reasoning,reasoning_main,body,A-formal,充分条件假言推理(肯前推后),run_question_id=Q0008;suite=2025西城二模;no=16(2);rubric_state_from_run_ledger,,P2
BCV0009,2026通州期末,Q0009,main_question,reasoning,reasoning_main,body,A-formal,充分条件+必要条件复合判断,run_question_id=Q0009;suite=2026通州期末;no=19(2);rubric_state_from_run_ledger,,P2
BCV0010,2026丰台一模,Q0010,main_question,reasoning,reasoning_main,body,A-formal,必要条件假言推理+三段论大项不当扩大,run_question_id=Q0010;suite=2026丰台一模;no=18(2);rubric_state_from_run_ledger,,P2
BCV0011,2024海淀二模,Q0011,main_question,thinking,thinking_main,body,A-formal,科学思维/客观性+探索性与方法更新+整体安排(三节点复挂),run_question_id=Q0011;suite=2024海淀二模;no=17(1);rubric_state_from_run_ledger,,P1
BCV0012,2025顺义一模,Q0012,choice_question,choice_trap,reasoning_choice,body,A-formal,三段论/大项不当扩大谬误名称纠错,run_question_id=Q0012;suite=2025顺义一模;no=7;rubric_state_from_run_ledger,,P1
BCV0013,2026顺义一模,Q0013,main_question,reasoning,reasoning_main,body,A-formal,三段论+论证评价(科学思维结构),run_question_id=Q0013;suite=2026顺义一模;no=19(1);rubric_state_from_run_ledger,,P2
BCV0014,2026朝阳期中(2025-11),Q0014,main_question,thinking,thinking_main,body,A-formal,辩证思维/分析综合+动态性,run_question_id=Q0014;suite=2026朝阳期中(2025-11);no=20;rubric_state_from_run_ledger,,P2
