atom_id,question,status,bucket,core,expected_location,teacher_index,student_doc,evidence_level,source_boundary,boundary_note
ATOM-B01,2026通州期末 Q20,candidate_with_fixes,政治多极化,共商共建共享的全球治理观,main,yes,yes,P0_formal_scoring_rule,formal_scoring_ppt,do_not_merge_with_Q17_loose_cooperation
ATOM-B02,2026通州期末 Q20,candidate_with_fixes,时代背景,和平与发展仍是时代主题,main,yes,yes,P0_formal_scoring_rule;user_confirmed_image_scoring_material,mixed_scoring_sources_labeled,do_not_merge_with_China_foreign_policy_purpose
ATOM-B02,2025海淀期中 Q21(2),candidate_with_fixes,时代背景,和平与发展仍是时代主题,main,yes,yes,P0_formal_scoring_rule;user_confirmed_image_scoring_material,mixed_scoring_sources_labeled,do_not_merge_with_China_foreign_policy_purpose
ATOM-B03,2026通州期末 Q20,candidate_with_fixes,联合国,《联合国宪章》宗旨和原则,main,yes,yes,P0_formal_scoring_rule,formal_scoring_ppt,may_later_merge_with_Haidian_UN_charter_after_recheck
ATOM-B04,2026通州期末 Q20,candidate_with_fixes,政治多极化,推动国际关系民主化，坚持真正的多边主义，推动国际秩序朝公正合理方向发展,main,yes,yes,P0_formal_scoring_rule,formal_scoring_ppt,correct_yiliguan_split_to_China
ATOM-B05,2026通州期末 Q20,candidate_with_fixes,中国,坚持正确义利观，在发展合作中义利相兼、互利共赢,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx_or_ppt,same_Tongzhou_optional_group_as_ATOM_B04
ATOM-B05,2026朝阳期中 Q17,candidate_with_fixes,中国,坚持正确义利观，在发展合作中义利相兼、互利共赢,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx_or_ppt,same_Tongzhou_optional_group_as_ATOM_B04
ATOM-B06,2026通州期末 Q20,candidate_with_fixes,中国,推动构建人类命运共同体,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx_or_ppt,not_subordinate_to_four_global_initiatives
ATOM-B06,2026朝阳期中 Q17,candidate_with_fixes,中国,推动构建人类命运共同体,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx_or_ppt,not_subordinate_to_four_global_initiatives
ATOM-B07,2026通州期末 Q20,candidate_with_fixes,中国,贡献中国智慧、中国方案、中国力量与全球倡议体系,main,yes,yes,P0_formal_scoring_rule,formal_scoring_ppt,may_merge_with_later_Haidian_Q21_after_recheck
ATOM-B08,2026朝阳期中 Q17,candidate_with_fixes,理论,处理好自力更生和对外开放的关系,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx,Q17_relation_container_not_generic_term
ATOM-B09,2026朝阳期中 Q17,candidate_with_fixes,理论,核心技术自主可控；把握创新主动权,main,yes,yes,P0_formal_scoring_rule,formal_scoring_docx,exclude_new_development_concept_boundary
