model,variable,coef,se_cluster_country,t_stat,p_value_normal,p_value_t_cluster_df,cluster_df,nobs,adj_r2,stars
M1_baseline_gdppc,L1_ln_broadband,0.06045832015248461,0.030106270394695142,2.0081637266879007,0.0446258961831614,0.046137886595403514,178,2067,0.9951280967956446,**
M1_baseline_gdppc,L1_internet_10pct,-0.003280391167168089,0.008751483630958313,-0.3748382909114665,0.7077807349971746,0.7082269529932921,178,2067,0.9951280967956446,
M2_mobile_alt,L1_internet_10pct,0.0054380673353439605,0.0073046369309961974,0.7444678478499442,0.45659348562813895,0.4575752012671044,178,2114,0.9952348973772065,
M2_mobile_alt,L1_ln_mobile,0.1054027793243001,0.04812702912802773,2.1900952798043525,0.028517327494683473,0.02981750127120193,178,2114,0.9952348973772065,**
M3_labor_productivity,L1_ln_broadband,0.0841860188642721,0.030445903699741556,2.7651016601286407,0.005690505839593285,0.006355220683331565,161,1950,0.9928509977779431,***
M3_labor_productivity,L1_internet_10pct,-0.007882242611905458,0.008425528265066078,-0.9355190990916035,0.3495208452559701,0.35092192490404706,161,1950,0.9928509977779431,
M4_add_education_control,L1_ln_broadband,0.07848298215584103,0.03430792295654866,2.287605176659646,0.022160524167695896,0.02353076774415525,153,1539,0.9966261664612805,**
M4_add_education_control,L1_internet_10pct,-0.008229959689474304,0.008571708355349,-0.960130623709166,0.3369894776211877,0.3385043292253802,153,1539,0.9966261664612805,
M4_add_education_control,L1_tertiary_enrollment_gross_pct,-0.00042414560111390796,0.0010757883583084142,-0.39426491078676557,0.693385466654842,0.6939344586660936,153,1539,0.9966261664612805,
M5_trade_openness_proxy,L1_ln_broadband,2.113731466208979,2.9840919861653785,0.7083332135900974,0.47873835607596427,0.4796701430460685,177,2069,0.9622492652516117,
M5_trade_openness_proxy,L1_internet_10pct,-0.8301455094751672,0.9959910157612745,-0.8334869455028717,0.40457015728128065,0.40569349743018635,177,2069,0.9622492652516117,
M6_income_heterogeneity,L1_ln_broadband,0.06689930046781732,0.03186912966969857,2.0991881849671508,0.03580031511414743,0.037210646575943356,178,2067,0.9951411598999839,**
M6_income_heterogeneity,L1_internet_10pct,-0.0042087354604683665,0.009262008368586986,-0.45440851411263106,0.6495348254472135,0.6500884641562004,178,2067,0.9951411598999839,
M6_income_heterogeneity,L1_ln_broadband_x_high_income,-0.05391304522929442,0.06946420590435165,-0.7761269927065702,0.43767400739448276,0.43870403874651653,178,2067,0.9951411598999839,
M6_income_heterogeneity,L1_internet_10pct_x_high_income,-0.00016698398574420317,0.02012565644600668,-0.008297070269096042,0.9933799716877876,0.9933892633311296,178,2067,0.9951411598999839,
M6_income_heterogeneity,L1_ln_broadband_high_income_marginal,0.012986255238522898,0.06500203905914147,0.1997822749330599,0.8416508644213605,0.841878914895496,178,2067,0.9951411598999839,
M6_income_heterogeneity,L1_internet_10pct_high_income_marginal,-0.00437571944621257,0.01988885444141496,-0.2200086213663931,0.825864440324979,0.8261165557982302,178,2067,0.9951411598999839,
M7_country_trends,L1_ln_broadband,-0.001163924460459806,0.015584747139798096,-0.07468356400133963,0.940466485174774,0.9405503502556928,178,2067,0.9990457397353185,
M7_country_trends,L1_internet_10pct,-0.006709785631143645,0.0053378584928040155,-1.2570182668178875,0.20874702111810345,0.210393936721475,178,2067,0.9990457397353185,
M8_exclude_small_resource,L1_ln_broadband,0.07853568887791407,0.02938872243480425,2.6723070066123875,0.007533169297713368,0.00849793167969758,130,1596,0.9965500899276205,***
M8_exclude_small_resource,L1_internet_10pct,0.0033514723281299827,0.00763946902326116,0.43870487830046806,0.6608753918646593,0.6616036194712287,130,1596,0.9965500899276205,
M9_L2_lag,L2_ln_broadband,0.04590823346880285,0.028285742474432045,1.6230167375065396,0.10458582694400274,0.10637563343402412,176,1908,0.9956257100147554,
M9_L2_lag,L2_internet_10pct,-0.0033134886034797556,0.008309026671818945,-0.3987817989221105,0.6900539893638016,0.6905373938053723,176,1908,0.9956257100147554,
M10_high_income_subsample,L1_ln_broadband,-0.003990327975263441,0.05851152440630394,-0.06819729986104292,0.9456285763680117,0.9458411964719091,64,768,0.9813768519513721,
M10_high_income_subsample,L1_internet_10pct,-0.015389865269534508,0.01696954955533028,-0.9069106530703652,0.3644540471773699,0.3678560919934607,64,768,0.9813768519513721,
M11_non_high_income_subsample,L1_ln_broadband,0.0673390336098472,0.03181141440210064,2.116819854617986,0.03427513962850024,0.036469282545246035,113,1299,0.9860348985272916,**
M11_non_high_income_subsample,L1_internet_10pct,0.002813898333152605,0.012242093528643102,0.22985434040091782,0.8182049574475068,0.8186205201118404,113,1299,0.9860348985272916,
M12_broadband_without_internet,L1_ln_broadband,0.06246950314543609,0.02455172864351347,2.5444034533161246,0.010946456801685368,0.011796159269092988,178,2142,0.9950008384811606,**
M13_internet_without_broadband,L1_internet_10pct,0.006040148607081141,0.00721236733452344,0.8374710170638093,0.402327861630437,0.4034446311142674,179,2131,0.9950995356196778,
