variable,N,mean,sd,p25,median,p75
gdp_pc_const2015,2922,16678.326965897268,23818.393569807948,2205.71696608567,6168.39495441325,20962.413729060925
gdp_per_worker_const2021ppp,2469,54445.37049088717,48419.408110065444,16197.4562157449,41147.6933815581,78458.415648879
internet_users_pct,2712,52.61980358083978,30.11564592404952,24.4337005625,56.750668873003704,79.2050105754508
fixed_broadband_per100,2749,14.113876527765806,14.409238106539984,1.02623025498094,9.10623009553708,25.7144376937159
mobile_subs_per100,2833,104.84132524887876,41.33807165969136,79.5746462378333,108.00526578567,128.668140961621
gross_capital_formation_pct_gdp,2428,24.511564862959244,8.649348607317547,19.4668441819353,23.53632991744835,28.185520633390702
trade_pct_gdp,2533,92.08708258555849,58.89964559154687,55.0659513954403,78.9838337182448,110.205284377387
urban_pop_pct,3038,60.819058178318365,23.763000315715722,40.88558065495365,62.2706040689944,80.37632877513045
tertiary_enrollment_gross_pct,1885,46.34840359609931,29.268935198525114,19.3969497680664,45.6063499450684,69.0510406494141
population_total,3038,34709292.51217906,135905655.81825614,757197.0,6233669.5,23414327.0
natural_resource_rents_pct_gdp,2491,5.959087072379233,9.576203650788617,0.11141720364553001,1.58813238238384,7.575807928590885
