model,nobs,countries,adj_r2,partial_within_r2,country_trends,country_fe,year_fe,cluster,cluster_count,cluster_df,filter,dependent_variable,xvars
M1_baseline_gdppc,2067,179,0.9951280967956446,0.060394862328725374,False,True,True,country_code,179,178,,ln_gdp_pc,"L1_ln_broadband, L1_internet_10pct, L1_gross_capital_formation_pct_gdp, L1_trade_pct_gdp, L1_urban_pop_pct"
M2_mobile_alt,2114,179,0.9952348973772065,0.07254712997508828,False,True,True,country_code,179,178,,ln_gdp_pc,"L1_ln_mobile, L1_internet_10pct, L1_gross_capital_formation_pct_gdp, L1_trade_pct_gdp, L1_urban_pop_pct"
M3_labor_productivity,1950,162,0.9928509977779431,0.048060596640692066,False,True,True,country_code,162,161,,ln_gdp_per_worker,"L1_ln_broadband, L1_internet_10pct, L1_gross_capital_formation_pct_gdp, L1_trade_pct_gdp, L1_urban_pop_pct"
M4_add_education_control,1539,154,0.9966261664612805,0.07991344574768366,False,True,True,country_code,154,153,,ln_gdp_pc,"L1_ln_broadband, L1_internet_10pct, L1_tertiary_enrollment_gross_pct, L1_gross_capital_formation_pct_gdp, L1_trade_pct_gdp, L1_urban_pop_pct"
M5_trade_openness_proxy,2069,178,0.9622492652516117,0.03326132732343312,False,True,True,country_code,178,177,,trade_pct_gdp,"L1_ln_broadband, L1_internet_10pct, L1_gross_capital_formation_pct_gdp, L1_urban_pop_pct"
M6_income_heterogeneity,2067,179,0.9951411598999839,0.06391593423266351,False,True,True,country_code,179,178,,ln_gdp_pc,"L1_ln_broadband, L1_internet_10pct, L1_ln_broadband_x_high_income, L1_internet_10pct_x_high_income, L1_gross_capital_formation_pct_gdp, L1_trade_pct_gdp, L1_urban_pop_pct"
M7_country_trends,2067,179,0.9990457397353185,0.8335667311293664,True,True,True,country_code,179,178,,ln_gdp_pc,"L1_ln_broadband, L1_internet_10pct, L1_gross_capital_formation_pct_gdp, L1_trade_pct_gdp, L1_urban_pop_pct"
M8_exclude_small_resource,1596,131,0.9965500899276205,0.15104462142601782,False,True,True,country_code,131,130,not_small_resource,ln_gdp_pc,"L1_ln_broadband, L1_internet_10pct, L1_gross_capital_formation_pct_gdp, L1_trade_pct_gdp, L1_urban_pop_pct"
M9_L2_lag,1908,177,0.9956257100147554,0.0577673817139025,False,True,True,country_code,177,176,,ln_gdp_pc,"L2_ln_broadband, L2_internet_10pct, L2_gross_capital_formation_pct_gdp, L2_trade_pct_gdp, L2_urban_pop_pct"
M10_high_income_subsample,768,65,0.9813768519513721,0.019555177472787344,False,True,True,country_code,65,64,high_income,ln_gdp_pc,"L1_ln_broadband, L1_internet_10pct, L1_gross_capital_formation_pct_gdp, L1_trade_pct_gdp, L1_urban_pop_pct"
M11_non_high_income_subsample,1299,114,0.9860348985272916,0.09958911743961696,False,True,True,country_code,114,113,non_high_income,ln_gdp_pc,"L1_ln_broadband, L1_internet_10pct, L1_gross_capital_formation_pct_gdp, L1_trade_pct_gdp, L1_urban_pop_pct"
M12_broadband_without_internet,2142,179,0.9950008384811606,0.07139507107777221,False,True,True,country_code,179,178,,ln_gdp_pc,"L1_ln_broadband, L1_gross_capital_formation_pct_gdp, L1_trade_pct_gdp, L1_urban_pop_pct"
M13_internet_without_broadband,2131,180,0.9950995356196778,0.045825783777689755,False,True,True,country_code,180,179,,ln_gdp_pc,"L1_internet_10pct, L1_gross_capital_formation_pct_gdp, L1_trade_pct_gdp, L1_urban_pop_pct"
