node_id,node_name,question_id,evidence_level,pass_status,role_in_node,clean_rubric_atom_ids,cleaning_note
LAW_V5_1_N01,一格一答,CC0077_2025_东城_一模_19,formal,PARTIAL_SOURCE_CHECK,source_check_pending,R_CC0077_2025_东城_一模_19_01|R_CC0077_2025_东城_一模_19_02|R_CC0077_2025_东城_一模_19_03|R_CC0077_2025_东城_一模_19_04|R_CC0077_2025_东城_一模_19_07|R_CC0077_2025_东城_一模_19_08|R_CC0077_2025_东城_一模_19_09|R_CC0077_2025_东城_一模_19_11|R_CC0077_2025_东城_一模_19_12,CC0277 only law sub-question atoms; CC0251 only R_01; teaching reflections/cross-module atoms filtered.
LAW_V5_1_N01,一格一答,CC0084_2025_东城_二模_19,formal,PARTIAL_SOURCE_CHECK,source_check_pending,R_CC0084_2025_东城_二模_19_01|R_CC0084_2025_东城_二模_19_02|R_CC0084_2025_东城_二模_19_03|R_CC0084_2025_东城_二模_19_04|R_CC0084_2025_东城_二模_19_05|R_CC0084_2025_东城_二模_19_07|R_CC0084_2025_东城_二模_19_08,CC0277 only law sub-question atoms; CC0251 only R_01; teaching reflections/cross-module atoms filtered.
LAW_V5_1_N01,一格一答,CC0289_2026_朝阳_二模_18,formal,PASS_CANDIDATE,core_support,R_CC0289_2026_朝阳_二模_18_01|R_CC0289_2026_朝阳_二模_18_02|R_CC0289_2026_朝阳_二模_18_03|R_CC0289_2026_朝阳_二模_18_04|R_CC0289_2026_朝阳_二模_18_05|R_CC0289_2026_朝阳_二模_18_06|R_CC0289_2026_朝阳_二模_18_07|R_CC0289_2026_朝阳_二模_18_08,CC0277 only law sub-question atoms; CC0251 only R_01; teaching reflections/cross-module atoms filtered.
LAW_V5_1_N01,一格一答,RECOVER_2025_海淀_二模_18,formal,PASS_CANDIDATE,core_support,R_RECOVER_2025_海淀_二模_18_01|R_RECOVER_2025_海淀_二模_18_02|R_RECOVER_2025_海淀_二模_18_03|R_RECOVER_2025_海淀_二模_18_04|R_RECOVER_2025_海淀_二模_18_05|R_RECOVER_2025_海淀_二模_18_06|R_RECOVER_2025_海淀_二模_18_07|R_RECOVER_2025_海淀_二模_18_08|R_RECOVER_2025_海淀_二模_18_09,CC0277 only law sub-question atoms; CC0251 only R_01; teaching reflections/cross-module atoms filtered.
LAW_V5_1_N01,一格一答,RECOVER_2026_通州_一模_20,formal,PASS_CANDIDATE,core_support,R_RECOVER_2026_通州_一模_20_01|R_RECOVER_2026_通州_一模_20_02|R_RECOVER_2026_通州_一模_20_03|R_RECOVER_2026_通州_一模_20_04|R_RECOVER_2026_通州_一模_20_05|R_RECOVER_2026_通州_一模_20_06,CC0277 only law sub-question atoms; CC0251 only R_01; teaching reflections/cross-module atoms filtered.
LAW_V5_1_N02,分关系·定责任,CC0143_2025_朝阳_一模_19,formal,PASS_CANDIDATE,core_support,R_CC0143_2025_朝阳_一模_19_01|R_CC0143_2025_朝阳_一模_19_02|R_CC0143_2025_朝阳_一模_19_03|R_CC0143_2025_朝阳_一模_19_04|R_CC0143_2025_朝阳_一模_19_05|R_CC0143_2025_朝阳_一模_19_06|R_CC0143_2025_朝阳_一模_19_07|R_CC0143_2025_朝阳_一模_19_08|R_CC0143_2025_朝阳_一模_19_09|R_CC0143_2025_朝阳_一模_19_10,CC0277 only law sub-question atoms; CC0251 only R_01; teaching reflections/cross-module atoms filtered.
LAW_V5_1_N02,分关系·定责任,CC0305_2026_海淀_一模_18_3,formal,PARTIAL_SOURCE_CHECK,source_check_pending,R_CC0305_2026_海淀_一模_18_3_P01|R_CC0305_2026_海淀_一模_18_3_P02|R_CC0305_2026_海淀_一模_18_3_P03,CC0277 only law sub-question atoms; CC0251 only R_01; teaching reflections/cross-module atoms filtered.
LAW_V5_1_N02,分关系·定责任,CC0063_2024_西城_二模_16,formal,PASS_CANDIDATE,core_support,R_CC0063_2024_西城_二模_16_01,CC0277 only law sub-question atoms; CC0251 only R_01; teaching reflections/cross-module atoms filtered.
LAW_V5_1_N02,分关系·定责任,CC0251_2026_丰台_一模_20,formal,PASS_CANDIDATE,source_check_pending,R_CC0251_2026_丰台_一模_20_01,CC0277 only law sub-question atoms; CC0251 only R_01; teaching reflections/cross-module atoms filtered.
LAW_V5_1_N02,分关系·定责任,CC0244_2026_东城_期末_18,formal,PASS_CANDIDATE,core_support,R_CC0244_2026_东城_期末_18_01|R_CC0244_2026_东城_期末_18_02|R_CC0244_2026_东城_期末_18_04|R_CC0244_2026_东城_期末_18_06|R_CC0244_2026_东城_期末_18_07,CC0277 only law sub-question atoms; CC0251 only R_01; teaching reflections/cross-module atoms filtered.
LAW_V5_1_N02,分关系·定责任,CC0002_2024_丰台_一模_17,formal,PASS_CANDIDATE,core_support,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0002_2024_丰台_一模_17_M17_02|R_CC0002_2024_丰台_一模_17_M17_03|R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,CC0277 only law sub-question atoms; CC0251 only R_01; teaching reflections/cross-module atoms filtered.
LAW_V5_1_N02,分关系·定责任,CC0200_2025_西城_二模_18,formal,PASS_CANDIDATE,core_support,R_CC0200_2025_西城_二模_18_01,CC0277 only law sub-question atoms; CC0251 only R_01; teaching reflections/cross-module atoms filtered.
LAW_V5_1_N03,认产权·抓侵权,CC0229_2026_东城_一模_18,formal,PASS_CANDIDATE,core_support,R_CC0229_2026_东城_一模_18_01|R_CC0229_2026_东城_一模_18_02|R_CC0229_2026_东城_一模_18_03|R_CC0229_2026_东城_一模_18_04|R_CC0229_2026_东城_一模_18_05|R_CC0229_2026_东城_一模_18_06|R_CC0229_2026_东城_一模_18_07|R_CC0229_2026_东城_一模_18_08,CC0277 only law sub-question atoms; CC0251 only R_01; teaching reflections/cross-module atoms filtered.
LAW_V5_1_N03,认产权·抓侵权,CC0283_2026_朝阳_一模_18,formal,PASS_CANDIDATE,source_check_pending,R_CC0283_2026_朝阳_一模_18_01|R_CC0283_2026_朝阳_一模_18_02|R_CC0283_2026_朝阳_一模_18_03|R_CC0283_2026_朝阳_一模_18_04|R_CC0283_2026_朝阳_一模_18_05,CC0277 only law sub-question atoms; CC0251 only R_01; teaching reflections/cross-module atoms filtered.
LAW_V5_1_N03,认产权·抓侵权,CC0103_2025_丰台_一模_19,formal,PASS_CANDIDATE,core_support,R_CC0103_2025_丰台_一模_19_01,CC0277 only law sub-question atoms; CC0251 only R_01; teaching reflections/cross-module atoms filtered.
