item,action,old,new,count,status
A1/A2,replace,2026通州期中,2026通州期末,10,applied
A3,replace,2026丰台期中,2026丰台期末,6,applied
A4,replace,2024顺义二模,2024顺义思政二模,4,applied
B9,replace,全球治理倡议正逢其时、指引方向、彰显担当,全球治理倡议正逢其时、指引方向彰显担当,10,applied
B9,replace,全球治理倡议正逢其时、指引方向，彰显担当,全球治理倡议正逢其时、指引方向彰显担当,0,no_match
B1,replace,结合材料二，运用《当代国际政治与经济》知识，阐释中国对维护全球产供链韧性和稳定的政策主张。,假如你是外交部发言人，请结合材料二，运用《当代国际政治与经济》知识，对上述提问做出回应。,3,applied
B2,replace,结合材料，运用《当代国际政治与经济》知识，说明“五大工程”如何推动中拉双方在各自现代化征程上并肩前行，共筑中拉命运共同体新篇章。,结合材料，运用《当代国际政治与经济》知识，阐释“五大工程”如何扩大中拉利益汇合点。,3,applied
B2,replace,"结合材料，运用《当代国际政治与经济》知识，说明""五大工程""如何推动中拉双方在各自现代化征程上并肩前行，共筑中拉命运共同体新篇章。","结合材料，运用《当代国际政治与经济》知识，阐释""五大工程""如何扩大中拉利益汇合点。",3,applied
B3,replace,结合材料，运用《当代国际政治与经济》的知识，分析中国与东盟经贸合作不断提质升级的原因和意义。,结合材料，运用《当代国际政治与经济》的知识，分析中国与东盟经贸合作能够提质升级的原因。,4,applied
B3,replace,中国与东盟经贸合作不断提质升级,中国与东盟经贸合作能够提质升级,1,applied
B3,replace,提质升级的原因和意义,提质升级的原因,0,no_match
B3,replace,问“原因和意义”，必须先解释合作为什么能持续升级，再带出对双方和区域的价值。,问“原因”，必须先解释合作为什么能够提质升级。,1,applied
B3,replace,"问""原因和意义""，要把合作能不断升级的根本前提解释清楚，再带出对双方和区域的价值。","问""原因""，要把合作能够提质升级的根本前提解释清楚。",1,applied
B3,replace,"问""原因和意义""，要解释为什么经贸合作能持续升级，并指出双方都能在合作中获得新的发展空间。","问""原因""，要解释为什么经贸合作能够提质升级。",1,applied
B3,replace,"问""原因和意义""中的方向意义，要把双边经贸升级延伸到对区域和全球开放合作格局的拉动，而不是停在""互利共赢""。","问""原因""中的方向逻辑，要把双边经贸升级放回区域开放合作格局中解释，而不是停在""互利共赢""。",1,applied
B3,replace,能够不断提质升级,能够提质升级,2,applied
B4,replace,结合材料，运用《当代国际政治与经济》知识，写一篇关于“同球共济”精神和中国行动的小论文。要求：自拟题目、观点明确、逻辑清晰，200字左右。,结合材料，运用《当代国际政治与经济》知识，写一篇小论文。要求：自拟题目、观点明确、逻辑清晰，200字左右。,1,applied
