year_root,year,district,stage,suite_guess,role,extension,size,modified,relative_path,absolute_path
2024各区模拟题,2024,东城,一模,2024东城一模,answer,.pdf,2611809,2025-03-22T22:33:16,2024各区一模\2024东城一模\其他材料\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\其他材料\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf
2024各区模拟题,2024,东城,一模,2024东城一模,rubric,.pptx,18611296,2026-04-01T16:30:59,2024各区一模\2024东城一模\细则\2024东城一模细则.pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\细则\2024东城一模细则.pptx
2024各区模拟题,2024,东城,一模,2024东城一模,paper,.pdf,12078779,2025-03-22T22:33:16,2024各区一模\2024东城一模\试卷\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\试卷\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).pdf
2024各区模拟题,2024,丰台,一模,2024丰台一模,rubric,.docx,24557,2025-03-22T22:33:14,2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx
2024各区模拟题,2024,丰台,一模,2024丰台一模,answer,.pdf,458340,2025-03-22T22:33:14,2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf
2024各区模拟题,2024,丰台,一模,2024丰台一模,paper,.pdf,4148690,2025-03-22T22:33:14,2024各区一模\2024丰台一模\试卷\丰台高三一模政治试卷终版.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\丰台高三一模政治试卷终版.pdf
2024各区模拟题,2024,朝阳,一模,2024朝阳一模,rubric,.pptx,7699972,2025-03-22T22:33:38,2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx
2024各区模拟题,2024,朝阳,一模,2024朝阳一模,answer,.docx,29215,2025-03-22T22:33:16,2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx
2024各区模拟题,2024,朝阳,一模,2024朝阳一模,rubric,.pptx,7699972,2026-04-01T15:47:23,2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx
2024各区模拟题,2024,朝阳,一模,2024朝阳一模,paper,.pdf,1324697,2025-03-22T22:33:16,2024各区一模\2024朝阳一模\试卷\202404朝阳高三一模试题.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\试卷\202404朝阳高三一模试题.pdf
2024各区模拟题,2024,海淀,一模,2024海淀一模,answer,.docx,22184,2025-03-22T22:33:16,2024各区一模\2024海淀一模\其他材料\一模政治-答案.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\其他材料\一模政治-答案.docx
2024各区模拟题,2024,海淀,一模,2024海淀一模,rubric,.docx,67046,2025-03-22T22:33:16,2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx
2024各区模拟题,2024,海淀,一模,2024海淀一模,paper,.pdf,658903,2025-03-22T22:33:16,2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf
2024各区模拟题,2024,石景山,一模,2024石景山一模,lecture,.pptx,10536645,2025-03-22T22:33:16,2024各区一模\2024石景山一模\其他材料\2024年石景山一模.pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\其他材料\2024年石景山一模.pptx
2024各区模拟题,2024,石景山,一模,2024石景山一模,answer,.docx,353125,2025-03-22T22:33:16,2024各区一模\2024石景山一模\试卷\2024北京石景山高三一模政治（教师版带答案）.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\试卷\2024北京石景山高三一模政治（教师版带答案）.docx
2024各区模拟题,2024,西城,一模,2024西城一模,answer,.docx,42156,2025-03-22T22:33:13,2024各区一模\2024西城一模\其他材料\2024.4高三统一测试思想政治答案.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\2024.4高三统一测试思想政治答案.docx
2024各区模拟题,2024,西城,一模,2024西城一模,rubric,.docx,162,2025-03-22T22:33:13,2024各区一模\2024西城一模\其他材料\~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx
2024各区模拟题,2024,西城,一模,2024西城一模,paper,.xlsx,165,2025-03-22T22:33:13,2024各区一模\2024西城一模\其他材料\~$教学班报告--高三西城一模练习(政治)-高三年级政6.xlsx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\~$教学班报告--高三西城一模练习(政治)-高三年级政6.xlsx
2024各区模拟题,2024,西城,一模,2024西城一模,rubric,.docx,48086,2025-03-22T22:33:13,2024各区一模\2024西城一模\细则\2024西城一模细则.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\细则\2024西城一模细则.docx
2024各区模拟题,2024,西城,一模,2024西城一模,paper,.docx,2046293,2025-03-22T22:33:14,2024各区一模\2024西城一模\试卷\2024.4高三统一测试思想政治试卷.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\试卷\2024.4高三统一测试思想政治试卷.docx
2024各区模拟题,2024,东城,二模,2024东城二模,answer,.pdf,3561061,2025-03-22T22:33:15,2024各区二模\2024东城二模\其他材料\002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\其他材料\002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.pdf
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,1030669,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题二模阅卷总结.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题二模阅卷总结.docx
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.pptx,42333,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题评分细则.pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\16题\16题评分细则.pptx
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,887638,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17(1).docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17(1).docx
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,819612,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17-2.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\17题\17-2.docx
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,1488308,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18(1).docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18(1).docx
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,1472682,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18（2）.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\18题\18（2）.docx
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,1545984,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（1）.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（1）.docx
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,20052,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（2）.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\19题\19（2）.docx
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,941301,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\21题\20小题二模阅卷总结.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\20小题二模阅卷总结.docx
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.docx,840466,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\21题\21.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\21.docx
2024各区模拟题,2024,东城,二模,2024东城二模,rubric,.pptx,1014166,2025-03-22T22:33:15,2024各区二模\2024东城二模\细则\2024东城二模细则\21题\21题(1).pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024东城二模\细则\2024东城二模细则\21题\21题(1).pptx
