year_root,year,district,stage,suite_guess,role,extension,size,modified,relative_path,absolute_path,source_id,text_path,method,status,quality_flag,char_count,cjk_count,error
2024各区模拟题,2024,东城,一模,2024东城一模,answer,.pdf,2611809,2025-03-22T22:33:16,2024各区一模\2024东城一模\其他材料\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\其他材料\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,c47f4773dba2,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\c47f4773dba2_北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).txt,pymupdf_text+tesseract_ocr,ok,usable_text,2190,942,
2024各区模拟题,2024,东城,一模,2024东城一模,rubric,.pptx,18611296,2026-04-01T16:30:59,2024各区一模\2024东城一模\细则\2024东城一模细则.pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\细则\2024东城一模细则.pptx,2a7ea5f3edd5,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\2a7ea5f3edd5_2024东城一模细则.txt,python-pptx,ok,usable_text,10284,7448,
2024各区模拟题,2024,东城,一模,2024东城一模,paper,.pdf,12078779,2025-03-22T22:33:16,2024各区一模\2024东城一模\试卷\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024东城一模\试卷\北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).pdf,01a9286d69c9,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\01a9286d69c9_北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).txt,pymupdf_text+tesseract_ocr,ok,usable_text,11135,4788,
2024各区模拟题,2024,丰台,一模,2024丰台一模,rubric,.docx,24557,2025-03-22T22:33:14,2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx,ad2bfd855202,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\ad2bfd855202_2024丰台一模细则.txt,python-docx,ok,usable_text,4577,3625,
2024各区模拟题,2024,丰台,一模,2024丰台一模,answer,.pdf,458340,2025-03-22T22:33:14,2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\2024北京丰台高三一模政治试题及答案.pdf,786314b1c233,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\786314b1c233_2024北京丰台高三一模政治试题及答案.txt,pymupdf_text,ok,usable_text,9272,6750,
2024各区模拟题,2024,丰台,一模,2024丰台一模,paper,.pdf,4148690,2025-03-22T22:33:14,2024各区一模\2024丰台一模\试卷\丰台高三一模政治试卷终版.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\试卷\丰台高三一模政治试卷终版.pdf,2d27c006fa9f,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\2d27c006fa9f_丰台高三一模政治试卷终版.txt,pymupdf_text,ok,usable_text,1096,723,
2024各区模拟题,2024,朝阳,一模,2024朝阳一模,rubric,.pptx,7699972,2025-03-22T22:33:38,2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治一模试卷讲评.pptx,36ca0adcf301,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\36ca0adcf301_202404朝阳高三政治一模试卷讲评.txt,python-pptx,ok,usable_text,11670,8604,
2024各区模拟题,2024,朝阳,一模,2024朝阳一模,answer,.docx,29215,2025-03-22T22:33:16,2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\其他材料\202404朝阳高三政治质量检测一参考答案 上交版.docx,d5f49e8cdb37,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\d5f49e8cdb37_202404朝阳高三政治质量检测一参考答案_上交版.txt,python-docx,ok,usable_text,2053,1437,
2024各区模拟题,2024,朝阳,一模,2024朝阳一模,rubric,.pptx,7699972,2026-04-01T15:47:23,2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\细则\2024朝阳一模细则.pptx,6355e4d9e970,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\6355e4d9e970_2024朝阳一模细则.txt,python-pptx,ok,usable_text,11670,8604,
2024各区模拟题,2024,朝阳,一模,2024朝阳一模,paper,.pdf,1324697,2025-03-22T22:33:16,2024各区一模\2024朝阳一模\试卷\202404朝阳高三一模试题.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024朝阳一模\试卷\202404朝阳高三一模试题.pdf,9de0112d068a,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\9de0112d068a_202404朝阳高三一模试题.txt,pymupdf_text,ok,usable_text,6553,4951,
2024各区模拟题,2024,海淀,一模,2024海淀一模,answer,.docx,22184,2025-03-22T22:33:16,2024各区一模\2024海淀一模\其他材料\一模政治-答案.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\其他材料\一模政治-答案.docx,efcf9b358e95,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\efcf9b358e95_一模政治-答案.txt,python-docx,ok,usable_text,1659,1124,
2024各区模拟题,2024,海淀,一模,2024海淀一模,rubric,.docx,67046,2025-03-22T22:33:16,2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx,5ef0821051c4,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\5ef0821051c4_2024海淀一模细则.txt,python-docx,ok,usable_text,3121,2263,
2024各区模拟题,2024,海淀,一模,2024海淀一模,paper,.pdf,658903,2025-03-22T22:33:16,2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\试卷\高三政治：一模试题.pdf,59d9f876653a,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\59d9f876653a_高三政治：一模试题.txt,pymupdf_text,ok,usable_text,8247,6361,
2024各区模拟题,2024,石景山,一模,2024石景山一模,lecture,.pptx,10536645,2025-03-22T22:33:16,2024各区一模\2024石景山一模\其他材料\2024年石景山一模.pptx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\其他材料\2024年石景山一模.pptx,127c61eb03f4,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\127c61eb03f4_2024年石景山一模.txt,python-pptx,ok,usable_text,11907,8253,
2024各区模拟题,2024,石景山,一模,2024石景山一模,answer,.docx,353125,2025-03-22T22:33:16,2024各区一模\2024石景山一模\试卷\2024北京石景山高三一模政治（教师版带答案）.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\试卷\2024北京石景山高三一模政治（教师版带答案）.docx,24614d5d58d4,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\24614d5d58d4_2024北京石景山高三一模政治（教师版带答案）.txt,python-docx,ok,usable_text,9073,6574,
2024各区模拟题,2024,西城,一模,2024西城一模,answer,.docx,42156,2025-03-22T22:33:13,2024各区一模\2024西城一模\其他材料\2024.4高三统一测试思想政治答案.docx,C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\其他材料\2024.4高三统一测试思想政治答案.docx,2663110b5775,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\11_strict_final_rebuild_2026-05-23\01_extracted_text\2663110b5775_2024.4高三统一测试思想政治答案.txt,python-docx,ok,usable_text,1686,1223,
