source_type,suite,question,normalized_key,current_status,matched_terms,reason,next_action,paper_evidence,scoring_evidence
coverage_diff,2024东城一模,Q19,2024东城一模Q19,answer_only_needs_rubric,,当前仅定位普通答案,继续寻找细则，未定位前不入主表,"看 法 。(6 分 ) 高 三 思想 政治 第 8 页 ( 共 10 页 ) --- page 9 OCR --- 19. (6 分 ) 案件 1 2018 年 , 郭 藉 为 李 茉 制作 电表 箱 , 李 天 HBR HR 2019 年 2 月 1 日 前 还 诉 认 时 效 是 指 权利 主体 ， 清 。 期 间 , 郭 某 从 未 众 要 钱 款 。2024 年 3 AIR 在 法 定期 间 内 不 行 全 权利， PRT RR FREER. 部 某 无 大 将 李 义务 人 便 章 有 抗辩 权 ( 权 利 某 告 上 法 庭 ,最 终 因 李 菜 主 张 诉讼 时 效 局 满 而 人 行使 其 请 求 权时 ,义务 人",
coverage_diff,2024东城二模,Q16,2024东城二模Q16,answer_only_needs_rubric,,当前仅定位普通答案,继续寻找细则，未定位前不入主表,"--- page 6 OCR --- 第 二 部 分 “ 非 选 择 题 本 部 分 共 6 题 , 共 55 分 。 16. (7 分 ) Kk Uh iy RT EH BI BA 24 2500 年 a 的 春秋 战国 时 期 。 其 时 , 古 太 湖 流域 民众 因 地 CE ae ewes HE AIM ELEED OF RRO i a 19 AY RS IR mb RAS REAR T APR to HR da yx a Lees i Le ce es ~ aa 塘 生 态 农业 景观 ,并 形成 了 丰富 多 彩 的 委 桑 文化 。 LARRY RAR GRATE LARS AA ARLES LUE MRP BAAS",
coverage_diff,2024丰台一模,Q17,2024丰台一模Q17,answer_only_needs_rubric,,当前仅定位普通答案,继续寻找细则，未定位前不入主表,设注入强劲动力。 结合材料，运用《政治与法治》知识，谈谈新时代“四下基层”如何为社会主义现代化建设注入强劲动 力。 17.(8 分) --- page 5 --- 第5页/共9页 《中华人民共和国民法典》 第一千二百一十七条 非营运机动车发生交通事故造 成无偿搭乘人损害，属于该机动车一方责任的，应当 减轻其赔偿责任，但是机动车使用人有故意或重大过 失的除外。 资料卡 好意同乘：指驾驶人基于善意互助或友情帮助，无偿 搭载他人或允许大人无偿搭乘的情谊行为。 甲某搭乙某的车出行，上车后未听乙某提醒系好安全带。乙某在驾驶过程中因雨天 路滑，撞到灯杆，造 成甲某受伤住院。为此，乙某主动垫付了部分医疗费用。甲某认为， 本次,
coverage_diff,2024丰台一模,Q18,2024丰台一模Q18,candidate_review,产业链,有细则且命中选必一相关词，但当前主表未见该题源,人工+模型判断是否补录,减轻 乙某赔偿责任。 结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。 18.(16 分)以新质生产力推动高质量发展。 材料一 生产力是人类改造自然、征服自然的能力，是推动人类文明不断向前发展的决定力量和动力源 泉。回顾整个人类社会历史进程，其实就是社会生产力从低级到高级、从落后到先进的不断发展的过程。 2024 年1 月，习近平总书记在主持中央政治局第十一次集体学习时强调“发展新质 生产力是推动高质量 发展的内在要求和重要着力点”。新质生产力是创新起主导作用。 摆脱传统经济增长方式、生产力发展 路径，具有高科技、高效能、高质量特征，符合新发展 理念的先进生产力质态。它由技术革命性突破、,知识正确但分析不到位4分。 水平4（6—7分）：三个及以上角度作答，知识正确且分析合理7分，知识正确但分析不到位6分。 18（2）运用《经济与社会》知识，说明上述举措为发展新质生产力赋能的经济逻辑。 参考答案： （2）（9分）畅通教育、科技、人才的良性循环，有利于营造创新环境，释放人才创新活力；加强科技创新，有利于形成新业态、新产业，推动产业链条的升级发展，为发展新质生产力提供要素支撑。 加快建设全国统一大市场，处理好市场和政府的关系，既能发挥市场优势，释放市场潜力，又能破除壁垒，促进生产要素公平参与竞争，推动各产业有序链接、高效畅通，促进创新要素有序流动和合理配置，为推动新质生产力发展营造良好市场环境。 发展新质生产力，在遵循改革发展规律的
coverage_diff,2024丰台一模,Q21,2024丰台一模Q21,answer_only_needs_rubric,当代国际政治与经济；国际政治与经济；中国力量；供应链,当前仅定位普通答案,继续寻找细则，未定位前不入主表,了中国力量。 结合材料，运用《当代国际政治与经济》知识，说明我国的实践是如何推动供应链成为国际合作“共赢 链”的。 21.(8 分)和平、发展、公平、正义、民主、自由，是我们弘扬的全人类共同价值，彰显了中国共产党和中 国人民对人类前途命运高度负责的历史态度，具有深刻而丰富的思想理论内涵。 《尚书·尧典》有道：“克明俊德，以亲九族。九族既睦，平章百姓。百姓昭明，协和万邦。” 马克思、恩格斯曾深刻指出：“各民族的原始封闭状态由于日益完善的生产方式、交往以及因交往而自然 形成的不同民族之间的分工消灭得越是彻底，历史也就越是成为世界历史” “和平与发展是我们的共同事业，公平正义是我们的共同理想，民主自由是我们的共同追求。”这3 个 “共,
coverage_diff,2024丰台二模,Q18,2024丰台二模Q18,candidate_review,产业链,有细则且命中选必一相关词，但当前主表未见该题源,人工+模型判断是否补录,保护 生态 环境 的 作用 。 高 三 政治 第 5 页 ( 共 8 页 ) --- page 6 OCR --- 18. (19 分 )“ 冷 资源 ”生成 “ 热 经 济 ”， 推 动 冰雪 经 济 高 质量 发 展 。 火热 的 冰雪 经 济 激 发 了 同学 们 探究 的 热情 ， 同 学 们 查阅 资料 如 下 : 作为 推动 冰雪 经 济 发 展 ， 我 国 陆 续 出 台 《 冰 雪 运 动 发 展 规划 (2016 一 2025 年 )》 《关于 释放 旅游 消费 潜力 推动 旅游 业 高 质量 发 展 的 若干 措施 》 等 相关 政策 。 他“ 依据 相关 报告 显示 ，2022 -2023 冰雪 季 我 国,者包含综合分析、质量互变的辩证思维；具体问题具体分析、尊重客观规律、一切从实际出发等有道理都可以，（分析+论述=2分） 18(3).经过探究，同学们从《经济与社会》角度，对如何利用“冷资源”撬动“热经济”形成以下共识:_____________________。(8分) 参考答案： 利用“冷资源撬动“热经济”要坚持有效市场与有为政府相结合。充分发挥市场在资源配置中的决定性作用，以需求牵引供给，拉动冰雪产业发展，满足不同群体的消费需求；企业要面向市场，坚持创新发展，加大冰雪产业技术研发投入，提高竞争力。政府结合各地不同的自然禀赋，积极履行经济职能，制定冰雪产业发展规划，推动冰雪产业发展。此外，还要不断完善相关行业标准，构建完整的产业链，健全冰雪
coverage_diff,2024朝阳一模,Q17,2024朝阳一模Q17,answer_only_needs_rubric,,当前仅定位普通答案,继续寻找细则，未定位前不入主表,二部分（非选择题 共55分） 16.（7分） 可从中国特色政治制度、全面从严治党等角度，全面、辩证地阐释两者的关系。 17.（7分） 可以从市场调节和宏观调控的角度，也可以从国家、企业、社会、个人等不同主体的角度提出建议。 18.（16分） （1）8分 一是有关部门积极开展条例的宣传解读，增进理解，营造“知法尊法”良好氛围。 二是政府依照条例积极履职，完善科技创新中心建设政策，提供优良的科技创新公共服务。 三是企业、个人等创新主体，充分利用条例对科技创新的保障性规定，积极开展自主创新。 四是市人大及常委会加强条例实施监督、反馈，市政协关注条例的实施，加强沟通、协商等。 五是司法机关应加强对条例的司法适用，努力为建设国际科创中心营造公平正,
coverage_diff,2024朝阳一模,Q19,2024朝阳一模Q19,answer_only_needs_rubric,,当前仅定位普通答案,继续寻找细则，未定位前不入主表,"持“两点论”和“重点论”的统一，培养壮大科普人才队伍，改变“重科研、轻科普”的现状，营造热爱科学、崇尚创新的社会氛围。 19.（7分） 社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 诚信原则要求经营者依法、诚信经营，保护消费者的合法权益。这不仅有利于平衡经营者与消费者之间的关系，而且有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。 20.（9分） （1）（5分） 以上推理属于充分",
coverage_diff,2024朝阳一模,Q20,2024朝阳一模Q20,candidate_review,新型国际关系,有细则且命中选必一相关词，但当前主表未见该题源,人工+模型判断是否补录,费者的合法权益。这不仅有利于平衡经营者与消费者之间的关系，而且有助于守法诚信的经营者扩大市场，并最终增进社会整体福祉。 20.（9分） （1）（5分） 以上推理属于充分条件假言推理。 充分条件假言判断，前件真，后件一定真，后件假，前件一定假。 考古发掘中已发掘出地底下有大量炭化竹节，故后件假，则前件假，即该区域当时广泛生长着竹子，以上推理成立。 （2）（4分） ①只有A区域古代气候较为温暖，A区域古代才能广泛生长着竹子， ②古代A区域广泛生长着竹子， 21.（9分） 在概括我国经济形势的基础上，可从总体国家安全观、推动构建新型国际关系、构建新发展格局、推进高水平对外开放等角度作答。 [TBL] 题号 | 1 | 2 | 3 | 4 | 5,稳定） （写出以上任意1点给1分，总分不超过2分） --- slide 44 --- --- slide 45 --- 20（1）参考答案： 以上推理属于充分条件假言推理。 充分条件假言判断，前件真，后件一定真，后件假，前件一定假。 考古发掘中已发掘出地底下有大量炭化竹节，故后件假，则前件假，即该区域当时广泛生长着竹子，以上推理成立。 细则： 推理类型： 充分条件假言推理（1分），没有替代，其他表述都不给分。 理由：充分条件假言判断，前件真，后件一定真，后件假，前件一定假。（2分） 替代：肯定前件，就能肯定后件/肯定前件式/前真后必真 考古发掘中已发掘出地底下有大量炭化竹节，故后件假，则前件假，即该区域当时广泛生长着竹子，以上推理成立。（2分
coverage_diff,2024朝阳二模,Q16,2024朝阳二模Q16,answer_only_needs_rubric,,当前仅定位普通答案,继续寻找细则，未定位前不入主表,"财产净收入 转移净收入 绝对量(单位:元) 22053 6542 3362 7261 占可支配收入的比重 56. 2% 16. 7% 8. 6% 18. 5% 比上年增长 7. 1% 6. 0% 4. 2% 5. 4% 下列说法正确的是 ①提高经营净收入和财产净收入占比有助于缩小居民收入差距 ②转移净收入快速增长说明我国已建立起完善的社会保障制度 ③我国的个人收入分配制度是居民收入来源多样化的制度保障 ④推动农村土地经营权有序流转有助于优化农村居民收入结构 A. ①② B. ①④ C. ②③ D. ③④ 6. “商业航天”是指以市场为主导、具有商业盈利模式的航天活动。2023 年7 月,我国民 营商业航天企业自主研制的全球首枚液氧甲烷火箭",
coverage_diff,2024海淀一模,Q19,2024海淀一模Q19,answer_only_needs_rubric,,当前仅定位普通答案,继续寻找细则，未定位前不入主表,施。 （2）指出材料中得出“不想用”这一结论的过程运用了什么推理方法，并说明如何提高这种 推理的可靠性。（4 分） 19．（8 分）首例涉“虚拟数字人”侵权案宣判。 甲公司系一家以计算机图形学和AI 技术为核心的科 技公司，Ada 系甲公司在发展其产品业务过程中打造的超 写实虚拟数字人。甲公司自称于2018 年12 月创作完成了 虚拟数字人Ada 的正面形象，为进一步宣传和推广旗下虚 拟数字人，又制作完成了虚拟数字人的两段相关视频，并 于2019 年10 月、11 月通过某平台发布。其中一段用以介 绍虚拟数字人Ada 的场景应用，另一段记录真人演员与虚 拟数字人Ada 的动作捕捉画面，对虚拟数字人Ada 进行商业化使用。 2022 年,
coverage_diff,2024海淀期中,Q16,2024海淀期中Q16,candidate_review,供应链,有细则且命中选必一相关词，但当前主表未见该题源,人工+模型判断是否补录,,二 + 选必一 分值角度：必修二4分 + 选必一2分 主体角度：企业4分 + 政府2分 题型角度：路径 + 结果 16（2） 主体 --- page 14 --- 1.差异： (理论) 战略、品牌 (材料) 调研、开发新产品 2.成本： 企业：科技、创新、科学管理，稳定供应链或完善基础设施 — 降成本； 2分 或政府：经济职能或税收优惠政策，稳定供应链或完善基础设施 — 助力企业降成本 3.贸易摩擦：企业和政府可利用国际组织赋予的权利，积极参与全球经济治理和规则制定， 为企业“出海”营造良好的国际环境2分 满足需求，形成竞争优势 2分 --- page 15 --- 学生存在的问题
