question_id,year,district,exam_stage,question_no,problem_type,current_problem,proposed_repaired_ask_text,repair_decision,evidence_level,reason,allowed_in_student_core,next_action,current_source_snippet
CC0019_2024_朝阳_一模_19,2024,朝阳,一模,19,ask_text_missing,当前题卡更像材料/答案混杂，真实设问未锁定,,source_confirm_required,formal,虽有诚信原则/民法典信号，但缺真实设问，不能直接进入学生核心逐题示范,no,回源定位试卷页与答案/细则页，确认是不是法律主观题及问法,"19.（7分） 社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 诚信原则要求经营者依法、诚信经营，保护消费"
CC0077_2025_东城_一模_19,2025,东城,一模,19,ask_text_missing,材料内已有表格型任务提示，可从题面恢复设问,阅读材料，完成下表。,repair_now,formal,题面出现三个案例与表格任务，设问功能稳定；需补入 ask_text 后再逐格拆分,conditional,将设问写入修补表；后续按表格列名回源补齐空格,19.(8 分) 法治以“固根本、稳预期、利长远”的治理效能，夯实人民群众可感可及的公平正义。以下三个案例生 动展现了法治的实践与成效。 案件一 张某与某公司签订《家庭装修合同》，因公司未按工期完工，张某诉至法院，要求赔偿损失并 支付违约金。在诉讼程序启动后，法官了解双方需求、耐心释法析理，最终该公司主动赔偿工期延误损失， 既解“法结”又解“心结”。 案件二
CC0084_2025_东城_二模_19,2025,东城,二模,19,ask_text_missing,材料内已有表格型任务提示，可从题面恢复设问,阅读材料，完成下表。,repair_now,formal,题面为案例+表格补全，学生入口是按表格列填法律判断,conditional,将设问写入修补表；检查表头/空格是否完整,19.(8 分)法律以清晰的边界和公正的尺度守护社会秩序，营造美好生活。 案件一 龙某为13 周岁的钱某在所经营的美容工作室进行了大面积文身并收取费用。钱某母亲发现后，为 避免对钱某求学及就业造成影响，要求龙某为钱某清洗文身并赔偿。因协商未果，钱某诉至法院，最终法 院判决龙某退还文身费用并赔偿精神损失。 案件二 杨某在其运营的自媒体账号发布文章，在没有事实依
CC0092_2025_东城_期末_19_1,2025,东城,期末,19,ask_text_missing,当前字段主要是评分细则/思路，缺原题设问与材料,,source_confirm_required,formal,充电桩方案可能是法律/治理混合题，缺题面前不能进入核心归纳,no,回源找原试题第19题第1问材料和设问,19（1）评分细则（两种思路都可以得分，如果在同样的思路中，要求涉及具体问题不同， 1个问题1分） • 思路1.充电桩方案的具体内容是否符合/违反规定（依法依规） • 如： • 设置充电柜是否违反消防规定； • 改变公有部分用途的法律程序问题； • 涉及民法典对公共区域功能改变的规定； • 思路2.充电桩方案的具体内容涉及哪些权利？ • 如： • 公共区域设
CC0131_2025_房山_一模_19,2025,房山,一模,19,ask_text_missing,当前字段像答案/解析，原题材料与设问未锁定,,source_confirm_required,formal,知识产权/不正当竞争信号强，但设问可能是意义类，需原题确认防止答案倒推,conditional,回源确认材料、设问和评分细则对应关系,19. 【答案】 ①激励创新积极性。通过高额赔偿和惩罚性赔偿，保障创新者的合法权益，使其获得合理回报，激发社会 创新动力。 ②维护市场公平竞争。严惩以不正当手段获取技术秘密的行为，保障市场规则的公平性，促进健康有序的 竞争环境。 ③彰显法治权威。严格执法和公正司法强化了法律对侵权行为的威慑力，提升公众对法治的信任，推动法 治社会建设。 （原卷无答案，本答案仅
CC0157_2025_朝阳_期末_20,2025,朝阳,期末,20,ask_text_missing,材料内已有完整表格任务提示,了解案件，分析事实，印证法理，参考示例，完成下表。,repair_now,formal,题面直接给出任务句，属于程序/举证/裁判理由表格型,conditional,修 ask_text；继续拆列名、示例、空格对应的得分点,20. （10 分）人民法院审理案件，必须坚持以事实为根据、以法律为准绳，做到公正司法。 了解案件，分析事实，印证法理，参考示例，完成下表。 案件事实 拟写裁判要点 案件一  甲公司在 2016 年与乙公司终 止合作后，继续在甲公司运营的相关地图软 件、应用和第三方服务中使用乙公司数据。 乙公司以甲公司侵犯署名权、修改权、复制 权、信息网络传播权等理由向人民
CC0180_2025_海淀_期末_20,2025,海淀,期末,20,ask_text_missing,当前字段像答案/解释，缺原题材料与问法,,source_confirm_required,formal,产品责任/无过错责任信号明确，但缺题面，不能只用答案生成学生示范,no,回源确认原题是否为主观题以及具体设问,20．（6分） ①生产者产品责任是无过错侵权责任，行为人只要损害了他人的民事权益，不论其有无过错，均应当承担侵权责任。《解释》从保护消费者角度作出解释，明确缺陷产品造成的产品自身损害属于产品责任赔偿范围，切实维护消费者合法权益。 ②禁止饲养的烈性犬等危险动物造成他人损害的，动物饲养人或者管理人应承担无过错侵权责任，没有任何免责事由和减责事由。《解释》阐明民法
CC0189_2025_石景山_一模_20,2025,石景山,一模,20,ask_text_missing,材料内已有表格型任务提示,阅读材料，参考示例，完成下表。,repair_now,formal,题面明确案例+示例+表格，适合纳入表格门,conditional,修 ask_text；回源补全表格列和每格空白,20. (8 分) 新质生产力鼓励新业态拓展创新。人民法院能动履职、保护创新，为发展新质生产力提供重要保障。下列 是石景山法院以司法护航新质生产力发展的两个案例。 案例一 集成电路产业是信息产业的核心，为新质生产力发展提供重要支撑。原告科技公司与被告电路公司就某集 成电路技术研发项目签订委托合同，约定由被告按相关技术标准在规定时间内完成产品研发交付，原告分 
CC0195_2025_西城_一模_20,2025,西城,一模,20,ask_text_missing,当前字段像答案段，缺真实设问,,source_confirm_required,formal,劳动集体合同信号强，但不能用答案代替设问,conditional,回源找第20题材料、设问、细则，确认劳动关系/集体协商入口,20．（8分）劳动法的首要原则是保护劳动者权益，工会搭建协商平台，劳动者以集体力量与用人单位签订 集体合同，可以确保双方协商一致，更加公平、平等自愿。更好地保护劳动者合法权益，促进广大劳 动者特别是低薪劳动者群体实现体面劳动，实现社会公平。促进企业依法规范用工，构建和谐劳动关 系，激发劳动者积极性，推动生产效率的提高，培育良好商誉，实现社会公平与经济效率的平
CC0213_2025_门头沟_一模_20,2025,门头沟,一模,20,ask_text_missing,材料内有任务句但题卡/答案可能存在错配风险,请结合以下案例，参照所给示例完成下表。,source_confirm_required,formal,虽然能看出表格设问，但之前检索提示该题答案/细则块可能错位，需回源核对,conditional,回源确认案例、表头、示例和 rubric 是否同一题,20. “以事实为根据，以法律为准绳”是我国司法活动的基本原则，核心是通过客观事实认真严格依 照法律规定作出裁判，确保司法公正性与权威性。请结合以下案例，参照所给出完成下表。 案件事实 裁判要点 案例一  A 享有“我不是胖虎”系列美 术作品的复制权、改编权、信息网络传播权 等著作财产性权利。B 公司、C 公司未经许 可，在其经营的微博账号中发布了与A 公司
