question_id,suite_id,source_id,stable_locator,original_qno,question_type,phase03_section_scope,phase03_knowledge_node,phase03_reasoning_node,phase03_blocked_status,phase03_final_classification,phase12_category,phase12_action,phase12_blocker_reason,body77_status,body77_decision,phase05_status,current_exhaustive_conclusion,evidence_level,decision_basis,decision_reason,duplicate_or_reference,excerpt
Q-2024朝阳二模-5,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q5,5,选择题,待判,,,pending_pairing,pending,answer_missing,blocked_keep_out,scope pending or boundary row,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2024朝阳二模-5; canonical_conclusion=blocked,yes,5. 4% 下列说法正确的是 1提高经营净收入和财产净收入占比有助于缩小居民收入差距 2转移净收入快速增长说明我国已建立起完善的社会保障制度 3我国的个人收入分配制度是居民收入来源多样化的制度保障 4推动农村土地经营权有序流转有助于优化农村居民收入结构 A. 12 B. 14 C. 23 D. 34
Q-2025东城期末-1,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q1,1,选择题,待判,创新思维;辩证思维,,pending_pairing,pending,out_of_scope,excluded_keep_out,scope_out_other_book,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-1; canonical_conclusion=excluded,yes,"1.十一届三中全会,把党和国家的工作重点转移到现代化建设上来;十四届三中全会,决定建立社会主 义市场经济体制;二十届三中全会,决定进一步全面深化改革、推进中国式现代化......1978年以来的历 届三中全会都与“改革开放”紧密相连,由此可见,改革开放是( ) A.中华民族有史以来最为广泛而深刻的社会变革 B.中国特色社会主义全部理论和实践的主题 C.生产关系适应生产力、经济基础适应上层建筑的要求 D.坚持和发展中国特色社会主义的必由之路"
Q-2025东城期末-2,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q2,2,选择题,待判,创新思维;前提;动态性;整体性;概念;科学思维;辩证否定;辩证思维,逻辑三律与概念规则,pending_pairing,pending,out_of_scope,excluded_keep_out,scope_out_other_book,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-2; canonical_conclusion=excluded,yes,"2.邓小平同志是改革开放的总设计师,以他为主创立的邓小平理论,深刻回答了什么是社会主义、怎样 建设社会主义这一根本问题,深刻揭示了社会主义本质。邓小平理论( ) 1明确了以中国式现代化实现中华民族伟大复兴 2是当代中国马克思主义,是二十一世纪马克思主义 3是中国特色社会主义理论体系的奠基之作 4明确提出走自己的路、建设中国特色社会主义 A.12 B.13 C.24 D.34"
Q-2025东城期末-7,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q7,7,选择题,待判,推理,假言推理;归纳推理与因果探求,pending_pairing,pending,out_of_scope,excluded_keep_out,scope_out_other_book,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-7; canonical_conclusion=excluded,yes,"7.2024 年,我国实施促进经济增长的一揽子政策措施,力求筑牢工业“压舱石”,激活消费增长“强引 擎”,驱动投资“马车”蹄疾步稳,推动经济实现质的有效提升和量的合理增长。下列传导路径正确的 是( ) 1深化体制机制改革→优化营商环境→激发市场主体活力 2加大对居民消费补贴→降低商品价格→扩大社会总需求 3降低存款准备金率→加强基建财政支持→鼓励生产要素投入 4鼓励芯片技术研发→培育新动能产业→推动产业转型升级 A.13 B.14 C.23 D.24"
Q-2025东城期末-8,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q8,8,选择题,待判,必要条件,假言推理;归纳推理与因果探求,pending_pairing,pending,out_of_scope,excluded_keep_out,scope_out_other_book,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-8; canonical_conclusion=excluded,yes,"8.战略性投资,是特定外国投资者直接取得并中长期持有一家上市公司股份的行为。为落实二十届三中 全会,深化外商投资促进体制机制改革,保障外资企业在要素获取、资质许可等方面的国民待遇要求, 2024 年11 月,商务部等六部门修订发布《外国投资者对上市公司战略投资管理办法》,从五方面降低了 投资门槛。此举( ) A.健全了资本市场功能,提高间接融资比重 B.拓宽外资投资渠道,营造公平的投资环境 C.促进对外投资提升质量,优化投资结构 ===== PAGE 3 ===== 第3页/共20页 D.通过“两只手”有机结合,降低投资风险"
Q-2025东城期末-9,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q9,9,选择题,待判,前提,其他复合推理,pending_pairing,pending,out_of_scope,excluded_keep_out,scope_out_other_book,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-9; canonical_conclusion=excluded,yes,"9.2024 年10 月,金砖国家领导人第十六次会晤在俄罗斯喀山顺利举行。会上,金砖十国领导人就加强多 边主义、推动全球和地区稳定与安全、加强经济金融合作等多项议题达成重要共识,彰显了扩员后的 “大金砖国家”作为新兴市场和“全球南方”国家代表的责任与信心。金砖合作机制的生命力和感召力 越来越强,这( ) A.反映出发展中国家谋和平发展、促合作共赢的强烈愿望 B.说明金砖国家逐渐成为世界最具代表性的国际组织 C.源于更多发展中国家的核心利益是相同的 D.使竞争与合作代替冲突成为国际关系的基本形式"
Q-2025东城期末-21,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q21,21,主观题,待判,判断,其他复合推理,pending_pairing,pending,out_of_scope,excluded_keep_out,scope_out=综合所学非选必三task(党+人民+法治为主),,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-21; canonical_conclusion=excluded,yes,"21.(10 分)中国式现代化,民生为大。 材料一:民生无小事枝叶总关情 ===== PAGE 7 ===== 第7页/共20页 材料二:发展向前 民生向暖 发展为民生 2023 年,全国居民人均可支配收入已达39218 元, 比上年实际增长6.1%。 截至2023 年底,全国基本医疗保险参保约13.34 亿 人,覆盖率达95%以上。 2023 年,我国高等教育毛入学率超过60%,规模位 居世界第一。 截至2023 年底,全国共有体育场地459.3 万个,面 积达40.7 亿平方米。 ...... 治理重民生 全国人大加强民生领域立法,居民意见通过基层立 法联系点搭上国家立法“直通车”。 最高检围绕就业、食品药品安全等社会热点,办好 民生“小案件”,守好为民“大情怀”。 政府推进文化惠民工程,公共图书馆、博物馆等向 社会免费开放。 ...... 中国"
Q-2025东城期末-1,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q1,1,选择题,待判,创新思维;辩证思维,,pending_pairing,pending,out_of_scope,excluded_keep_out,scope_out_other_book,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-1; canonical_conclusion=excluded,yes,"1.【分析】本题考查:改革开放的意义 1改革开放极大改变了中国的面貌、中华民族的面貌、中国人民的面貌、中国共产党的面貌。中华民族 迎来了从站起来、富起来到强起来的伟大飞跃,中国特色社会主义迎来了从创立、发展到完善的伟大飞 跃,中国人民迎来了从温饱不足到小康富裕的伟大飞跃。中华民族正以崭新姿态屹立于世界的东方。 2实践充分证明,改革开放是党和人民大踏步赶上时代的重要法宝,是坚持和发展中国特色社会主义的 必由之路,是决定当代中国命运的关键一招,也是决定实现“两个一百年”奋斗目标、实现中华民族伟 大复兴的关键一招。 【解答】A 错误,1956 年生产资料私有制的社会主义改造基本完成、确立社会主义制度,是中华民族有 史以来最为广泛而深刻的社会变革; B 错误,改革开放以来的全部理论和实践的主题是中国特色社会主义; C 错误,上层建筑适应经济基础; D 符合题"
Q-2025东城期末-2,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q2,2,选择题,待判,创新思维;前提;动态性;整体性;概念;科学思维;辩证否定;辩证思维,逻辑三律与概念规则,pending_pairing,pending,out_of_scope,excluded_keep_out,scope_out_other_book,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-2; canonical_conclusion=excluded,yes,"2.【分析】本题考查:中国特色社会主义理论体系 中国特色社会主义理论体系,就是包括邓小平理论、‘三个代表’重要思想以及科学发展观等重大战略 思想在内的科学理论体系。”这一理论体系,凝结了几代中国共产党人带领人民不懈探索实践的智慧和 心血。这个理论体系,创 造性地提出了一系列新的重大理论观点和战略思想,从而实现了马克思主义 中国化的第二次历史性飞跃。 1邓小平理论核心内容是党在社会主义初级阶段的基本路线,精髓是解放思想、实事求是,主题是回答 了什么是社会主义、怎样建设社会主义的问题。 2“三个代表”重要思想:中国共产党必须始终代表中国先进生产力的发展要求,代表中国先进文化的 前进方向,代表中国最广大人民的根本利益。本质是立党为公、执政为民,回答了建设什么样的党、怎 样建设党的问题。 3科学发展观第一要义是推动经济社会发展,核心是以人为本,基本要求是全面"
Q-2025东城期末-3,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q3,3,选择题,待判,,,pending_pairing,pending,answer_missing,blocked_keep_out,scope pending or boundary row,,,,同类索引,missing_or_blocked,phase03_duplicate_or_reference_row,重复/参考源行，不作为独立题计入正文；canonical_question_id=Q-2025东城期末-3; canonical_conclusion=blocked,yes,"3.【分析】本题考查:文化的功能 (1)实质:文化是一种精神力量。 (2)社会作用:能够在人们认识世界、改造世界的过程中转化为物质力量,对社会发展产生深刻的影 响。 【解答】A 错误,材料强调的是文化对人的影响,没有涉及经济效益;B 正确,材料中这些熟悉的名字 和他们的故事,就像一粒粒种子播撒进孩子们的心田,说明这些优秀人物的事迹能生发报效祖国的斗志, 转化为推动社会发展的物质力量; C 错误,这些优秀人物的事迹能影响社会前进的方向,但不能决定社会前进的方向;D 错误,材料强调 的是文化对人的影响,没有涉及文化的相对独立性。 故选:B。 【点评】本题难度适中,旨在考查学生对教材知识点的掌握和对材料的分析理解能力,对于此类型题目, 学生需要首先明确题干的中心思想,将题干主旨与教材的知识点相结合,围绕题干主旨进行选择即可。"
