question_id,suite_id,stable_locator,原始题号,题型,部分归属,知识节点,题型节点,是否有答案,是否有评分细则,是否有讲评,blocked_status,source_final_classification,codex_preliminary_action,codex_reason,excerpt
Q-2024朝阳一模-1,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q1,1,选择题,待判,判断;概念,逻辑三律与概念规则,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,needs_module_judgment,control_base_audit_only,1􀆰在5000多年中华文明深厚基础上开辟和发展中国特色社会主义ꎬ“两个结合” 是必由之 路ꎮ毛泽东同志提出了“第一个结合”ꎬ这就是把马克思主义基本原理同中国具体实际相 结合ꎻ习近平总书记提出了“第二个结合”ꎬ这就是把马克思主义基本原理同中华优秀传 统文化相结合ꎮ对此ꎬ下列说法正确的是 1“两个结合”筑牢了道路根基ꎬ拓展了中国特色社会主义道路的文化根基 2“第一个结合”是一次思想解放ꎬ是新时代中国共产党人提出的新的重大命题 3“农村包围城市、武装夺取政权”的革命道路就是党坚持“第一个结合”的结果 4“第二个结合”是我们党一直明确强调的ꎬ是党的事业不断发展壮大的成功密钥 A􀆰12 B􀆰13 C􀆰24 D􀆰34
Q-2024朝阳一模-2,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q2,2,选择题,待判,,,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,needs_module_judgment,control_base_audit_only,2􀆰生成式人工智能ꎬ是一种通过学习大规模数据集生成新的原创内容的新型人工智能ꎬ是 基于算法、模型、规则生成文本、图片、声音、视频、代码等内容的技术ꎮ央视导演与科研 人员运用生成式人工智能ꎬ制作了演绎中华经典古诗词的动画节目«千秋诗颂»ꎮ运用生 成式人工智能制作这样的动画节目ꎬ制作效率比运用传统动画制作技术提升三倍ꎮ生成 式人工智能 A􀆰能推进科学家和艺术家的跨界合作ꎬ消除技术与艺术的界限 B􀆰通过实现生产方式的彻底变革ꎬ赋能中华优秀传统文化传播 C􀆰具有巨大的发展潜力和价值ꎬ彰显出新质生产力的独特优势 D􀆰使动画制作技艺达到了发展顶峰ꎬ引领媒体行业的迭代升级
Q-2024朝阳一模-3,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q3,3,选择题,待判,,,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,needs_module_judgment,control_base_audit_only,3􀆰“太行山上的新愚公” 李保国35年如一日扎根太行山ꎬ以创新成果助力广大农民致富ꎻ “糖丸爷爷”顾方舟一生致力研究脊髓灰质炎防控ꎬ守护几代国人健康成长ꎻ植物学家钟 扬长期致力于生物多样性研究和保护ꎬ16年跋涉于青藏高原ꎬ为培养西部少数民族地区 的植物学人才作出了重要贡献􀆺􀆺这启示我们 1应积极投身于为人民服务的实践ꎬ努力实现人生价值 2只有全面提升自身价值ꎬ才能把握住难得的人生机遇 3拥有对社会的独特的贡献方式ꎬ才能正确处理好个人与社会的关系 4只有为国家、社会、民族和集体奋斗的人生ꎬ才是真正有意义的人生 A􀆰13 B􀆰14 C􀆰23 D􀆰24 ===== PAGE 2 ===== 高三思想政治 第2 页(共8页)
Q-2024朝阳一模-4,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q4,4,选择题,待判,归纳;辩证思维,归纳推理与因果探求,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,needs_module_judgment,control_base_audit_only,4􀆰改良利用好适宜种植粮食的5亿亩盐碱地ꎬ对维护国家粮食安全、端牢中国饭碗具有重要 战略保障意义ꎮ为克服“洗土法”需要消耗大量水资源的弊端ꎬ某科研团队在盐碱地上种 植盐角草等优质“吃盐”植物ꎬ3年累计降低盐碱地85%到90%的盐分ꎬ而消耗的水资源 只有“洗土法”的15%ꎮ选育“吃盐”植物驱盐化碱 A􀆰体现出人们根据事物的属性ꎬ在草、盐、地、粮之间建立新的联系 B􀆰是遵循适度原则、创造条件促进盐碱地向粮田转变的科学方法 C􀆰做到了把严谨的科学态度和改良客观规律相结合ꎬ从而改造了自然 D􀆰表明正确的自然观在改造自然的生产实践中发挥了决定性作用
Q-2024朝阳一模-5,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q5,5,选择题,待判,,,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,needs_module_judgment,control_base_audit_only,5􀆰在京津冀协同发展战略实施十周年来临之际ꎬ北京城市副中心三大文化建筑———北京艺 术中心、北京城市图书馆、北京大运河博物馆ꎬ于2023年12月27日起对公众开放ꎮ 北京艺术中心标志 北京城市图书馆标志 北京大运河博物馆标志 三大文化建筑的开放 1是传承北京历史文脉、落实首都战略定位的重要举措和生动实践 2融通了各种资源ꎬ旨在实现城市现代文明与悠久运河文化的碰撞 3有利于让文化发展成果更好地惠及人民ꎬ满足大众精神文化需求 4打造了全面展示中华传统文化、服务京津冀协同发展的文化阵地 A􀆰13 B􀆰14 C􀆰23 D􀆰24
Q-2024朝阳一模-6,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q6,6,选择题,待判,排中律;概念;矛盾律,逻辑三律与概念规则,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,needs_module_judgment,control_base_audit_only,6􀆰要想准确鲜明地表达思想ꎬ思维必须合乎逻辑ꎮ下列表达中ꎬ符合逻辑规则的是 A􀆰财产权可分为物权、债权、知识产权、著作权、商标权 B􀆰我不赞成所有人都有崇高的理想ꎬ也不赞成所有人都没有崇高的理想 C􀆰所有的科技人员都是懂计算机的ꎬ并且有些不懂计算机的是科技人员 D􀆰我无法一天读完老舍的作品ꎬ«茶馆»是老舍的作品ꎬ因此我无法一天读完«茶馆»
Q-2024朝阳一模-7,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q7,7,选择题,思维,创新思维;发散思维;想象;聚合思维;超前思维;迁移,,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,needs_evidence_pairing_then_body_or_choice,control_base_audit_only,7􀆰抢占科技制高点ꎬ必须坚持原始创新、集成创新、开放创新一体设计ꎬ实现有效贯通ꎮ 下列说法正确的是 1原始创新中的创新思维ꎬ深深地依赖迁移、想象、逆向等逻辑思维活动 2集成创新中的创新思维ꎬ具有跨越性ꎬ但不排斥有步骤的逻辑推导与分析 3开放创新中的合作创新ꎬ离不开对前人和他人已有成果的继承与借鉴 4有效贯通发散思维、聚合思维、超前思维方法ꎬ就能确保抢占科技制高点 A􀆰13 B􀆰14 C􀆰23 D􀆰24 ===== PAGE 3 ===== 高三思想政治 第3 页(共8页)
Q-2024朝阳一模-8,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q8,8,选择题,待判,,,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,needs_module_judgment,control_base_audit_only,8􀆰随着数字技术的迅猛发展ꎬ网络预约、线上购票已深入人们生活的方方面面ꎮ但看似智 能简便的流程ꎬ却是部分人群的“数字鸿沟”ꎮ近日ꎬ文化和旅游部有关负责人表示ꎬ将推 动旅游景区保留人工窗口ꎮ保留人工窗口的做法 1是建设保障权利、和谐有序的社会主义法治社会的题中之义 2是通过在服务便利化上做减法ꎬ让数字便利关照更多人的生活 3不仅仅适用于文化和旅游领域ꎬ而且也值得其他领域借鉴 4体现了政府部门“致广大而尽精微”ꎬ践行以人民为中心的思想 A􀆰12 B􀆰13 C􀆰24 D􀆰34
Q-2024朝阳一模-9,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q9,9,选择题,思维,系统观念,,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,needs_evidence_pairing_then_body_or_choice,control_base_audit_only,9􀆰几名中学生针对许多小区存在的闲置车辆长期占用车位导致车位紧张的问题ꎬ在模拟政 协活动中提出解决该问题的提案ꎮ市政协委员关注到了这一模拟提案ꎬ指导同学们务实 调查、充实内容、完善提案ꎮ在此基础上ꎬ市政协委员向市政协会议提交了相关正式提 案ꎮ从“模拟提案”到“正式提案”的探索 1需要针对所研究的问题制定具体政策ꎬ协调多方利益 2有益于提高学生引领社会治理、参与政治生活的能力 3需要坚持系统观念ꎬ有序地完成调查研究和思考任务 4有益于增进学生对于中国特色社会主义制度的特点和优势的理解 A􀆰12 B􀆰14 C􀆰23 D􀆰34
Q-2024朝阳一模-10,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q10,10,选择题,待判,,,yes_candidate,yes_candidate,yes_candidate,pending_pairing,pending,needs_module_judgment,control_base_audit_only,10􀆰􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 【案情介绍】 刘某到某饭店就餐ꎮ就餐期间ꎬ刘某看见吧台有一个水壶ꎬ水壶样式与饭店提 供茶水的水壶完全一样ꎬ但未注意到壶上模糊的提示标志ꎮ刘某将该水壶带回饭 桌ꎬ将水壶中在外观上与普通饮用水无任何差异的透明液体倒入水杯之中并饮下一 口ꎬ喝下后很快感觉身体不适ꎬ经询问才知该水壶中的液体是燃料酒精ꎮ此后ꎬ刘某 将饭店诉至法院ꎬ法院予以登记立案ꎮ 下列对本案分析正确的是 1该饭店的过错导致刘某的健康权受到侵害ꎬ应当承担全部侵权责任 2作为完全民事行为能力人ꎬ刘某存在疏于观察的过错ꎬ故应承担相应责任 3该饭店摆放易燃物不当ꎬ未尽到合理的安全保障义务ꎬ应对其过
