question_id,suite_id,stable_locator,思维知识节点,设问类型,来源例题,是否可入学生稿,codex_needed_action
Q-2024朝阳一模-7,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q7,创新思维;发散思维;想象;聚合思维;超前思维;迁移,选择题,2024朝阳一模 7,no_pending_source_pairing,pair_source_and_extract
Q-2024朝阳一模-9,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q9,系统观念,选择题,2024朝阳一模 9,no_pending_source_pairing,pair_source_and_extract
Q-2024朝阳二模-7,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q7,判断;前提;归纳;推理;科学思维;结论,选择题,2024朝阳二模 7,no_pending_source_pairing,pair_source_and_extract
Q-2024朝阳二模-19-1,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(1),判断;动态性;推理;类比;联言;辩证思维,主观题,2024朝阳二模 19(1),no_pending_source_pairing,pair_source_and_extract
Q-2024朝阳二模-19-2,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(2),判断;动态性;推理;类比;联言;辩证思维,主观题,2024朝阳二模 19(2),no_pending_source_pairing,pair_source_and_extract
Q-2024朝阳二模-19-3,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(3),判断;动态性;推理;类比;联言;辩证思维,主观题,2024朝阳二模 19(3),no_pending_source_pairing,pair_source_and_extract
Q-2024朝阳期中-9,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q9,前提;思维具体;思维抽象;想象;推理;演绎推理;结论,选择题,2024朝阳期中 9,no_pending_source_pairing,pair_source_and_extract
Q-2024朝阳期中-19,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q19,分析与综合;创新思维;发散思维;概念;科学思维;结论;联想思维;聚合思维;超前思维;辩证思维;迁移;逆向思维,主观题,2024朝阳期中 19,no_pending_source_pairing,pair_source_and_extract
Q-2024海淀二模-17-1,S-2024海淀二模,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q17(1),客观性;思维具体;思维抽象;感性具体;整体性;科学思维,主观题,2024海淀二模 17(1),no_pending_source_pairing,pair_source_and_extract
Q-2024海淀二模-17-2,S-2024海淀二模,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q17(2),客观性;思维具体;思维抽象;感性具体;整体性;科学思维,主观题,2024海淀二模 17(2),no_pending_source_pairing,pair_source_and_extract
Q-2025东城期末-5,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q5,辩证思维,选择题,2025东城期末 5,no_pending_source_pairing,pair_source_and_extract
Q-2025东城期末-18-1,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q18(1),创新思维;发散思维;大项;联想思维;聚合思维;超前思维;迁移,主观题,2025东城期末 18(1),no_pending_source_pairing,pair_source_and_extract
Q-2025东城期末-18-2,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q18(2),创新思维;发散思维;大项;联想思维;聚合思维;超前思维;迁移,主观题,2025东城期末 18(2),no_pending_source_pairing,pair_source_and_extract
Q-2025东城期末-5,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q5,辩证思维,选择题,2025东城期末 5,no_pending_source_pairing,pair_source_and_extract
Q-2025东城期末-1,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q1,创新思维;辩证思维,选择题,2025东城期末 1,no_pending_source_pairing,pair_source_and_extract
Q-2025东城期末-2,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q2,创新思维;前提;动态性;整体性;概念;科学思维;辩证否定;辩证思维,选择题,2025东城期末 2,no_pending_source_pairing,pair_source_and_extract
Q-2025东城期末-16,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q16,发散思维,主观题,2025东城期末 16,no_pending_source_pairing,pair_source_and_extract
Q-2025东城期末-18-1,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q18(1),创新思维;发散思维;大项;联想思维;聚合思维;超前思维;迁移,主观题,2025东城期末 18(1),no_pending_source_pairing,pair_source_and_extract
Q-2025东城期末-18-2,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q18(2),创新思维;发散思维;大项;联想思维;聚合思维;超前思维;迁移,主观题,2025东城期末 18(2),no_pending_source_pairing,pair_source_and_extract
Q-2025东城期末-20,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q20,发散思维,主观题,2025东城期末 20,no_pending_source_pairing,pair_source_and_extract
Q-2025丰台期末-7,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q7,超前思维,选择题,2025丰台期末 7,no_pending_source_pairing,pair_source_and_extract
Q-2025丰台期末-8,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q8,判断;发散思维;想象;推理;概念,选择题,2025丰台期末 8,no_pending_source_pairing,pair_source_and_extract
Q-2025丰台期末-10,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q10,归纳;思维具体;思维抽象;感性具体;推理;演绎推理;类比,选择题,2025丰台期末 10,no_pending_source_pairing,pair_source_and_extract
Q-2025丰台期末-7,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q7,超前思维,选择题,2025丰台期末 7,no_pending_source_pairing,pair_source_and_extract
Q-2025丰台期末-8,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q8,判断;发散思维;想象;推理;概念,选择题,2025丰台期末 8,no_pending_source_pairing,pair_source_and_extract
Q-2025丰台期末-10,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q10,归纳;思维具体;思维抽象;感性具体;推理;演绎推理;类比,选择题,2025丰台期末 10,no_pending_source_pairing,pair_source_and_extract
Q-2025丰台期末-16,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q16,判断;前提;推理;系统观念;结论;质量互变;辩证思维,主观题,2025丰台期末 16,no_pending_source_pairing,pair_source_and_extract
Q-2025海淀二模-20,S-2025海淀二模,008_Desktop_2025模拟题_2025各区二模_2025海淀二模_试卷_试卷.pdf::render_page_07::Q20,分析与综合;系统优化;整体性;质量互变;动态性;辩证否定;矛盾分析法,主观题,2025海淀二模 20,no_pending_laneB_visual_confirmation,pair_source_and_extract
Q-2025海淀期末-2,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q2,整体性;结论;辩证思维;迁移,选择题,2025海淀期末 2,no_pending_source_pairing,pair_source_and_extract
Q-2025海淀期末-17-1,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q17(1),客观性;想象;科学思维,主观题,2025海淀期末 17(1),no_pending_source_pairing,pair_source_and_extract
Q-2025海淀期末-17-2,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q17(2),客观性;想象;科学思维,主观题,2025海淀期末 17(2),no_pending_source_pairing,pair_source_and_extract
Q-2025海淀期末-18,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q18,创新思维;联想思维;迁移;逆向思维,主观题,2025海淀期末 18,no_pending_source_pairing,pair_source_and_extract
Q-2025海淀期末-17-1,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q17(1),客观性;想象;科学思维,主观题,2025海淀期末 17(1),no_pending_source_pairing,pair_source_and_extract
Q-2025海淀期末-17-2,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q17(2),客观性;想象;科学思维,主观题,2025海淀期末 17(2),no_pending_source_pairing,pair_source_and_extract
Q-2025海淀期末-18,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q18,创新思维;联想思维;迁移;逆向思维,主观题,2025海淀期末 18,no_pending_source_pairing,pair_source_and_extract
Q-2025海淀期末-22,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q22,质量互变,主观题,2025海淀期末 22,no_pending_source_pairing,pair_source_and_extract
Q-2025西城二模-16-1,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q16(1),假言;充分条件;创新思维;判断;推理,主观题,2025西城二模 16(1),no_pending_source_pairing,pair_source_and_extract
Q-2025西城二模-16-2,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q16(2),假言;充分条件;创新思维;判断;推理,主观题,2025西城二模 16(2),no_pending_source_pairing,pair_source_and_extract
Q-2025西城二模-16-3,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q16(3),假言;充分条件;创新思维;判断;推理,主观题,2025西城二模 16(3),no_pending_source_pairing,pair_source_and_extract
Q-2025顺义一模-3,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q3,想象;逆向思维,选择题,2025顺义一模 3,no_pending_source_pairing,pair_source_and_extract
Q-2025顺义一模-3,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q3,想象;逆向思维,选择题,2025顺义一模 3,no_pending_source_pairing,pair_source_and_extract
Q-2025顺义一模-16,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q16,辩证否定,主观题,2025顺义一模 16,no_pending_source_pairing,pair_source_and_extract
Q-2025顺义一模-3,S-2025顺义一模,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q3,想象;逆向思维,选择题,2025顺义一模 3,no_pending_source_pairing,pair_source_and_extract
Q-2025顺义一模-3,S-2025顺义一模,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q3,想象;逆向思维,选择题,2025顺义一模 3,no_pending_source_pairing,pair_source_and_extract
Q-2025顺义一模-16,S-2025顺义一模,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q16,辩证否定,主观题,2025顺义一模 16,no_pending_source_pairing,pair_source_and_extract
Q-2026东城一模-6,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q6,换质;辩证否定,选择题,2026东城一模 6,no_pending_source_pairing,pair_source_and_extract
Q-2026东城一模-19-1,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q19(1),分析与综合;创新思维;动态性;发散思维;整体性;系统观念;聚合思维;超前思维,主观题,2026东城一模 19(1),no_pending_source_pairing,pair_source_and_extract
Q-2026东城一模-19-2,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q19(2),分析与综合;创新思维;动态性;发散思维;整体性;系统观念;聚合思维;超前思维,主观题,2026东城一模 19(2),no_pending_source_pairing,pair_source_and_extract
Q-2026东城一模-19-3,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q19(3),分析与综合;创新思维;动态性;发散思维;整体性;系统观念;聚合思维;超前思维,主观题,2026东城一模 19(3),no_pending_source_pairing,pair_source_and_extract
Q-2026东城一模-19-4,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q19(4),分析与综合;创新思维;动态性;发散思维;整体性;系统观念;聚合思维;超前思维,主观题,2026东城一模 19(4),no_pending_source_pairing,pair_source_and_extract
Q-2026东城一模-19-1,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q19(1),分析与综合;创新思维;动态性;发散思维;整体性;系统观念;聚合思维;超前思维,主观题,2026东城一模 19(1),no_pending_source_pairing,pair_source_and_extract
Q-2026东城一模-19-2,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q19(2),分析与综合;创新思维;动态性;发散思维;整体性;系统观念;聚合思维;超前思维,主观题,2026东城一模 19(2),no_pending_source_pairing,pair_source_and_extract
Q-2026东城一模-19-3,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q19(3),分析与综合;创新思维;动态性;发散思维;整体性;系统观念;聚合思维;超前思维,主观题,2026东城一模 19(3),no_pending_source_pairing,pair_source_and_extract
Q-2026东城一模-19-4,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q19(4),分析与综合;创新思维;动态性;发散思维;整体性;系统观念;聚合思维;超前思维,主观题,2026东城一模 19(4),no_pending_source_pairing,pair_source_and_extract
Q-2026东城期末-21,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q21,科学思维;系统观念;辩证思维,主观题,2026东城期末 21,no_pending_source_pairing,pair_source_and_extract
Q-2026朝阳期中-13,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q13,思维抽象;感性具体;推理;类比;联想思维,选择题,2026朝阳期中 13,no_pending_source_pairing,pair_source_and_extract
